"Step","sp_active_expansion_seed2 - cover_rate_1step"
"105000","0"
"210000","0.0005"
"315000","0.0005"
"420000","0.0035"
"525000","0.003"
"630000","0.003"
"735000","0.004"
"840000","0.0035"
"945000","0.008"
"1050000","0.006"
"1155000","0.0065"
"1260000","0.006"
"1365000","0.005"
"1470000","0.0035"
"1575000","0.005"
"1680000","0.007"
"1785000","0.0275"
"1890000","0.076"
"1995000","0.1255"
"2100000","0.1105"
"2205000","0.1275"
"2310000","0.1595"
"2415000","0.1985"
"2520000","0.233"
"2625000","0.2595"
"2730000","0.2645"
"2835000","0.2585"
"2940000","0.2455"
"3045000","0.2515"
"3150000","0.2525"
"3255000","0.2785"
"3360000","0.294"
"3465000","0.276"
"3570000","0.295"
"3675000","0.2925"
"3780000","0.308"
"3885000","0.32"
"3990000","0.2995"
"4095000","0.321"
"4200000","0.3215"
"4305000","0.3245"
"4410000","0.321"
"4515000","0.337"
"4620000","0.333"
"4725000","0.3485"
"4830000","0.3495"
"4935000","0.359"
"5040000","0.358"
"5145000","0.355"
"5250000","0.341"
"5355000","0.3385"
"5460000","0.3425"
"5565000","0.347"
"5670000","0.341"
"5775000","0.352"
"5880000","0.3735"
"5985000","0.356"
"6090000","0.362"
"6195000","0.3645"
"6300000","0.3725"
"6405000","0.365"
"6510000","0.395"
"6615000","0.3885"
"6720000","0.3615"
"6825000","0.375"
"6930000","0.3625"
"7035000","0.3795"
"7140000","0.362"
"7245000","0.3725"
"7350000","0.3835"
"7455000","0.366"
"7560000","0.39"
"7665000","0.3695"
"7770000","0.3685"
"7875000","0.39"
"7980000","0.385"
"8085000","0.3925"
"8190000","0.3945"
"8295000","0.4205"
"8400000","0.4115"
"8505000","0.431"
"8610000","0.398"
"8715000","0.4075"
"8820000","0.436"
"8925000","0.4505"
"9030000","0.428"
"9135000","0.428"
"9240000","0.423"
"9345000","0.414"
"9450000","0.4255"
"9555000","0.4415"
"9660000","0.445"
"9765000","0.4405"
"9870000","0.4425"
"9975000","0.4475"
"10080000","0.4375"
"10185000","0.43"
"10290000","0.4325"
"10395000","0.445"
"10500000","0.4335"
"10605000","0.4415"
"10710000","0.4425"
"10815000","0.457"
"10920000","0.45"
"11025000","0.4525"
"11130000","0.448"
"11235000","0.4555"
"11340000","0.471"
"11445000","0.4605"
"11550000","0.4735"
"11655000","0.475"
"11760000","0.4845"
"11865000","0.4775"
"11970000","0.5025"
"12075000","0.5005"
"12180000","0.501"
"12285000","0.501"
"12390000","0.499"
"12495000","0.5095"
"12600000","0.49"
"12705000","0.495"
"12810000","0.508"
"12915000","0.4975"
"13020000","0.514"
"13125000","0.51"
"13230000","0.5245"
"13335000","0.4995"
"13440000","0.508"
"13545000","0.511"
"13650000","0.5115"
"13755000","0.5135"
"13860000","0.5175"
"13965000","0.493"
"14070000","0.504"
"14175000","0.526"
"14280000","0.5325"
"14385000","0.499"
"14490000","0.514"
"14595000","0.556"
"14700000","0.5375"
"14805000","0.507"
"14910000","0.5485"
"15015000","0.54"
"15120000","0.5205"
"15225000","0.536"
"15330000","0.555"
"15435000","0.56"
"15540000","0.5565"
"15645000","0.559"
"15750000","0.5695"
"15855000","0.5555"
"15960000","0.574"
"16065000","0.577"
"16170000","0.5625"
"16275000","0.5825"
"16380000","0.5745"
"16485000","0.56"
"16590000","0.5775"
"16695000","0.59"
"16800000","0.5555"
"16905000","0.566"
"17010000","0.589"
"17115000","0.589"
"17220000","0.588"
"17325000","0.5965"
"17430000","0.595"
