"Step","mixdecay2n4_adjustratio_util0.9_seed3 - 4cover_rate"
"341640","0.69375"
"674640","0.6981"
"998640","0.7092"
"1322640","0.70195"
"1637280","0.7099500000000001"
"1943640","0.7201500000000001"
"2240640","0.7098"
"2537640","0.7199500000000001"
"2825640","0.70535"
"3104280","0.71045"
"3374640","0.7201000000000001"
"3635640","0.71645"
"3887640","0.716"
"4130280","0.71005"
"4372920","0.70725"
"4607280","0.7079"
"4832280","0.70605"
"5048280","0.6994"
"5264280","0.7126500000000001"
"5480280","0.7012999999999999"
"5696280","0.6985"
"5912280","0.7105499999999999"
"6128280","0.7077"
"6344280","0.6927000000000001"
"6560280","0.6943499999999999"
"6776280","0.70975"
"6992280","0.70765"
"7208280","0.7046"
"7424280","0.7069000000000001"
"7640280","0.7021499999999999"
"7856280","0.6897000000000001"
"8072280","0.69905"
"8288280","0.70165"
"8504280","0.7041499999999999"
"8720280","0.7082"
"8936280","0.7157"
"9152280","0.7064499999999999"
"9368280","0.6997000000000001"
"9584280","0.70195"
"9800280","0.70275"
"10016280","0.6986"
"10232280","0.70965"
"10448280","0.7158"
"10664280","0.6975"
"10880280","0.6994000000000001"
"11096280","0.6914000000000001"
"11312280","0.6994000000000001"
"11528280","0.6981499999999999"
"11744280","0.7086"
"11960280","0.69335"
"12176280","0.70355"
"12392280","0.7129500000000001"
"12608280","0.69575"
"12824280","0.71715"
"13040280","0.70565"
"13256280","0.7085499999999999"
"13472280","0.69505"
"13688280","0.7118"
"13904280","0.70845"
"14120280","0.7019500000000001"
"14336280","0.7063"
"14552280","0.6976500000000001"
"14768280","0.70735"
"14984280","0.70475"
"15200280","0.7017"
"15416280","0.70295"
"15632280","0.7129500000000001"
"15848280","0.7105499999999999"
"16064280","0.70045"
"16280280","0.71405"
"16496280","0.6964"
"16712280","0.6989500000000001"
"16928280","0.70475"
"17144280","0.7055499999999999"
"17360280","0.7153"
"17576280","0.7162000000000001"
"17792280","0.7162000000000001"
"18008280","0.72375"
"18224280","0.7079500000000001"
"18440280","0.71375"
"18656280","0.70365"
"18872280","0.693"
"19088280","0.7145"
"19304280","0.6968"
"19520280","0.6980999999999999"
"19736280","0.70055"
"19952280","0.7143499999999999"
"20168280","0.7196500000000001"
"20384280","0.7118"
"20600280","0.70805"
"20816280","0.7152999999999999"
"21032280","0.70985"
"21248280","0.72805"
"21464280","0.7202999999999999"
"21680280","0.7181000000000001"
"21896280","0.7065"
"22112280","0.7165499999999999"
"22328280","0.7074"
"22544280","0.7061499999999999"
"22760280","0.7161500000000001"
"22976280","0.69525"
"23192280","0.70235"
"23408280","0.71035"
"23624280","0.7095499999999999"
"23840280","0.71965"
"24056280","0.7189500000000001"
"24272280","0.7148"
"24488280","0.7151000000000001"
"24704280","0.7225999999999999"
"24920280","0.71905"
"25136280","0.7185999999999999"
"25352280","0.7145999999999999"
"25568280","0.7145499999999999"
"25784280","0.69575"
"26000280","0.721"
"26216280","0.71905"
"26432280","0.717"
"26648280","0.71415"
"26864280","0.7214"
"27080280","0.7238499999999999"
"27296280","0.718"
"27512280","0.7199000000000001"
"27728280","0.7243999999999999"
"27944280","0.71405"
"28160280","0.7304499999999999"
"28376280","0.72875"
"28592280","0.726"
"28808280","0.71815"
"29024280","0.7331500000000001"
"29240280","0.73105"
"29456280","0.73475"
"29672280","0.7333999999999999"
"29888280","0.742"
"30104280","0.7351"
"30320280","0.7384"
"30536280","0.73415"
"30752280","0.7401"
"30968280","0.7339"
"31184280","0.7405999999999999"
"31400280","0.72225"
"31616280","0.7169"
"31832280","0.72645"
"32048280","0.7172999999999999"
"32264280","0.7309500000000001"
"32480280","0.72775"
"32696280","0.7372000000000001"
"32912280","0.73265"
"33128280","0.73485"
"33344280","0.7306"
"33560280","0.73865"
"33776280","0.729"
"33992280","0.7268499999999999"
"34208280","0.7389000000000001"
"34424280","0.7348"
"34640280","0.7381"
"34856280","0.7397999999999999"
"35072280","0.73395"
"35288280","0.72775"
"35504280","0.7295"
"35720280","0.73895"
"35936280","0.73585"
"36152280","0.7534"
"36368280","0.74875"
"36584280","0.7610999999999999"
"36790920","0.7607"
"36997560","0.7559000000000001"
"37204200","0.7580999999999999"
"37410840","0.7562000000000001"
"37617480","0.7612000000000001"
"37824120","0.75515"
"38030760","0.76"
"38229120","0.7541500000000001"
"38427480","0.7591500000000001"
"38625840","0.7451"
"38824200","0.75335"
"39022560","0.7455999999999999"
"39220920","0.7488"
"39419280","0.76055"
"39617640","0.7557999999999999"
"39816000","0.75755"
"40014360","0.75065"
"40212720","0.7583499999999999"
"40411080","0.748"
"40609440","0.74835"
"40807800","0.7504500000000001"
"41006160","0.7508499999999999"
"41204520","0.74175"
"41402880","0.73285"
"41601240","0.7507999999999999"
"41799600","0.7590999999999999"
"41997960","0.75545"
"42196320","0.76055"
"42394680","0.7630999999999999"
"42593040","0.7545999999999999"
"42791400","0.7504"
"42989760","0.7672"
"43188120","0.7573"
"43386480","0.74475"
"43584840","0.7475"
"43783200","0.76505"
"43981560","0.7481"
"44179920","0.7635"
"44378280","0.7646499999999999"
"44576640","0.75385"
"44775000","0.75695"
"44973360","0.75075"
"45171720","0.7447"
"45370080","0.7536"
"45568440","0.7597"
"45766800","0.7484"
"45965160","0.73975"
"46163520","0.7409"
