"Step","Boxlocking_2agent2box_all_return_reverse_threshold0.5_seed1 - test_return_rate"
"10108800","0.002"
"10140000","0.017"
"10171200","0"
"10202400","0.01"
"10233600","0.013"
"10264800","0"
"10296000","0.009"
"10327200","0"
"10358400","0.001"
"10389600","0.006"
"10420800","0.005"
"10452000","0.01"
"10483200","0.004"
"10514400","0.004"
"10545600","0.016"
"10576800","0.01"
"10608000","0.004"
"10639200","0.007"
"10670400","0.005"
"10701600","0.012"
"10732800","0.018"
"10764000","0.013"
"10795200","0.002"
"10826400","0.022"
"10857600","0.018"
"10888800","0.006"
"10920000","0.005"
"10951200","0.003"
"10982400","0.005"
"11013600","0.005"
"11044800","0.012"
"11076000","0.012"
"11107200","0.008"
"11138400","0.013"
"11169600","0.004"
"11200800","0.009"
"11232000","0.009"
"11263200","0"
"11294400","0.016"
"11325600","0.004"
"11356800","0.006"
"11388000","0.009"
"11419200","0.007"
"11450400","0.029"
"11481600","0.003"
"11512800","0.012"
"11544000","0.016"
"11575200","0.011"
"11606400","0.008"
"11637600","0.024"
"11668800","0.011"
"11700000","0.005"
"11731200","0.015"
"11762400","0.009"
"11793600","0.004"
"11824800","0.003"
"11856000","0.014"
"11887200","0.004"
"11918400","0.003"
"11949600","0.004"
"11980800","0.009"
"12012000","0.012"
"12043200","0.024"
"12074400","0.01"
"12105600","0.019"
"12136800","0.005"
"12168000","0.014"
"12199200","0.014"
"12230400","0.01"
"12261600","0.012"
"12292800","0.011"
"12324000","0.014"
"12355200","0.012"
"12386400","0.014"
"12417600","0.002"
"12448800","0.01"
"12480000","0.009"
"12511200","0.01"
"12542400","0.005"
"12573600","0.027"
"12604800","0.014"
"12636000","0.003"
"12667200","0.019"
"12698400","0.028"
"12729600","0.016"
"12760800","0.011"
"12792000","0.003"
"12823200","0.01"
"12854400","0.017"
"12885600","0.002"
"12916800","0.015"
"12948000","0.005"
"12979200","0.042"
"13010400","0.015"
"13041600","0.025"
"13072800","0.014"
"13104000","0.024"
"13135200","0.005"
"13166400","0.029"
"13197600","0.016"
"13228800","0"
"13260000","0.013"
"13291200","0.006"
"13322400","0.011"
"13353600","0.012"
"13384800","0"
"13416000","0.017"
"13447200","0.01"
"13478400","0.023"
"13509600","0.008"
"13540800","0.024"
"13572000","0.015"
"13603200","0.011"
"13634400","0.009"
"13665600","0.029"
"13696800","0.005"
"13728000","0.008"
"13759200","0.011"
"13790400","0.007"
"13821600","0.004"
"13852800","0.003"
"13884000","0.012"
"13915200","0.007"
"13946400","0.02"
"13977600","0.01"
"14008800","0.006"
"14040000","0"
"14071200","0.004"
"14102400","0.001"
"14133600","0.006"
"14164800","0.003"
"14196000","0.014"
"14227200","0.006"
"14258400","0.007"
"14289600","0.016"
"14320800","0.009"
"14352000","0.01"
"14383200","0.017"
"14414400","0.011"
"14445600","0.012"
"14476800","0.019"
"14508000","0.005"
"14539200","0.014"
"14570400","0.015"
"14601600","0.022"
"14632800","0.008"
"14664000","0.014"
"14695200","0.006"
"14726400","0.005"
"14757600","0.014"
"14788800","0.01"
"14820000","0.014"
"14851200","0.003"
"14882400","0.041"
"14913600","0.016"
"14944800","0.006"
"14976000","0.008"
"15007200","0.01"
"15038400","0.013"
"15069600","0.018"
"15100800","0.008"
"15132000","0.008"
"15163200","0.011"
"15194400","0.014"
"15225600","0.01"
"15256800","0.009"
"15288000","0.012"
"15319200","0.011"
"15350400","0.016"
"15381600","0"
"15412800","0.002"
"15444000","0.007"
"15475200","0.009"
"15506400","0.014"
"15537600","0.005"
"15568800","0.014"
"15600000","0.013"
"15631200","0.013"
"15662400","0.011"
"15693600","0.008"
"15724800","0.007"
"15756000","0.014"
"15787200","0.012"
"15818400","0.012"
"15849600","0.007"
"15880800","0"
"15912000","0.027"
"15943200","0.017"
"15974400","0.016"
"16005600","0.008"
"16036800","0.009"
"16068000","0.011"
"16099200","0.015"
"16130400","0.008"
"16161600","0.012"
"16192800","0.004"
"16224000","0.01"
"16255200","0.009"
"16286400","0.016"
"16317600","0.019"
"16348800","0.007"
"16380000","0.015"
"16411200","0.008"
"16442400","0.01"
"16473600","0.001"
"16504800","0.009"
"16536000","0.001"
"16567200","0.008"
"16598400","0.009"
"16629600","0.013"
"16660800","0.003"
"16692000","0.006"
"16723200","0.004"
"16754400","0.013"
"16785600","0.004"
"16816800","0.007"
"16848000","0.01"
"16879200","0"
"16910400","0.002"
"16941600","0.014"
"16972800","0.002"
"17004000","0.01"
"17035200","0.013"
"17066400","0.012"
"17097600","0.005"
"17128800","0"
"17160000","0.007"
"17191200","0.006"
"17222400","0.003"
"17253600","0.007"
"17284800","0.009"
"17316000","0.008"
"17347200","0.006"
"17378400","0"
"17409600","0.011"
"17440800","0.014"
"17472000","0.013"
"17503200","0.005"
"17534400","0.005"
"17565600","0.016"
"17596800","0.001"
"17628000","0.017"
"17659200","0.015"
"17690400","0.001"
"17721600","0.009"
"17752800","0.005"
"17784000","0.022"
"17815200","0.008"
"17846400","0.004"
"17877600","0.01"
"17908800","0.023"
"17940000","0.007"
"17971200","0.008"
"18002400","0.004"
"18033600","0.016"
"18064800","0.023"
"18096000","0.001"
"18127200","0.005"
"18158400","0.008"
"18189600","0.008"
"18220800","0.007"
"18252000","0.012"
"18283200","0.012"
"18314400","0.008"
"18345600","0.007"
"18376800","0.002"
"18408000","0.014"
"18439200","0.017"
"18470400","0.006"
"18501600","0.014"
"18532800","0.007"
"18564000","0.018"
"18595200","0.03"
"18626400","0.018"
"18657600","0.002"
"18688800","0.017"
"18720000","0.003"
"18751200","0.011"
"18782400","0.022"
"18813600","0.013"
"18844800","0.008"
"18876000","0.007"
"18907200","0.01"
"18938400","0.017"
"18969600","0.027"
"19000800","0.037"
"19032000","0.003"
"19063200","0.002"
"19094400","0.03"
"19125600","0.033"
"19156800","0.007"
"19188000","0.021"
"19219200","0.019"
"19250400","0.012"
"19281600","0.03"
"19312800","0.014"
"19344000","0.014"
"19375200","0.02"
"19406400","0.025"
"19437600","0.017"
"19468800","0.015"
"19500000","0.033"
"19531200","0.016"
"19562400","0.004"
"19593600","0.024"
"19624800","0.013"
"19656000","0.024"
"19687200","0.029"
"19718400","0.021"
"19749600","0.036"
"19780800","0.031"
"19812000","0.018"
"19843200","0.023"
"19874400","0.016"
"19905600","0.016"
"19936800","0.029"
"19968000","0.032"
"19999200","0.026"
"20030400","0.038"
"20061600","0.026"
"20092800","0.026"
"20124000","0.044"
"20155200","0.046"
"20186400","0.03"
"20217600","0.029"
"20248800","0.035"
"20280000","0.019"
"20311200","0.01"
"20342400","0.01"
"20373600","0.034"
"20404800","0.019"
"20436000","0.018"
"20467200","0.03"
"20498400","0.014"
"20529600","0.026"
"20560800","0.013"
"20592000","0.021"
"20623200","0.01"
"20654400","0.008"
"20685600","0.015"
