"Step","sp_active_expansion_seed1 - cover_rate_1step"
"105000","0.0005"
"210000","0.0005"
"315000","0"
"420000","0.001"
"525000","0"
"630000","0"
"735000","0.0005"
"840000","0"
"945000","0"
"1050000","0"
"1155000","0.0015"
"1260000","0.001"
"1365000","0"
"1470000","0.0015"
"1575000","0.0015"
"1680000","0.0025"
"1785000","0.003"
"1890000","0.011"
"1995000","0.008"
"2100000","0.0125"
"2205000","0.0095"
"2310000","0.016"
"2415000","0.028"
"2520000","0.0365"
"2625000","0.0395"
"2730000","0.04"
"2835000","0.052"
"2940000","0.076"
"3045000","0.0925"
"3150000","0.121"
"3255000","0.1845"
"3360000","0.2185"
"3465000","0.2085"
"3570000","0.2255"
"3675000","0.2385"
"3780000","0.231"
"3885000","0.233"
"3990000","0.2455"
"4095000","0.229"
"4200000","0.227"
"4305000","0.207"
"4410000","0.2295"
"4515000","0.239"
"4620000","0.23"
"4725000","0.2305"
"4830000","0.2415"
"4935000","0.243"
"5040000","0.2425"
"5145000","0.256"
"5250000","0.239"
"5355000","0.263"
"5460000","0.277"
"5565000","0.293"
"5670000","0.2865"
"5775000","0.281"
"5880000","0.273"
"5985000","0.3005"
"6090000","0.304"
"6195000","0.2965"
"6300000","0.292"
"6405000","0.3015"
"6510000","0.3105"
"6615000","0.2955"
"6720000","0.305"
"6825000","0.334"
"6930000","0.3505"
"7035000","0.3585"
"7140000","0.376"
"7245000","0.3655"
"7350000","0.367"
"7455000","0.3965"
"7560000","0.4405"
"7665000","0.4605"
"7770000","0.428"
"7875000","0.457"
"7980000","0.459"
"8085000","0.443"
"8190000","0.449"
"8295000","0.437"
"8400000","0.431"
"8505000","0.4555"
"8610000","0.499"
"8715000","0.491"
"8820000","0.5125"
"8925000","0.501"
"9030000","0.4855"
"9135000","0.484"
"9240000","0.4865"
"9345000","0.462"
"9450000","0.4635"
"9555000","0.445"
"9660000","0.4595"
"9765000","0.4765"
"9870000","0.4995"
"9975000","0.527"
"10080000","0.5325"
"10185000","0.5425"
"10290000","0.5285"
"10395000","0.536"
"10500000","0.539"
"10605000","0.55"
"10710000","0.529"
"10815000","0.545"
"10920000","0.5375"
"11025000","0.5435"
"11130000","0.547"
"11235000","0.5525"
"11340000","0.5395"
"11445000","0.5615"
"11550000","0.545"
"11655000","0.5505"
"11760000","0.535"
"11865000","0.568"
"11970000","0.588"
"12075000","0.59"
"12180000","0.5925"
"12285000","0.5975"
"12390000","0.5965"
"12495000","0.5855"
"12600000","0.608"
