"Step","mixdecay2n4_only2decay_seed1 - 4cover_rate"
"269640","0.6397999999999999"
"539280","0.6496000000000001"
"808920","0.6549"
"1078560","0.648"
"1348200","0.6515"
"1617840","0.6495"
"1887480","0.6592"
"2157120","0.6369000000000001"
"2426760","0.6581"
"2696400","0.6577999999999999"
"2957040","0.6477999999999999"
"3217680","0.6307"
"3478320","0.6484"
"3738960","0.6563"
"3999600","0.6522"
"4260240","0.6551"
"4520880","0.6554"
"4781520","0.6573"
"5042160","0.6592"
"5302800","0.6637"
"5554800","0.6505"
"5806800","0.6595"
"6058800","0.6426000000000001"
"6310800","0.662"
"6562800","0.6453999999999999"
"6814800","0.649"
"7066800","0.6481"
"7318800","0.6462"
"7570800","0.654"
"7822800","0.6537000000000001"
"8065800","0.6443"
"8308800","0.6417999999999999"
"8551800","0.6518999999999999"
"8794800","0.6424"
"9037800","0.6045"
"9280800","0.6328"
"9523800","0.6422"
"9766800","0.6325"
"10009800","0.6301"
"10252800","0.6386"
"10486800","0.6393"
"10720800","0.6154"
"10954800","0.6505"
"11188800","0.6577000000000001"
"11422800","0.641"
"11656800","0.6552"
"11890800","0.6645999999999999"
"12124800","0.6465"
"12358800","0.6638"
"12592800","0.6526000000000001"
"12818160","0.6391"
"13043520","0.6417999999999999"
"13268880","0.6386000000000001"
"13494240","0.6439000000000001"
"13719600","0.621"
"13944960","0.6532"
"14170320","0.6514000000000001"
"14395680","0.6247"
"14621040","0.6496"
"14846400","0.6606000000000001"
"15062400","0.6531"
"15278400","0.6427999999999999"
"15494400","0.6552"
"15710400","0.6493"
"15926400","0.6526"
"16142400","0.658"
"16358400","0.6547999999999999"
"16574400","0.6425"
"16790400","0.6564"
"17006400","0.6475"
"17213400","0.6405"
"17420400","0.6537000000000001"
"17627400","0.6461"
"17834400","0.6442"
"18041400","0.6566000000000001"
"18248400","0.6485"
"18455400","0.6444"
"18662400","0.6562"
"18869400","0.6394"
"19076400","0.6420999999999999"
"19274040","0.6376000000000001"
"19471680","0.6399"
"19669320","0.649"
"19866960","0.65"
"20064600","0.6446000000000001"
"20262240","0.6439000000000001"
"20459880","0.6374"
"20657520","0.6446000000000001"
"20855160","0.633"
"21052800","0.6217999999999999"
"21242160","0.6442"
"21431520","0.6387999999999999"
"21620880","0.6597"
"21810240","0.6317999999999999"
"21999600","0.6425"
"22188960","0.6447"
"22378320","0.6362000000000001"
"22567680","0.6597000000000001"
"22757040","0.6459"
"22946400","0.6381999999999999"
"23126400","0.6357999999999999"
"23306400","0.6235"
"23486400","0.6582"
"23666400","0.653"
"23846400","0.6687000000000001"
"24026400","0.6378"
"24206400","0.6595"
"24386400","0.6301"
"24566400","0.6596000000000001"
