"Step","phase_warmup6iter_pb_seed1 - 4cover_rate"
"180000","0.6038"
"360000","0.5827"
"540000","0.5797"
"720000","0.5888"
"900000","0.5777"
"1080000","0.5785999999999999"
"1260000","0.5845999999999999"
"1440000","0.5715"
"1620000","0.5861999999999999"
"1800000","0.5807"
"1980000","0.5689"
"2160000","0.5825999999999999"
"2340000","0.5727000000000001"
"2520000","0.5818"
"2700000","0.5572999999999999"
"2880000","0.5718"
"3060000","0.5615"
"3240000","0.5832999999999999"
"3420000","0.5753"
"3600000","0.5612"
"3780000","0.58"
"3960000","0.565"
"4140000","0.553"
"4320000","0.5626"
"4500000","0.5555999999999999"
"4680000","0.5767"
"4860000","0.5678"
"5040000","0.5792"
"5220000","0.5762999999999999"
"5400000","0.5532"
"5580000","0.59"
"5760000","0.5919"
"5940000","0.5882999999999999"
"6120000","0.5936"
"6300000","0.5848000000000001"
"6480000","0.5815"
"6660000","0.5909000000000001"
"6840000","0.5802999999999999"
"7020000","0.5809"
"7200000","0.5859"
"7380000","0.5855"
"7560000","0.5837"
"7740000","0.5942999999999999"
"7920000","0.5765"
"8100000","0.5959"
"8280000","0.5709000000000001"
"8460000","0.5875999999999999"
"8640000","0.5785"
"8820000","0.5664000000000001"
"9000000","0.5761"
"9180000","0.5712"
"9360000","0.5607000000000001"
"9540000","0.5832"
"9720000","0.5738"
"9900000","0.5912999999999999"
"10080000","0.6063"
"10260000","0.5809000000000001"
"10440000","0.5932999999999999"
"10620000","0.5888"
"10800000","0.5789"
"10980000","0.5832999999999999"
"11160000","0.5815"
"11340000","0.5731"
"11520000","0.5811000000000001"
"11700000","0.5739000000000001"
"11880000","0.582"
"12060000","0.5953999999999999"
"12240000","0.5808"
"12420000","0.5755"
"12600000","0.5847"
"12780000","0.5836"
"12960000","0.5993999999999999"
"13140000","0.6064"
"13320000","0.5898"
"13500000","0.5876"
"13680000","0.5938"
"13860000","0.5865999999999999"
"14040000","0.6202000000000001"
"14220000","0.6109000000000001"
"14400000","0.5980999999999999"
"14580000","0.6083"
"14760000","0.617"
"14940000","0.6166"
"15120000","0.611"
"15300000","0.6013999999999999"
