"Step","diversified_pb - cover_rate_5step","diversified_pb_seed2 - cover_rate_5step","diversified_pb_seed3 - cover_rate_5step"
"22500000","0.6058","0.7028","0.607"
"22680000","0.6287999999999999","0.7163999999999999","0.615"
"22860000","0.6148","0.6934","0.6116"
"23040000","0.6065999999999999","0.6695999999999999","0.6058000000000001"
"23220000","0.6314000000000001","0.6932","0.614"
"23400000","0.6228","0.6978000000000001","0.6252000000000001"
"23580000","0.6028","0.703","0.6374"
"23760000","0.6072000000000001","0.725","0.6117999999999999"
"23940000","0.6226","0.685","0.63"
"24120000","0.6322000000000001","0.6993999999999999","0.6357999999999999"
"24300000","0.6036","0.7004","0.6205999999999999"
"24480000","0.628","0.6762","0.6447999999999999"
"24660000","0.6048","0.6821999999999999","0.6335999999999999"
"24840000","0.614","0.7034","0.6406000000000001"
"25020000","0.6156","0.6952","0.6096"
"25200000","0.6207999999999999","0.6978","0.6302000000000001"
"25380000","0.629","0.7595999999999999","0.6265999999999999"
"25560000","0.628","0.7214","0.6322000000000001"
"25740000","0.649","0.7384000000000001","0.64"
"25920000","0.6426000000000001","0.7288","0.6464"
"26100000","0.6498","0.7244","0.6284"
"26280000","0.6626000000000001","0.7534000000000001","0.6332000000000001"
"26460000","0.6674","0.768","0.6694"
"26640000","0.661","0.7172000000000001","0.653"
"26820000","0.661","0.736","0.6342000000000001"
"27000000","0.6724","0.7075999999999999","0.6327999999999999"
"27180000","0.6814","0.7342000000000001","0.648"
"27360000","0.6466000000000001","0.7424","0.6486000000000001"
"27540000","0.6534","0.7415999999999999","0.6592"
"27720000","0.6646","0.7648","0.648"
"27900000","0.6563999999999999","0.7646","0.6492"
"28080000","0.6504000000000001","0.7694","0.6384000000000001"
"28260000","0.6696","0.7696000000000001","0.6436000000000001"
"28440000","0.6934000000000001","0.7697999999999999","0.662"
"28620000","0.6786","0.7612000000000001","0.6636"
"28800000","0.652","0.7676","0.6746"
"28980000","0.6474","0.7738","0.6774"
"29160000","0.6841999999999999","0.7964","0.6842"
"29340000","0.6456","0.7494","0.6964"
"29520000","0.6992","0.7666000000000001","0.6838"
"29700000","0.7106","0.8022","0.6507999999999999"
"29880000","0.694","0.7857999999999999","0.6772"
"30060000","0.7088","0.8048","0.6527999999999999"
"30240000","0.7203999999999999","0.7837999999999999","0.6916"
"30420000","0.7105999999999999","0.7827999999999999","0.671"
"30600000","0.7242000000000001","0.7764000000000001","0.6858"
"30780000","0.7223999999999999","0.783","0.6562"
"30960000","0.7078","0.7546","0.6577999999999999"
"31140000","0.7322","0.7734","0.6596"
"31320000","0.7066","0.7656000000000001","0.6686"
"31500000","0.7168","0.799","0.7008"
"31680000","0.7156000000000001","0.7804","0.6846"
"31860000","0.7238000000000001","0.7885999999999999","0.704"
"32040000","0.738","0.8065999999999999","0.6537999999999999"
"32220000","0.7338","0.812","0.675"
"32400000","0.7252000000000001","0.796","0.6934"
"32580000","0.7318","0.8054000000000001","0.697"
"32760000","0.7466","0.8206","0.6835999999999999"
"32940000","0.7442000000000001","0.8026","0.7274"
"33120000","0.7555999999999999","0.7946","0.7216"
"33300000","0.7392000000000001","0.8","0.7178"
"33480000","0.7377999999999999","0.7986","0.7226"
"33660000","0.765","0.8294","0.6845999999999999"
"33840000","0.7367999999999999","0.8301999999999999","0.7064"
"34020000","0.7204","0.8078","0.7163999999999999"
"34200000","0.741","0.787","0.7222000000000001"
"34380000","0.7652","0.806","0.7308"
"34560000","0.7746","0.8275999999999999","0.7328"
"34740000","0.772","0.8118","0.7537999999999999"
"34920000","0.7777999999999999","0.7876000000000001","0.7612000000000001"
"35100000","0.7646000000000002","0.8018","0.7727999999999999"
"35280000","0.7662","0.8156","0.7494"
"35460000","0.7392000000000001","0.8208","0.7647999999999999"
"35640000","0.7766000000000002","0.8061999999999999","0.7424"
"35820000","0.7914","0.8124","0.778"
"36000000","0.7696000000000001","0.8354000000000001","0.736"
"36180000","0.8008","0.8371999999999999","0.7395999999999999"
"36360000","0.7766","0.8416","0.7707999999999999"
"36540000","0.8002","0.826","0.7736000000000001"
"36720000","0.787","0.8372","0.7724"
"36900000","0.8112","0.8304","0.762"
"37080000","0.786","0.7938","0.7584000000000001"
"37260000","0.7992","0.834","0.7373999999999999"
"37440000","0.7712","0.8126000000000001","0.7406"
"37620000","0.8138","0.8244000000000001","0.7232000000000001"
"37800000","0.7827999999999999","0.8192","0.7442000000000001"
"37980000","0.796","0.8312","0.7714000000000001"
"38160000","0.8106","0.8215999999999999","0.772"
"38340000","0.797","0.8645999999999999","0.7724"
"38520000","0.7936","0.8324000000000001","0.7928"
"38700000","0.794","0.8342","0.7624"
"38880000","0.7855999999999999","0.8236","0.7767999999999999"
"39060000","0.7942","0.8617999999999999","0.7634000000000001"
"39240000","0.806","0.8176","0.7742"
"39420000","0.8166","0.8512000000000001","0.7592000000000001"
"39600000","0.828","0.8564","0.7866000000000001"
"39780000","0.8056","0.8542000000000001","0.7902"
"39960000","0.8154","0.8556","0.7794000000000001"
"40140000","0.8142","0.8433999999999999","0.761"
"40320000","0.8126","0.8533999999999999","0.7842"
"40500000","0.8048","0.8596","0.7533999999999998"
"40680000","0.8195999999999999","0.837","0.7634"
"40860000","0.8112","0.8556","0.7664"
"41040000","0.8112","0.862","0.7968"
"41220000","0.8224000000000001","0.8583999999999999","0.767"
"41400000","0.8383999999999999","0.876","0.8034"
"41580000","0.8416","0.8582000000000001","0.8"
"41760000","0.8176","0.8626","0.797"
"41940000","0.8278","0.8582000000000001","0.8164000000000001"
"42120000","0.8463999999999999","0.8494","0.8186"
"42300000","0.8432","0.8652000000000001","0.8145999999999999"
"42480000","0.8302","0.8566","0.8145999999999999"
"42660000","0.8452000000000001","0.8573999999999999","0.8264"
"42840000","0.858","0.8865999999999999","0.8135999999999999"
"43020000","0.8568","0.8624","0.8132"
"43200000","0.8425999999999999","0.8704","0.8252"
"43380000","0.848","0.865","0.826"
"43560000","0.8485999999999999","0.8686","0.8376"
"43740000","0.8574","0.8684000000000001","0.846"
"43920000","0.8598","0.883","0.8364"
"44100000","0.8545999999999999","0.8612000000000001","0.8314"
"44280000","0.8402000000000001","0.8603999999999999","0.8617999999999999"
"44460000","0.8568","0.8904","0.8396"
"44640000","0.8647999999999999","0.8842000000000001","0.856"
"44820000","0.8498","0.8792000000000001","0.832"
"45000000","0.8506","0.8764","0.862"
"45180000","0.8702000000000001","0.8852000000000001","0.822"
"45360000","0.8674","0.8936000000000001","0.8588"
"45540000","0.8634","0.8835999999999999","0.8552000000000001"
"45720000","0.8656","0.8734","0.8532000000000001"
"45900000","0.8727999999999999","0.8876000000000001","0.8515999999999999"
"46080000","0.8774000000000001","0.8976000000000001","0.8338"
"46260000","0.8636","0.8614","0.8598"
"46440000","0.8546","0.8942","0.8374000000000001"
"46620000","0.876","0.8977999999999999","0.8652000000000001"
"46800000","0.8674","0.8926000000000001","0.8687999999999999"
"46980000","0.8807999999999999","0.8675999999999999","0.8538"
"47160000","0.8864","0.859","0.8657999999999999"
"47340000","0.8644000000000001","0.8772000000000001","0.862"
"47520000","0.8906","0.8832000000000001","0.8594"
"47700000","0.8805999999999999","0.8924","0.8682000000000001"
"47880000","0.8747999999999999","0.8582000000000001","0.8664000000000001"
"48060000","0.87","0.8826","0.8542000000000001"
"48240000","0.8654000000000001","0.897","0.8482000000000001"
"48420000","0.8817999999999999","0.887","0.836"
"48600000","0.881","0.8802000000000001","0.8422"
"48780000","0.887","0.8752000000000001","0.8724000000000001"
"48960000","0.8934","0.893","0.8412000000000001"
"49140000","0.8627999999999999","0.8694000000000001","0.8513999999999999"
"49320000","0.8762000000000001","0.884","0.8862000000000001"
"49500000","0.8654000000000001","0.8886000000000001","0.8456"
"49680000","0.8578","0.897","0.8888"
"49860000","0.8524","0.8986","0.866"
"50040000","0.89","0.8964","0.8776"
"50220000","0.879","0.8826","0.8675999999999999"
"50400000","0.8874","0.8802000000000001","0.8704000000000001"
"50580000","0.8685999999999999","0.8954","0.8902"
"50760000","0.8800000000000001","0.8802","0.8647999999999999"
"50940000","0.8804000000000001","0.876","0.8886000000000001"
"51120000","0.8812","0.89","0.89"
"51300000","0.8836","0.891","0.8981999999999999"
"51480000","0.8772000000000001","0.9018","0.8757999999999999"
"51660000","0.8837999999999999","0.8854000000000001","0.8878"
"51840000","0.8767999999999999","0.8854","0.8886"
"52020000","0.8855999999999999","0.8822000000000001","0.8724000000000001"
"52200000","0.8662000000000001","0.8887999999999999","0.8764"
"52380000","0.8832000000000001","0.9074","0.8837999999999999"
"52560000","0.9014","0.9022","0.8744"
"52740000","0.8937999999999999","0.9036","0.8824000000000001"
"52920000","0.9032","0.9046","0.8852"
"53100000","0.8877999999999999","0.9004","0.879"
"53280000","0.887","0.9102","0.8946000000000001"
"53460000","0.9038","0.8947999999999999","0.881"
"53640000","0.8742000000000001","0.8992","0.9124"
"53820000","0.8906000000000001","0.9172","0.9008"
"54000000","0.8846","0.899","0.8855999999999999"
