"Step","diversified_badinit_pb_seed2 - cover_rate_5step"
"180000","0.118"
"360000","0.134"
"540000","0.109"
"720000","0.107"
"900000","0.103"
"1080000","0.09"
"1260000","0.118"
"1440000","0.121"
"1620000","0.104"
"1800000","0.114"
"1980000","0.115"
"2160000","0.114"
"2340000","0.097"
"2520000","0.107"
"2700000","0.115"
"2880000","0.113"
"3060000","0.117"
"3240000","0.119"
"3420000","0.128"
"3600000","0.127"
"3780000","0.156"
"3960000","0.115"
"4140000","0.105"
"4320000","0.121"
"4500000","0.127"
"4680000","0.118"
"4860000","0.114"
"5040000","0.131"
"5220000","0.121"
"5400000","0.118"
"5580000","0.122"
"5760000","0.107"
"5940000","0.122"
"6120000","0.1096"
"6300000","0.123"
"6480000","0.1224"
"6660000","0.13"
"6840000","0.1252"
"7020000","0.1478"
"7200000","0.1264"
"7380000","0.158"
"7560000","0.136"
"7740000","0.142"
"7920000","0.141"
"8100000","0.1264"
"8280000","0.1388"
"8460000","0.1744"
"8640000","0.1594"
"8820000","0.174"
"9000000","0.15080000000000002"
"9180000","0.17539999999999997"
"9360000","0.169"
"9540000","0.1834"
"9720000","0.1706"
"9900000","0.1576"
"10080000","0.1616"
"10260000","0.2092"
"10440000","0.19"
"10620000","0.176"
"10800000","0.17120000000000002"
"10980000","0.172"
"11160000","0.1744"
"11340000","0.1886"
"11520000","0.1826"
"11700000","0.195"
"11880000","0.1942"
"12060000","0.1674"
"12240000","0.1716"
"12420000","0.2098"
"12600000","0.1866"
"12780000","0.17660000000000003"
"12960000","0.19760000000000005"
"13140000","0.2098"
"13320000","0.19939999999999997"
"13500000","0.2184"
"13680000","0.206"
"13860000","0.2052"
"14040000","0.2256"
"14220000","0.17839999999999998"
"14400000","0.199"
"14580000","0.2272"
"14760000","0.2158"
"14940000","0.2408"
"15120000","0.228"
"15300000","0.216"
"15480000","0.2134"
"15660000","0.1912"
"15840000","0.2046"
"16020000","0.2152"
"16200000","0.2512"
"16380000","0.212"
"16560000","0.2212"
"16740000","0.2348"
"16920000","0.25"
"17100000","0.2208"
"17280000","0.23360000000000003"
"17460000","0.217"
"17640000","0.2168"
"17820000","0.238"
"18000000","0.2214"
"18180000","0.2234"
"18360000","0.215"
"18540000","0.2224"
"18720000","0.2222"
"18900000","0.239"
"19080000","0.2452"
"19260000","0.208"
"19440000","0.25160000000000005"
"19620000","0.2398"
"19800000","0.2502"
"19980000","0.2538"
"20160000","0.268"
"20340000","0.2256"
"20520000","0.258"
"20700000","0.25239999999999996"
"20880000","0.2506"
"21060000","0.29020000000000007"
"21240000","0.2682"
"21420000","0.2756"
"21600000","0.2854"
"21780000","0.2432"
"21960000","0.2496"
"22140000","0.258"
"22320000","0.2546"
"22500000","0.261"
"22680000","0.2456"
"22860000","0.26480000000000004"
"23040000","0.2864"
"23220000","0.2974"
"23400000","0.30619999999999997"
"23580000","0.2962"
"23760000","0.328"
"23940000","0.3078"
"24120000","0.30160000000000003"
"24300000","0.30839999999999995"
"24480000","0.3082"
"24660000","0.30319999999999997"
"24840000","0.32"
"25020000","0.3338"
"25200000","0.3468"
"25380000","0.3332"
"25560000","0.3398"
"25740000","0.3408"
"25920000","0.3442"
"26100000","0.339"
"26280000","0.32820000000000005"
"26460000","0.3474"
"26640000","0.30360000000000004"
"26820000","0.2834"
"27000000","0.32939999999999997"
"27180000","0.31139999999999995"
"27360000","0.3334"
"27540000","0.32880000000000004"
"27720000","0.3382"
"27900000","0.3132"
"28080000","0.3314"
"28260000","0.329"
"28440000","0.34459999999999996"
"28620000","0.3378"
"28800000","0.32039999999999996"
"28980000","0.3546"
"29160000","0.3544"
"29340000","0.32139999999999996"
"29520000","0.3286"
"29700000","0.3606"
"29880000","0.3646"
"30060000","0.3716"
"30240000","0.32339999999999997"
"30420000","0.3316"
"30600000","0.30519999999999997"
"30780000","0.33579999999999993"
"30960000","0.3522"
"31140000","0.31479999999999997"
"31320000","0.3236"
"31500000","0.346"
"31680000","0.3408"
"31860000","0.3484"
"32040000","0.3432"
"32220000","0.3872"
"32400000","0.3852"
"32580000","0.4036"
"32760000","0.3664"
"32940000","0.3972"
"33120000","0.3784"
"33300000","0.3728"
"33480000","0.3534"
"33660000","0.383"
"33840000","0.36"
"34020000","0.3554"
"34200000","0.3894"
"34380000","0.35479999999999995"
"34560000","0.3738"
"34740000","0.378"
"34920000","0.3824"
"35100000","0.3688"
"35280000","0.365"
"35460000","0.3838"
"35640000","0.4072"
"35820000","0.41120000000000007"
"36000000","0.4398"
"36180000","0.4112"
"36360000","0.4154"
"36540000","0.3826"
"36720000","0.4464"
"36900000","0.4064"
"37080000","0.3478"
"37260000","0.3952"
"37440000","0.3934"
"37620000","0.39820000000000005"
"37800000","0.4086"
"37980000","0.3932"
"38160000","0.405"
"38340000","0.42240000000000005"
"38520000","0.4528"
"38700000","0.448"
"38880000","0.38"
"39060000","0.4346"
"39240000","0.4316"
"39420000","0.411"
"39600000","0.4188"
"39780000","0.4286"
"39960000","0.4282"
"40140000","0.407"
"40320000","0.3872"
"40500000","0.407"
"40680000","0.4266"
"40860000","0.447"
"41040000","0.4378"
"41220000","0.4292"
"41400000","0.444"
"41580000","0.4502"
"41760000","0.4168"
"41940000","0.4292"
"42120000","0.3908"
"42300000","0.3948"
"42480000","0.4212"
"42660000","0.41620000000000007"
"42840000","0.4212"
"43020000","0.418"
"43200000","0.3924"
"43380000","0.404"
"43560000","0.374"
"43740000","0.3748"
"43920000","0.3786"
"44100000","0.3876"
"44280000","0.3802"
"44460000","0.3723999999999999"
"44640000","0.3634"
"44820000","0.4024"
"45000000","0.395"
"45180000","0.3834"
"45360000","0.35760000000000003"
"45540000","0.3708"
"45720000","0.3918"
"45900000","0.383"
"46080000","0.3968"
"46260000","0.3892000000000001"
"46440000","0.3648"
"46620000","0.3894"
"46800000","0.3424"
"46980000","0.3638"
"47160000","0.4026"
"47340000","0.3534"
"47520000","0.3888"
"47700000","0.338"
"47880000","0.3723999999999999"
"48060000","0.3892"
"48240000","0.4104"
"48420000","0.361"
"48600000","0.40120000000000006"
"48780000","0.3792"
"48960000","0.3912"
"49140000","0.3792"
"49320000","0.3786"
"49500000","0.348"
"49680000","0.338"
"49860000","0.3352"
"50040000","0.3748"
"50220000","0.3518"
"50400000","0.402"
"50580000","0.4056"
"50760000","0.3876"
"50940000","0.3844"
"51120000","0.3946"
"51300000","0.3666"
"51480000","0.3802"
"51660000","0.3962"
"51840000","0.3732"
"52020000","0.3844"
"52200000","0.4218"
"52380000","0.3938"
"52560000","0.3872"
"52740000","0.4202"
"52920000","0.374"
"53100000","0.3914"
"53280000","0.4262"
"53460000","0.4333999999999999"
"53640000","0.4787999999999999"
"53820000","0.461"
"54000000","0.4706"
"54180000","0.472"
"54360000","0.4576"
"54540000","0.468"
"54720000","0.4484"
"54900000","0.4408"
"55080000","0.4218"
"55260000","0.4534"
"55440000","0.4588"
"55620000","0.4776"
"55800000","0.479"
"55980000","0.488"
"56160000","0.5264000000000001"
"56340000","0.481"
"56520000","0.5024"
"56700000","0.4834"
"56880000","0.4867999999999999"
"57060000","0.5064000000000001"
"57240000","0.479"
"57420000","0.4748"
"57600000","0.4798"
"57780000","0.4908"
"57960000","0.4696"
"58140000","0.4786"
"58320000","0.476"
"58500000","0.4588"
"58680000","0.4424"
"58860000","0.474"
"59040000","0.4352"
"59220000","0.4484"
"59400000","0.4684"
"59580000","0.46"
"59760000","0.4444"
"59940000","0.4472"
"60120000","0.4754"
"60300000","0.459"
"60480000","0.46"
"60660000","0.467"
"60840000","0.4352"
"61020000","0.442"
"61200000","0.4528"
"61380000","0.4512"
"61560000","0.4322"
"61740000","0.4584"
"61920000","0.4424"
"62100000","0.446"
"62280000","0.428"
"62460000","0.4284"
"62640000","0.4512000000000001"
"62820000","0.4536"
"63000000","0.4418"
"63180000","0.4356"
"63360000","0.4312"
"63540000","0.45"
"63720000","0.4896"
"63900000","0.4704"
"64080000","0.47679999999999995"
"64260000","0.4802"
"64440000","0.4978"
"64620000","0.485"
"64800000","0.5028"
"64980000","0.506"
"65160000","0.4898"
"65340000","0.491"
"65520000","0.4963999999999999"
"65700000","0.4932"
"65880000","0.5334"
"66060000","0.4948"
"66240000","0.5216000000000001"
"66420000","0.5384000000000001"
"66600000","0.538"
"66780000","0.5046"
"66960000","0.5157999999999999"
"67140000","0.5222"
"67320000","0.5405999999999999"
"67500000","0.5142"
"67680000","0.5027999999999999"
"67860000","0.513"
"68040000","0.4904"
"68220000","0.463"
"68400000","0.5134"
"68580000","0.549"
"68760000","0.4912"
"68940000","0.521"
"69120000","0.5032000000000001"
"69300000","0.5342"
"69480000","0.5504"
"69660000","0.5142"
"69840000","0.5472"
"70020000","0.5576"
"70200000","0.5512"
"70380000","0.5352"
"70560000","0.5415999999999999"
"70740000","0.5612"
"70920000","0.57"
"71100000","0.5742"
"71280000","0.5898"
"71460000","0.6005999999999999"
"71640000","0.5734"
"71820000","0.5555999999999999"
"72000000","0.5466"
"72180000","0.5886"
"72360000","0.5912"
"72540000","0.5618"
"72720000","0.5936"
"72900000","0.6244"
"73080000","0.5962000000000001"
"73260000","0.563"
"73440000","0.6022000000000001"
"73620000","0.6052"
"73800000","0.59"
"73980000","0.584"
"74160000","0.5868"
