"Step","unif_pb_2agents_seed2 - 2cover_rate"
"60000","0.037"
"120000","0.026"
"180000","0.034"
"240000","0.037"
"300000","0.032"
"360000","0.026"
"420000","0.037"
"480000","0.03"
"540000","0.031"
"600000","0.038"
"660000","0.036"
"720000","0.033"
"780000","0.049"
"840000","0.032"
"900000","0.037"
"960000","0.036"
"1020000","0.044"
"1080000","0.046"
"1140000","0.036"
"1200000","0.034"
"1260000","0.034"
"1320000","0.044"
"1380000","0.028"
"1440000","0.029"
"1500000","0.033"
"1560000","0.024"
"1620000","0.026"
"1680000","0.021"
"1740000","0.032"
"1800000","0.039"
"1860000","0.03"
"1920000","0.033"
"1980000","0.026"
"2040000","0.03"
"2100000","0.025"
"2160000","0.034"
"2220000","0.039"
"2280000","0.032"
"2340000","0.036"
"2400000","0.034"
"2460000","0.031"
"2520000","0.04"
"2580000","0.026"
"2640000","0.031"
"2700000","0.035"
"2760000","0.032"
"2820000","0.035"
"2880000","0.035"
"2940000","0.028"
"3000000","0.036"
"3060000","0.028"
"3120000","0.029"
"3180000","0.025"
"3240000","0.034"
"3300000","0.038"
"3360000","0.035"
"3420000","0.032"
"3480000","0.035"
"3540000","0.031"
"3600000","0.039"
"3660000","0.03"
"3720000","0.04"
"3780000","0.031"
"3840000","0.027"
"3900000","0.032"
"3960000","0.036"
"4020000","0.025"
"4080000","0.036"
"4140000","0.03"
"4200000","0.032"
"4260000","0.037"
"4320000","0.035"
"4380000","0.035"
"4440000","0.032"
"4500000","0.036"
"4560000","0.031"
"4620000","0.035"
"4680000","0.03"
"4740000","0.036"
"4800000","0.034"
"4860000","0.029"
"4920000","0.032"
"4980000","0.036"
"5040000","0.026"
"5100000","0.042"
"5160000","0.033"
"5220000","0.037"
"5280000","0.024"
"5340000","0.037"
"5400000","0.037"
"5460000","0.043"
"5520000","0.025"
"5580000","0.027"
"5640000","0.032"
"5700000","0.032"
"5760000","0.033"
"5820000","0.039"
"5880000","0.038"
"5940000","0.036"
"6000000","0.026"
"6060000","0.034"
"6120000","0.035"
"6180000","0.033"
"6240000","0.029"
"6300000","0.035"
"6360000","0.042"
"6420000","0.039"
"6480000","0.041"
"6540000","0.032"
"6600000","0.031"
"6660000","0.042"
