"Step","mix2n4_samebatch_again_seed1 - 4cover_rate"
"269640","0.6459"
"539280","0.6497999999999999"
"808920","0.6393"
"1078560","0.6469"
"1348200","0.6406000000000001"
"1617840","0.6554000000000001"
"1887480","0.6481"
"2157120","0.6270999999999999"
"2426760","0.6417999999999999"
"2696400","0.636"
"2966040","0.6555"
"3235680","0.6606000000000001"
"3505320","0.6443"
"3774960","0.6333"
"4044600","0.6625"
"4314240","0.6567999999999999"
"4583880","0.6574"
"4853520","0.6682"
"5123160","0.6522"
"5392800","0.648"
"5662440","0.6577999999999999"
"5932080","0.6722"
"6201720","0.661"
"6471360","0.6693"
"6741000","0.6724"
"7010640","0.6632"
"7280280","0.667"
"7549920","0.6523"
"7819560","0.6661"
"8089200","0.6628999999999999"
"8358840","0.6735"
"8628480","0.6752"
"8898120","0.6717000000000001"
"9167760","0.6631"
"9437400","0.668"
"9707040","0.6608999999999999"
"9976680","0.6613"
"10246320","0.6476000000000001"
"10515960","0.6642"
"10785600","0.653"
"11055240","0.6613"
"11324880","0.6513"
"11594520","0.6557"
"11864160","0.6441"
"12133800","0.6532"
"12403440","0.6631999999999999"
"12673080","0.6644000000000001"
"12942720","0.6524000000000001"
"13212360","0.6566000000000001"
"13482000","0.6490999999999999"
"13751640","0.6487"
"14021280","0.6544"
"14290920","0.6772"
"14560560","0.6655"
"14830200","0.6661"
"15099840","0.6557000000000001"
"15369480","0.6543"
"15639120","0.6459"
"15908760","0.6574"
"16178400","0.6685"
"16448040","0.6573"
"16717680","0.6681"
"16987320","0.6564"
"17256960","0.6414"
"17526600","0.6402"
"17796240","0.6635999999999999"
"18065880","0.6534"
"18335520","0.6738"
"18605160","0.6544000000000001"
"18874800","0.6738"
"19144440","0.6678999999999999"
"19414080","0.6641"
"19683720","0.6882"
"19953360","0.6668000000000001"
"20223000","0.6725"
"20492640","0.6876"
"20762280","0.683"
"21031920","0.6742999999999999"
"21301560","0.6732"
"21571200","0.6732"
"21840840","0.6714"
"22110480","0.6698"
"22380120","0.6547000000000001"
"22649760","0.6668"
"22919400","0.6797000000000001"
"23189040","0.6668999999999999"
"23458680","0.6822999999999999"
"23728320","0.6685"
"23997960","0.6546"
"24267600","0.6596000000000001"
"24537240","0.6523"
"24806880","0.6475"
"25076520","0.6591"
"25346160","0.6796"
"25615800","0.6601"
"25885440","0.684"
"26155080","0.6775"
"26424720","0.6695"
"26694360","0.6822"
"26964000","0.6541"
"27233640","0.6595"
"27503280","0.6561"
"27772920","0.6764"
"28042560","0.6677000000000001"
"28312200","0.6667000000000001"
"28581840","0.6520999999999999"
"28851480","0.6635999999999999"
"29121120","0.6601"
"29390760","0.6927000000000001"
"29660400","0.6925"
"29930040","0.6733999999999999"
"30199680","0.682"
"30469320","0.6892"
"30738960","0.6699"
"31008600","0.6642"
"31278240","0.6915999999999999"
"31547880","0.6645"
"31817520","0.6595"
"32087160","0.666"
"32356800","0.6647000000000001"
"32626440","0.6449000000000001"
"32896080","0.6587999999999999"
"33165720","0.6633"
"33435360","0.6487"
"33705000","0.6500999999999999"
"33974640","0.6619"
"34244280","0.6667000000000001"
"34513920","0.6742999999999999"
"34783560","0.6541"
"35053200","0.6526000000000001"
"35322840","0.6576000000000001"
"35592480","0.6497999999999999"
"35862120","0.6443"
"36131760","0.6534"
"36401400","0.6604000000000001"
"36671040","0.6668"
"36940680","0.6644"
"37210320","0.6587000000000001"
"37479960","0.6655"
"37749600","0.6367"
"38019240","0.6542"
"38288880","0.6575"
"38558520","0.6695"
"38828160","0.656"
"39097800","0.6725"
"39367440","0.6657000000000001"
"39637080","0.647"
"39906720","0.631"
"40176360","0.6399000000000001"
"40446000","0.6583"
"40715640","0.6633"
"40985280","0.6584000000000001"
"41254920","0.6598"
"41524560","0.6409"
"41794200","0.6697000000000001"
"42063840","0.6636"
"42333480","0.6682"
"42603120","0.6554000000000001"
"42872760","0.6761999999999999"
"43142400","0.686"
"43412040","0.6829"
"43681680","0.6922"
"43951320","0.6717000000000001"
"44220960","0.6952"
"44490600","0.6693"
"44760240","0.6624000000000001"
"45029880","0.6709"
"45299520","0.6719"
"45569160","0.6694000000000001"
"45838800","0.6647000000000001"
"46108440","0.6618999999999999"
"46378080","0.6582"
"46647720","0.6663"
"46917360","0.6752999999999999"
"47187000","0.6744"
"47456640","0.6857000000000001"
"47726280","0.67"
"47995920","0.6789000000000001"
"48265560","0.6596"
"48535200","0.6723"
"48804840","0.6725"
"49074480","0.6567999999999999"
"49344120","0.6724"
"49613760","0.6738999999999999"
"49883400","0.6748"
"50153040","0.6715"
"50422680","0.6596000000000001"
"50692320","0.6541"
"50961960","0.6760999999999999"
"51231600","0.6663"
"51501240","0.677"
"51770880","0.6542"
"52040520","0.6774000000000001"
"52310160","0.6835"
"52579800","0.6764000000000001"
"52849440","0.6905"
"53119080","0.6956"
"53388720","0.6992999999999999"
"53658360","0.6845"
"53928000","0.703"
"54197640","0.6862999999999999"
"54467280","0.6725999999999999"
"54736920","0.6829000000000001"
"55006560","0.6865"
"55276200","0.7002999999999999"
"55545840","0.7044"
"55815480","0.7068999999999999"
"56085120","0.7014"
"56354760","0.7112999999999999"
"56624400","0.6999000000000001"
"56894040","0.7082999999999999"
"57163680","0.7025"
"57433320","0.7"
"57702960","0.699"
"57972600","0.6896"
"58242240","0.6969"
"58511880","0.7104000000000001"
"58781520","0.6955"
"59051160","0.7051"
"59320800","0.6871"
"59590440","0.6799000000000001"
"59860080","0.6976"
"60129720","0.7085"
"60399360","0.7101000000000001"
"60669000","0.6940999999999999"
"60938640","0.7039"
"61208280","0.7022"
"61477920","0.6959000000000001"
"61747560","0.6968"
"62017200","0.6905999999999999"
"62286840","0.6946"
"62556480","0.6985"
"62826120","0.7289"
"63095760","0.7014"
"63365400","0.7213999999999999"
"63635040","0.7174"
"63904680","0.7163"
"64174320","0.715"
"64443960","0.6985"
"64713600","0.72"
"64983240","0.7193999999999999"
"65252880","0.7273999999999999"
"65522520","0.729"
"65792160","0.7307"
"66061800","0.7114000000000001"
"66331440","0.7288"
"66601080","0.7145"
"66870720","0.723"
"67140360","0.7273"
"67410000","0.6968"
"67679640","0.7236"
"67949280","0.7292000000000001"
"68218920","0.7215"
"68488560","0.7117"
"68758200","0.731"
"69027840","0.7134000000000001"
"69297480","0.7293"
"69567120","0.7240999999999999"
"69836760","0.7270999999999999"
"70106400","0.7168"
"70376040","0.7238"
"70645680","0.7122999999999999"
"70915320","0.7132999999999999"
"71184960","0.7142999999999999"
"71454600","0.7379000000000001"
"71724240","0.7342000000000001"
"71993880","0.7222999999999999"
"72263520","0.7212999999999999"
"72533160","0.7135999999999999"
"72802800","0.728"
"73072440","0.7415"
"73342080","0.7203999999999999"
"73611720","0.7233"
"73881360","0.7358"
"74151000","0.7296"
"74420640","0.7358000000000001"
"74690280","0.7232000000000001"
"74959920","0.7262000000000001"
"75229560","0.7332000000000001"
"75499200","0.7463"
"75768840","0.7375"
"76038480","0.7437999999999999"
"76308120","0.7559000000000001"
"76577760","0.7352000000000001"
"76847400","0.7370999999999999"
"77117040","0.7395"
"77386680","0.7422000000000001"
"77656320","0.7215"
"77925960","0.7339000000000001"
"78195600","0.741"
