"Step","pc_pb_seed1 - 4cover_rate"
"60000","0.0545"
"120000","0.054200000000000005"
"180000","0.074"
"240000","0.062"
"300000","0.053"
"360000","0.0615"
"420000","0.064"
"480000","0.0545"
"540000","0.061"
"600000","0.0645"
"660000","0.0645"
"720000","0.0625"
"780000","0.0635"
"840000","0.054"
"900000","0.055"
"960000","0.0675"
"1020000","0.056"
"1080000","0.0685"
"1140000","0.0525"
"1200000","0.054"
"1260000","0.056"
"1320000","0.053"
"1380000","0.0645"
"1440000","0.056"
"1500000","0.0575"
"1560000","0.058"
"1620000","0.066"
"1680000","0.0585"
"1740000","0.0585"
"1800000","0.059"
"1860000","0.062"
"1920000","0.0585"
"1980000","0.07"
"2040000","0.063"
"2100000","0.063"
"2160000","0.057"
"2220000","0.0625"
"2280000","0.061"
"2340000","0.063"
"2400000","0.0605"
"2460000","0.056"
"2520000","0.053"
"2580000","0.055"
"2640000","0.0605"
"2700000","0.0635"
"2760000","0.0585"
"2820000","0.0625"
"2880000","0.0555"
"2940000","0.0445"
"3000000","0.0615"
"3060000","0.0615"
"3120000","0.062"
"3180000","0.057"
"3240000","0.075"
"3300000","0.0545"
"3360000","0.0625"
"3420000","0.068"
"3480000","0.0665"
"3540000","0.066"
"3600000","0.066"
"3660000","0.0675"
"3720000","0.0602"
"3780000","0.0695"
"3840000","0.048"
"3900000","0.059"
"3960000","0.0695"
"4020000","0.069"
"4080000","0.059"
"4140000","0.059"
"4200000","0.056"
"4260000","0.0635"
"4320000","0.0665"
"4380000","0.0655"
"4440000","0.0685"
"4500000","0.058"
"4560000","0.0635"
"4620000","0.0645"
"4680000","0.0625"
"4740000","0.061"
"4800000","0.0625"
"4860000","0.0725"
"4920000","0.0735"
"4980000","0.0675"
"5040000","0.066"
"5100000","0.065"
"5160000","0.0655"
"5220000","0.061"
"5280000","0.0715"
"5340000","0.054"
"5400000","0.067"
"5460000","0.079"
"5520000","0.0635"
"5580000","0.0695"
"5640000","0.0605"
"5700000","0.0655"
"5760000","0.059"
"5820000","0.0685"
"5880000","0.066"
"5940000","0.068"
"6000000","0.0705"
"6060000","0.0665"
"6120000","0.064"
"6180000","0.065"
"6240000","0.064"
"6300000","0.0565"
"6360000","0.0645"
"6420000","0.065"
"6480000","0.0615"
"6540000","0.064"
"6600000","0.07"
"6660000","0.059"
"6720000","0.060399999999999995"
"6780000","0.072"
"6840000","0.0585"
"6900000","0.0605"
"6960000","0.059"
"7020000","0.0625"
"7080000","0.066"
"7140000","0.0645"
"7200000","0.0655"
"7260000","0.064"
"7320000","0.0645"
"7380000","0.067"
"7440000","0.0645"
"7500000","0.069"
"7560000","0.063"
"7620000","0.0645"
"7680000","0.069"
"7740000","0.07"
"7800000","0.071"
"7860000","0.0615"
"7920000","0.0645"
"7980000","0.065"
"8040000","0.064"
"8100000","0.073"
"8160000","0.0695"
"8220000","0.066"
"8280000","0.0685"
"8340000","0.067"
"8400000","0.07"
"8460000","0.068"
"8520000","0.064"
"8580000","0.082"
"8640000","0.062"
"8700000","0.0715"
"8760000","0.069"
"8820000","0.069"
"8880000","0.068"
"8940000","0.0632"
"9000000","0.0715"
"9060000","0.075"
"9120000","0.0685"
"9180000","0.0655"
"9240000","0.0605"
"9300000","0.087"
"9360000","0.0725"
"9420000","0.0663"
"9480000","0.0755"
"9540000","0.0675"
"9600000","0.0728"
"9660000","0.074"
"9720000","0.0825"
"9780000","0.0725"
"9840000","0.0765"
"9900000","0.074"
"9960000","0.076"
"10020000","0.0675"
"10080000","0.07"
"10140000","0.0575"
"10200000","0.0741"
"10260000","0.088"
"10320000","0.0815"
"10380000","0.071"
"10440000","0.0695"
"10500000","0.0665"
"10560000","0.0725"
"10620000","0.08"
"10680000","0.0795"
"10740000","0.0795"
"10800000","0.0775"
