"Step","amigo_pb_2agents_seed1 - 2cover_rate_1step"
"60000","0.029"
"120000","0.03"
"180000","0.034"
"240000","0.036"
"300000","0.025"
"360000","0.033"
"420000","0.026"
"480000","0.032"
"540000","0.023"
"600000","0.024"
"660000","0.035"
"720000","0.024"
"780000","0.025"
"840000","0.033"
"900000","0.037"
"960000","0.038"
"1020000","0.034"
"1080000","0.026"
"1140000","0.028"
"1200000","0.033"
"1260000","0.032"
"1320000","0.031"
"1380000","0.033"
"1440000","0.04"
"1500000","0.034"
"1560000","0.023"
"1620000","0.04"
"1680000","0.032"
"1740000","0.038"
"1800000","0.036"
"1860000","0.035"
"1920000","0.032"
"1980000","0.024"
"2040000","0.03"
"2100000","0.027"
"2160000","0.028"
"2220000","0.043"
"2280000","0.028"
"2340000","0.031"
"2400000","0.036"
"2460000","0.046"
"2520000","0.038"
"2580000","0.033"
"2640000","0.03"
"2700000","0.033"
"2760000","0.032"
"2820000","0.029"
"2880000","0.036"
"2940000","0.036"
"3000000","0.026"
"3060000","0.03"
"3120000","0.039"
"3180000","0.04"
"3240000","0.027"
"3300000","0.034"
"3360000","0.024"
"3420000","0.043"
"3480000","0.034"
"3540000","0.027"
"3600000","0.036"
"3660000","0.035"
"3720000","0.031"
"3780000","0.037"
"3840000","0.031"
"3900000","0.032"
"3960000","0.039"
"4020000","0.033"
"4080000","0.037"
"4140000","0.031"
"4200000","0.033"
"4260000","0.036"
"4320000","0.034"
"4380000","0.037"
"4440000","0.04"
"4500000","0.039"
"4560000","0.03"
"4620000","0.026"
"4680000","0.032"
"4740000","0.033"
"4800000","0.028"
"4860000","0.03"
"4920000","0.04"
"4980000","0.045"
"5040000","0.035"
"5100000","0.035"
"5160000","0.029"
"5220000","0.035"
"5280000","0.029"
"5340000","0.029"
"5400000","0.035"
"5460000","0.046"
"5520000","0.034"
"5580000","0.032"
"5640000","0.043"
"5700000","0.043"
"5760000","0.031"
"5820000","0.037"
"5880000","0.034"
"5940000","0.031"
"6000000","0.029"
"6060000","0.036"
"6120000","0.037"
"6180000","0.042"
"6240000","0.034"
"6300000","0.027"
"6360000","0.029"
"6420000","0.036"
"6480000","0.031"
"6540000","0.038"
"6600000","0.03"
"6660000","0.042"
"6720000","0.024"
"6780000","0.026"
"6840000","0.027"
"6900000","0.038"
"6960000","0.037"
"7020000","0.025"
"7080000","0.043"
"7140000","0.031"
"7200000","0.034"
"7260000","0.047"
"7320000","0.037"
"7380000","0.033"
"7440000","0.037"
"7500000","0.035"
"7560000","0.03"
"7620000","0.031"
"7680000","0.023"
"7740000","0.037"
"7800000","0.03"
"7860000","0.031"
"7920000","0.043"
"7980000","0.035"
"8040000","0.043"
"8100000","0.026"
"8160000","0.031"
"8220000","0.026"
"8280000","0.033"
"8340000","0.023"
"8400000","0.033"
"8460000","0.034"
"8520000","0.024"
"8580000","0.037"
"8640000","0.038"
"8700000","0.041"
"8760000","0.03"
"8820000","0.028"
"8880000","0.033"
"8940000","0.036"
"9000000","0.041"
"9060000","0.051"
"9120000","0.03"
"9180000","0.033"
"9240000","0.04"
"9300000","0.043"
"9360000","0.023"
"9420000","0.029"
"9480000","0.034"
"9540000","0.033"
"9600000","0.033"
"9660000","0.04"
"9720000","0.043"
"9780000","0.029"
"9840000","0.03"
"9900000","0.038"
"9960000","0.037"
"10020000","0.028"
"10080000","0.04"
"10140000","0.045"
"10200000","0.034"
"10260000","0.034"
"10320000","0.015"
"10380000","0.04"
"10440000","0.026"
"10500000","0.044"
"10560000","0.037"
"10620000","0.032"
"10680000","0.033"
"10740000","0.05"
"10800000","0.035"
"10860000","0.026"
"10920000","0.035"
"10980000","0.044"
"11040000","0.046"
"11100000","0.03"
"11160000","0.037"
"11220000","0.038"
"11280000","0.043"
"11340000","0.05"
"11400000","0.049"
"11460000","0.031"
"11520000","0.039"
"11580000","0.039"
"11640000","0.039"
"11700000","0.04"
"11760000","0.04"
"11820000","0.051"
"11880000","0.045"
"11940000","0.051"
"12000000","0.042"
"12060000","0.048"
"12120000","0.05"
"12180000","0.046"
"12240000","0.048"
"12300000","0.045"
"12360000","0.051"
"12420000","0.057"
"12480000","0.066"
"12540000","0.051"
"12600000","0.045"
"12660000","0.063"
"12720000","0.061"
"12780000","0.063"
"12840000","0.063"
"12900000","0.069"
"12960000","0.065"
"13020000","0.075"
"13080000","0.061"
"13140000","0.069"
"13200000","0.064"
"13260000","0.083"
"13320000","0.08"
"13380000","0.091"
"13440000","0.092"
"13500000","0.092"
"13560000","0.092"
"13620000","0.091"
"13680000","0.093"
"13740000","0.103"
"13800000","0.091"
"13860000","0.087"
"13920000","0.107"
"13980000","0.084"
"14040000","0.115"
"14100000","0.12"
"14160000","0.096"
"14220000","0.105"
"14280000","0.119"
"14340000","0.114"
"14400000","0.114"
"14460000","0.112"
"14520000","0.103"
"14580000","0.113"
"14640000","0.125"
"14700000","0.114"
"14760000","0.118"
"14820000","0.115"
"14880000","0.149"
"14940000","0.118"
"15000000","0.131"
"15060000","0.123"
"15120000","0.151"
"15180000","0.138"
"15240000","0.157"
"15300000","0.136"
"15360000","0.174"
"15420000","0.148"
"15480000","0.143"
"15540000","0.154"
"15600000","0.146"
"15660000","0.14"
"15720000","0.159"
"15780000","0.154"
"15840000","0.15"
"15900000","0.165"
"15960000","0.177"
"16020000","0.153"
"16080000","0.149"
"16140000","0.164"
"16200000","0.151"
"16260000","0.17"
"16320000","0.156"
"16380000","0.168"
"16440000","0.165"
"16500000","0.175"
"16560000","0.157"
"16620000","0.173"
"16680000","0.178"
"16740000","0.182"
"16800000","0.176"
"16860000","0.178"
"16920000","0.168"
"16980000","0.186"
"17040000","0.196"
"17100000","0.185"
"17160000","0.177"
"17220000","0.196"
"17280000","0.174"
"17340000","0.167"
"17400000","0.194"
"17460000","0.191"
"17520000","0.202"
"17580000","0.194"
"17640000","0.196"
"17700000","0.203"
"17760000","0.191"
"17820000","0.198"
"17880000","0.206"
"17940000","0.222"
"18000000","0.195"
"18060000","0.206"
"18120000","0.213"
"18180000","0.202"
"18240000","0.201"
"18300000","0.193"
"18360000","0.228"
"18420000","0.204"
"18480000","0.246"
"18540000","0.216"
"18600000","0.203"
"18660000","0.228"
"18720000","0.196"
"18780000","0.222"
"18840000","0.225"
"18900000","0.224"
"18960000","0.218"
"19020000","0.201"
"19080000","0.235"
"19140000","0.21"
"19200000","0.216"
"19260000","0.222"
"19320000","0.231"
"19380000","0.24"
"19440000","0.224"
"19500000","0.209"
"19560000","0.25"
"19620000","0.237"
"19680000","0.231"
"19740000","0.248"
"19800000","0.241"
"19860000","0.236"
"19920000","0.225"
"19980000","0.24"
"20040000","0.198"
"20100000","0.211"
"20160000","0.224"
"20220000","0.201"
"20280000","0.231"
"20340000","0.228"
"20400000","0.226"
"20460000","0.241"
"20520000","0.24"
"20580000","0.222"
"20640000","0.226"
"20700000","0.233"
"20760000","0.254"
"20820000","0.219"
"20880000","0.217"
"20940000","0.232"
"21000000","0.229"
"21060000","0.229"
"21120000","0.259"
"21180000","0.234"
"21240000","0.231"
"21300000","0.212"
"21360000","0.239"
"21420000","0.257"
"21480000","0.249"
"21540000","0.288"
"21600000","0.245"
"21660000","0.251"
"21720000","0.264"
"21780000","0.248"
"21840000","0.25"
"21900000","0.261"
"21960000","0.237"
"22020000","0.261"
"22080000","0.239"
"22140000","0.271"
"22200000","0.252"
"22260000","0.27"
"22320000","0.226"
