Step,decay_fre30iter_add0.1_load_optimizer_gradclip10_seed3 - 8cover_rate
0,0.8335
199290,0.8225
398580,0.82575
597870,0.82475
797160,0.82885
996450,0.8192
1195740,0.81365
1395030,0.8187
1594320,0.82415
1793610,0.83105
1992900,0.8298
2181900,0.8304
2370900,0.8249
2559900,0.822
2748900,0.8258
2937900,0.8294
3126900,0.8297
3315900,0.80765
3504900,0.82375
3693900,0.82185
3882900,0.8377
4061610,0.8453
4240320,0.8475
4419030,0.85
4597740,0.85995
4776450,0.85115
4955160,0.85695
5133870,0.85595
5312580,0.85415
5491290,0.8622
5670000,0.871
5838000,0.8572
6006000,0.8624
6174000,0.87425
6342000,0.87195
6510000,0.8688
6678000,0.8613
6846000,0.8609
7014000,0.8626
7182000,0.85505
7350000,0.85635
7507290,0.85405
7664580,0.8564
7821870,0.85265
7979160,0.8586
8136450,0.8545
8293740,0.8534
8451030,0.86135
8608320,0.86505
8765610,0.87315
8922900,0.86815
9069900,0.88105
9216900,0.88055
9363900,0.8656
9510900,0.86265
9657900,0.85045
9804900,0.8663
9951900,0.86445
10098900,0.86055
10245900,0.8689
10392900,0.86725
10529400,0.86685
10665900,0.87345
10802400,0.85685
10938900,0.8751
11075400,0.87555
11211900,0.87185
11348400,0.87025
11484900,0.83105
11621400,0.83895
11757900,0.84765
11883900,0.8448
12009900,0.859
12135900,0.85495
12261900,0.8625
12387900,0.85545
12513900,0.8626
12639900,0.85855
12765900,0.8689
12891900,0.86655
13017900,0.86335
13133190,0.8687
13248480,0.86855
13363770,0.8634
13479060,0.85195
13594350,0.864
13709640,0.8623
13824930,0.86695
13940220,0.87375
14055510,0.88065
14170800,0.87175
14275800,0.86565
14380800,0.86335
14485800,0.87545
14590800,0.8655
14695800,0.8741
14800800,0.8798
14905800,0.8769
15010800,0.8732
15115800,0.87695
15220800,0.87685
15325800,0.87595
15430800,0.87475
15535800,0.87825
15640800,0.8808
15745800,0.8907
15850800,0.88595
15955800,0.8787
16060800,0.8743
16165800,0.88425
16270800,0.8849
16375800,0.88285
16480800,0.8882
16585800,0.87575
16690800,0.8689
16795800,0.87585
16900800,0.8806
17005800,0.87585
17110800,0.882
17215800,0.88665
17320800,0.88585
17425800,0.89355
17530800,0.88985
17635800,0.8955
17740800,0.89325
17845800,0.9027
17950800,0.9093
18055800,0.90615
18160800,0.90745
18265800,0.90915
18370800,0.9048
18475800,0.9087
18580800,0.9198
18685800,0.91485
18790800,0.9149
18895800,0.9111
19000800,0.9149
19105800,0.91545
19210800,0.91695
19315800,0.9192
19420800,0.92095
19525800,0.92825
19630800,0.9223
19735800,0.92935
19840800,0.92285
19945800,0.9281
20050800,0.9243
20155800,0.9254
20260800,0.92835
20365800,0.9275
20470800,0.9331
20575800,0.92755
20680800,0.92625
20785800,0.92835
20890800,0.93075
20995800,0.9288
21100800,0.9302
21205800,0.92935
21310800,0.92825
21415800,0.93415
21520800,0.9298
21625800,0.93465
21730800,0.93065
21835800,0.9293
21940800,0.93285
22045800,0.9351
22150800,0.93435
22255800,0.93545
22360800,0.9383
22465800,0.9339
22570800,0.9421
22675800,0.9398
22780800,0.94395
22885800,0.94335
22990800,0.94195
23095800,0.94585
23200800,0.9454
23305800,0.9489
23410800,0.95065
23515800,0.9489
23620800,0.95055
23725800,0.94765
23830800,0.9564
23935800,0.95395
24040800,0.95105
24145800,0.954
24250800,0.95065
24355800,0.9585
24460800,0.9554
24565800,0.95585
24670800,0.9536
24775800,0.9557
24880800,0.95435
24985800,0.9568
25090800,0.9569
25195800,0.95425
25300800,0.9481
25405800,0.95105
25510800,0.94855
25615800,0.95005
25720800,0.9548
25825800,0.9548
25930800,0.95765
26035800,0.9586
26140800,0.9541
26245800,0.95755
26350800,0.95415
26455800,0.9534
26560800,0.95035
26665800,0.95165
26770800,0.9512
26875800,0.94945
26980800,0.9499
27085800,0.9526
27190800,0.95285
27295800,0.9518
27400800,0.95475
27505800,0.95425
27610800,0.94975
27715800,0.9511
27820800,0.959
27925800,0.95525
28030800,0.95765
28135800,0.95705
28240800,0.9603
28345800,0.9606
28450800,0.95625
28555800,0.96115
28660800,0.9566
28765800,0.9589
28870800,0.9562
28975800,0.96025
29080800,0.96775
29185800,0.96305
29290800,0.9614
29395800,0.9584
29500800,0.96295
29605800,0.9661
29710800,0.96325
29815800,0.96555
29920800,0.96515
30025800,0.96625
30130800,0.96475
30235800,0.96255
30340800,0.96245
30445800,0.9664
30550800,0.9629
30655800,0.966
30760800,0.96265
30865800,0.961
30970800,0.96235
31075800,0.9626
31180800,0.9647
31285800,0.96345
31390800,0.9689
31495800,0.9652
31600800,0.96625
31705800,0.96735
31810800,0.9615
31915800,0.96115
32020800,0.96115
32125800,0.9571
32230800,0.96245
32335800,0.96145
32440800,0.9627
32545800,0.96075
32650800,0.96425
32755800,0.9677
32860800,0.96775
32965800,0.96445
33070800,0.9635
33175800,0.9645
33280800,0.9612
33385800,0.96045
33490800,0.9599
33595800,0.95965
33700800,0.95365
33805800,0.954
33910800,0.95675
34015800,0.96005
34120800,0.96395
34225800,0.9668
34330800,0.96605
34435800,0.9679
34540800,0.96665
34645800,0.9684
34750800,0.96565
34855800,0.96525
34960800,0.9626
35065800,0.96805
35170800,0.96975
35275800,0.97015
35380800,0.97085
35485800,0.9715
35590800,0.9703
35695800,0.97205
35800800,0.97295
35905800,0.9742
36010800,0.9766
36115800,0.9748
36220800,0.9754
36325800,0.97365
36430800,0.9725
36535800,0.9759
36640800,0.9737
36745800,0.97235
36850800,0.968
36955800,0.97565
37060800,0.97815
37165800,0.97765
37270800,0.97715
37375800,0.97595
37480800,0.974
37585800,0.97275
37690800,0.9741
37795800,0.9754
37900800,0.9702
38005800,0.97245
38110800,0.9726
38215800,0.97595
38320800,0.9703
38425800,0.9734
38530800,0.97285
38635800,0.9746
38740800,0.97245
38845800,0.97145
38950800,0.97475
39055800,0.9733
39160800,0.9771
39265800,0.9749
39370800,0.97555
39475800,0.9812
39580800,0.9798
39685800,0.98145
39790800,0.97875
39895800,0.97695
40000800,0.97815
40105800,0.97655
40210800,0.97865
40315800,0.9761
40420800,0.97515
40525800,0.9769
40630800,0.9797
40735800,0.97925
40840800,0.97905
40945800,0.97845
41050800,0.9766
41155800,0.9742
41260800,0.9774
41365800,0.977
41470800,0.9787
41575800,0.97995
41680800,0.9772
41785800,0.9758
41890800,0.9723
41995800,0.97635
42100800,0.97285
42205800,0.97375
42310800,0.9781
42415800,0.97265
42520800,0.97335
42625800,0.9721
42730800,0.97375
42835800,0.9733
42940800,0.9746
43045800,0.97565
43150800,0.97235
43255800,0.97255
43360800,0.9754
43465800,0.97375
43570800,0.97645
43675800,0.9756
43780800,0.97715
43885800,0.9765
43990800,0.97615
44095800,0.9803
44200800,0.97925
44305800,0.9792
44410800,0.98115
44515800,0.9832
44620800,0.98045
44725800,0.98255
44830800,0.98205
44935800,0.97945
45040800,0.9795
45145800,0.97885
45250800,0.97655
45355800,0.97785
45460800,0.9773
45565800,0.97865
45670800,0.97845
45775800,0.97925
45880800,0.9815
45985800,0.97855
46090800,0.98
46195800,0.9802
46300800,0.9814
46405800,0.9865
46510800,0.98095
46615800,0.9818
46720800,0.98315
46825800,0.98285
46930800,0.9796
47035800,0.982
47140800,0.97885
47245800,0.984
47350800,0.98155
47455800,0.98335
47560800,0.9807
47665800,0.9832
47770800,0.98265
47875800,0.9808
47980800,0.9802
48085800,0.9798
48190800,0.9799
48295800,0.98145
48400800,0.98205
48505800,0.98335
48610800,0.9815
48715800,0.9804
48820800,0.98185
48925800,0.9826
49030800,0.9824
49135800,0.9823
49240800,0.98345
49345800,0.98015
49450800,0.981
49555800,0.9841
49660800,0.9847
49765800,0.98525
49870800,0.9852
49975800,0.9853
50080800,0.98665
50185800,0.9863
50290800,0.98255
50395800,0.9802
50500800,0.98035
50605800,0.98075
50710800,0.98615
50815800,0.98475
50920800,0.98075
51025800,0.97835
51130800,0.98245
51235800,0.9841
51340800,0.98105
51445800,0.9811
51550800,0.98185
51655800,0.9818
51760800,0.98325
51865800,0.9844
51970800,0.98475
52075800,0.98595
52180800,0.98605
52285800,0.98715
52390800,0.9864
52495800,0.98415
52600800,0.98445
52705800,0.98085
52810800,0.98295
52915800,0.9797
53020800,0.98055
53125800,0.98215
53230800,0.98555
53335800,0.9875
53440800,0.9873
53545800,0.9879
53650800,0.9874
53755800,0.98335
53860800,0.98165
53965800,0.98095
54070800,0.9814
54175800,0.9781
54280800,0.97625
54385800,0.9813
54490800,0.9804
54595800,0.98305
54700800,0.98405
54805800,0.9842
54910800,0.98115
55015800,0.97925
55120800,0.9822
55225800,0.9832
55330800,0.9828
55435800,0.98425
55540800,0.98405
55645800,0.9829
55750800,0.9825
55855800,0.9841
55960800,0.9836
56065800,0.98115
56170800,0.98205
56275800,0.9819
56380800,0.98005
56485800,0.97765
56590800,0.97935
56695800,0.9797
56800800,0.97935
56905800,0.98185
57010800,0.9794
57115800,0.98095
57220800,0.9795
57325800,0.98095
57430800,0.9826
57535800,0.98375
57640800,0.98345
57745800,0.9831
57850800,0.9839
57955800,0.9863
58060800,0.9848
58165800,0.98615
58270800,0.9866
58375800,0.9886
58480800,0.9835
58585800,0.9879
58690800,0.98255
58795800,0.98105
58900800,0.98545
59005800,0.98505
59110800,0.98625
59215800,0.9842
59320800,0.98595
59425800,0.9854
59530800,0.98285
59635800,0.98235
59740800,0.9796
59845800,0.98175
59950800,0.9826
60055800,0.9846
60160800,0.9833
60265800,0.9813
60370800,0.9816
60475800,0.9815
60580800,0.97825
60685800,0.97895
60790800,0.97725
60895800,0.97945
61000800,0.9772
61105800,0.9787
61210800,0.97945
61315800,0.9813
61420800,0.9779
61525800,0.97665
61630800,0.97685
61735800,0.97745
61840800,0.9766
61945800,0.97655
62050800,0.9793
62155800,0.98215
62260800,0.98345
62365800,0.9793
62470800,0.98455
62575800,0.98265
62680800,0.984
62785800,0.9792
62890800,0.98305
62995800,0.98435
63100800,0.9858
63205800,0.98515
63310800,0.98615
63415800,0.9855
63520800,0.9849
63625800,0.986
63730800,0.9856
63835800,0.98595
63940800,0.9823
64045800,0.98095
64150800,0.9831
64255800,0.98175
64360800,0.9817
64465800,0.98245
64570800,0.98425
64675800,0.98585
64780800,0.982
64885800,0.9812
64990800,0.98045
65095800,0.9828
65200800,0.9848
65305800,0.98145
65410800,0.9806
65515800,0.97705
65620800,0.9778
65725800,0.9784
65830800,0.98225
65935800,0.98505
66040800,0.9889
66145800,0.98755
66250800,0.98785
66355800,0.98485
66460800,0.98225
66565800,0.98445
66670800,0.98185
66775800,0.98235
66880800,0.9833
66985800,0.98605
67090800,0.98165
67195800,0.9881
67300800,0.9896
67405800,0.98905
67510800,0.98725
67615800,0.9865
67720800,0.98515
67825800,0.98565
67930800,0.98645
68035800,0.9857
68140800,0.98425
68245800,0.9826
68350800,0.98765
68455800,0.98495
68560800,0.98465
68665800,0.98425
68770800,0.9848
68875800,0.98265
68980800,0.98025
69085800,0.98205
69190800,0.98385
69295800,0.98365
69400800,0.9805
69505800,0.9775
69610800,0.9795
69715800,0.9803
69820800,0.9789
69925800,0.9773
70030800,0.98145
70135800,0.9793
70240800,0.98135
70345800,0.9808
70450800,0.98385
70555800,0.98205
70660800,0.97995
70765800,0.97815
70870800,0.981
70975800,0.9834
71080800,0.98375
71185800,0.9848
71290800,0.98495
71395800,0.9834
71500800,0.98305
71605800,0.98055
71710800,0.9827
71815800,0.98195
71920800,0.98135
72025800,0.98495
72130800,0.98405
72235800,0.97885
72340800,0.98205
72445800,0.9786
72550800,0.97985
72655800,0.9828
72760800,0.98315
72865800,0.9838
72970800,0.98245
73075800,0.98215
73180800,0.9839
73285800,0.98515
73390800,0.98335
73495800,0.98305
73600800,0.9844
