"Step","pb_wo_evaluation_seed1 - 2cover_rate_5step"
"42120000","0.7496"
"42300000","0.7417999999999999"
"42480000","0.7708"
"42660000","0.775"
"42840000","0.796"
"43020000","0.7754"
"43200000","0.7621999999999999"
"43380000","0.7717999999999999"
"43560000","0.7896"
"43740000","0.7694"
"43920000","0.7627999999999999"
"44100000","0.7674"
"44280000","0.8024"
"44460000","0.7786"
"44640000","0.7784"
"44820000","0.7614"
"45000000","0.7938"
"45180000","0.7832"
"45360000","0.7836"
"45540000","0.8002"
"45720000","0.7866000000000001"
"45900000","0.7968"
"46080000","0.7702"
"46260000","0.7846"
"46440000","0.8081999999999999"
"46620000","0.8084000000000001"
"46800000","0.7925999999999999"
"46980000","0.7914"
"47160000","0.8048"
"47340000","0.7965999999999999"
"47520000","0.8278"
"47700000","0.7982"
"47880000","0.7968"
"48060000","0.799"
"48240000","0.8042"
"48420000","0.8234"
"48600000","0.7847999999999999"
"48780000","0.792"
"48960000","0.815"
"49140000","0.808"
"49320000","0.8014"
"49500000","0.8156"
"49680000","0.8125999999999999"
"49860000","0.8304"
"50040000","0.8138"
"50220000","0.8148"
"50400000","0.818"
"50580000","0.8412000000000001"
"50760000","0.7984000000000001"
"50940000","0.821"
"51120000","0.8228"
"51300000","0.8206"
"51480000","0.8476"
"51660000","0.8134000000000001"
"51840000","0.8466"
"52020000","0.8388"
"52200000","0.8468"
"52380000","0.8464"
"52560000","0.836"
"52740000","0.8294"
"52920000","0.841"
"53100000","0.8396"
"53280000","0.8368"
"53460000","0.8292"
"53640000","0.8404"
"53820000","0.831"
"54000000","0.8498"
"54180000","0.8475999999999999"
"54360000","0.8382000000000001"
"54540000","0.85"
"54720000","0.8494"
"54900000","0.837"
"55080000","0.8348"
"55260000","0.8492000000000001"
"55440000","0.8615999999999999"
"55620000","0.866"
"55800000","0.861"
"55980000","0.8412000000000001"
"56160000","0.8576"
"56340000","0.8562000000000001"
"56520000","0.8536"
"56700000","0.871"
"56880000","0.819"
"57060000","0.8582000000000001"
"57240000","0.8707999999999999"
"57420000","0.856"
"57600000","0.8582000000000001"
"57780000","0.8553999999999999"
"57960000","0.8616"
