"Step","amigo_pb_2agents_seed2 - 2cover_rate_1step"
"60000","0.044"
"120000","0.03"
"180000","0.033"
"240000","0.035"
"300000","0.033"
"360000","0.024"
"420000","0.034"
"480000","0.029"
"540000","0.03"
"600000","0.037"
"660000","0.033"
"720000","0.03"
"780000","0.049"
"840000","0.031"
"900000","0.029"
"960000","0.034"
"1020000","0.035"
"1080000","0.044"
"1140000","0.037"
"1200000","0.034"
"1260000","0.031"
"1320000","0.042"
"1380000","0.03"
"1440000","0.028"
"1500000","0.033"
"1560000","0.024"
"1620000","0.025"
"1680000","0.02"
"1740000","0.033"
"1800000","0.036"
"1860000","0.029"
"1920000","0.029"
"1980000","0.026"
"2040000","0.027"
"2100000","0.025"
"2160000","0.027"
"2220000","0.038"
"2280000","0.029"
"2340000","0.042"
"2400000","0.03"
"2460000","0.031"
"2520000","0.04"
"2580000","0.028"
"2640000","0.032"
"2700000","0.031"
"2760000","0.031"
"2820000","0.034"
"2880000","0.033"
"2940000","0.027"
"3000000","0.038"
"3060000","0.029"
"3120000","0.029"
"3180000","0.028"
"3240000","0.03"
"3300000","0.038"
"3360000","0.038"
"3420000","0.029"
"3480000","0.032"
"3540000","0.029"
"3600000","0.032"
"3660000","0.031"
"3720000","0.04"
"3780000","0.032"
"3840000","0.026"
"3900000","0.029"
"3960000","0.036"
"4020000","0.023"
"4080000","0.036"
"4140000","0.031"
"4200000","0.028"
"4260000","0.038"
"4320000","0.037"
"4380000","0.034"
"4440000","0.036"
"4500000","0.036"
"4560000","0.029"
"4620000","0.037"
"4680000","0.028"
"4740000","0.038"
"4800000","0.037"
"4860000","0.033"
"4920000","0.03"
"4980000","0.035"
"5040000","0.027"
"5100000","0.037"
"5160000","0.032"
"5220000","0.036"
"5280000","0.018"
"5340000","0.04"
"5400000","0.035"
"5460000","0.041"
"5520000","0.027"
"5580000","0.025"
"5640000","0.027"
"5700000","0.028"
"5760000","0.038"
"5820000","0.04"
"5880000","0.042"
"5940000","0.038"
"6000000","0.027"
"6060000","0.032"
"6120000","0.036"
"6180000","0.033"
"6240000","0.031"
"6300000","0.037"
"6360000","0.038"
"6420000","0.033"
"6480000","0.034"
"6540000","0.035"
"6600000","0.03"
"6660000","0.04"
"6720000","0.028"
"6780000","0.027"
"6840000","0.041"
"6900000","0.028"
"6960000","0.036"
"7020000","0.029"
"7080000","0.032"
"7140000","0.043"
"7200000","0.038"
"7260000","0.048"
"7320000","0.025"
"7380000","0.042"
"7440000","0.03"
"7500000","0.029"
"7560000","0.026"
"7620000","0.036"
"7680000","0.036"
"7740000","0.031"
"7800000","0.032"
"7860000","0.024"
"7920000","0.039"
"7980000","0.035"
"8040000","0.021"
"8100000","0.031"
"8160000","0.029"
"8220000","0.041"
"8280000","0.03"
"8340000","0.04"
"8400000","0.029"
"8460000","0.03"
"8520000","0.028"
"8580000","0.028"
"8640000","0.028"
"8700000","0.037"
"8760000","0.034"
"8820000","0.03"
"8880000","0.038"
"8940000","0.034"
"9000000","0.035"
"9060000","0.032"
"9120000","0.035"
"9180000","0.035"
"9240000","0.043"
"9300000","0.047"
"9360000","0.04"
"9420000","0.028"
"9480000","0.029"
"9540000","0.032"
"9600000","0.03"
"9660000","0.028"
"9720000","0.03"
"9780000","0.036"
"9840000","0.036"
"9900000","0.034"
"9960000","0.026"
"10020000","0.035"
"10080000","0.036"
"10140000","0.041"
"10200000","0.037"
"10260000","0.046"
"10320000","0.042"
"10380000","0.042"
"10440000","0.021"
"10500000","0.033"
"10560000","0.037"
"10620000","0.028"
"10680000","0.027"
"10740000","0.032"
"10800000","0.034"
"10860000","0.031"
"10920000","0.038"
"10980000","0.039"
"11040000","0.023"
"11100000","0.033"
"11160000","0.028"
"11220000","0.044"
"11280000","0.026"
"11340000","0.028"
"11400000","0.039"
"11460000","0.039"
"11520000","0.03"
"11580000","0.027"
"11640000","0.025"
"11700000","0.034"
"11760000","0.035"
"11820000","0.039"
"11880000","0.033"
"11940000","0.039"
"12000000","0.035"
"12060000","0.045"
"12120000","0.032"
"12180000","0.042"
"12240000","0.033"
"12300000","0.045"
"12360000","0.037"
"12420000","0.043"
"12480000","0.036"
"12540000","0.042"
"12600000","0.03"
"12660000","0.026"
"12720000","0.034"
"12780000","0.042"
"12840000","0.035"
"12900000","0.039"
"12960000","0.03"
"13020000","0.028"
"13080000","0.032"
"13140000","0.044"
"13200000","0.033"
"13260000","0.043"
"13320000","0.036"
"13380000","0.041"
"13440000","0.033"
"13500000","0.037"
"13560000","0.027"
"13620000","0.033"
"13680000","0.049"
"13740000","0.036"
"13800000","0.028"
"13860000","0.024"
"13920000","0.045"
"13980000","0.024"
"14040000","0.041"
"14100000","0.04"
"14160000","0.034"
"14220000","0.032"
"14280000","0.034"
"14340000","0.03"
"14400000","0.042"
"14460000","0.029"
"14520000","0.033"
"14580000","0.024"
"14640000","0.031"
"14700000","0.035"
"14760000","0.027"
"14820000","0.03"
"14880000","0.038"
"14940000","0.029"
"15000000","0.043"
"15060000","0.034"
"15120000","0.036"
"15180000","0.039"
"15240000","0.041"
"15300000","0.046"
"15360000","0.041"
"15420000","0.035"
"15480000","0.03"
"15540000","0.034"
"15600000","0.04"
"15660000","0.035"
"15720000","0.036"
"15780000","0.05"
"15840000","0.046"
"15900000","0.032"
"15960000","0.027"
"16020000","0.028"
"16080000","0.039"
"16140000","0.044"
"16200000","0.033"
"16260000","0.034"
"16320000","0.036"
"16380000","0.039"
"16440000","0.04"
"16500000","0.032"
"16560000","0.031"
"16620000","0.039"
"16680000","0.028"
"16740000","0.037"
"16800000","0.041"
"16860000","0.034"
"16920000","0.026"
"16980000","0.029"
"17040000","0.033"
"17100000","0.036"
"17160000","0.037"
"17220000","0.037"
"17280000","0.048"
"17340000","0.034"
"17400000","0.039"
"17460000","0.028"
"17520000","0.032"
"17580000","0.039"
"17640000","0.023"
"17700000","0.047"
"17760000","0.043"
"17820000","0.039"
"17880000","0.032"
"17940000","0.037"
"18000000","0.033"
"18060000","0.038"
"18120000","0.033"
"18180000","0.032"
"18240000","0.025"
"18300000","0.036"
"18360000","0.034"
"18420000","0.033"
"18480000","0.033"
"18540000","0.034"
"18600000","0.032"
"18660000","0.04"
"18720000","0.038"
"18780000","0.033"
"18840000","0.042"
"18900000","0.03"
"18960000","0.038"
"19020000","0.046"
"19080000","0.032"
"19140000","0.027"
"19200000","0.028"
"19260000","0.032"
"19320000","0.032"
"19380000","0.046"
"19440000","0.041"
"19500000","0.032"
"19560000","0.03"
"19620000","0.043"
"19680000","0.03"
"19740000","0.028"
"19800000","0.046"
"19860000","0.041"
"19920000","0.032"
"19980000","0.041"
"20040000","0.035"
"20100000","0.038"
"20160000","0.03"
"20220000","0.026"
"20280000","0.033"
"20340000","0.03"
"20400000","0.026"
"20460000","0.043"
"20520000","0.039"
"20580000","0.039"
"20640000","0.043"
"20700000","0.033"
"20760000","0.027"
"20820000","0.042"
"20880000","0.035"
"20940000","0.037"
"21000000","0.038"
"21060000","0.041"
"21120000","0.039"
"21180000","0.046"
"21240000","0.046"
"21300000","0.032"
"21360000","0.041"
"21420000","0.031"
"21480000","0.037"
"21540000","0.041"
"21600000","0.043"
"21660000","0.032"
"21720000","0.03"
"21780000","0.038"
"21840000","0.036"
"21900000","0.035"
"21960000","0.039"
"22020000","0.036"
"22080000","0.05"
"22140000","0.049"
"22200000","0.037"
"22260000","0.035"
"22320000","0.042"
"22380000","0.041"
"22440000","0.051"
"22500000","0.029"
"22560000","0.037"
"22620000","0.053"
"22680000","0.034"
"22740000","0.036"
"22800000","0.047"
"22860000","0.037"
"22920000","0.035"
"22980000","0.035"
"23040000","0.041"
"23100000","0.032"
"23160000","0.038"
"23220000","0.034"
"23280000","0.04"
"23340000","0.037"
"23400000","0.038"
"23460000","0.042"
"23520000","0.024"
"23580000","0.027"
"23640000","0.043"
"23700000","0.045"
"23760000","0.042"
"23820000","0.035"
"23880000","0.047"
"23940000","0.034"
"24000000","0.039"
"24060000","0.043"
"24120000","0.041"
"24180000","0.035"
"24240000","0.041"
"24300000","0.043"
"24360000","0.023"
"24420000","0.031"
"24480000","0.047"
"24540000","0.042"
"24600000","0.05"
"24660000","0.035"
"24720000","0.031"
"24780000","0.035"
"24840000","0.045"
"24900000","0.038"
"24960000","0.046"
"25020000","0.046"
"25080000","0.038"
"25140000","0.044"
"25200000","0.033"
"25260000","0.051"
"25320000","0.042"
"25380000","0.043"
"25440000","0.036"
"25500000","0.039"
"25560000","0.034"
"25620000","0.054"
"25680000","0.041"
"25740000","0.038"
"25800000","0.035"
"25860000","0.036"
"25920000","0.036"
"25980000","0.045"
"26040000","0.048"
"26100000","0.04"
"26160000","0.045"
"26220000","0.042"
"26280000","0.036"
"26340000","0.034"
"26400000","0.042"
"26460000","0.046"
"26520000","0.048"
"26580000","0.051"
"26640000","0.032"
"26700000","0.039"
"26760000","0.043"
"26820000","0.047"
"26880000","0.042"
"26940000","0.04"
"27000000","0.041"
"27060000","0.053"
"27120000","0.045"
"27180000","0.051"
"27240000","0.046"
"27300000","0.055"
"27360000","0.039"
"27420000","0.05"
"27480000","0.034"
"27540000","0.041"
"27600000","0.043"
"27660000","0.039"
"27720000","0.043"
"27780000","0.042"
"27840000","0.057"
"27900000","0.049"
"27960000","0.045"
"28020000","0.048"
"28080000","0.046"
"28140000","0.042"
"28200000","0.048"
"28260000","0.044"
"28320000","0.051"
"28380000","0.049"
"28440000","0.046"
"28500000","0.049"
"28560000","0.054"
"28620000","0.06"
"28680000","0.05"
"28740000","0.044"
"28800000","0.053"
"28860000","0.057"
"28920000","0.056"
"28980000","0.044"
"29040000","0.058"
"29100000","0.039"
"29160000","0.057"
"29220000","0.056"
"29280000","0.052"
"29340000","0.043"
"29400000","0.04"
"29460000","0.045"
"29520000","0.055"
"29580000","0.042"
"29640000","0.048"
"29700000","0.044"
"29760000","0.045"
"29820000","0.049"
"29880000","0.038"
"29940000","0.042"
"30000000","0.052"
"30060000","0.049"
"30120000","0.055"
"30180000","0.037"
"30240000","0.039"
"30300000","0.048"
"30360000","0.041"
"30420000","0.056"
"30480000","0.038"
"30540000","0.041"
"30600000","0.051"
"30660000","0.054"
"30720000","0.043"
"30780000","0.048"
"30840000","0.026"
"30900000","0.048"
"30960000","0.059"
"31020000","0.047"
"31080000","0.052"
"31140000","0.05"
"31200000","0.041"
"31260000","0.044"
"31320000","0.046"
"31380000","0.045"
"31440000","0.052"
"31500000","0.042"
"31560000","0.041"
"31620000","0.057"
"31680000","0.047"
"31740000","0.038"
"31800000","0.047"
"31860000","0.054"
"31920000","0.05"
"31980000","0.044"
"32040000","0.05"
"32100000","0.04"
"32160000","0.048"
"32220000","0.042"
"32280000","0.046"
"32340000","0.05"
"32400000","0.049"
"32460000","0.054"
"32520000","0.049"
"32580000","0.05"
"32640000","0.048"
"32700000","0.053"
"32760000","0.056"
"32820000","0.043"
"32880000","0.061"
"32940000","0.052"
"33000000","0.055"
"33060000","0.054"
"33120000","0.056"
"33180000","0.06"
"33240000","0.051"
"33300000","0.06"
"33360000","0.057"
"33420000","0.052"
"33480000","0.043"
"33540000","0.061"
"33600000","0.051"
"33660000","0.049"
"33720000","0.05"
"33780000","0.056"
"33840000","0.052"
"33900000","0.058"
"33960000","0.045"
"34020000","0.051"
"34080000","0.065"
"34140000","0.056"
"34200000","0.042"
"34260000","0.058"
"34320000","0.046"
"34380000","0.055"
"34440000","0.048"
"34500000","0.04"
"34560000","0.043"
"34620000","0.049"
"34680000","0.052"
"34740000","0.058"
"34800000","0.049"
"34860000","0.04"
"34920000","0.058"
"34980000","0.058"
"35040000","0.054"
"35100000","0.043"
"35160000","0.058"
"35220000","0.059"
"35280000","0.043"
"35340000","0.054"
"35400000","0.046"
"35460000","0.057"
"35520000","0.056"
"35580000","0.048"
"35640000","0.064"
"35700000","0.069"
"35760000","0.062"
"35820000","0.063"
"35880000","0.059"
"35940000","0.066"
"36000000","0.053"
"36060000","0.044"
"36120000","0.066"
"36180000","0.063"
"36240000","0.056"
"36300000","0.06"
"36360000","0.057"
"36420000","0.06"
"36480000","0.054"
"36540000","0.067"
"36600000","0.059"
"36660000","0.063"
"36720000","0.057"
"36780000","0.071"
"36840000","0.053"
"36900000","0.056"
"36960000","0.061"
"37020000","0.062"
"37080000","0.056"
"37140000","0.06"
"37200000","0.066"
"37260000","0.053"
"37320000","0.074"
"37380000","0.065"
"37440000","0.065"
"37500000","0.071"
"37560000","0.074"
"37620000","0.059"
"37680000","0.082"
"37740000","0.064"
"37800000","0.074"
"37860000","0.05"
"37920000","0.069"
"37980000","0.076"
"38040000","0.077"
"38100000","0.066"
"38160000","0.071"
"38220000","0.072"
"38280000","0.063"
"38340000","0.063"
"38400000","0.068"
"38460000","0.078"
"38520000","0.079"
"38580000","0.088"
"38640000","0.078"
"38700000","0.071"
"38760000","0.067"
"38820000","0.059"
"38880000","0.078"
"38940000","0.075"
"39000000","0.069"
"39060000","0.092"
"39120000","0.069"
"39180000","0.071"
"39240000","0.081"
"39300000","0.073"
"39360000","0.068"
"39420000","0.086"
"39480000","0.058"
"39540000","0.082"
"39600000","0.085"
"39660000","0.075"
"39720000","0.072"
"39780000","0.073"
"39840000","0.089"
"39900000","0.073"
"39960000","0.077"
"40020000","0.078"
"40080000","0.089"
"40140000","0.077"
"40200000","0.078"
"40260000","0.082"
"40320000","0.067"
"40380000","0.085"
"40440000","0.082"
"40500000","0.097"
"40560000","0.085"
"40620000","0.081"
"40680000","0.082"
"40740000","0.096"
"40800000","0.062"
"40860000","0.087"
"40920000","0.088"
"40980000","0.094"
"41040000","0.092"
"41100000","0.082"
"41160000","0.091"
"41220000","0.072"
"41280000","0.096"
"41340000","0.091"
"41400000","0.082"
"41460000","0.092"
"41520000","0.092"
"41580000","0.075"
"41640000","0.091"
"41700000","0.087"
"41760000","0.081"
"41820000","0.096"
"41880000","0.103"
"41940000","0.095"
"42000000","0.107"
"42060000","0.094"
"42120000","0.089"
"42180000","0.092"
"42240000","0.088"
"42300000","0.092"
"42360000","0.098"
"42420000","0.095"
"42480000","0.097"
"42540000","0.11"
"42600000","0.104"
"42660000","0.096"
"42720000","0.105"
"42780000","0.105"
"42840000","0.104"
"42900000","0.105"
"42960000","0.117"
"43020000","0.123"
"43080000","0.103"
"43140000","0.107"
"43200000","0.13"
"43260000","0.111"
"43320000","0.115"
"43380000","0.12"
"43440000","0.105"
"43500000","0.103"
"43560000","0.116"
"43620000","0.087"
"43680000","0.112"
"43740000","0.106"
"43800000","0.1"
"43860000","0.135"
"43920000","0.106"
"43980000","0.102"
"44040000","0.118"
"44100000","0.124"
"44160000","0.117"
"44220000","0.121"
"44280000","0.13"
"44340000","0.126"
"44400000","0.118"
"44460000","0.13"
"44520000","0.097"
"44580000","0.118"
"44640000","0.126"
"44700000","0.115"
"44760000","0.122"
"44820000","0.117"
"44880000","0.119"
"44940000","0.142"
"45000000","0.117"
"45060000","0.133"
"45120000","0.12"
"45180000","0.134"
"45240000","0.127"
"45300000","0.131"
"45360000","0.124"
"45420000","0.121"
"45480000","0.128"
"45540000","0.145"
"45600000","0.126"
"45660000","0.118"
"45720000","0.142"
"45780000","0.121"
"45840000","0.143"
"45900000","0.143"
"45960000","0.15"
"46020000","0.152"
"46080000","0.143"
"46140000","0.131"
"46200000","0.133"
"46260000","0.125"
"46320000","0.136"
"46380000","0.137"
"46440000","0.142"
"46500000","0.129"
"46560000","0.138"
"46620000","0.142"
"46680000","0.144"
"46740000","0.137"
"46800000","0.131"
"46860000","0.143"
"46920000","0.151"
"46980000","0.147"
"47040000","0.144"
"47100000","0.142"
"47160000","0.157"
"47220000","0.14"
"47280000","0.141"
"47340000","0.139"
"47400000","0.147"
"47460000","0.133"
"47520000","0.146"
"47580000","0.119"
"47640000","0.16"
"47700000","0.141"
"47760000","0.133"
"47820000","0.139"
"47880000","0.133"
"47940000","0.177"
"48000000","0.159"
"48060000","0.157"
"48120000","0.159"
"48180000","0.162"
"48240000","0.156"
"48300000","0.161"
"48360000","0.146"
"48420000","0.155"
"48480000","0.163"
"48540000","0.163"
"48600000","0.168"
"48660000","0.153"
"48720000","0.174"
"48780000","0.148"
"48840000","0.157"
"48900000","0.156"
"48960000","0.157"
"49020000","0.149"
"49080000","0.148"
"49140000","0.147"
"49200000","0.146"
"49260000","0.158"
"49320000","0.133"
"49380000","0.15"
"49440000","0.16"
"49500000","0.15"
"49560000","0.18"
"49620000","0.183"
"49680000","0.162"
"49740000","0.157"
"49800000","0.182"
"49860000","0.16"
"49920000","0.167"
"49980000","0.156"
"50040000","0.146"
"50100000","0.17"
"50160000","0.173"
"50220000","0.173"
"50280000","0.169"
"50340000","0.177"
"50400000","0.182"
"50460000","0.169"
"50520000","0.182"
"50580000","0.15"
"50640000","0.156"
"50700000","0.176"
"50760000","0.154"
"50820000","0.168"
"50880000","0.169"
"50940000","0.163"
"51000000","0.188"
"51060000","0.17"
"51120000","0.185"
"51180000","0.161"
"51240000","0.16"
"51300000","0.166"
"51360000","0.172"
"51420000","0.169"
"51480000","0.169"
"51540000","0.17"
"51600000","0.163"
"51660000","0.165"
"51720000","0.169"
"51780000","0.169"
"51840000","0.188"
"51900000","0.168"
"51960000","0.161"
"52020000","0.161"
"52080000","0.171"
"52140000","0.152"
"52200000","0.195"
"52260000","0.168"
"52320000","0.196"
"52380000","0.207"
"52440000","0.176"
"52500000","0.185"
"52560000","0.174"
"52620000","0.173"
"52680000","0.18"
"52740000","0.173"
"52800000","0.209"
"52860000","0.187"
"52920000","0.199"
"52980000","0.187"
"53040000","0.189"
"53100000","0.179"
"53160000","0.19"
"53220000","0.175"
"53280000","0.167"
"53340000","0.18"
"53400000","0.188"
"53460000","0.183"
"53520000","0.205"
"53580000","0.208"
"53640000","0.158"
"53700000","0.186"
"53760000","0.198"
"53820000","0.187"
"53880000","0.195"
"53940000","0.196"
"54000000","0.194"
"54060000","0.205"
"54120000","0.203"
"54180000","0.197"
"54240000","0.194"
"54300000","0.185"
"54360000","0.196"
"54420000","0.206"
"54480000","0.198"
"54540000","0.194"
"54600000","0.185"
"54660000","0.209"
"54720000","0.187"
"54780000","0.208"
"54840000","0.18"
"54900000","0.197"
"54960000","0.191"
"55020000","0.204"
"55080000","0.185"
"55140000","0.206"
"55200000","0.163"
"55260000","0.177"
"55320000","0.188"
"55380000","0.196"
"55440000","0.197"
"55500000","0.21"
"55560000","0.194"
"55620000","0.225"
"55680000","0.204"
"55740000","0.217"
"55800000","0.205"
"55860000","0.192"
"55920000","0.211"
"55980000","0.209"
"56040000","0.214"
"56100000","0.193"
"56160000","0.197"
"56220000","0.19"
"56280000","0.198"
"56340000","0.203"
"56400000","0.189"
"56460000","0.177"
"56520000","0.175"
"56580000","0.197"
"56640000","0.199"
"56700000","0.203"
"56760000","0.193"
"56820000","0.184"
"56880000","0.219"
"56940000","0.214"
"57000000","0.205"
"57060000","0.193"
"57120000","0.215"
"57180000","0.206"
"57240000","0.197"
"57300000","0.198"
"57360000","0.198"
"57420000","0.186"
"57480000","0.209"
"57540000","0.207"
"57600000","0.192"
"57660000","0.203"
"57720000","0.205"
"57780000","0.226"
"57840000","0.217"
"57900000","0.217"
"57960000","0.227"
"58020000","0.211"
"58080000","0.196"
"58140000","0.186"
"58200000","0.217"
"58260000","0.224"
"58320000","0.202"
"58380000","0.211"
"58440000","0.217"
"58500000","0.233"
"58560000","0.203"
"58620000","0.213"
"58680000","0.221"
"58740000","0.226"
"58800000","0.204"
"58860000","0.221"
"58920000","0.232"
"58980000","0.207"
"59040000","0.22"
"59100000","0.206"
"59160000","0.244"
"59220000","0.215"
"59280000","0.238"
"59340000","0.238"
"59400000","0.211"
"59460000","0.211"
"59520000","0.217"
"59580000","0.215"
"59640000","0.231"
"59700000","0.212"
"59760000","0.235"
"59820000","0.2"
"59880000","0.234"
"59940000","0.241"
"60000000","0.234"
"60060000","0.259"
"60120000","0.194"
"60180000","0.232"
"60240000","0.225"
"60300000","0.204"
"60360000","0.235"
"60420000","0.226"
"60480000","0.229"
"60540000","0.227"
"60600000","0.234"
"60660000","0.228"
"60720000","0.238"
"60780000","0.233"
"60840000","0.246"
"60900000","0.241"
"60960000","0.23"
"61020000","0.264"
"61080000","0.237"
"61140000","0.238"
"61200000","0.243"
"61260000","0.24"
"61320000","0.236"
"61380000","0.223"
"61440000","0.245"
"61500000","0.237"
"61560000","0.253"
"61620000","0.232"
"61680000","0.229"
"61740000","0.217"
"61800000","0.238"
"61860000","0.245"
"61920000","0.233"
"61980000","0.236"
"62040000","0.23"
"62100000","0.233"
"62160000","0.251"
"62220000","0.24"
"62280000","0.227"
"62340000","0.239"
"62400000","0.257"
"62460000","0.233"
"62520000","0.229"
"62580000","0.237"
"62640000","0.236"
"62700000","0.236"
"62760000","0.237"
"62820000","0.223"
"62880000","0.249"
"62940000","0.255"
"63000000","0.24"
"63060000","0.24"
"63120000","0.228"
"63180000","0.227"
"63240000","0.222"
"63300000","0.239"
"63360000","0.224"
"63420000","0.233"
"63480000","0.22"
"63540000","0.249"
"63600000","0.24"
"63660000","0.231"
"63720000","0.225"
"63780000","0.242"
"63840000","0.24"
"63900000","0.231"
"63960000","0.219"
"64020000","0.245"
"64080000","0.227"
"64140000","0.232"
"64200000","0.245"
"64260000","0.251"
"64320000","0.232"
"64380000","0.238"
"64440000","0.253"
"64500000","0.238"
"64560000","0.249"
"64620000","0.243"
"64680000","0.235"
"64740000","0.252"
"64800000","0.252"
"64860000","0.248"
"64920000","0.243"
"64980000","0.251"
"65040000","0.229"
"65100000","0.266"
"65160000","0.25"
"65220000","0.255"
"65280000","0.266"
"65340000","0.273"
"65400000","0.256"
"65460000","0.251"
"65520000","0.254"
"65580000","0.234"
"65640000","0.262"
"65700000","0.238"
"65760000","0.238"
"65820000","0.252"
"65880000","0.254"
"65940000","0.27"
"66000000","0.226"
"66060000","0.256"
"66120000","0.259"
"66180000","0.264"
"66240000","0.255"
"66300000","0.246"
"66360000","0.246"
"66420000","0.259"
"66480000","0.27"
"66540000","0.278"
"66600000","0.26"
"66660000","0.274"
"66720000","0.263"
"66780000","0.257"
"66840000","0.26"
"66900000","0.249"
"66960000","0.269"
"67020000","0.251"
"67080000","0.261"
"67140000","0.265"
"67200000","0.272"
"67260000","0.266"
"67320000","0.254"
"67380000","0.244"
"67440000","0.252"
"67500000","0.26"
"67560000","0.259"
"67620000","0.244"
"67680000","0.276"
"67740000","0.267"
"67800000","0.263"
"67860000","0.248"
"67920000","0.265"
"67980000","0.28"
"68040000","0.246"
"68100000","0.256"
"68160000","0.27"
"68220000","0.263"
"68280000","0.245"
"68340000","0.267"
"68400000","0.284"
"68460000","0.27"
"68520000","0.268"
"68580000","0.236"
"68640000","0.258"
"68700000","0.269"
"68760000","0.261"
"68820000","0.271"
"68880000","0.272"
"68940000","0.292"
"69000000","0.26"
"69060000","0.261"
"69120000","0.301"
"69180000","0.267"
"69240000","0.272"
"69300000","0.257"
"69360000","0.267"
"69420000","0.287"
"69480000","0.292"
"69540000","0.271"
"69600000","0.27"
"69660000","0.264"
"69720000","0.272"
"69780000","0.279"
"69840000","0.298"
"69900000","0.273"
"69960000","0.28"
"70020000","0.277"
"70080000","0.274"
"70140000","0.272"
"70200000","0.277"
"70260000","0.265"
"70320000","0.275"
"70380000","0.285"
"70440000","0.275"
"70500000","0.262"
"70560000","0.286"
"70620000","0.276"
"70680000","0.263"
"70740000","0.269"
"70800000","0.27"
"70860000","0.267"
"70920000","0.255"
"70980000","0.298"
"71040000","0.285"
"71100000","0.276"
"71160000","0.278"
"71220000","0.263"
"71280000","0.282"
"71340000","0.254"
"71400000","0.29"
"71460000","0.257"
"71520000","0.267"
"71580000","0.28"
"71640000","0.287"
"71700000","0.271"
"71760000","0.274"
"71820000","0.289"
"71880000","0.286"
"71940000","0.31"
"72000000","0.272"
"72060000","0.296"
"72120000","0.273"
"72180000","0.288"
"72240000","0.278"
"72300000","0.269"
"72360000","0.277"
"72420000","0.318"
"72480000","0.276"
"72540000","0.277"
"72600000","0.259"
"72660000","0.286"
"72720000","0.279"
"72780000","0.276"
"72840000","0.277"
