"Step","phase_warmup6iter_pb_seed2 - 4cover_rate"
"180000","0.6189"
"360000","0.6277"
"540000","0.6355"
"720000","0.6197999999999999"
"900000","0.6501"
"1080000","0.6625"
"1260000","0.6544000000000001"
"1440000","0.663"
"1620000","0.6474000000000001"
"1800000","0.6534"
"1980000","0.6242000000000001"
"2160000","0.6482"
"2340000","0.6116"
"2520000","0.6135999999999999"
"2700000","0.6071"
"2880000","0.5978"
"3060000","0.5792"
"3240000","0.5737000000000001"
"3420000","0.5744"
"3600000","0.5722"
"3780000","0.5699"
"3960000","0.5828"
"4140000","0.5931000000000001"
"4320000","0.5968"
"4500000","0.5926"
"4680000","0.5885"
"4860000","0.6003999999999999"
"5040000","0.5832999999999999"
"5220000","0.5877"
"5400000","0.5738"
"5580000","0.5789"
"5760000","0.5629000000000001"
"5940000","0.5771000000000001"
"6120000","0.581"
"6300000","0.5806999999999999"
"6480000","0.5789"
"6660000","0.5776"
"6840000","0.5803"
"7020000","0.5985"
"7200000","0.5995999999999999"
"7380000","0.588"
"7560000","0.5852"
"7740000","0.5781"
"7920000","0.5922"
"8100000","0.5818"
"8280000","0.6101"
"8460000","0.5966"
"8640000","0.6063999999999999"
"8820000","0.6086"
"9000000","0.5895"
"9180000","0.6054"
"9360000","0.6177"
"9540000","0.596"
"9720000","0.6112000000000001"
"9900000","0.6259"
"10080000","0.6164"
"10260000","0.6132000000000001"
"10440000","0.6235"
"10620000","0.6254"
"10800000","0.6349000000000001"
"10980000","0.6205"
"11160000","0.621"
"11340000","0.6205999999999999"
"11520000","0.6172000000000001"
"11700000","0.6392"
"11880000","0.6179"
"12060000","0.6197"
"12240000","0.6117"
"12420000","0.6283000000000001"
"12600000","0.6163"
"12780000","0.6082000000000001"
"12960000","0.6185"
"13140000","0.6124"
"13320000","0.6057"
"13500000","0.6196"
"13680000","0.6167"
"13860000","0.6079"
"14040000","0.6121"
"14220000","0.592"
"14400000","0.6187"
"14580000","0.632"
"14760000","0.6200999999999999"
"14940000","0.6174000000000001"
"15120000","0.6021"
"15300000","0.606"
"15480000","0.6137999999999999"
"15660000","0.6035999999999999"
"15840000","0.6155"
"16020000","0.6222000000000001"
"16200000","0.6035999999999999"
"16380000","0.5848"
"16560000","0.5986"
"16740000","0.601"
"16920000","0.6076"
"17100000","0.6057"
"17280000","0.6143"
"17460000","0.6069"
"17640000","0.6152000000000001"
"17820000","0.6039000000000001"
"18000000","0.6097"
"18180000","0.607"
"18360000","0.6089"
"18540000","0.6017"
"18720000","0.616"
"18900000","0.6069"
"19080000","0.6037"
"19260000","0.614"
"19440000","0.6146"
"19620000","0.6117999999999999"
"19800000","0.6078"
"19980000","0.6003"
"20160000","0.6092000000000001"
"20340000","0.6079000000000001"
"20520000","0.5945999999999999"
"20700000","0.6088"
"20880000","0.6067"
"21060000","0.6078"
"21240000","0.6055999999999999"
"21420000","0.5983999999999999"
"21600000","0.6311"
"21780000","0.5932000000000001"
"21960000","0.5742"
"22140000","0.5962999999999999"
"22320000","0.5902999999999999"
"22500000","0.575"
"22680000","0.5965"
"22860000","0.5955"
"23040000","0.5947"
"23220000","0.6164000000000001"
"23400000","0.6047"
"23580000","0.6155"
"23760000","0.6023"
"23940000","0.6008"
"24120000","0.6089"
"24300000","0.6023"
"24480000","0.5978000000000001"
"24660000","0.611"
"24840000","0.6135"
"25020000","0.6235"
"25200000","0.6235999999999999"
"25380000","0.6019000000000001"
"25560000","0.627"
"25740000","0.5915"
"25920000","0.5979"
"26100000","0.5885"
"26280000","0.6021"
"26460000","0.5864"
"26640000","0.5919"
"26820000","0.5915999999999999"
"27000000","0.6000999999999999"
"27180000","0.5934"
"27360000","0.5838"
"27540000","0.5902999999999999"
"27720000","0.6031000000000002"
"27900000","0.6016999999999999"
