"Step","mixdecay2n4_finalversion_seed3 - 4cover_rate"
"341640","0.71225"
"683280","0.6997000000000001"
"1024920","0.6985999999999999"
"1366560","0.6907"
"1708200","0.70235"
"2049840","0.6886"
"2391480","0.69805"
"2733120","0.70775"
"3074760","0.71085"
"3416400","0.72425"
"3749400","0.7081000000000002"
"4082400","0.70455"
"4415400","0.73135"
"4748400","0.7116"
"5081400","0.72385"
"5414400","0.7136"
"5747400","0.73685"
"6080400","0.7427999999999999"
"6413400","0.72755"
"6746400","0.7192000000000001"
"7070400","0.73045"
"7394400","0.7192999999999999"
"7718400","0.72445"
"8042400","0.7228499999999999"
"8366400","0.67155"
"8690400","0.5577"
"9014400","0.55475"
"9338400","0.5749500000000001"
"9662400","0.5733999999999999"
"9986400","0.58835"
"10301040","0.5795500000000001"
"10615680","0.57405"
"10930320","0.5739000000000001"
"11244960","0.5772"
"11559600","0.5971"
"11874240","0.5999000000000001"
"12188880","0.58945"
"12503520","0.58675"
"12818160","0.6048499999999999"
"13132800","0.59865"
"13439160","0.5978"
"13745520","0.6037"
"14051880","0.5969000000000001"
"14358240","0.60435"
"14664600","0.61305"
"14970960","0.6023499999999999"
"15277320","0.6029500000000001"
"15583680","0.6048499999999999"
"15890040","0.5935999999999999"
"16196400","0.617"
"16493400","0.61215"
"16790400","0.60865"
"17087400","0.6322000000000001"
"17384400","0.6148"
"17681400","0.6295999999999999"
"17978400","0.634"
"18275400","0.6453"
"18572400","0.6335999999999999"
"18869400","0.6472"
"19166400","0.6414500000000001"
"19454400","0.6707000000000001"
"19742400","0.6602"
"20030400","0.65815"
"20318400","0.6652"
"20606400","0.6454000000000001"
"20894400","0.648"
"21182400","0.6572"
"21470400","0.6631500000000001"
"21758400","0.6727000000000001"
"22046400","0.66735"
"22325040","0.66755"
"22603680","0.6797000000000001"
"22882320","0.6568999999999999"
"23160960","0.668"
"23439600","0.68085"
"23718240","0.6944000000000001"
"23996880","0.67345"
"24275520","0.69115"
"24554160","0.6881499999999999"
"24832800","0.69525"
"25103160","0.69675"
"25373520","0.6969500000000001"
"25643880","0.6896"
"25914240","0.6929"
"26184600","0.67595"
"26454960","0.6756500000000001"
"26725320","0.674"
"26995680","0.67725"
"27266040","0.699"
"27536400","0.6920499999999999"
"27797400","0.6901"
"28058400","0.69905"
"28319400","0.69865"
"28580400","0.70405"
"28841400","0.7088"
"29102400","0.7083499999999999"
"29363400","0.69815"
"29624400","0.7019500000000001"
"29885400","0.7041000000000001"
"30146400","0.7090500000000001"
"30398400","0.70505"
"30650400","0.69045"
"30902400","0.69625"
"31154400","0.7049"
"31406400","0.70525"
"31658400","0.7019500000000001"
"31910400","0.69525"
"32162400","0.7065499999999999"
"32414400","0.7105"
"32666400","0.7036999999999999"
"32909040","0.72145"
"33151680","0.72665"
"33394320","0.7302"
"33636960","0.7287"
"33879600","0.7329000000000001"
"34122240","0.7245499999999999"
"34364880","0.7197"
"34607520","0.72845"
"34850160","0.7305499999999999"
"35092800","0.7258"
"35327160","0.72915"
"35561520","0.7137"
"35795880","0.7220500000000001"
"36030240","0.7239500000000001"
"36264600","0.70035"
"36498960","0.7075499999999999"
"36733320","0.70825"
"36967680","0.72835"
"37202040","0.709"
"37436400","0.7112"
"37661400","0.7166"
"37886400","0.72725"
"38111400","0.7189000000000001"
"38336400","0.7272000000000001"
"38561400","0.69515"
"38786400","0.7061499999999999"
"39011400","0.7206500000000001"
"39236400","0.717"
"39461400","0.71705"
"39686400","0.7335999999999999"
"39902400","0.75605"
"40118400","0.7309499999999999"
"40334400","0.73475"
"40550400","0.7281500000000001"
"40766400","0.73645"
"40982400","0.7188"
"41198400","0.72925"
"41414400","0.7355"
"41630400","0.7316"
"41846400","0.73725"
"42053040","0.7385"
"42259680","0.72535"
"42466320","0.72525"
"42672960","0.7136500000000001"
"42879600","0.725"
"43086240","0.72585"
"43292880","0.71645"
"43499520","0.7253499999999999"
"43706160","0.7295999999999999"
"43912800","0.7279500000000001"
"44111160","0.7302"
"44309520","0.72195"
"44507880","0.7235999999999999"
"44706240","0.71535"
"44904600","0.7279"
"45102960","0.7161500000000001"
"45301320","0.7249000000000001"
"45499680","0.73975"
"45698040","0.735"
"45896400","0.72155"
"46085400","0.7234"
"46274400","0.72575"
"46463400","0.73435"
"46652400","0.72715"
"46841400","0.73765"
"47030400","0.7447999999999999"
"47219400","0.74055"
"47408400","0.74225"
"47597400","0.7282000000000001"
"47786400","0.7368000000000001"
"47966400","0.71945"
"48146400","0.7215499999999999"
"48326400","0.74725"
"48506400","0.72975"
"48686400","0.7414000000000001"
"48866400","0.74"
"49046400","0.72505"
"49226400","0.7425499999999999"
"49406400","0.7369"
"49586400","0.7443"
"49766400","0.7223499999999999"
"49946400","0.72885"
"50126400","0.72505"
"50306400","0.7169000000000001"
"50486400","0.7135"
"50666400","0.7119000000000001"
"50846400","0.7282000000000001"
"51026400","0.70955"
"51206400","0.69645"
"51386400","0.6967"
"51566400","0.6615"
"51746400","0.68455"
"51926400","0.7055"
"52106400","0.6973499999999999"
"52286400","0.6952"
"52466400","0.7014499999999999"
"52646400","0.721"
"52826400","0.7118"
"53006400","0.71655"
"53186400","0.69375"
"53366400","0.70225"
"53546400","0.7101500000000001"
"53726400","0.7205"
"53906400","0.7360500000000001"
"54086400","0.702"
"54266400","0.7207"
"54446400","0.71675"
"54626400","0.7208"
"54806400","0.7293"
"54986400","0.724"
"55166400","0.7241000000000001"
"55346400","0.73525"
"55526400","0.7397999999999999"
"55706400","0.7405"
"55886400","0.7456"
"56066400","0.7453"
"56246400","0.7474500000000001"
"56426400","0.74595"
"56606400","0.7485499999999999"
"56786400","0.7513"
"56966400","0.7379000000000001"
"57146400","0.7345999999999999"
"57326400","0.7427999999999999"
"57506400","0.7414000000000001"
"57686400","0.7417"
"57866400","0.7395499999999999"
"58046400","0.7507"
"58226400","0.75715"
"58406400","0.7580999999999999"
"58586400","0.7491"
"58766400","0.7497999999999999"
"58946400","0.762"
"59126400","0.7395"
"59306400","0.7493"
"59486400","0.7574500000000001"
"59666400","0.7549"
"59846400","0.7434"
