"Step","ours-6floor-seed1 - test_lock_rate","ours-6floor-seed1 - test_lock_rate__MIN","ours-6floor-seed1 - test_lock_rate__MAX"
"16380000","0.785","0.785","0.785"
"16473600","0.785","0.785","0.785"
"16567200","0.745","0.745","0.745"
"16660800","0.835","0.835","0.835"
"16754400","0.785","0.785","0.785"
"16848000","0.797","0.797","0.797"
"16941600","0.826","0.826","0.826"
"17035200","0.818","0.818","0.818"
"17128800","0.83","0.83","0.83"
"17222400","0.845","0.845","0.845"
"17316000","0.827","0.827","0.827"
"17409600","0.78","0.78","0.78"
"17503200","0.82","0.82","0.82"
"17596800","0.84","0.84","0.84"
"17690400","0.825","0.825","0.825"
"17784000","0.811","0.811","0.811"
"17877600","0.82","0.82","0.82"
"17971200","0.82","0.82","0.82"
"18064800","0.842","0.842","0.842"
"18158400","0.885","0.885","0.885"
"18252000","0.8","0.8","0.8"
"18345600","0.845","0.845","0.845"
"18439200","0.8","0.8","0.8"
"18532800","0.82","0.82","0.82"
"18626400","0.795","0.795","0.795"
"18720000","0.795","0.795","0.795"
"18813600","0.845","0.845","0.845"
"18907200","0.87","0.87","0.87"
"19000800","0.81","0.81","0.81"
"19094400","0.855","0.855","0.855"
"19188000","0.75","0.75","0.75"
"19281600","0.827","0.827","0.827"
"19375200","0.84","0.84","0.84"
"19468800","0.864","0.864","0.864"
"19562400","0.805","0.805","0.805"
"19656000","0.845","0.845","0.845"
"19749600","0.755","0.755","0.755"
"19843200","0.825","0.825","0.825"
"19936800","0.809","0.809","0.809"
"20030400","0.785","0.785","0.785"
"20124000","0.85","0.85","0.85"
"20217600","0.85","0.85","0.85"
"20311200","0.844","0.844","0.844"
"20404800","0.852","0.852","0.852"
"20498400","0.832","0.832","0.832"
"20592000","0.82","0.82","0.82"
"20685600","0.81","0.81","0.81"
"20779200","0.86","0.86","0.86"
"20872800","0.783","0.783","0.783"
"20966400","0.8","0.8","0.8"
"21060000","0.82","0.82","0.82"
"21153600","0.85","0.85","0.85"
"21247200","0.885","0.885","0.885"
"21340800","0.85","0.85","0.85"
"21434400","0.945","0.945","0.945"
"21528000","0.87","0.87","0.87"
"21621600","0.895","0.895","0.895"
"21715200","0.83","0.83","0.83"
"21808800","0.795","0.795","0.795"
"21902400","0.88","0.88","0.88"
"21996000","0.834","0.834","0.834"
"22089600","0.915","0.915","0.915"
"22183200","0.925","0.925","0.925"
"22276800","0.93","0.93","0.93"
"22370400","0.95","0.95","0.95"
"22464000","0.925","0.925","0.925"
"22557600","0.955","0.955","0.955"
"22651200","0.965","0.965","0.965"
"22744800","0.965","0.965","0.965"
"22838400","0.956","0.956","0.956"
"22932000","0.955","0.955","0.955"
"23025600","0.964","0.964","0.964"
"23119200","0.95","0.95","0.95"
"23212800","0.969","0.969","0.969"
"23306400","0.988","0.988","0.988"
"23400000","0.964","0.964","0.964"
"23493600","0.94","0.94","0.94"
"23587200","0.965","0.965","0.965"
"23680800","0.98","0.98","0.98"
"23774400","0.99","0.99","0.99"
"23868000","0.975","0.975","0.975"
"23961600","0.975","0.975","0.975"
"24055200","0.99","0.99","0.99"
"24148800","0.98","0.98","0.98"
"24242400","0.99","0.99","0.99"
"24336000","0.955","0.955","0.955"
"24429600","1","1","1"
"24523200","0.99","0.99","0.99"
"24616800","0.99","0.99","0.99"
"24710400","0.99","0.99","0.99"
"24804000","0.99","0.99","0.99"
"24897600","0.98","0.98","0.98"
"24991200","0.98","0.98","0.98"
"25084800","1","1","1"
"25178400","1","1","1"
"25272000","0.99","0.99","0.99"
"25365600","1","1","1"
"25459200","1","1","1"
"25552800","1","1","1"
"25646400","0.97","0.97","0.97"
"25740000","0.99","0.99","0.99"
"25833600","0.99","0.99","0.99"
"25927200","0.98","0.98","0.98"
"26020800","0.99","0.99","0.99"
"26114400","0.987","0.987","0.987"
"26208000","1","1","1"
"26301600","0.96","0.96","0.96"
"26395200","0.99","0.99","0.99"
"26488800","0.99","0.99","0.99"
"26582400","0.965","0.965","0.965"
"26676000","0.99","0.99","0.99"
"26769600","0.985","0.985","0.985"
"26863200","0.995","0.995","0.995"
"26956800","0.995","0.995","0.995"
"27050400","1","1","1"
"27144000","1","1","1"
"27237600","0.995","0.995","0.995"
"27331200","0.99","0.99","0.99"
"27424800","0.99","0.99","0.99"
"27518400","1","1","1"
"27612000","0.99","0.99","0.99"
"27705600","1","1","1"
"27799200","1","1","1"
"27892800","0.995","0.995","0.995"
"27986400","1","1","1"
"28080000","0.985","0.985","0.985"
"28173600","0.985","0.985","0.985"
"28267200","0.99","0.99","0.99"
"28360800","0.975","0.975","0.975"
"28454400","0.99","0.99","0.99"
"28548000","0.99","0.99","0.99"
"28641600","0.99","0.99","0.99"
"28735200","0.985","0.985","0.985"
"28828800","1","1","1"
"28922400","1","1","1"
"29016000","0.985","0.985","0.985"
"29109600","0.99","0.99","0.99"
"29203200","0.99","0.99","0.99"
"29296800","1","1","1"
"29390400","0.99","0.99","0.99"
"29484000","0.985","0.985","0.985"
"29577600","0.985","0.985","0.985"
"29671200","0.99","0.99","0.99"
"29764800","0.985","0.985","0.985"
"29858400","0.99","0.99","0.99"
"29952000","1","1","1"
"30045600","1","1","1"
"30139200","1","1","1"
"30232800","0.988","0.988","0.988"
"30326400","1","1","1"
"30420000","0.995","0.995","0.995"
"30513600","1","1","1"
"30607200","0.995","0.995","0.995"
"30700800","1","1","1"
"30794400","0.995","0.995","0.995"
"30888000","0.98","0.98","0.98"
"30981600","1","1","1"
"31075200","1","1","1"
"31168800","1","1","1"
"31262400","0.995","0.995","0.995"
"31356000","1","1","1"
"31449600","1","1","1"
"31543200","0.99","0.99","0.99"
"31636800","1","1","1"
"31730400","1","1","1"
"31824000","1","1","1"
"31917600","0.995","0.995","0.995"
"32011200","1","1","1"
"32104800","0.99","0.99","0.99"
"32198400","0.99","0.99","0.99"
"32292000","1","1","1"
"32385600","1","1","1"
"32479200","0.995","0.995","0.995"
"32572800","0.99","0.99","0.99"
"32666400","1","1","1"
"32760000","0.99","0.99","0.99"
"32853600","0.985","0.985","0.985"
"32947200","0.99","0.99","0.99"
"33040800","0.995","0.995","0.995"
"33134400","1","1","1"
"33228000","1","1","1"
"33321600","0.96","0.96","0.96"
"33415200","0.97","0.97","0.97"
"33508800","1","1","1"
"33602400","1","1","1"
"33696000","0.99","0.99","0.99"
"33789600","0.99","0.99","0.99"
"33883200","0.985","0.985","0.985"
"33976800","1","1","1"
"34070400","1","1","1"
"34164000","0.99","0.99","0.99"
"34257600","1","1","1"
"34351200","1","1","1"
"34444800","1","1","1"
"34538400","0.98","0.98","0.98"
"34632000","0.995","0.995","0.995"
"34725600","1","1","1"
"34819200","0.993","0.993","0.993"
"34912800","0.99","0.99","0.99"
"35006400","1","1","1"
"35100000","1","1","1"
"35193600","1","1","1"
