"Step","phase_eval3_pb_seed3 - 4cover_rate"
"180000","0.692"
"360000","0.6816"
"540000","0.6811"
"720000","0.6812"
"900000","0.6888"
"1080000","0.6878"
"1260000","0.6992"
"1440000","0.695"
"1620000","0.6892"
"1800000","0.6561"
"1980000","0.6776"
"2160000","0.6987000000000001"
"2340000","0.6894000000000001"
"2520000","0.6737"
"2700000","0.6830999999999999"
"2880000","0.6852999999999999"
"3060000","0.6785"
"3240000","0.669"
"3420000","0.6671"
"3600000","0.6735999999999999"
"3780000","0.6735999999999999"
"3960000","0.6766"
"4140000","0.6611"
"4320000","0.6852999999999999"
"4500000","0.6689"
"4680000","0.68"
"4860000","0.6781"
"5040000","0.6832"
"5220000","0.6687000000000001"
"5400000","0.6638000000000001"
"5580000","0.6702"
"5760000","0.6567999999999999"
"5940000","0.667"
"6120000","0.6765"
"6300000","0.6639"
"6480000","0.6556"
"6660000","0.6664000000000001"
"6840000","0.68"
"7020000","0.6855"
"7200000","0.6720999999999999"
"7380000","0.6607000000000001"
"7560000","0.6777000000000001"
"7740000","0.6877000000000001"
"7920000","0.6675"
"8100000","0.6685"
"8280000","0.688"
"8460000","0.6771"
"8640000","0.6718"
"8820000","0.6764"
"9000000","0.6675"
"9180000","0.6527999999999999"
"9360000","0.6744000000000001"
"9540000","0.6762"
"9720000","0.6633"
"9900000","0.6785999999999999"
"10080000","0.677"
"10260000","0.6668"
"10440000","0.6537000000000001"
"10620000","0.6638"
"10800000","0.6730999999999999"
"10980000","0.6487"
"11160000","0.6557000000000001"
"11340000","0.669"
"11520000","0.6668999999999999"
"11700000","0.6604000000000001"
"11880000","0.6688"
"12060000","0.6678"
"12240000","0.6654"
"12420000","0.6527000000000001"
"12600000","0.6556"
"12780000","0.6577999999999999"
"12960000","0.6661"
"13140000","0.6728999999999999"
"13320000","0.6682"
"13500000","0.6698"
"13680000","0.6604"
"13860000","0.6648999999999999"
"14040000","0.6672"
"14220000","0.6716"
"14400000","0.6500999999999999"
"14580000","0.6610999999999999"
"14760000","0.6672"
"14940000","0.6559"
"15120000","0.675"
"15300000","0.6785"
"15480000","0.658"
"15660000","0.6723"
"15840000","0.6802"
"16020000","0.6596"
"16200000","0.6655"
"16380000","0.639"
"16560000","0.6415"
"16740000","0.6598999999999999"
"16920000","0.6605"
"17100000","0.6645999999999999"
"17280000","0.6655"
"17460000","0.6574"
"17640000","0.6673"
"17820000","0.6632"
"18000000","0.6795"
"18180000","0.6702"
"18360000","0.6797000000000001"
"18540000","0.6893"
"18720000","0.6824000000000001"
