"Step","mixdecay_0.5_fre30_pb_seed2 - 4cover_rate"
"269640","0.6387"
"539280","0.6655"
"808920","0.6524"
"1078560","0.6407999999999999"
"1348200","0.6625"
"1617840","0.6725"
"1887480","0.6547000000000001"
"2157120","0.6642"
"2426760","0.6725"
"2696400","0.6715999999999999"
"2957040","0.67"
"3217680","0.6665"
"3478320","0.6592"
"3738960","0.681"
"3999600","0.6725"
"4260240","0.6497999999999999"
"4520880","0.6500999999999999"
"4781520","0.6557000000000001"
"5042160","0.6664"
"5302800","0.6544000000000001"
"5554800","0.6574"
"5806800","0.6725"
"6058800","0.6734"
"6310800","0.6677000000000001"
"6562800","0.6716"
"6814800","0.6522"
"7066800","0.665"
"7318800","0.6458"
"7570800","0.6605"
"7822800","0.67"
"8065800","0.6503"
"8308800","0.6706"
"8551800","0.6649"
"8794800","0.673"
"9037800","0.6627000000000001"
"9280800","0.6719"
"9523800","0.6453"
"9766800","0.6749"
"10009800","0.6693999999999999"
"10252800","0.6628"
"10486800","0.6557000000000001"
"10720800","0.6691"
"10954800","0.6594"
"11188800","0.6556000000000001"
"11422800","0.6565"
"11656800","0.6601"
"11890800","0.6707000000000001"
"12124800","0.6612"
"12358800","0.6444"
"12592800","0.6581"
"12818160","0.6748999999999999"
"13043520","0.6609"
"13268880","0.6585"
"13494240","0.6605"
"13719600","0.6532"
"13944960","0.6704"
"14170320","0.6797000000000001"
"14395680","0.6582"
"14621040","0.6435"
"14846400","0.6735"
"15062400","0.6602"
"15278400","0.6555"
"15494400","0.6719"
"15710400","0.6652"
"15926400","0.6800999999999999"
"16142400","0.6742999999999999"
"16358400","0.6628000000000001"
"16574400","0.6441"
"16790400","0.6476000000000001"
"17006400","0.6787000000000001"
"17213400","0.6814"
"17420400","0.6736"
"17627400","0.6725"
"17834400","0.701"
"18041400","0.6812999999999999"
"18248400","0.6757000000000001"
"18455400","0.6686"
"18662400","0.6752999999999999"
"18869400","0.6454000000000001"
"19076400","0.6545"
"19274040","0.6586"
"19471680","0.6442"
"19669320","0.6539"
"19866960","0.6517000000000001"
"20064600","0.6668999999999999"
"20262240","0.6728"
"20459880","0.6608999999999999"
"20657520","0.6692"
"20855160","0.6691"
"21052800","0.6718999999999999"
"21242160","0.6576"
"21431520","0.6574"
"21620880","0.6575"
"21810240","0.6812999999999999"
"21999600","0.6951"
"22188960","0.6773"
"22378320","0.674"
"22567680","0.6795"
"22757040","0.6683"
"22946400","0.6464000000000001"
"23126400","0.6536000000000001"
"23306400","0.6514000000000001"
"23486400","0.652"
"23666400","0.6252000000000001"
"23846400","0.6152000000000001"
"24026400","0.639"
"24206400","0.6443"
"24386400","0.6366000000000002"
"24566400","0.6497999999999999"
"24746400","0.6231"
"24926400","0.6477999999999999"
"25106400","0.6447"
"25286400","0.6716"
"25466400","0.6547999999999999"
"25646400","0.6519000000000001"
"25826400","0.6477999999999999"
"26006400","0.6484000000000001"
"26186400","0.6481"
"26366400","0.6489000000000001"
"26546400","0.6616000000000001"
"26726400","0.6417999999999999"
"26906400","0.6429"
"27086400","0.6495"
"27266400","0.6517000000000001"
"27446400","0.6482"
"27626400","0.6345"
"27806400","0.6414"
"27986400","0.6405"
"28166400","0.6530999999999999"
"28346400","0.6313"
"28526400","0.6477999999999999"
"28706400","0.6357999999999999"
"28886400","0.6229000000000001"
"29066400","0.6472"
"29246400","0.6513"
"29426400","0.6322000000000001"
"29606400","0.6430999999999999"
"29786400","0.6442"
"29966400","0.6277999999999999"
"30146400","0.6253"
"30326400","0.6252000000000001"
"30506400","0.637"
"30686400","0.6354"
"30866400","0.6421"
"31046400","0.6115"
"31226400","0.6393"
"31406400","0.6436"
"31586400","0.6392"
"31766400","0.6267"
"31946400","0.6257999999999999"
"32126400","0.6243"
"32306400","0.6208"
"32486400","0.6239"
"32666400","0.605"
"32846400","0.603"
"33026400","0.6302"
"33206400","0.6283"
"33386400","0.6386"
"33566400","0.6143"
"33746400","0.617"
"33926400","0.6252000000000001"
"34106400","0.6254"
"34286400","0.6052000000000001"
"34466400","0.6"
"34646400","0.602"
"34826400","0.5882999999999999"
"35006400","0.5932999999999999"
"35186400","0.5792"
"35366400","0.5971000000000002"
"35546400","0.5702"
"35726400","0.5903999999999999"
"35906400","0.5948"
"36086400","0.5699"
"36266400","0.5995"
"36446400","0.5990999999999999"
"36626400","0.6197"
"36806400","0.5969"
"36986400","0.6253"
"37166400","0.601"
"37346400","0.633"
"37526400","0.6313"
"37706400","0.6122000000000001"
"37886400","0.6069000000000001"
"38066400","0.6101"
"38246400","0.6210999999999999"
"38426400","0.6078"
"38606400","0.6212000000000001"
"38786400","0.6145"
"38966400","0.6320999999999999"
"39146400","0.6148"
"39326400","0.6362000000000001"
"39506400","0.605"
"39686400","0.619"
"39866400","0.6336"
"40046400","0.6234000000000001"
"40226400","0.6305"
"40406400","0.6376"
"40586400","0.6364"
"40766400","0.648"
"40946400","0.6374000000000001"
"41126400","0.6113000000000001"
"41306400","0.6285"
"41486400","0.6416"
"41666400","0.6597999999999999"
"41846400","0.6417"
"42026400","0.6358"
"42206400","0.6334"
"42386400","0.6294000000000001"
"42566400","0.594"
"42746400","0.598"
"42926400","0.6119000000000001"
"43106400","0.6181"
"43286400","0.6196"
"43466400","0.6093"
"43646400","0.6096"
"43826400","0.6304000000000001"
"44006400","0.6056"
"44186400","0.6081"
"44366400","0.6224"
"44546400","0.6185"
"44726400","0.6207"
"44906400","0.6211"
"45086400","0.6112000000000001"
"45266400","0.6191"
"45446400","0.6446000000000001"
"45626400","0.6245999999999999"
"45806400","0.6425"
"45986400","0.6390999999999999"
"46166400","0.6233"
"46346400","0.6256"
"46526400","0.6063000000000001"
"46706400","0.6357"
"46886400","0.6383000000000001"
"47066400","0.6215"
"47246400","0.667"
"47426400","0.6123"
"47606400","0.6247999999999999"
"47786400","0.618"
"47966400","0.6227"
"48146400","0.6049000000000001"
"48326400","0.6031"
"48506400","0.6057"
"48686400","0.6248"
"48866400","0.6335"
"49046400","0.6182"
"49226400","0.6281"
"49406400","0.6142000000000001"
"49586400","0.6392"
"49766400","0.6507999999999999"
"49946400","0.6084"
"50126400","0.6159000000000001"
"50306400","0.6087"
"50486400","0.6237"
"50666400","0.6193"
"50846400","0.6152"
"51026400","0.631"
"51206400","0.6043000000000001"
"51386400","0.6317999999999999"
"51566400","0.6173"
"51746400","0.6186"
"51926400","0.6215"
"52106400","0.6333000000000001"
"52286400","0.6256"
"52466400","0.6399000000000001"
"52646400","0.651"
"52826400","0.6397"
"53006400","0.6504000000000001"
"53186400","0.6617000000000001"
"53366400","0.641"
"53546400","0.6429000000000001"
"53726400","0.6562"
"53906400","0.6422"
"54086400","0.6441999999999999"
"54266400","0.6566"
"54446400","0.6469"
"54626400","0.6597999999999999"
"54806400","0.6439000000000001"
"54986400","0.6192000000000001"
"55166400","0.6257999999999999"
"55346400","0.6215"
"55526400","0.6433"
"55706400","0.6277999999999999"
"55886400","0.5952999999999999"
"56066400","0.596"
"56246400","0.6025999999999999"
"56426400","0.599"
"56606400","0.5837"
"56786400","0.6273000000000001"
"56966400","0.6355"
"57146400","0.6204000000000001"
"57326400","0.6187999999999999"
"57506400","0.6227"
"57686400","0.6235"
"57866400","0.6242000000000001"
"58046400","0.6260999999999999"
"58226400","0.6407"
"58406400","0.6355"
"58586400","0.6145"
"58766400","0.6002000000000001"
"58946400","0.6117"
"59126400","0.6215"
"59306400","0.6183"
"59486400","0.6133"
"59666400","0.6019"
"59846400","0.6117999999999999"
"60026400","0.6403"
"60206400","0.6285"
"60386400","0.615"
"60566400","0.6345999999999999"
"60746400","0.6443"
"60926400","0.6408"
"61106400","0.64"
"61286400","0.6256999999999999"
"61466400","0.639"
"61646400","0.6276"
"61826400","0.6395"
"62006400","0.6547000000000001"
"62186400","0.6336999999999999"
"62366400","0.6292000000000001"
"62546400","0.5993999999999999"
"62726400","0.601"
"62906400","0.6153999999999998"
"63086400","0.5998"
"63266400","0.602"
"63446400","0.592"
"63626400","0.6097"
"63806400","0.6142000000000001"
"63986400","0.6327999999999999"
"64166400","0.6435"
"64346400","0.6499000000000001"
"64526400","0.6628000000000001"
"64706400","0.6558999999999999"
"64886400","0.6424"
"65066400","0.6443"
"65246400","0.6406000000000001"
"65426400","0.6539"
"65606400","0.6291"
"65786400","0.6476999999999999"
"65966400","0.6427"
"66146400","0.6415"
"66326400","0.6244000000000001"
"66506400","0.6514000000000001"
"66686400","0.6336"
"66866400","0.6470999999999999"
"67046400","0.6545"
"67226400","0.6547000000000001"
"67406400","0.6394"
"67586400","0.641"
"67766400","0.6363"
"67946400","0.6221"
"68126400","0.606"
"68306400","0.6186"
"68486400","0.6467999999999999"
"68666400","0.6377"
"68846400","0.6446000000000001"
"69026400","0.6357"
"69206400","0.633"
"69386400","0.6430999999999999"
"69566400","0.6527000000000001"
"69746400","0.6568999999999999"
"69926400","0.6517999999999999"
"70106400","0.6293"
"70286400","0.6335999999999999"
"70466400","0.6290999999999999"
"70646400","0.6297999999999999"
"70826400","0.6475"
"71006400","0.6623"
"71186400","0.6239"
"71366400","0.6199"
"71546400","0.6574000000000001"
"71726400","0.6053000000000001"
"71906400","0.6363"
"72086400","0.6237999999999999"
"72266400","0.6177"
"72446400","0.6349000000000001"
"72626400","0.6165999999999999"
"72806400","0.6334000000000001"
"72986400","0.6541"
"73166400","0.6290999999999999"
"73346400","0.644"
"73526400","0.6443"
"73706400","0.6404000000000001"
"73886400","0.6410999999999999"
"74066400","0.637"
"74246400","0.6311"
"74426400","0.6277999999999999"
"74606400","0.6089"
"74786400","0.6391"
"74966400","0.6245999999999999"
"75146400","0.6146"
"75326400","0.6124"
"75506400","0.616"
"75686400","0.6226"
"75866400","0.6235"
"76046400","0.6210999999999999"
"76226400","0.6408"
"76406400","0.6439"
"76586400","0.6354"
"76766400","0.6304"
"76946400","0.6479"
"77126400","0.6411999999999999"
"77306400","0.6375"
"77486400","0.6417"
"77666400","0.6360999999999999"
"77846400","0.6331"
"78026400","0.628"
"78206400","0.6387"
"78386400","0.6334000000000001"
"78566400","0.6294"
"78746400","0.645"
"78926400","0.6628"
"79106400","0.6515"
"79286400","0.6605"
"79466400","0.6531"
"79646400","0.6557000000000001"
"79826400","0.6578999999999999"
"80006400","0.6748"
"80186400","0.6788"
"80366400","0.674"
"80546400","0.6745999999999999"
"80726400","0.6817000000000001"
"80906400","0.6668"
"81086400","0.6493"
"81266400","0.6632"
"81446400","0.66"
"81626400","0.658"
"81806400","0.6797000000000001"
"81986400","0.6534"
"82166400","0.679"
"82346400","0.6690999999999999"
"82526400","0.6705"
"82706400","0.6923"
"82886400","0.6777000000000001"
"83066400","0.671"
"83246400","0.6832999999999999"
"83426400","0.6603"
"83606400","0.6615999999999999"
"83786400","0.6653"
"83966400","0.669"
"84146400","0.6745"
"84326400","0.6819000000000001"
"84506400","0.6695999999999999"
"84686400","0.6852999999999999"
"84866400","0.6675"
"85046400","0.6756"
"85226400","0.6932999999999999"
"85406400","0.6736"
"85586400","0.6774"
"85766400","0.6553"
"85946400","0.6594"
"86126400","0.6617000000000001"
"86306400","0.6433"
"86486400","0.6584"
"86666400","0.6625999999999999"
"86846400","0.6662"
"87026400","0.656"
"87206400","0.6507000000000001"
