"Step","gan_pb_addinitialtasks_seed3 - cover_rate_5step"
"120000","0.035"
"240000","0.028"
"360000","0.0406"
"480000","0.036"
"600000","0.042"
"720000","0.033"
"840000","0.029"
"960000","0.036"
"1080000","0.035"
"1200000","0.039"
"1320000","0.036"
"1440000","0.033"
"1560000","0.031"
"1680000","0.027"
"1800000","0.03"
"1920000","0.045"
"2040000","0.035"
"2160000","0.042"
"2280000","0.039"
"2400000","0.045"
"2520000","0.031"
"2640000","0.042"
"2760000","0.029"
"2880000","0.03"
"3000000","0.029"
"3120000","0.038"
"3240000","0.0404"
"3360000","0.025"
"3480000","0.037"
"3600000","0.05"
"3720000","0.042"
"3840000","0.052"
"3960000","0.038799999999999994"
"4080000","0.048"
"4200000","0.037"
"4320000","0.053"
"4440000","0.039"
"4560000","0.049"
"4680000","0.061"
"4800000","0.063"
"4920000","0.061"
"5040000","0.0506"
"5160000","0.058"
"5280000","0.054"
"5400000","0.0626"
"5520000","0.056"
"5640000","0.067"
"5760000","0.054"
"5880000","0.0668"
"6000000","0.0644"
"6120000","0.07"
"6240000","0.06720000000000001"
"6360000","0.0752"
"6480000","0.05"
"6600000","0.0536"
"6720000","0.083"
"6840000","0.068"
"6960000","0.0644"
"7080000","0.0892"
"7200000","0.062"
"7320000","0.08120000000000001"
"7440000","0.0692"
"7560000","0.069"
"7680000","0.071"
"7800000","0.0648"
"7920000","0.077"
"8040000","0.0804"
"8160000","0.0788"
"8280000","0.049"
"8400000","0.063"
"8520000","0.079"
"8640000","0.0878"
"8760000","0.066"
"8880000","0.0886"
"9000000","0.0516"
"9120000","0.0658"
"9240000","0.054"
"9360000","0.0626"
"9480000","0.059"
"9600000","0.069"
"9720000","0.056"
"9840000","0.0696"
"9960000","0.068"
"10080000","0.085"
"10200000","0.0782"
"10320000","0.063"
"10440000","0.0696"
"10560000","0.06559999999999999"
"10680000","0.074"
"10800000","0.077"
"10920000","0.07840000000000001"
"11040000","0.086"
"11160000","0.07"
"11280000","0.084"
"11400000","0.0726"
"11520000","0.0716"
"11640000","0.0788"
"11760000","0.0632"
"11880000","0.062200000000000005"
"12000000","0.0628"
"12120000","0.0836"
"12240000","0.06720000000000001"
"12360000","0.0888"
"12480000","0.08020000000000001"
"12600000","0.082"
"12720000","0.07440000000000001"
"12840000","0.0726"
"12960000","0.0758"
"13080000","0.0944"
"13200000","0.08259999999999999"
"13320000","0.0828"
"13440000","0.0704"
"13560000","0.07640000000000001"
"13680000","0.08220000000000001"
"13800000","0.0798"
"13920000","0.083"
"14040000","0.068"
"14160000","0.093"
"14280000","0.0556"
"14400000","0.08"
"14520000","0.0528"
"14640000","0.062"
"14760000","0.067"
"14880000","0.06459999999999999"
"15000000","0.0696"
"15120000","0.063"
"15240000","0.054"
"15360000","0.059"
"15480000","0.065"
"15600000","0.054"
"15720000","0.054"
"15840000","0.056"
"15960000","0.07"
"16080000","0.069"
"16200000","0.053"
"16320000","0.049"
"16440000","0.0594"
"16560000","0.05"
"16680000","0.06"
"16800000","0.052"
"16920000","0.0638"
"17040000","0.055"
"17160000","0.042"
"17280000","0.059"
"17400000","0.058"
"17520000","0.064"
"17640000","0.071"
"17760000","0.058"
"17880000","0.062"
"18000000","0.066"
"18120000","0.061"
"18240000","0.071"
"18360000","0.063"
"18480000","0.077"
"18600000","0.07"
"18720000","0.0564"
"18840000","0.082"
"18960000","0.062"
"19080000","0.0684"
"19200000","0.096"
"19320000","0.079"
"19440000","0.0726"
"19560000","0.062"
"19680000","0.06620000000000001"
"19800000","0.0602"
