"Step","reverse_pb_4agents_seed3 - 4cover_rate_5step"
"60000","0.0625"
"120000","0.0725"
"180000","0.0665"
"240000","0.0725"
"300000","0.0555"
"360000","0.062"
"420000","0.0545"
"480000","0.056"
"540000","0.065"
"600000","0.053"
"660000","0.0625"
"720000","0.0715"
"780000","0.0699"
"840000","0.052399999999999995"
"900000","0.0531"
"960000","0.065"
"1020000","0.0634"
"1080000","0.05190000000000001"
"1140000","0.0603"
"1200000","0.066"
"1260000","0.0619"
"1320000","0.063"
"1380000","0.0635"
"1440000","0.0683"
"1500000","0.0645"
"1560000","0.065"
"1620000","0.0686"
"1680000","0.061"
"1740000","0.0583"
"1800000","0.0575"
"1860000","0.0625"
"1920000","0.0565"
"1980000","0.0585"
"2040000","0.0663"
"2100000","0.0566"
"2160000","0.0673"
"2220000","0.0624"
"2280000","0.0654"
"2340000","0.0605"
"2400000","0.0787"
"2460000","0.0675"
"2520000","0.056"
"2580000","0.06520000000000001"
"2640000","0.0565"
"2700000","0.0705"
"2760000","0.065"
"2820000","0.07"
"2880000","0.0685"
"2940000","0.058"
"3000000","0.0635"
"3060000","0.06659999999999999"
"3120000","0.0714"
"3180000","0.067"
"3240000","0.0589"
"3300000","0.0664"
"3360000","0.0582"
"3420000","0.06420000000000001"
"3480000","0.0689"
"3540000","0.0673"
"3600000","0.061700000000000005"
"3660000","0.0676"
"3720000","0.066"
"3780000","0.0545"
"3840000","0.073"
"3900000","0.0565"
"3960000","0.06659999999999999"
"4020000","0.069"
"4080000","0.0649"
"4140000","0.067"
"4200000","0.06680000000000001"
"4260000","0.061799999999999994"
"4320000","0.0615"
"4380000","0.059"
"4440000","0.0565"
"4500000","0.0634"
"4560000","0.0655"
"4620000","0.0637"
"4680000","0.0655"
"4740000","0.0591"
"4800000","0.079"
"4860000","0.059"
"4920000","0.0606"
"4980000","0.06"
"5040000","0.0709"
"5100000","0.06559999999999999"
"5160000","0.0683"
"5220000","0.0663"
"5280000","0.0593"
"5340000","0.0635"
"5400000","0.059"
"5460000","0.062"
"5520000","0.0565"
"5580000","0.0616"
"5640000","0.061"
"5700000","0.0699"
"5760000","0.0555"
"5820000","0.0627"
"5880000","0.069"
"5940000","0.063"
"6000000","0.0596"
"6060000","0.056"
"6120000","0.074"
"6180000","0.0665"
"6240000","0.066"
"6300000","0.0735"
"6360000","0.069"
"6420000","0.063"
"6480000","0.0586"
"6540000","0.067"
"6600000","0.0606"
"6660000","0.0765"
"6720000","0.0639"
"6780000","0.0559"
"6840000","0.061700000000000005"
"6900000","0.0605"
"6960000","0.0705"
"7020000","0.0561"
"7080000","0.0689"
"7140000","0.0704"
"7200000","0.0695"
"7260000","0.0635"
"7320000","0.0668"
"7380000","0.06509999999999999"
"7440000","0.0738"
"7500000","0.077"
"7560000","0.0741"
"7620000","0.0644"
"7680000","0.0639"
"7740000","0.0752"
"7800000","0.0658"
"7860000","0.06409999999999999"
"7920000","0.0608"
"7980000","0.0615"
"8040000","0.059"
"8100000","0.065"
"8160000","0.0636"
"8220000","0.0585"
"8280000","0.0555"
"8340000","0.0615"
"8400000","0.06470000000000001"
"8460000","0.061799999999999994"
"8520000","0.058"
"8580000","0.0602"
"8640000","0.0703"
"8700000","0.0575"
"8760000","0.065"
"8820000","0.0658"
"8880000","0.0495"
"8940000","0.071"
"9000000","0.0629"
"9060000","0.0635"
"9120000","0.0679"
"9180000","0.0659"
"9240000","0.0665"
"9300000","0.0635"
"9360000","0.0685"
"9420000","0.0609"
"9480000","0.066"
"9540000","0.0621"
"9600000","0.0698"
"9660000","0.06659999999999999"
"9720000","0.0638"
"9780000","0.0638"
"9840000","0.0653"
"9900000","0.061799999999999994"
"9960000","0.0696"
"10020000","0.0765"
"10080000","0.06570000000000001"
"10140000","0.0603"
"10200000","0.08"
"10260000","0.074"
"10320000","0.06520000000000001"
"10380000","0.0605"
"10440000","0.0691"
"10500000","0.069"
"10560000","0.0644"
"10620000","0.06880000000000001"
"10680000","0.0625"
"10740000","0.0627"
"10800000","0.07"
"10860000","0.0665"
"10920000","0.0635"
"10980000","0.078"
"11040000","0.0725"
"11100000","0.0682"
"11160000","0.0635"
"11220000","0.067"
"11280000","0.0767"
"11340000","0.065"
"11400000","0.0698"
"11460000","0.073"
"11520000","0.0705"
"11580000","0.07379999999999999"
"11640000","0.0713"
"11700000","0.06930000000000001"
"11760000","0.0632"
"11820000","0.0653"
"11880000","0.057"
"11940000","0.0695"
"12000000","0.0683"
"12060000","0.0605"
"12120000","0.066"
"12180000","0.0745"
"12240000","0.0625"
"12300000","0.064"
"12360000","0.0705"
