"Step","mixdecay2n4_decayfre60_seed2 - 4cover_rate"
"341640","0.63505"
"683280","0.6587999999999999"
"1024920","0.6565"
"1366560","0.6396000000000001"
"1708200","0.6445500000000001"
"2049840","0.646"
"2391480","0.6399"
"2733120","0.6303"
"3074760","0.64235"
"3416400","0.6373000000000001"
"3758040","0.64015"
"4099680","0.6503"
"4441320","0.6464"
"4782960","0.6378999999999999"
"5124600","0.6493"
"5466240","0.6446500000000001"
"5807880","0.6406000000000001"
"6149520","0.62665"
"6491160","0.6382000000000001"
"6832800","0.6413000000000001"
"7165800","0.6453999999999999"
"7498800","0.6475"
"7831800","0.65365"
"8164800","0.6567999999999999"
"8497800","0.6640999999999999"
"8830800","0.6618999999999999"
"9163800","0.6507000000000001"
"9496800","0.6530999999999999"
"9829800","0.6618999999999999"
"10162800","0.6549"
"10495800","0.64975"
"10828800","0.63795"
"11161800","0.63705"
"11494800","0.6411"
"11827800","0.6464500000000001"
"12160800","0.6403499999999999"
"12493800","0.65075"
"12826800","0.64185"
"13159800","0.6517000000000001"
"13492800","0.6536"
"13816800","0.638"
"14140800","0.6474"
"14464800","0.6481"
"14788800","0.6463"
"15112800","0.6476000000000001"
"15436800","0.64985"
"15760800","0.6558499999999999"
"16084800","0.65255"
"16408800","0.6533"
"16732800","0.6623"
"17056800","0.65095"
"17380800","0.6703"
"17704800","0.6708500000000001"
"18028800","0.6610499999999999"
"18352800","0.6678999999999998"
"18676800","0.6562"
"19000800","0.65925"
"19324800","0.6668499999999999"
"19648800","0.67035"
"19972800","0.6653"
"20287440","0.6742999999999999"
"20602080","0.67115"
"20916720","0.6668999999999999"
"21231360","0.68125"
"21546000","0.67555"
"21860640","0.6735"
"22175280","0.678"
"22489920","0.67835"
"22804560","0.67105"
"23119200","0.6676500000000001"
"23433840","0.6861499999999999"
"23748480","0.6865"
"24063120","0.68355"
"24377760","0.6899000000000001"
"24692400","0.68475"
"25007040","0.705"
"25321680","0.6917000000000001"
"25636320","0.67575"
"25950960","0.67735"
"26265600","0.68725"
"26571960","0.6889"
"26878320","0.683"
"27184680","0.6948"
