"Step","solved_pb - cover_rate_5step","solved_pb_seed2 - cover_rate_5step","solved_pb_seed3 - cover_rate_5step"
"22860000","0.6374","0.7223999999999999","0.6704000000000001"
"23040000","0.6467999999999999","0.7243999999999999","0.71"
"23220000","0.6882","0.7263999999999999","0.6718"
"23400000","0.6691999999999999","0.733","0.6648"
"23580000","0.6624","0.714","0.6858"
"23760000","0.6775999999999999","0.715","0.6832"
"23940000","0.6784","0.7432000000000001","0.6614"
"24120000","0.6856","0.7482000000000001","0.7116"
"24300000","0.6698","0.7514","0.6763999999999999"
"24480000","0.704","0.7446","0.7094"
"24660000","0.6566000000000001","0.748","0.6834000000000001"
"24840000","0.6612","0.7677999999999999","0.6782"
"25020000","0.6768","0.7326","0.6738"
"25200000","0.709","0.7704000000000001","0.715"
"25380000","0.6808","0.7666000000000001","0.6962"
"25560000","0.6688","0.7318","0.6858"
"25740000","0.7018","0.7657999999999999","0.696"
"25920000","0.707","0.7497999999999999","0.7058"
"26100000","0.7148","0.7517999999999999","0.7006"
"26280000","0.6916","0.7737999999999999","0.7114000000000001"
"26460000","0.7647999999999999","0.7866000000000001","0.7252000000000001"
"26640000","0.7394","0.7801999999999999","0.7263999999999999"
"26820000","0.7504","0.7664","0.7146"
"27000000","0.727","0.7737999999999999","0.7034000000000001"
"27180000","0.7288","0.7557999999999999","0.7038"
"27360000","0.7346","0.774","0.7253999999999999"
"27540000","0.7262000000000001","0.7538","0.7252000000000001"
"27720000","0.7228","0.7737999999999999","0.728"
"27900000","0.7517999999999999","0.7784","0.715"
"28080000","0.7646000000000001","0.797","0.7268000000000001"
"28260000","0.746","0.7918","0.7065999999999999"
"28440000","0.7402000000000001","0.7978","0.7325999999999999"
"28620000","0.7326","0.8042","0.7196"
"28800000","0.7446","0.8082","0.7494"
"28980000","0.7624","0.7874","0.7454000000000001"
"29160000","0.7376","0.8042","0.7242000000000001"
"29340000","0.7312000000000001","0.823","0.7504"
"29520000","0.78","0.7954000000000001","0.7394"
"29700000","0.7736","0.8185999999999999","0.7322000000000001"
"29880000","0.7604000000000001","0.8115999999999999","0.7664"
"30060000","0.7768","0.822","0.7445999999999999"
"30240000","0.7855999999999999","0.8042","0.7594"
"30420000","0.7936","0.8178","0.7432"
"30600000","0.804","0.813","0.7324"
"30780000","0.7972","0.8165999999999999","0.7706"
"30960000","0.795","0.8158","0.7457999999999999"
"31140000","0.8078","0.8326","0.7392000000000001"
"31320000","0.8002","0.8118","0.7474"
"31500000","0.8344","0.8136","0.7575999999999999"
"31680000","0.8178","0.8138000000000001","0.7862"
"31860000","0.813","0.813","0.7627999999999999"
"32040000","0.8084000000000001","0.8373999999999999","0.7586"
"32220000","0.8326","0.8286","0.7782"
"32400000","0.8416","0.8154000000000001","0.7872"
"32580000","0.83","0.8344","0.7615999999999999"
"32760000","0.8208","0.8058000000000001","0.7286"
"32940000","0.8298","0.8224","0.7792"
"33120000","0.8142","0.8208","0.783"
"33300000","0.806","0.807","0.7664"
"33480000","0.8292","0.8354","0.77"
"33660000","0.8423999999999998","0.8348","0.7672"
"33840000","0.8314","0.8272","0.7942"
"34020000","0.8284000000000001","0.8214","0.8078"
"34200000","0.8414","0.813","0.7797999999999999"
"34380000","0.8622","0.8468000000000001","0.8008000000000001"
"34560000","0.8618000000000001","0.842","0.797"
"34740000","0.8473999999999999","0.8168","0.7757999999999999"
"34920000","0.8787999999999999","0.8156","0.799"
"35100000","0.8543999999999999","0.8364000000000001","0.777"
"35280000","0.8513999999999999","0.8294000000000001","0.7958000000000001"
"35460000","0.8505999999999999","0.8314","0.8238000000000001"
"35640000","0.828","0.838","0.7982"
"35820000","0.8448","0.8528000000000001","0.817"
"36000000","0.8462000000000001","0.84","0.8188"
"36180000","0.8767999999999999","0.8667999999999999","0.8118"
"36360000","0.8652000000000001","0.866","0.817"
"36540000","0.8588","0.862","0.803"
"36720000","0.8646","0.8685999999999999","0.8216"
"36900000","0.8625999999999999","0.8633999999999998","0.7893999999999999"
"37080000","0.8582000000000001","0.8354","0.818"
"37260000","0.8482000000000001","0.8686000000000001","0.8008000000000001"
"37440000","0.8415999999999999","0.8602","0.8032"
"37620000","0.8556","0.8734","0.8295999999999999"
"37800000","0.8524","0.8726","0.8102"
"37980000","0.8722000000000001","0.862","0.843"
"38160000","0.8656","0.8632000000000001","0.8288"
"38340000","0.8644000000000001","0.8583999999999999","0.8225999999999999"
"38520000","0.876","0.8538","0.8338"
"38700000","0.8795999999999999","0.8544","0.813"
"38880000","0.8513999999999998","0.8524","0.8548"
"39060000","0.8712000000000001","0.865","0.8453999999999999"
"39240000","0.8887999999999999","0.8543999999999999","0.8155999999999999"
"39420000","0.8677999999999999","0.851","0.8236000000000001"
"39600000","0.8684000000000001","0.8762000000000001","0.8284"
"39780000","0.8772000000000001","0.8655999999999999","0.835"
"39960000","0.884","0.8824","0.8298"
"40140000","0.885","0.8812000000000001","0.831"
"40320000","0.8766","0.8553999999999999","0.836"
"40500000","0.8636","0.8846","0.8438"
"40680000","0.8834","0.8622","0.8234"
"40860000","0.8757999999999999","0.8598","0.831"
"41040000","0.8952","0.8697999999999999","0.8442"
"41220000","0.8832000000000001","0.8413999999999999","0.8236"
"41400000","0.8862000000000001","0.8698","0.8465999999999999"
"41580000","0.8867999999999999","0.8846","0.8364000000000001"
"41760000","0.8877999999999999","0.891","0.8364"
"41940000","0.8846","0.876","0.8442000000000001"
"42120000","0.8934","0.8466","0.869"
"42300000","0.8877999999999999","0.8816","0.859"
"42480000","0.8924000000000001","0.8817999999999999","0.8672"
"42660000","0.8926","0.876","0.8478"
"42840000","0.89","0.8848","0.8755999999999999"
"43020000","0.886","0.8774","0.8716"
"43200000","0.9116","0.9022","0.8792000000000001"
"43380000","0.9172","0.8728","0.8586"
"43560000","0.8956000000000001","0.8867999999999999","0.8842000000000001"
"43740000","0.896","0.8834000000000001","0.8744"
"43920000","0.9116","0.8824","0.8892"
"44100000","0.8971999999999999","0.8926000000000001","0.8825999999999999"
"44280000","0.8914","0.8898","0.8827999999999999"
"44460000","0.8877999999999999","0.8797999999999999","0.883"
"44640000","0.907","0.877","0.8606"
"44820000","0.9062","0.9","0.8666"
"45000000","0.9262","0.903","0.8917999999999999"
"45180000","0.9062","0.8937999999999999","0.8838"
"45360000","0.915","0.8936000000000001","0.876"
"45540000","0.9022","0.8824000000000001","0.8684"
"45720000","0.907","0.8896","0.9028"
"45900000","0.9202","0.8957999999999999","0.8857999999999999"
"46080000","0.9128","0.9112","0.8896"
"46260000","0.9066","0.9024","0.8712"
"46440000","0.9142","0.9134","0.8952"
"46620000","0.9032","0.8834","0.8746"
"46800000","0.9036","0.923","0.888"
"46980000","0.9032","0.8956000000000001","0.895"
"47160000","0.9132","0.907","0.867"
"47340000","0.9102","0.9058","0.8787999999999999"
"47520000","0.8986000000000001","0.8854","0.8977999999999999"
"47700000","0.9104","0.9138","0.8987999999999999"
"47880000","0.9014","0.896","0.8942"
"48060000","0.899","0.905","0.9048"
"48240000","0.9122","0.9106","0.9152"
"48420000","0.9158","0.9134","0.8892"
"48600000","0.9204","0.9102","0.8874"
"48780000","0.9074","0.9276","0.903"
"48960000","0.915","0.9166","0.8931999999999999"
"49140000","0.9132","0.897","0.9022"
"49320000","0.9172","0.9158","0.9068"
"49500000","0.9094","0.8902","0.8927999999999999"
"49680000","0.9102","0.9186","0.918"
"49860000","0.9166","0.9098","0.9028"
"50040000","0.924","0.9242","0.906"
"50220000","0.9204","0.9024","0.9116"
"50400000","0.9228","0.9104","0.899"
"50580000","0.91","0.9082","0.8987999999999999"
"50760000","0.9348","0.923","0.907"
"50940000","0.9162","0.919","0.9026"
"51120000","0.9154","0.9162","0.8834000000000001"
"51300000","0.9228","0.936","0.8924000000000001"
"51480000","0.9302","0.9306","0.8967999999999999"
"51660000","0.9296","0.9132","0.9162"
"51840000","0.918","0.9242","0.9106"
"52020000","0.9222","0.9182","0.9174"
"52200000","0.927","0.9122","0.9138"
"52380000","0.9268","0.9294","0.9314"
"52560000","0.9288","0.9224","0.9256"
"52740000","0.9174","0.9352","0.9174"
"52920000","0.945","0.9394","0.9396"
"53100000","0.922","0.9292","0.9184"
"53280000","0.938","0.9294","0.9384"
"53460000","0.9344","0.9418","0.912"
"53640000","0.933","0.9438","0.9328"
"53820000","0.9312","0.9428","0.9264"
"54000000","0.9224","0.9376","0.9264"
"54180000","0.9278","0.9332","0.9176"
"54360000","0.9368","0.9282","0.9404"
"54540000","0.937","0.921","0.9276"
"54720000","0.9164","0.93","0.9176"
"54900000","0.9194","0.9264","0.9418"
"55080000","0.932","0.9178","0.9216"
"55260000","0.9356","0.9326","0.9406"
"55440000","0.9338","0.9302","0.9234"
"55620000","0.941","0.9218","0.9504"
"55800000","0.931","0.919","0.942"
"55980000","0.9392","0.9378","0.935"
"56160000","0.94","0.9168","0.939"
"56340000","0.9272","0.928","0.9102"
"56520000","0.9204","0.9222","0.9134"
"56700000","0.922","0.9272","0.9188"
"56880000","0.9432","0.9184","0.93"
"57060000","0.937","0.9068","0.9222"
"57240000","0.9208","0.933","0.9372"
"57420000","0.9294","0.9252","0.9474"
"57600000","0.9132","0.9318","0.935"
"57780000","0.9392","0.9316","0.9476"
"57960000","0.9274","0.9274","0.9414"
"58140000","0.9124","0.9356","0.9376"
"58320000","0.929","0.9392","0.9224"
"58500000","0.9186","0.901","0.9246"
"58680000","0.9258","0.9174","0.923"
"58860000","0.9176","0.9234","0.951"
"59040000","0.944","0.9244","0.946"
"59220000","0.937","0.9304","0.9418"
"59400000","0.9164","0.9356","0.9284"
"59580000","0.9266","0.9292","0.9172"
"59760000","0.9372","0.9214","0.9254"
"59940000","0.9278","0.9096","0.9364"
"60120000","0.927","0.9474","0.9498"
"60300000","0.9366","0.9382","0.9438"
"60480000","0.934","0.9458","0.927"
"60660000","0.9314","0.932","0.9478"
"60840000","0.9372","0.9286","0.9418"
"61020000","0.9312","0.9218","0.9238"
"61200000","0.9502","0.9084","0.9316"
"61380000","0.9438","0.9174","0.9292"
"61560000","0.954","0.927","0.909"
"61740000","0.9398","0.9282","0.9394"
"61920000","0.939","0.9316","0.9368"
"62100000","0.9342","0.9408","0.9222"
"62280000","0.927","0.939","0.9214"
"62460000","0.9402","0.9436","0.9416"
"62640000","0.934","0.9304","0.9396"
"62820000","0.9416","0.9512","0.9512"
"63000000","0.9368","0.9422","0.9412"
"63180000","0.9414","0.9462","0.9476"
"63360000","0.9438","0.9248","0.9512"
"63540000","0.9546","0.9532","0.9422"
"63720000","0.9396","0.9382","0.9286"
"63900000","0.9516","0.923","0.9502"
"64080000","0.9556","0.9478","0.945"
"64260000","0.9366","0.939","0.9454"
"64440000","0.9504","0.9358","0.9398"
"64620000","0.9358","0.9416","0.9546"
"64800000","0.9356","0.9354","0.9524"
"64980000","0.9274","0.9534","0.9506"
"65160000","0.942","0.9316","0.964"
"65340000","0.9566","0.953","0.948"
"65520000","0.9478","0.9534","0.9412"
"65700000","0.9512","0.9444","0.9352"
"65880000","0.9304","0.949","0.9502"
"66060000","0.944","0.9434","0.9432"
"66240000","0.9504","0.942","0.9566"
"66420000","0.9274","0.9702","0.9346"
"66600000","0.9476","0.9582","0.9562"
"66780000","0.9566","0.9468","0.9522"
"66960000","0.945","0.9496","0.96"
"67140000","0.9486","0.9336","0.9514"
"67320000","0.9316","0.9472","0.9502"
"67500000","0.9466","0.9528","0.9492"
"67680000","0.9454","0.9458","0.9522"
"67860000","0.9354","0.9552","0.9596"
"68040000","0.9478","0.9508","0.9518"
"68220000","0.9366","0.9296","0.9536"
"68400000","0.9316","0.9508","0.9642"
"68580000","0.9494","0.9402","0.9582"
"68760000","0.9444","0.9438","0.9634"
"68940000","0.95","0.9536","0.9774"
"69120000","0.939","0.9538","0.9652"
"69300000","0.9402","0.9414","0.9644"
"69480000","0.9466","0.9422","0.959"
"69660000","0.9538","0.9458","0.9528"
"69840000","0.9528","0.9384","0.9586"
"70020000","0.9438","0.9496","0.9498"
"70200000","0.9584","0.9398","0.961"
"70380000","0.9196","0.9416","0.9558"
"70560000","0.9392","0.9594","0.9654"
"70740000","0.9458","0.9434","0.9632"
"70920000","0.939","0.9628","0.9704"
"71100000","0.9454","0.948","0.9598"
"71280000","0.9426","0.9522","0.9626"
"71460000","0.9388","0.9428","0.9686"
"71640000","0.948","0.9638","0.957"
"71820000","0.9472","0.9494","0.9434"
"72000000","0.9566","0.9544","0.9542"
"72180000","0.9504","0.9516","0.975"
"72360000","0.9506","0.9576","0.9606"
"72540000","0.9434","0.9492","0.967"
"72720000","0.9404","0.9588","0.9604"
"72900000","0.9412","0.9406","0.9614"
"73080000","0.951","0.9476","0.9538"
"73260000","0.9468","0.9446","0.9668"
"73440000","0.9452","0.962","0.962"
"73620000","0.9494","0.9536","0.965"
"73800000","0.9544","0.9534","0.9528"
"73980000","0.929","0.9552","0.969"
"74160000","0.9496","0.9408","0.9576"
"74340000","0.9412","0.9386","0.972"
"74520000","0.9484","0.9342","0.9528"
"74700000","0.947","0.9514","0.9584"
"74880000","0.9344","0.9534","0.9572"
"75060000","0.9338","0.9474","0.966"
"75240000","0.9514","0.9362","0.9682"
"75420000","0.9386","0.9534","0.9568"
"75600000","0.947","0.948","0.9616"
"75780000","0.948","0.94","0.9632"
"75960000","0.9486","0.9554","0.9646"
"76140000","0.9526","0.9538","0.967"
"76320000","0.926","0.9528","0.9604"
"76500000","0.93","0.947","0.9648"
"76680000","0.9422","0.9648","0.9542"
"76860000","0.9382","0.9546","0.9602"
"77040000","0.945","0.9596","0.957"
"77220000","0.9496","0.9452","0.9714"
"77400000","0.9452","0.9544","0.9592"
"77580000","0.955","0.9552","0.9648"
"77760000","0.9388","0.955","0.973"
"77940000","0.9328","0.9544","0.9658"
"78120000","0.9472","0.9574","0.9686"
"78300000","0.949","0.953","0.971"
"78480000","0.9654","0.9564","0.9772"
"78660000","0.9454","0.9546","0.9666"
"78840000","0.9472","0.9604","0.97"
"79020000","0.9286","0.9588","0.9492"
"79200000","0.9434","0.9554","0.9644"
"79380000","0.9472","0.9574","0.9646"
"79560000","0.9458","0.953","0.968"
"79740000","0.951","0.9664","0.9654"
"79920000","0.946","0.9554","0.9652"
