"Step","reverse_pb_eval1_diversified_seed1 - cover_rate_5step","reverse_pb_eval1_diversified_seed2 - cover_rate_5step","reverse_pb_eval1_diversified_seed3 - cover_rate_5step"
"37680000","0.3376","0.4276","0.7298"
"37740000","0.3372","0.4154","0.7363999999999999"
"37800000","0.3482","0.4154","0.7274"
"37860000","0.3372","0.3996","0.718"
"37920000","0.312","0.4156","0.7182000000000001"
"37980000","0.3266","0.4356","0.7527999999999999"
"38040000","0.3414","0.414","0.7585999999999999"
"38100000","0.3622","0.4234","0.719"
"38160000","0.3412","0.438","0.7158"
"38220000","0.32580000000000003","0.4214","0.729"
"38280000","0.323","0.4198","0.7595999999999999"
"38340000","0.343","0.415","0.7222000000000001"
"38400000","0.34840000000000004","0.4206","0.7348"
"38460000","0.34479999999999994","0.4177999999999999","0.7424"
"38520000","0.3468","0.4167999999999999","0.7163999999999999"
"38580000","0.32920000000000005","0.4244","0.7447999999999999"
"38640000","0.3374","0.41579999999999995","0.7414"
"38700000","0.34","0.4363999999999999","0.7494"
"38760000","0.31639999999999996","0.4178","0.7414000000000001"
"38820000","0.3548","0.4187999999999999","0.7456"
"38880000","0.3444","0.4276","0.7385999999999999"
"38940000","0.33080000000000004","0.4066","0.7432000000000001"
"39000000","0.33979999999999994","0.4154000000000001","0.7162"
"39060000","0.33879999999999993","0.426","0.7323999999999999"
"39120000","0.3324","0.4352","0.7305999999999999"
"39180000","0.3424","0.4348","0.7272000000000001"
"39240000","0.3422","0.4172","0.7474000000000001"
"39300000","0.33","0.4272","0.7514"
"39360000","0.3344","0.41179999999999994","0.7302000000000001"
"39420000","0.3226","0.4298","0.7243999999999999"
"39480000","0.3348","0.44359999999999994","0.7342000000000001"
"39540000","0.34220000000000006","0.4084","0.7437999999999999"
"39600000","0.3498","0.4484","0.7404000000000001"
"39660000","0.34140000000000004","0.4404","0.7388000000000001"
"39720000","0.3458","0.4498","0.7468"
"39780000","0.342","0.4422","0.7427999999999999"
"39840000","0.3746","0.4096","0.7296"
"39900000","0.3492","0.4486","0.7464"
"39960000","0.3476","0.4524","0.7442000000000001"
"40020000","0.362","0.4323999999999999","0.7435999999999999"
"40080000","0.33679999999999993","0.4388","0.7373999999999998"
"40140000","0.3654","0.4652","0.747"
"40200000","0.3624","0.438","0.7472000000000001"
"40260000","0.351","0.4478","0.7414"
"40320000","0.3502","0.4262","0.7362"
"40380000","0.35579999999999995","0.4362","0.761"
"40440000","0.3683999999999999","0.4422","0.7664"
"40500000","0.348","0.4214","0.7466"
"40560000","0.3642","0.4512000000000001","0.73"
"40620000","0.3488","0.446","0.734"
"40680000","0.3564","0.4338","0.739"
"40740000","0.3514","0.4552","0.7396"
"40800000","0.376","0.4478","0.7415999999999999"
"40860000","0.3554","0.445","0.7394000000000001"
"40920000","0.35120000000000007","0.4398","0.746"
"40980000","0.3733999999999999","0.4502","0.7426"
"41040000","0.3452","0.4498","0.7526"
"41100000","0.3374","0.4372","0.7305999999999999"
"41160000","0.3402","0.4363999999999999","0.7627999999999999"
"41220000","0.367","0.4434","0.7535999999999999"
"41280000","0.3608","0.4278","0.7642"
"41340000","0.3536","0.445","0.7417999999999999"
"41400000","0.3436","0.4616","0.7487999999999999"
"41460000","0.35660000000000003","0.4522","0.7427999999999999"
"41520000","0.3476","0.4714","0.7328"
"41580000","0.342","0.4464","0.7556"
"41640000","0.3772","0.4422","0.765"
"41700000","0.3888","0.4636","0.7407999999999999"
"41760000","0.3498","0.4506","0.752"
"41820000","0.3802","0.46879999999999994","0.7702"
"41880000","0.362","0.4774000000000001","0.7515999999999999"
"41940000","0.353","0.4374","0.7767999999999999"
"42000000","0.36","0.447","0.753"
"42060000","0.3492","0.4508","0.7697999999999999"
"42120000","0.34420000000000006","0.4728","0.7644000000000001"
"42180000","0.3672","0.47220000000000006","0.7604"
"42240000","0.34620000000000006","0.469","0.7637999999999999"
"42300000","0.3666","0.4598","0.762"
"42360000","0.3654","0.4664","0.7906"
"42420000","0.3722","0.4756","0.7737999999999999"
"42480000","0.3702","0.4748","0.769"
"42540000","0.3746","0.4817999999999999","0.7728"
"42600000","0.3652","0.46579999999999994","0.757"
"42660000","0.35619999999999996","0.47120000000000006","0.7534"
"42720000","0.3848","0.4736","0.7492000000000001"
"42780000","0.35679999999999995","0.4786","0.7534"
"42840000","0.36","0.4862","0.7684"
"42900000","0.363","0.4718","0.777"
"42960000","0.386","0.474","0.756"
"43020000","0.3768","0.4566","0.7744"
"43080000","0.365","0.4864","0.7692"
"43140000","0.3658","0.4674","0.7986"
"43200000","0.3818","0.4796","0.7867999999999999"
"43260000","0.3804","0.4818","0.7607999999999999"
"43320000","0.3782","0.4962","0.7627999999999999"
"43380000","0.35879999999999995","0.4966","0.769"
"43440000","0.3678","0.47","0.7807999999999999"
"43500000","0.361","0.4854","0.7716"
"43560000","0.3902","0.4832","0.77"
"43620000","0.367","0.4806","0.7658"
"43680000","0.3744","0.4746","0.7696"
"43740000","0.3617999999999999","0.4953999999999999","0.7834"
"43800000","0.38159999999999994","0.4734","0.8002"
"43860000","0.3686","0.4918","0.8036"
"43920000","0.3862","0.4906","0.776"
"43980000","0.3902000000000001","0.4696","0.7822"
"44040000","0.3676","0.4926","0.8055999999999999"
"44100000","0.3706","0.483","0.7978000000000001"
"44160000","0.3806000000000001","0.5055999999999999","0.7786000000000001"
"44220000","0.3738","0.4787999999999999","0.783"
"44280000","0.3782","0.482","0.7826"
"44340000","0.375","0.5012","0.796"
"44400000","0.3896","0.4938","0.7952"
"44460000","0.3774","0.5038","0.7908"
"44520000","0.3908","0.4966","0.773"
"44580000","0.3882","0.4996","0.7952"
"44640000","0.3703999999999999","0.5114000000000001","0.7928"
"44700000","0.3956","0.509","0.813"
"44760000","0.3834","0.5142","0.806"
"44820000","0.3702","0.5476","0.787"
"44880000","0.3836","0.5116","0.8148"
"44940000","0.4044","0.5197999999999999","0.7784"
"45000000","0.383","0.5272","0.8038"
"45060000","0.3884","0.4978","0.7727999999999999"
"45120000","0.3934","0.4968","0.7802"
"45180000","0.4068","0.5118","0.8162"
"45240000","0.3758","0.5034","0.8094"
"45300000","0.3786000000000001","0.523","0.79"
"45360000","0.3736","0.5202","0.7777999999999999"
"45420000","0.3956","0.5405999999999999","0.778"
"45480000","0.40079999999999993","0.5124","0.7864"
"45540000","0.4018","0.5266000000000001","0.7774"
"45600000","0.39379999999999993","0.507","0.813"
"45660000","0.41220000000000007","0.5142","0.8178"
"45720000","0.408","0.5574","0.7988000000000001"
"45780000","0.4032","0.5484","0.8074000000000001"
"45840000","0.39579999999999993","0.5187999999999999","0.7986"
"45900000","0.40420000000000006","0.5197999999999999","0.819"
"45960000","0.3936","0.5164","0.8094"
"46020000","0.3824","0.5216000000000001","0.7998"
"46080000","0.4044","0.5644","0.7904"
"46140000","0.3918","0.531","0.8026000000000001"
"46200000","0.3942000000000001","0.507","0.8038"
"46260000","0.4164","0.519","0.7906"
"46320000","0.40179999999999993","0.519","0.7934"
"46380000","0.3944","0.5396","0.7962"
"46440000","0.398","0.543","0.8126"
"46500000","0.3928","0.5217999999999999","0.8002"
"46560000","0.40420000000000006","0.522","0.8068"
"46620000","0.4016","0.537","0.8026"
"46680000","0.396","0.535","0.8004"
"46740000","0.41479999999999995","0.5414000000000001","0.799"
"46800000","0.4216","0.5164","0.823"
"46860000","0.4244","0.5292","0.818"
"46920000","0.3984","0.5444","0.8134000000000001"
"46980000","0.4022","0.5414000000000001","0.808"
"47040000","0.39779999999999993","0.5718","0.832"
"47100000","0.4174000000000001","0.5654000000000001","0.8045999999999999"
"47160000","0.4316","0.561","0.8084"
"47220000","0.4026","0.5464","0.801"
"47280000","0.4262","0.537","0.8036"
"47340000","0.4116","0.5532","0.8198"
"47400000","0.4388","0.5568","0.8254000000000001"
"47460000","0.4182","0.5326000000000001","0.8115999999999999"
"47520000","0.4254","0.5532","0.8142"
"47580000","0.429","0.5556","0.8398000000000001"
"47640000","0.4294","0.5394","0.8028"
"47700000","0.432","0.5761999999999999","0.8118"
"47760000","0.4044","0.5297999999999999","0.8164"
"47820000","0.4366","0.55","0.8136"
"47880000","0.426","0.5518","0.8196"
"47940000","0.4244","0.5492","0.808"
"48000000","0.4182","0.5287999999999999","0.8126"
"48060000","0.4333999999999999","0.5307999999999999","0.8052"
"48120000","0.4126","0.5402","0.8238"
"48180000","0.4224","0.5658","0.8144"
"48240000","0.4084","0.54","0.7954"
"48300000","0.423","0.552","0.8228"
"48360000","0.424","0.5404000000000001","0.8348"
"48420000","0.4313999999999999","0.5331999999999999","0.8126"
"48480000","0.4242","0.5227999999999999","0.8236"
"48540000","0.425","0.5535999999999999","0.8402000000000001"
"48600000","0.4248","0.531","0.8392000000000001"
"48660000","0.4254","0.5484000000000001","0.8385999999999999"
"48720000","0.4353999999999999","0.5551999999999999","0.8064000000000001"
"48780000","0.4323999999999999","0.5464","0.832"
"48840000","0.41","0.5354","0.8321999999999999"
"48900000","0.4222","0.5644","0.8194000000000001"
"48960000","0.4296","0.5324000000000001","0.8256"
"49020000","0.4228","0.5422","0.8398"
"49080000","0.415","0.5455999999999999","0.82"
"49140000","0.4058","0.5117999999999999","0.8356"
"49200000","0.4044","0.5474000000000001","0.8238"
"49260000","0.4348","0.5232","0.8323999999999999"
"49320000","0.4156","0.5428000000000001","0.8492000000000001"
"49380000","0.4252","0.533","0.8298"
"49440000","0.4196","0.5782","0.8272"
"49500000","0.4398","0.5534","0.8354000000000001"
"49560000","0.4246","0.5596","0.8552000000000001"
"49620000","0.422","0.5754000000000001","0.8285999999999999"
"49680000","0.411","0.5476","0.8545999999999999"
"49740000","0.4196","0.5502","0.8286"
"49800000","0.4408","0.5645999999999999","0.8268000000000001"
"49860000","0.437","0.5546","0.8654000000000001"
"49920000","0.4256","0.553","0.8182"
"49980000","0.446","0.5592","0.8201999999999999"
"50040000","0.4288","0.5474","0.8446"
"50100000","0.4242","0.5642","0.8334000000000001"
"50160000","0.4328","0.5412","0.8403999999999999"
"50220000","0.4336","0.585","0.821"
"50280000","0.4486","0.5634000000000001","0.8282"
"50340000","0.432","0.5622","0.829"
"50400000","0.4456","0.5588000000000001","0.8216"
"50460000","0.433","0.5696","0.8376"
"50520000","0.4536","0.5356000000000001","0.82"
"50580000","0.4422","0.5418","0.852"
"50640000","0.4514","0.578","0.8278"
"50700000","0.4392","0.546","0.8482000000000001"
"50760000","0.4502","0.5551999999999999","0.8393999999999999"
"50820000","0.4472","0.5638","0.8254"
"50880000","0.4486","0.5484000000000001","0.8324"
"50940000","0.437","0.5645999999999999","0.8348"
"51000000","0.4562","0.5642","0.8275999999999999"
"51060000","0.4482","0.5654","0.8344"
"51120000","0.4426","0.5684","0.8086"
"51180000","0.4402","0.5756","0.8344"
"51240000","0.4454","0.5898","0.8274000000000001"
"51300000","0.4674","0.5564","0.832"
"51360000","0.4542000000000001","0.5738","0.8222"
"51420000","0.4694","0.5742","0.8422000000000001"
"51480000","0.4254","0.5568","0.8442000000000001"
"51540000","0.439","0.5734","0.8204"
"51600000","0.4464","0.5641999999999999","0.8388"
"51660000","0.444","0.568","0.8154000000000001"
"51720000","0.444","0.5788","0.8373999999999999"
"51780000","0.4474","0.5768","0.8478"
"51840000","0.456","0.5628","0.8256"
"51900000","0.457","0.5785999999999999","0.8312"
"51960000","0.469","0.56","0.831"
"52020000","0.4554","0.5478","0.8256"
"52080000","0.4668","0.5585999999999999","0.8124"
"52140000","0.4414","0.5508000000000001","0.8244"
"52200000","0.4604","0.5758","0.8422000000000001"
"52260000","0.4284","0.5698","0.832"
"52320000","0.4628","0.5648","0.8048000000000001"
"52380000","0.4658","0.5902","0.834"
"52440000","0.4807999999999999","0.5614000000000001","0.8322"
"52500000","0.4682","0.5938","0.8398"
"52560000","0.4376","0.5958","0.8278"
"52620000","0.4632","0.5892000000000001","0.8512000000000001"
"52680000","0.4696","0.5798","0.8364000000000001"
"52740000","0.4688","0.5635999999999999","0.8472"
"52800000","0.4588","0.567","0.8248"
"52860000","0.4528","0.6026","0.8475999999999999"
"52920000","0.4756","0.5958","0.8385999999999999"
"52980000","0.4662","0.5861999999999999","0.85"
"53040000","0.4476","0.6136","0.8448"
"53100000","0.4568","0.6032000000000001","0.8508"
"53160000","0.46379999999999993","0.5816","0.8246"
"53220000","0.4526","0.612","0.854"
"53280000","0.4498","0.6006","0.8298"
"53340000","0.455","0.6142000000000001","0.8354"
"53400000","0.4698","0.6137999999999999","0.8502000000000001"
"53460000","0.4436000000000001","0.579","0.8332"
"53520000","0.4644","0.6102000000000001","0.8458"
"53580000","0.464","0.5791999999999999","0.851"
"53640000","0.4516","0.5928","0.8452000000000001"
"53700000","0.4686","0.6004","0.862"
"53760000","0.4766","0.5905999999999999","0.8168"
"53820000","0.4555999999999999","0.633","0.8618000000000001"
"53880000","0.4658","0.584","0.8458"
"53940000","0.4448","0.5752","0.8464"
"54000000","0.4696","0.5854","0.8498"
"54060000","0.469","0.5995999999999999","0.8627999999999999"
"54120000","0.4346","0.6058","0.8368"
"54180000","0.4722","0.6232000000000001","0.8478"
"54240000","0.469","0.6147999999999999","0.8284"
"54300000","0.4898","0.6038","0.8508"
"54360000","0.475","0.6274","0.842"
"54420000","0.482","0.6098","0.821"
"54480000","0.4868","0.62","0.8624"
"54540000","0.4674","0.5936","0.8365999999999999"
"54600000","0.4936","0.5948","0.8324"
"54660000","0.483","0.5882000000000001","0.8448"
"54720000","0.46920000000000006","0.596","0.8565999999999999"
"54780000","0.46779999999999994","0.606","0.8694000000000001"
"54840000","0.4892","0.614","0.8568"
"54900000","0.4826","0.6154000000000001","0.8486"
"54960000","0.4776","0.6105999999999999","0.8637999999999999"
"55020000","0.4754","0.6322000000000001","0.8483999999999999"
"55080000","0.4896","0.6085999999999999","0.8504"
"55140000","0.4806","0.6145999999999999","0.859"
"55200000","0.4856","0.6058","0.8382000000000001"
"55260000","0.4816","0.6052000000000001","0.857"
"55320000","0.4654","0.6152","0.8516"
"55380000","0.4876","0.629","0.8842000000000001"
"55440000","0.492","0.6186","0.8354000000000001"
"55500000","0.5032000000000001","0.6388","0.8754"
"55560000","0.4968","0.6042000000000001","0.843"
"55620000","0.4972","0.5748","0.847"
"55680000","0.484","0.637","0.8695999999999999"
"55740000","0.487","0.6232000000000001","0.8613999999999999"
"55800000","0.4986","0.6003999999999999","0.8504"
"55860000","0.4868","0.622","0.8624"
"55920000","0.4958","0.6284","0.8563999999999999"
"55980000","0.4804","0.622","0.8545999999999999"
"56040000","0.4554","0.6236","0.8795999999999999"
"56100000","0.4716","0.6382000000000001","0.82"
"56160000","0.4962","0.6307999999999999","0.8424"
"56220000","0.4862","0.627","0.8453999999999999"
"56280000","0.495","0.6237999999999999","0.8474"
"56340000","0.4952","0.6132000000000001","0.8644000000000001"
"56400000","0.4866","0.6604","0.8722"
"56460000","0.4973999999999999","0.6162000000000001","0.8512000000000001"
"56520000","0.4852","0.622","0.8644000000000001"
"56580000","0.48940000000000006","0.6237999999999999","0.8605999999999999"
"56640000","0.4946","0.5883999999999999","0.8573999999999999"
"56700000","0.4892","0.6336","0.86"
"56760000","0.4787999999999999","0.6384000000000001","0.8635999999999999"
"56820000","0.5004","0.6546000000000001","0.8448"
"56880000","0.4952","0.6406000000000001","0.8613999999999999"
"56940000","0.5012","0.6416000000000001","0.8582000000000001"
"57000000","0.4978","0.6157999999999999","0.8736"
"57060000","0.4842","0.6354","0.8522000000000001"
"57120000","0.4924","0.6336","0.874"
"57180000","0.465","0.6224000000000001","0.8526"
"57240000","0.4894","0.6012000000000001","0.866"
"57300000","0.4896","0.633","0.861"
"57360000","0.4736","0.6267999999999999","0.8608"
"57420000","0.48","0.6232","0.8812000000000001"
"57480000","0.4956","0.6287999999999999","0.8462000000000001"
"57540000","0.4972","0.6266000000000002","0.8548"
"57600000","0.49","0.6374000000000001","0.8632"
"57660000","0.5114","0.6362000000000001","0.8724000000000001"
"57720000","0.4886","0.637","0.872"
"57780000","0.4924","0.6362000000000001","0.8514"
"57840000","0.4824","0.6446","0.8655999999999999"
"57900000","0.5094000000000001","0.66","0.8647999999999999"
"57960000","0.4888","0.639","0.8508"
"58020000","0.4932","0.6325999999999999","0.872"
"58080000","0.5137999999999999","0.6472","0.8722000000000001"
"58140000","0.4994","0.6377999999999999","0.865"
"58200000","0.4898","0.646","0.8634000000000001"
"58260000","0.5022","0.6254","0.8734"
"58320000","0.4794","0.6698","0.8676"
"58380000","0.518","0.6662","0.8588"
"58440000","0.509","0.6722","0.8702000000000001"
"58500000","0.5112","0.6656","0.8612000000000001"
"58560000","0.5187999999999999","0.6196","0.8612000000000001"
"58620000","0.4904","0.6272000000000001","0.8732000000000001"
"58680000","0.5095999999999999","0.6484","0.8382000000000001"
"58740000","0.502","0.6574","0.8612000000000001"
"58800000","0.5141999999999999","0.6587999999999999","0.8623999999999999"
"58860000","0.528","0.6592","0.8737999999999999"
"58920000","0.5196000000000001","0.6562","0.8726"
"58980000","0.5146000000000001","0.6516000000000001","0.8588"
"59040000","0.5136000000000001","0.6644","0.8694"
"59100000","0.51","0.6732","0.8538"
"59160000","0.517","0.6474","0.8716"
"59220000","0.5202","0.6824000000000001","0.8512"
"59280000","0.5056","0.6966","0.8488"
"59340000","0.5078","0.6704000000000001","0.8797999999999999"
"59400000","0.4946","0.6577999999999999","0.8784000000000001"
"59460000","0.5156000000000001","0.6696","0.8705999999999999"
"59520000","0.5028","0.6586000000000001","0.8692000000000001"
"59580000","0.5286000000000001","0.6804000000000001","0.8834"
"59640000","0.5344","0.6742","0.8684000000000001"
"59700000","0.507","0.6581999999999999","0.846"
"59760000","0.5047999999999999","0.6654","0.8754"
"59820000","0.511","0.675","0.8642000000000001"
"59880000","0.51","0.6587999999999999","0.8664"
"59940000","0.5247999999999999","0.6735999999999999","0.8428"
"60000000","0.5468000000000001","0.683","0.877"
"60060000","0.5132000000000001","0.6961999999999999","0.8707999999999999"
"60120000","0.533","0.6694000000000001","0.8603999999999999"
"60180000","0.523","0.6666","0.871"
"60240000","0.494","0.652","0.8804"
"60300000","0.5187999999999999","0.6684000000000001","0.8706"
"60360000","0.544","0.6752","0.8508"
"60420000","0.513","0.6768","0.8887999999999999"
"60480000","0.533","0.6544","0.8802000000000001"
"60540000","0.5046","0.6775999999999999","0.8704"
"60600000","0.5254","0.641","0.8726"
"60660000","0.5126000000000001","0.6746","0.881"
"60720000","0.521","0.6464","0.872"
"60780000","0.5372","0.6597999999999999","0.875"
"60840000","0.5484","0.6692","0.8696"
"60900000","0.5304","0.6598","0.8656"
"60960000","0.5206","0.6758","0.8724"
"61020000","0.5157999999999999","0.665","0.8585999999999999"
"61080000","0.5418","0.655","0.8944000000000001"
"61140000","0.527","0.6557999999999999","0.8745999999999999"
"61200000","0.4948","0.6864000000000001","0.8508000000000001"
"61260000","0.5176000000000001","0.6888","0.8836"
"61320000","0.5297999999999999","0.6698","0.8704"
"61380000","0.5317999999999999","0.658","0.8911999999999999"
"61440000","0.5084","0.665","0.8727999999999999"
"61500000","0.5484","0.6638","0.8834"
"61560000","0.5196000000000001","0.6554","0.8727999999999999"
"61620000","0.5515999999999999","0.6587999999999999","0.8714"
"61680000","0.5237999999999999","0.6556000000000001","0.8884"
"61740000","0.556","0.6866","0.8588000000000001"
"61800000","0.5204","0.6806","0.8764"
"61860000","0.5384","0.682","0.879"
"61920000","0.5064","0.6826","0.8927999999999999"
"61980000","0.5312","0.6855999999999999","0.874"
"62040000","0.537","0.6534","0.8775999999999999"
"62100000","0.5454","0.704","0.8847999999999999"
"62160000","0.5481999999999999","0.6865999999999999","0.8762000000000001"
"62220000","0.5574","0.6752","0.8824000000000001"
"62280000","0.5182","0.663","0.8897999999999999"
"62340000","0.5134","0.6818","0.8772000000000001"
"62400000","0.5426","0.6854","0.8746"
"62460000","0.545","0.691","0.8795999999999999"
"62520000","0.5424000000000001","0.678","0.8724"
"62580000","0.5534","0.648","0.864"
"62640000","0.5162","0.6628000000000001","0.8924000000000001"
"62700000","0.545","0.6504000000000001","0.8732000000000001"
"62760000","0.5572","0.6938000000000001","0.891"
"62820000","0.5478","0.6912","0.8922"
"62880000","0.5482","0.7056","0.877"
"62940000","0.5164000000000001","0.6914000000000001","0.8792000000000001"
"63000000","0.5395999999999999","0.6826","0.896"
"63060000","0.5622","0.6788","0.8884"
"63120000","0.5298","0.6864000000000001","0.8824"
"63180000","0.5634000000000001","0.6968000000000001","0.8906000000000001"
"63240000","0.5485999999999999","0.6586","0.8722000000000001"
"63300000","0.553","0.6871999999999999","0.8635999999999999"
"63360000","0.5342","0.6948","0.8652000000000001"
"63420000","0.5336000000000001","0.7015999999999999","0.877"
"63480000","0.5292","0.6944","0.8775999999999999"
"63540000","0.5475999999999999","0.6878","0.8784"
"63600000","0.5502","0.6902","0.874"
"63660000","0.5322","0.6922","0.8796"
"63720000","0.5367999999999999","0.7056","0.8804"
"63780000","0.5535999999999999","0.6975999999999999","0.883"
"63840000","0.5398","0.6672","0.8777999999999999"
"63900000","0.5418000000000001","0.675","0.8735999999999999"
"63960000","0.5364","0.7035999999999999","0.8932"
"64020000","0.5425999999999999","0.6884000000000001","0.8927999999999999"
"64080000","0.5516","0.6931999999999999","0.8704"
"64140000","0.5286000000000001","0.697","0.8888"
"64200000","0.532","0.7266","0.8852000000000001"
"64260000","0.5498","0.6778","0.8726"
"64320000","0.5366000000000001","0.692","0.8695999999999999"
"64380000","0.53","0.6732","0.8838"
"64440000","0.5408","0.7074","0.8754"
"64500000","0.5412","0.7018","0.8796000000000002"
"64560000","0.5624","0.6725999999999999","0.8665999999999999"
"64620000","0.5354000000000001","0.6864000000000001","0.8662000000000001"
"64680000","0.5256","0.687","0.8688"
"64740000","0.5374","0.6828","0.8944000000000001"
"64800000","0.5615999999999999","0.7014","0.8722000000000001"
"64860000","0.5385999999999999","0.7012","0.8886000000000001"
"64920000","0.553","0.709","0.867"
"64980000","0.5568","0.6888","0.8877999999999999"
"65040000","0.5544000000000001","0.7045999999999999","0.8864"
"65100000","0.5361999999999999","0.7004","0.8918"
"65160000","0.5461999999999999","0.7282","0.8937999999999999"
"65220000","0.5446","0.6975999999999999","0.8912"
"65280000","0.5624000000000001","0.6958","0.8872000000000001"
"65340000","0.5441999999999999","0.708","0.8732000000000001"
"65400000","0.5468","0.697","0.891"
"65460000","0.5376000000000001","0.7272000000000001","0.8971999999999999"
"65520000","0.518","0.7108000000000001","0.8746"
"65580000","0.5354000000000001","0.6566000000000001","0.88"
"65640000","0.5347999999999999","0.681","0.8826"
"65700000","0.552","0.723","0.8886000000000001"
"65760000","0.5582","0.7025999999999999","0.8742000000000001"
"65820000","0.5651999999999999","0.6946","0.8865999999999999"
"65880000","0.5286000000000001","0.6922","0.889"
"65940000","0.5636","0.6628","0.8796"
"66000000","0.556","0.7012","0.8737999999999999"
"66060000","0.5438","0.6962","0.9006000000000001"
"66120000","0.5386","0.669","0.9042"
"66180000","0.5622","0.6804","0.9026"
"66240000","0.558","0.6824000000000001","0.8776"
"66300000","0.5528","0.7004000000000001","0.891"
"66360000","0.592","0.6998","0.8855999999999999"
"66420000","0.5722","0.7152000000000001","0.886"
"66480000","0.5594","0.6938","0.8934"
"66540000","0.5704","0.683","0.8882000000000001"
"66600000","0.5722","0.6898","0.8867999999999999"
"66660000","0.5512","0.696","0.8824"
"66720000","0.5438","0.6984","0.8777999999999999"
"66780000","0.5822","0.7006","0.9038"
"66840000","0.5728","0.6828","0.8906"
"66900000","0.5292","0.6934","0.8916000000000001"
"66960000","0.5814000000000001","0.7014","0.8826"
"67020000","0.5612","0.693","0.8976000000000001"
"67080000","0.5634","0.71","0.8755999999999999"
"67140000","0.564","0.6994000000000001","0.899"
"67200000","0.5734000000000001","0.7058","0.9092"
"67260000","0.5622","0.6945999999999999","0.8897999999999999"
"67320000","0.587","0.73","0.896"
"67380000","0.567","0.6928","0.8696"
"67440000","0.5858","0.7016","0.8954000000000001"
"67500000","0.606","0.7228","0.8967999999999999"
"67560000","0.568","0.7034","0.897"
"67620000","0.558","0.7028","0.8976000000000001"
"67680000","0.5724","0.7032","0.8887999999999999"
"67740000","0.5716","0.715","0.8907999999999999"
"67800000","0.5918","0.7038","0.911"
"67860000","0.5636","0.687","0.895"
"67920000","0.5896","0.7115999999999999","0.89"
"67980000","0.5542","0.71","0.8906"
"68040000","0.5768000000000001","0.723","0.8992"
"68100000","0.5712","0.716","0.8982"
"68160000","0.5885999999999999","0.7362000000000001","0.895"
"68220000","0.5688","0.6856","0.9"
"68280000","0.563","0.7192000000000001","0.8846"
"68340000","0.5738000000000001","0.7142000000000001","0.8922"
"68400000","0.5674","0.6884","0.8755999999999999"
"68460000","0.5778","0.7055999999999999","0.9028"
"68520000","0.5765999999999999","0.7045999999999999","0.8892"
"68580000","0.58","0.6974","0.893"
"68640000","0.5883999999999999","0.719","0.8847999999999999"
"68700000","0.611","0.721","0.8936"
"68760000","0.5926","0.7212000000000001","0.8926000000000001"
"68820000","0.5818000000000001","0.7076","0.8874"
"68880000","0.6082000000000001","0.7232000000000001","0.9104"
"68940000","0.5808","0.6795999999999999","0.9012"
"69000000","0.5872","0.6958","0.8974"
"69060000","0.5854","0.7202000000000001","0.8932"
"69120000","0.5872","0.7066","0.8991999999999999"
"69180000","0.5895999999999999","0.6992","0.8742000000000001"
"69240000","0.5966","0.7116","0.9064"
"69300000","0.6026","0.725","0.8994000000000001"
"69360000","0.5812","0.7214","0.8837999999999999"
"69420000","0.584","0.709","0.9096000000000002"
"69480000","0.5838","0.6914","0.898"
"69540000","0.5832","0.7564","0.8954000000000001"
"69600000","0.5873999999999999","0.7178","0.9044"
"69660000","0.5933999999999999","0.7126","0.9066"
"69720000","0.5762","0.7156","0.8867999999999999"
"69780000","0.588","0.7158000000000001","0.8946000000000001"
"69840000","0.6","0.7098","0.9014"
"69900000","0.5975999999999999","0.7134000000000001","0.901"
"69960000","0.6054","0.7343999999999999","0.9128"
"70020000","0.5956","0.7226","0.9136"
"70080000","0.578","0.7158000000000001","0.8947999999999999"
"70140000","0.5792","0.7444000000000001","0.9002"
"70200000","0.604","0.7224","0.911"
"70260000","0.6108","0.7204","0.907"
"70320000","0.5865999999999999","0.7275999999999999","0.9078"
"70380000","0.584","0.7088","0.9114"
"70440000","0.5902","0.7302000000000001","0.8942"
"70500000","0.5848","0.7318","0.9002"
"70560000","0.604","0.6868","0.8994"
"70620000","0.5988","0.7395999999999999","0.9076"
"70680000","0.607","0.7708","0.9112"
"70740000","0.5876","0.7394","0.9026"
"70800000","0.5824","0.742","0.9074"
"70860000","0.6162000000000001","0.7305999999999999","0.9076"
"70920000","0.572","0.7216","0.9118"
"70980000","0.6236000000000002","0.7153999999999999","0.9034"
"71040000","0.639","0.7114000000000001","0.8944"
"71100000","0.5918","0.7356","0.8966000000000001"
"71160000","0.6062000000000001","0.731","0.9178"
"71220000","0.5834000000000001","0.7373999999999999","0.8977999999999999"
"71280000","0.5978","0.7367999999999999","0.913"
"71340000","0.6105999999999999","0.77","0.9128"
"71400000","0.5845999999999999","0.7333999999999999","0.9088"
"71460000","0.5882000000000001","0.7216","0.899"
"71520000","0.5908000000000001","0.7232000000000001","0.8922"
"71580000","0.5958","0.7612000000000001","0.9108"
"71640000","0.6003999999999999","0.7322000000000001","0.9088"
"71700000","0.5912000000000001","0.7392000000000001","0.8934000000000001"
"71760000","0.6045999999999999","0.7276","0.915"
"71820000","0.5975999999999999","0.7312000000000001","0.9108"
"71880000","0.5952000000000001","0.7444","0.8964"
"71940000","0.5988","0.7472000000000001","0.888"
"72000000","0.603","0.7422000000000001","0.9218"
"72060000","0.607","0.7348","0.9001999999999999"
"72120000","0.5952000000000001","0.73","0.9112"
"72180000","0.6023999999999999","0.7402","0.9208"
