"Step","pb_uniform_from_activeAndsolve_seed3 - 2cover_rate_5step"
"180000","0.03"
"360000","0.03"
"540000","0.036"
"720000","0.033"
"900000","0.022"
"1080000","0.041"
"1260000","0.029"
"1440000","0.029"
"1620000","0.028"
"1800000","0.033"
"1980000","0.041"
"2160000","0.044"
"2340000","0.0496"
"2520000","0.08940000000000001"
"2700000","0.0876"
"2880000","0.0972"
"3060000","0.1008"
"3240000","0.1306"
"3420000","0.138"
"3600000","0.1474"
"3780000","0.1432"
"3960000","0.128"
"4140000","0.1584"
"4320000","0.1706"
"4500000","0.1776"
"4680000","0.1714"
"4860000","0.1748"
"5040000","0.1878"
"5220000","0.21"
"5400000","0.2294"
"5580000","0.235"
"5760000","0.232"
"5940000","0.2376"
"6120000","0.26"
"6300000","0.2478"
"6480000","0.24899999999999997"
"6660000","0.2692"
"6840000","0.2862"
"7020000","0.2942000000000001"
"7200000","0.2706"
"7380000","0.294"
"7560000","0.29359999999999997"
"7740000","0.29619999999999996"
"7920000","0.288"
"8100000","0.295"
"8280000","0.3088"
"8460000","0.3118"
"8640000","0.26979999999999993"
"8820000","0.32559999999999995"
"9000000","0.31539999999999996"
"9180000","0.3158"
"9360000","0.329"
"9540000","0.33179999999999993"
"9720000","0.32"
"9900000","0.32280000000000003"
"10080000","0.3368"
"10260000","0.31839999999999996"
"10440000","0.3268"
"10620000","0.3236"
"10800000","0.3276"
"10980000","0.318"
"11160000","0.3202"
"11340000","0.35520000000000007"
"11520000","0.3272"
"11700000","0.326"
"11880000","0.3532"
"12060000","0.3556"
"12240000","0.338"
"12420000","0.3578"
"12600000","0.35640000000000005"
"12780000","0.3614"
"12960000","0.3588"
"13140000","0.33640000000000003"
"13320000","0.3584"
"13500000","0.358"
"13680000","0.33820000000000006"
"13860000","0.3758"
"14040000","0.3648"
"14220000","0.3514"
"14400000","0.3658"
"14580000","0.3608"
"14760000","0.3858"
"14940000","0.3812"
"15120000","0.3954"
"15300000","0.4008"
"15480000","0.4234"
"15660000","0.4016"
"15840000","0.3936"
"16020000","0.3952"
"16200000","0.4194"
"16380000","0.4353999999999999"
"16560000","0.4454"
"16740000","0.4323999999999999"
"16920000","0.4348"
"17100000","0.4492"
"17280000","0.4212"
"17460000","0.4416000000000001"
"17640000","0.4556"
"17820000","0.411"
"18000000","0.4343999999999999"
"18180000","0.4506"
"18360000","0.4512000000000001"
"18540000","0.4746"
"18720000","0.4292"
"18900000","0.4196"
"19080000","0.4482"
"19260000","0.4476"
"19440000","0.428"
"19620000","0.4422"
"19800000","0.4468"
"19980000","0.459"
"20160000","0.4838"
"20340000","0.4436000000000001"
"20520000","0.4502"
"20700000","0.4832"
"20880000","0.471"
"21060000","0.4472"
"21240000","0.46720000000000006"
"21420000","0.4933999999999999"
"21600000","0.5102000000000001"
"21780000","0.4898"
"21960000","0.4906"
"22140000","0.4804"
"22320000","0.5092"
"22500000","0.4868"
"22680000","0.4867999999999999"
"22860000","0.4986"
"23040000","0.5124000000000001"
"23220000","0.5098"
"23400000","0.5002000000000001"
"23580000","0.5037999999999999"
"23760000","0.523"
"23940000","0.5317999999999999"
"24120000","0.5464000000000001"
"24300000","0.5167999999999999"
"24480000","0.526"
"24660000","0.526"
"24840000","0.5316000000000001"
"25020000","0.5196000000000001"
"25200000","0.528"
"25380000","0.547"
"25560000","0.5408"
"25740000","0.542"
"25920000","0.5394000000000001"
"26100000","0.57"
"26280000","0.5484"
"26460000","0.5448"
"26640000","0.551"
"26820000","0.5574"
"27000000","0.5558"
"27180000","0.5608"
"27360000","0.5758"
"27540000","0.5774000000000001"
"27720000","0.59"
"27900000","0.5848"
"28080000","0.5624000000000001"
"28260000","0.5735999999999999"
"28440000","0.5794000000000001"
"28620000","0.6033999999999999"
"28800000","0.5738"
"28980000","0.5745999999999999"
"29160000","0.5722"
"29340000","0.5944"
"29520000","0.5828"
"29700000","0.5834000000000001"
"29880000","0.5754"
"30060000","0.573"
"30240000","0.5594"
"30420000","0.5742"
"30600000","0.6106"
"30780000","0.5774"
"30960000","0.563"
"31140000","0.587"
"31320000","0.5828"
"31500000","0.58"
"31680000","0.6098"
"31860000","0.5796000000000001"
"32040000","0.6164"
"32220000","0.5953999999999999"
"32400000","0.5992000000000001"
"32580000","0.6086"
"32760000","0.5948"
"32940000","0.621"
"33120000","0.5708"
"33300000","0.6044"
"33480000","0.6002000000000001"
"33660000","0.6098"
"33840000","0.6267999999999999"
"34020000","0.6186000000000001"
"34200000","0.6127999999999999"
"34380000","0.6274"
"34560000","0.6023999999999999"
"34740000","0.6046"
"34920000","0.6222"
"35100000","0.6214"
"35280000","0.6054"
"35460000","0.611"
"35640000","0.6406"
"35820000","0.6296"
"36000000","0.6175999999999999"
"36180000","0.6265999999999999"
"36360000","0.6542"
"36540000","0.623"
"36720000","0.6357999999999999"
"36900000","0.6272000000000001"
"37080000","0.6004"
"37260000","0.629"
"37440000","0.6076"
"37620000","0.6384"
"37800000","0.6315999999999999"
"37980000","0.6412"
"38160000","0.6427999999999999"
"38340000","0.595"
"38520000","0.6586000000000001"
"38700000","0.6105999999999999"
"38880000","0.6292"
"39060000","0.6078"
"39240000","0.6316"
"39420000","0.6277999999999999"
"39600000","0.6216"
"39780000","0.6337999999999999"
"39960000","0.6312000000000001"
"40140000","0.6437999999999999"
"40320000","0.6612"
"40500000","0.6274"
"40680000","0.6586"
"40860000","0.6602"
"41040000","0.6557999999999999"
"41220000","0.6642"
"41400000","0.6474"
"41580000","0.654"
"41760000","0.6474"
"41940000","0.6557999999999999"
"42120000","0.6421999999999999"
"42300000","0.6454000000000001"
"42480000","0.6642"
"42660000","0.6584"
"42840000","0.6702"
"43020000","0.6516"
"43200000","0.6644000000000001"
"43380000","0.6596"
"43560000","0.6824"
"43740000","0.6715999999999999"
"43920000","0.6602"
"44100000","0.6785999999999999"
"44280000","0.6742"
"44460000","0.6454"
"44640000","0.6526"
"44820000","0.6642"
"45000000","0.653"
"45180000","0.6758"
"45360000","0.684"
"45540000","0.7075999999999999"
"45720000","0.69"
"45900000","0.7168"
"46080000","0.6858"
"46260000","0.706"
"46440000","0.7298"
"46620000","0.7068"
