"Step","amigo_sp_4agents_seed3 - cover_rate_5step"
"35000","0.0025"
"70000","0.0026"
"105000","0.0019"
"140000","0.0027"
"175000","0.0016"
"210000","0.0029"
"245000","0.0024"
"280000","0.0025"
"315000","0.0027"
"350000","0.0023000000000000004"
"385000","0.0016"
"420000","0.0023"
"455000","0.0019"
"490000","0.0037"
"525000","0.0019999999999999996"
"560000","0.0012"
"595000","0.0015"
"630000","0.003"
"665000","0.0022"
"700000","0.0019"
"735000","0.0019"
"770000","0.0035"
"805000","0.0025"
"840000","0.0018"
"875000","0.0022"
"910000","0.003"
"945000","0.0024"
"980000","0.0007"
"1015000","0.0012"
"1050000","0.0009999999999999998"
"1085000","0.0017"
"1120000","0.0011"
"1155000","0.0024"
"1190000","0.0009"
"1225000","0.0017"
"1260000","0.0019000000000000004"
"1295000","0.0017"
"1330000","0.0021999999999999997"
"1365000","0.0019"
"1400000","0.0029"
"1435000","0.0019"
"1470000","0.0015"
"1505000","0.0028"
"1540000","0.0016"
"1575000","0.0008"
"1610000","0.0012"
"1645000","0.0026"
"1680000","0.0012"
"1715000","0.0024"
"1750000","0.0032"
"1785000","0.0036"
"1820000","0.0015"
"1855000","0.0012"
"1890000","0.002"
"1925000","0.0015"
"1960000","0.0021000000000000003"
"1995000","0.0018"
"2030000","0.0028"
"2065000","0.0019"
"2100000","0.0024"
"2135000","0.0028"
"2170000","0.0015"
"2205000","0.003"
"2240000","0.0032"
"2275000","0.0034"
"2310000","0.0017999999999999995"
"2345000","0.0019"
"2380000","0.0026"
"2415000","0.0011"
"2450000","0.0008"
"2485000","0.0027"
"2520000","0.003"
"2555000","0.0019"
"2590000","0.0022"
"2625000","0.0041"
"2660000","0.0034"
"2695000","0.0039"
"2730000","0.0018"
"2765000","0.0016"
"2800000","0.004200000000000001"
"2835000","0.0011"
"2870000","0.0011"
"2905000","0.0021999999999999997"
"2940000","0.0030000000000000005"
"2975000","0.0039"
"3010000","0.0012"
"3045000","0.0025"
"3080000","0.0023"
"3115000","0.0024"
"3150000","0.0032"
"3185000","0.004900000000000001"
"3220000","0.0018"
"3255000","0.0029"
"3290000","0.0032"
"3325000","0.0048"
"3360000","0.002"
"3395000","0.0027"
"3430000","0.0018"
"3465000","0.001"
"3500000","0.0037"
"3535000","0.0021000000000000003"
"3570000","0.0011"
"3605000","0.0037"
"3640000","0.0028"
"3675000","0.0017"
"3710000","0.0048"
"3745000","0.0039"
"3780000","0.0017"
"3815000","0.0022"
"3850000","0.0017"
"3885000","0.0013000000000000004"
"3920000","0.0018"
"3955000","0.002"
"3990000","0.0031999999999999997"
"4025000","0.0037"
"4060000","0.0015"
"4095000","0.0022"
"4130000","0.004"
"4165000","0.0035"
"4200000","0.0027"
"4235000","0.0026"
"4270000","0.0007000000000000001"
"4305000","0.0014"
"4340000","0.0017999999999999995"
"4375000","0.003"
"4410000","0.0034"
"4445000","0.0024"
"4480000","0.0008"
"4515000","0.0048"
"4550000","0.0033"
"4585000","0.0033"
"4620000","0.0021000000000000003"
"4655000","0.0027"
"4690000","0.002599999999999999"
"4725000","0.0024"
"4760000","0.0031"
"4795000","0.002"
"4830000","0.0007999999999999999"
"4865000","0.0021999999999999997"
"4900000","0.0023"
"4935000","0.0015000000000000002"
"4970000","0.0035"
"5005000","0.0016"
"5040000","0.0028"
"5075000","0.0019"
"5110000","0.0026"
"5145000","0.0012"
"5180000","0.0017"
"5215000","0.0019"
"5250000","0.002"
"5285000","0.0005"
"5320000","0.0031"
"5355000","0.0036"
"5390000","0.0005"
"5425000","0.0029"
"5460000","0.0017"
"5495000","0.0037"
"5530000","0.0013"
"5565000","0.0024"
"5600000","0.0021999999999999997"
"5635000","0.0032"
"5670000","0.0019"
"5705000","0.0038"
"5740000","0.003"
"5775000","0.0037"
"5810000","0.0022"
"5845000","0.0025"
"5880000","0.004200000000000001"
"5915000","0.0025"
"5950000","0.003"
"5985000","0.0016"
"6020000","0.0011"
"6055000","0.0027"
