Step,main_agent_pc_first_seed7 - main_success_rate
20412000,0.4005
20466000,0.3685
20520000,0.3385
20574000,0.3715
20628000,0.368
20682000,0.358
20736000,0.319
20790000,0.3975
20844000,0.3795
20898000,0.3375
20952000,0.334
21006000,0.328
21060000,0.329
21114000,0.383
21168000,0.3335
21222000,0.323
21276000,0.337
21330000,0.324
21384000,0.348
21438000,0.2605
21492000,0.2795
21546000,0.283
21600000,0.3505
21654000,0.3125
21708000,0.297
21762000,0.2895
21816000,0.333
21870000,0.351
21924000,0.3825
21978000,0.4215
22032000,0.439
22086000,0.409
22140000,0.423
22194000,0.36
22248000,0.355
22302000,0.393
22356000,0.3495
22410000,0.3005
22464000,0.4195
22518000,0.43
22572000,0.4145
22626000,0.393
22680000,0.428
22734000,0.423
22788000,0.4565
22842000,0.429
22896000,0.482
22950000,0.463
23004000,0.4405
23058000,0.478
23112000,0.489
23166000,0.4535
23220000,0.5265
23274000,0.4855
23328000,0.5245
23382000,0.4555
23436000,0.442
23490000,0.4145
23544000,0.4545
23598000,0.431
23652000,0.4385
23706000,0.4175
23760000,0.417
23814000,0.4715
23868000,0.4305
23922000,0.4215
23976000,0.416
24030000,0.447
24084000,0.41
24138000,0.4135
24192000,0.406
24246000,0.384
24300000,0.412
24354000,0.393
24408000,0.4185
24462000,0.413
24516000,0.417
24570000,0.4135
24624000,0.4065
24678000,0.4115
24732000,0.409
24786000,0.405
24840000,0.44
24894000,0.4305
24948000,0.3975
25002000,0.417
25056000,0.428
25110000,0.4505
25164000,0.462
25218000,0.486
25272000,0.37
25326000,0.406
25380000,0.4035
25434000,0.4065
25488000,0.408
25542000,0.356
25596000,0.381
25650000,0.374
25704000,0.408
25758000,0.404
25812000,0.3525
25866000,0.4235
25920000,0.418
25974000,0.4175
26028000,0.4245
26082000,0.4295
26136000,0.445
26190000,0.4285
26244000,0.4175
26298000,0.4285
26352000,0.4785
26406000,0.4095
26460000,0.449
26514000,0.453
26568000,0.4735
26622000,0.4235
26676000,0.4305
26730000,0.4165
26784000,0.416
26838000,0.4835
26892000,0.4415
26946000,0.4785
27000000,0.4855
27054000,0.3925
27108000,0.4005
27162000,0.472
27216000,0.4125
27270000,0.4795
27324000,0.4385
27378000,0.51
27432000,0.4495
27486000,0.4395
27540000,0.4375
27594000,0.5155
27648000,0.479
27702000,0.4405
27756000,0.4895
27810000,0.4615
27864000,0.489
27918000,0.4805
27972000,0.5075
28026000,0.4715
28080000,0.516
28134000,0.5055
28188000,0.4635
28242000,0.4275
28296000,0.464
28350000,0.431
28404000,0.4705
28458000,0.4325
28512000,0.429
28566000,0.447
28620000,0.4095
28674000,0.404
28728000,0.425
28782000,0.483
28836000,0.4575
28890000,0.444
28944000,0.459
28998000,0.381
29052000,0.373
29106000,0.407
29160000,0.4155
29214000,0.4085
29268000,0.3705
29322000,0.411
29376000,0.396
29430000,0.403
29484000,0.378
29538000,0.414
29592000,0.3365
29646000,0.377
29700000,0.3415
29754000,0.3415
29808000,0.347
29862000,0.4295
29916000,0.4375
29970000,0.3825
30024000,0.379
30078000,0.338
30132000,0.376
30186000,0.377
30240000,0.3905
30294000,0.4025
30348000,0.3735
30402000,0.4
30456000,0.3935
30510000,0.381
30564000,0.3995
30618000,0.351
30672000,0.3745
30726000,0.4275
30780000,0.3105
30834000,0.3395
30888000,0.3755
30942000,0.379
30996000,0.3305
31050000,0.2955
31104000,0.3365
31158000,0.3085
31212000,0.3325
31266000,0.324
31320000,0.326
31374000,0.343
31428000,0.2885
31482000,0.289
31536000,0.294
31590000,0.34
31644000,0.2905
31698000,0.273
31752000,0.3305
31806000,0.3675
31860000,0.337
31914000,0.363
31968000,0.3175
32022000,0.3595
32076000,0.343
32130000,0.341
32184000,0.3625
32238000,0.3825
32292000,0.3655
32346000,0.3975
32400000,0.408
32454000,0.4405
32508000,0.387
32562000,0.379
32616000,0.3765
32670000,0.3895
32724000,0.444
32778000,0.424
32832000,0.4
32886000,0.428
32940000,0.445
32994000,0.421
33048000,0.4105
33102000,0.404
33156000,0.3605
33210000,0.4685
33264000,0.42
33318000,0.4655
33372000,0.4245
33426000,0.4095
33480000,0.392
33534000,0.4085
33588000,0.4395
33642000,0.428
33696000,0.491
33750000,0.442
33804000,0.436
33858000,0.448
33912000,0.42
33966000,0.4145
34020000,0.4705
34074000,0.426
34128000,0.4185
