"Step","sp_4agents_seed1 - 4cover_rate"
"35000","0.0035"
"70000","0.0046"
"105000","0.0016"
"140000","0.0016"
"175000","0.004"
"210000","0.0005"
"245000","0.0022"
"280000","0.0012"
"315000","0.001"
"350000","0.001"
"385000","0"
"420000","0.0001"
"455000","0"
"490000","0.0039"
"525000","0.0025"
"560000","0.001"
"595000","0"
"630000","0.0002"
"665000","0"
"700000","0"
"735000","0"
"770000","0"
"805000","0"
"840000","0"
"875000","0"
"910000","0.0001"
"945000","0.0001"
"980000","0"
"1015000","0"
"1050000","0.0001"
"1085000","0"
"1120000","0.0003"
"1155000","0"
"1190000","0.0005"
"1225000","0.0007"
"1260000","0.0002"
"1295000","0"
"1330000","0.0008999999999999999"
"1365000","0"
"1400000","0.0006"
"1435000","0"
"1470000","0.0003"
"1505000","0.0003"
"1540000","0.001"
"1575000","0.0012"
"1610000","0"
"1645000","0.0013"
"1680000","0.001"
"1715000","0.0011"
"1750000","0.0007"
"1785000","0.0012"
"1820000","0.0018"
"1855000","0.0007"
"1890000","0.001"
"1925000","0.0015"
"1960000","0.001"
"1995000","0.0013"
"2030000","0.0005"
"2065000","0.0002"
"2100000","0.0002"
"2135000","0.00030000000000000003"
"2170000","0.0005"
"2205000","0.0001"
"2240000","0.00030000000000000003"
"2275000","0.0005"
"2310000","0.0001"
"2345000","0"
"2380000","0"
"2415000","0.00030000000000000003"
"2450000","0"
"2485000","0.0007"
"2520000","0.0005"
"2555000","0"
"2590000","0"
"2625000","0"
"2660000","0.0002"
"2695000","0.0005"
"2730000","0.0004"
"2765000","0.001"
"2800000","0.0005"
"2835000","0.002"
"2870000","0.0005"
"2905000","0.0015"
"2940000","0.0015"
"2975000","0.0011"
"3010000","0.0005"
"3045000","0.001"
"3080000","0"
"3115000","0.0006"
"3150000","0"
"3185000","0.0001"
"3220000","0.0001"
"3255000","0.0004"
"3290000","0.0008"
"3325000","0.0004"
"3360000","0.0006"
"3395000","0.002"
"3430000","0.001"
"3465000","0.0005"
"3500000","0"
"3535000","0.0015"
"3570000","0.0005"
"3605000","0"
"3640000","0.0006000000000000001"
"3675000","0"
"3710000","0.0002"
"3745000","0"
"3780000","0.0005"
"3815000","0.0004"
"3850000","0.0006000000000000001"
"3885000","0.0002"
"3920000","0.00030000000000000003"
"3955000","0.0008999999999999999"
"3990000","0.0007"
"4025000","0.0011"
"4060000","0.0008999999999999999"
"4095000","0.0008999999999999999"
"4130000","0.0006"
"4165000","0.0002"
"4200000","0.0022"
"4235000","0.0017999999999999995"
"4270000","0.0004"
"4305000","0.0009"
"4340000","0.0006000000000000001"
"4375000","0.0005"
"4410000","0.0013"
"4445000","0.0017"
"4480000","0.0008999999999999999"
"4515000","0.0006000000000000001"
"4550000","0.0015"
"4585000","0.0001"
"4620000","0.0007000000000000001"
