"Step","amigo_sp_4agents_seed1 - cover_rate_5step"
"35000","0.0050999999999999995"
"70000","0.004199999999999999"
"105000","0.0033"
"140000","0.003"
"175000","0.0019"
"210000","0.0033"
"245000","0.0045"
"280000","0.0037"
"315000","0.0045"
"350000","0.0028"
"385000","0.0028"
"420000","0.0039"
"455000","0.0016"
"490000","0.0029"
"525000","0.0023"
"560000","0.0026"
"595000","0.004300000000000001"
"630000","0.004"
"665000","0.0038"
"700000","0.0028"
"735000","0.0026"
"770000","0.0040999999999999995"
"805000","0.0017"
"840000","0.0026"
"875000","0.0028000000000000004"
"910000","0.0035"
"945000","0.0044"
"980000","0.004200000000000001"
"1015000","0.0029"
"1050000","0.0023"
"1085000","0.0048"
"1120000","0.0050999999999999995"
"1155000","0.0024"
"1190000","0.002"
"1225000","0.003"
"1260000","0.0044"
"1295000","0.0022"
"1330000","0.0025"
"1365000","0.004900000000000001"
"1400000","0.0027"
"1435000","0.0047"
"1470000","0.0045"
"1505000","0.0024999999999999996"
"1540000","0.0035"
"1575000","0.0031"
"1610000","0.0035"
"1645000","0.0034"
"1680000","0.0044"
"1715000","0.0016"
"1750000","0.0047"
"1785000","0.0026"
"1820000","0.0034"
"1855000","0.0017"
"1890000","0.0023"
"1925000","0.0035"
"1960000","0.0026"
"1995000","0.0019"
"2030000","0.0033"
"2065000","0.0028"
"2100000","0.0025"
"2135000","0.0018"
"2170000","0.0039"
"2205000","0.002"
"2240000","0.0024"
"2275000","0.0016999999999999997"
"2310000","0.0037"
"2345000","0.0038"
"2380000","0.0024"
"2415000","0.004200000000000001"
"2450000","0.0025"
"2485000","0.0037"
"2520000","0.004199999999999999"
"2555000","0.0029"
"2590000","0.0016"
"2625000","0.0035"
"2660000","0.004200000000000001"
"2695000","0.0025"
"2730000","0.0046"
"2765000","0.0034"
"2800000","0.0031"
"2835000","0.004"
"2870000","0.0019"
"2905000","0.0036"
"2940000","0.0023"
"2975000","0.0023"
"3010000","0.0044"
"3045000","0.0036"
"3080000","0.0024"
"3115000","0.0031"
"3150000","0.0033000000000000004"
"3185000","0.0019"
"3220000","0.0033"
"3255000","0.0019"
"3290000","0.0026"
"3325000","0.0035999999999999995"
"3360000","0.0015"
"3395000","0.0023"
"3430000","0.0023000000000000004"
"3465000","0.0024"
"3500000","0.0026"
"3535000","0.002099999999999999"
"3570000","0.0017"
"3605000","0.003"
"3640000","0.0044"
"3675000","0.0018"
"3710000","0.004300000000000001"
"3745000","0.0067"
"3780000","0.0038"
"3815000","0.0043"
"3850000","0.0029"
"3885000","0.0039"
"3920000","0.0028"
"3955000","0.0029"
"3990000","0.0024"
"4025000","0.0036"
"4060000","0.0039"
"4095000","0.0043"
"4130000","0.004200000000000001"
"4165000","0.0026"
"4200000","0.0016999999999999997"
"4235000","0.0050999999999999995"
"4270000","0.0021999999999999997"
"4305000","0.004200000000000001"
"4340000","0.0019"
"4375000","0.0032"
"4410000","0.0016"
"4445000","0.0025"
"4480000","0.0032"
"4515000","0.0024"
"4550000","0.0028000000000000004"
"4585000","0.0046"
"4620000","0.0045"
"4655000","0.0026"
"4690000","0.0027"
"4725000","0.004200000000000001"
"4760000","0.002099999999999999"
"4795000","0.0027"
"4830000","0.0067"
"4865000","0.0037"
"4900000","0.0037"
"4935000","0.0030999999999999995"
"4970000","0.0014000000000000002"
"5005000","0.0051"
"5040000","0.0038"
"5075000","0.0032"
"5110000","0.0028000000000000004"
"5145000","0.003"
"5180000","0.0028"
"5215000","0.0038"
"5250000","0.0019"
"5285000","0.006"
"5320000","0.0024"
"5355000","0.0029"
"5390000","0.0038"
"5425000","0.0036"
"5460000","0.0012999999999999995"
"5495000","0.0029"
"5530000","0.0037"
"5565000","0.0029"
"5600000","0.0015"
"5635000","0.0033"
"5670000","0.0012"
"5705000","0.0024"
"5740000","0.003"
"5775000","0.002"
"5810000","0.0033000000000000004"
"5845000","0.0037"
"5880000","0.0035999999999999995"
"5915000","0.0015000000000000002"
"5950000","0.0045"
"5985000","0.002"
"6020000","0.003"
"6055000","0.0017"
"6090000","0.003"
"6125000","0.0036"
"6160000","0.0037"
"6195000","0.0018"
"6230000","0.0035"
"6265000","0.0035000000000000005"
"6300000","0.0034"
"6335000","0.0024"
"6370000","0.0026"
"6405000","0.0047"
"6440000","0.0043"
"6475000","0.0022"
"6510000","0.0040999999999999995"
"6545000","0.0021000000000000003"
"6580000","0.002"
"6615000","0.0021999999999999997"
"6650000","0.0021000000000000003"
"6685000","0.0034"
"6720000","0.0033000000000000004"
"6755000","0.0022"
"6790000","0.0035"
"6825000","0.0021000000000000003"
"6860000","0.0017999999999999995"
"6895000","0.0024"
"6930000","0.0060999999999999995"
"6965000","0.0047"
"7000000","0.0055"
"7035000","0.0038"
"7070000","0.0022"
"7105000","0.004300000000000001"
"7140000","0.001"
"7175000","0.0055000000000000005"
"7210000","0.0048"
"7245000","0.002099999999999999"
"7280000","0.0032"
"7315000","0.0011"
"7350000","0.0035"
"7385000","0.0035"
"7420000","0.0035999999999999995"
"7455000","0.0016"
"7490000","0.003"
"7525000","0.0037"
"7560000","0.0036"
"7595000","0.0027"
"7630000","0.0032"
"7665000","0.0037"
"7700000","0.0058000000000000005"
"7735000","0.0016"
"7770000","0.0016"
"7805000","0.0040999999999999995"
"7840000","0.004699999999999999"
"7875000","0.0023"
"7910000","0.004199999999999999"
"7945000","0.002"
"7980000","0.0034"
"8015000","0.002099999999999999"
"8050000","0.0037"
"8085000","0.0029"
"8120000","0.004300000000000001"
