"Step","sp3_h1000_negativegrad_seed2 - cover_rate_5step"
"105000","0"
"210000","0.0001"
"315000","0"
"420000","0"
"525000","0"
"630000","0"
"735000","0"
"840000","0"
"945000","0"
"1050000","0"
"1155000","0"
"1260000","0"
"1365000","0"
"1470000","0"
"1575000","0"
"1680000","0"
"1785000","0"
"1890000","0"
"1995000","0"
"2100000","0"
"2205000","0"
"2310000","0"
"2415000","0"
"2520000","0.0006"
"2625000","0"
"2730000","0"
"2835000","0"
"2940000","0.0003"
"3045000","0"
"3150000","0"
"3255000","0"
"3360000","0.0012"
"3465000","0"
"3570000","0.0006000000000000001"
"3675000","0.0002"
"3780000","0.0009"
"3885000","0.0021000000000000003"
"3990000","0.0011"
"4095000","0.0015"
"4200000","0.0005"
"4305000","0.0022"
"4410000","0.0011"
"4515000","0.0003"
"4620000","0.0012"
"4725000","0.0002"
"4830000","0.0008"
"4935000","0.0018"
"5040000","0.0009"
"5145000","0.0005"
"5250000","0.0016"
"5355000","0.0023"
"5460000","0.003"
"5565000","0.0017"
"5670000","0.0009000000000000001"
"5775000","0.0006"
"5880000","0.0008"
"5985000","0.0008"
"6090000","0.0008"
"6195000","0"
"6300000","0.0024"
"6405000","0.003"
"6510000","0.0019"
"6615000","0.0016"
"6720000","0.0005"
"6825000","0.0027"
"6930000","0"
"7035000","0.0006000000000000001"
"7140000","0.0016"
"7245000","0.0012"
"7350000","0"
"7455000","0"
"7560000","0.0004"
"7665000","0.001"
"7770000","0.0012"
"7875000","0"
"7980000","0.0021000000000000003"
"8085000","0.0019"
"8190000","0.0017"
"8295000","0.0023"
"8400000","0.0033000000000000004"
"8505000","0.0005"
"8610000","0.0007000000000000001"
"8715000","0"
"8820000","0.0018"
"8925000","0.0007"
"9030000","0.001"
"9135000","0.0012999999999999995"
"9240000","0.00030000000000000003"
"9345000","0"
"9450000","0"
"9555000","0.0002"
"9660000","0.0002"
"9765000","0.0003"
"9870000","0.0004"
"9975000","0.0034"
"10080000","0.0007999999999999999"
"10185000","0.0017"
"10290000","0.0019"
"10395000","0.0005"
"10500000","0.0012"
"10605000","0.0006000000000000001"
"10710000","0.0009"
"10815000","0.001"
"10920000","0.0012"
"11025000","0"
"11130000","0"
"11235000","0"
"11340000","0"
"11445000","0"
"11550000","0"
"11655000","0"
"11760000","0"
"11865000","0.0009"
"11970000","0"
"12075000","0"
"12180000","0"
"12285000","0"
"12390000","0"
"12495000","0.0001"
"12600000","0.0014"
"12705000","0.0002"
"12810000","0"
"12915000","0"
"13020000","0.0003"
"13125000","0"
"13230000","0"
"13335000","0"
"13440000","0.0002"
"13545000","0"
"13650000","0.0002"
"13755000","0.0032"
"13860000","0.0031"
"13965000","0.004900000000000001"
"14070000","0.008400000000000001"
"14175000","0.0121"
"14280000","0.009"
"14385000","0.0045"
"14490000","0.0025"
"14595000","0.0046"
"14700000","0.0029"
"14805000","0.005"
"14910000","0.005799999999999999"
"15015000","0.0063"
"15120000","0.0040999999999999995"
"15225000","0.0066"
"15330000","0.0034"
"15435000","0.005199999999999999"
"15540000","0.0067"
"15645000","0.0046"
"15750000","0.003"
"15855000","0.005"
"15960000","0.0045"
"16065000","0.007"
"16170000","0.0058000000000000005"
"16275000","0.004200000000000001"
"16380000","0.004300000000000001"
"16485000","0.0083"
"16590000","0.0017"
"16695000","0.006199999999999999"
"16800000","0.005900000000000001"
"16905000","0.0116"
"17010000","0.0094"
"17115000","0.0133"
"17220000","0.0094"
"17325000","0.0167"
"17430000","0.0155"
"17535000","0.0148"
"17640000","0.0112"
"17745000","0.0176"
"17850000","0.0125"
"17955000","0.0166"
"18060000","0.0184"
"18165000","0.0108"
"18270000","0.023"
"18375000","0.0279"
"18480000","0.028699999999999996"
"18585000","0.0337"
"18690000","0.0349"
"18795000","0.0301"
"18900000","0.0393"
"19005000","0.0307"
"19110000","0.0348"
"19215000","0.046"
"19320000","0.0424"
"19425000","0.0497"
"19530000","0.0471"
"19635000","0.0493"
