"Step","pb_min0.25_seed1 - 2cover_rate_5step"
"41940000","0.828"
"42120000","0.8374000000000001"
"42300000","0.8062"
"42480000","0.796"
"42660000","0.8032"
"42840000","0.809"
"43020000","0.8294000000000001"
"43200000","0.829"
"43380000","0.8248"
"43560000","0.8374000000000001"
"43740000","0.8322"
"43920000","0.8316"
"44100000","0.8284"
"44280000","0.8408"
"44460000","0.8455999999999999"
"44640000","0.8196000000000001"
"44820000","0.8328"
"45000000","0.8222"
"45180000","0.8324000000000001"
"45360000","0.8458000000000001"
"45540000","0.8286"
"45720000","0.8148"
"45900000","0.8145999999999999"
"46080000","0.8134"
"46260000","0.83"
"46440000","0.8166"
"46620000","0.8498"
"46800000","0.8502"
"46980000","0.8258"
"47160000","0.857"
"47340000","0.819"
"47520000","0.8251999999999999"
"47700000","0.855"
"47880000","0.8256"
"48060000","0.8455999999999999"
"48240000","0.8518000000000001"
"48420000","0.8432000000000001"
"48600000","0.8453999999999999"
"48780000","0.8366"
"48960000","0.817"
"49140000","0.8702000000000001"
"49320000","0.8576"
"49500000","0.8482000000000001"
"49680000","0.8393999999999999"
"49860000","0.828"
"50040000","0.8426"
"50220000","0.8342"
"50400000","0.8432000000000001"
"50580000","0.8414"
"50760000","0.835"
"50940000","0.8418000000000001"
"51120000","0.8508"
"51300000","0.8475999999999999"
"51480000","0.8674000000000001"
"51660000","0.8472000000000001"
"51840000","0.8662000000000001"
"52020000","0.8666"
"52200000","0.8302"
"52380000","0.8472000000000001"
"52560000","0.8654000000000001"
"52740000","0.8544"
"52920000","0.872"
"53100000","0.8712000000000001"
"53280000","0.8562000000000001"
"53460000","0.8656"
"53640000","0.8573999999999999"
"53820000","0.872"
"54000000","0.857"
"54180000","0.8817999999999999"
"54360000","0.8584"
"54540000","0.8917999999999999"
"54720000","0.8542000000000001"
"54900000","0.8674"
"55080000","0.87"
"55260000","0.867"
"55440000","0.8592"
"55620000","0.8642000000000001"
"55800000","0.8634"
"55980000","0.8722000000000001"
"56160000","0.8725999999999999"
"56340000","0.8627999999999999"
"56520000","0.8586"
"56700000","0.8796"
"56880000","0.837"
"57060000","0.8444"
"57240000","0.862"
"57420000","0.843"
"57600000","0.8602000000000001"
"57780000","0.8742"
"57960000","0.8744"
"58140000","0.831"
"58320000","0.8907999999999999"
"58500000","0.8656"
"58680000","0.8827999999999999"
"58860000","0.8488"
"59040000","0.8348000000000001"
"59220000","0.8526"
"59400000","0.8574"
"59580000","0.8745999999999999"
"59760000","0.8755999999999999"
"59940000","0.8622000000000001"
"60120000","0.8762"
"60300000","0.8734"
"60480000","0.8695999999999999"
"60660000","0.8677999999999999"
"60840000","0.8612000000000001"
"61020000","0.8677999999999999"
"61200000","0.859"
"61380000","0.8615999999999999"
"61560000","0.8634"
"61740000","0.871"
"61920000","0.8732000000000001"
"62100000","0.873"
"62280000","0.8646"
"62460000","0.8766"
"62640000","0.881"
"62820000","0.8556"
"63000000","0.8716"
"63180000","0.8704"
"63360000","0.8682000000000001"
"63540000","0.882"
"63720000","0.8578000000000001"
"63900000","0.865"
"64080000","0.8826"
"64260000","0.8728"
"64440000","0.8692000000000001"
"64620000","0.8594"
"64800000","0.865"
