"Step","mix37_sp_seed3 - 8cover_rate"
"136500","0.8281499999999999"
"273000","0.8259500000000001"
"409500","0.8022999999999999"
"546000","0.80685"
"682500","0.8070999999999999"
"819000","0.7976500000000001"
"955500","0.8151"
"1092000","0.7970999999999999"
"1228500","0.813"
"1365000","0.8068500000000001"
"1501500","0.8142"
"1638000","0.81045"
"1774500","0.7973499999999999"
"1911000","0.801"
"2047500","0.809"
"2184000","0.80345"
"2320500","0.8019"
"2457000","0.8165999999999999"
"2593500","0.80175"
"2730000","0.798"
"2866500","0.8175999999999999"
"3003000","0.8099500000000001"
"3139500","0.8107000000000001"
"3276000","0.8068999999999998"
"3412500","0.82025"
"3549000","0.8261"
"3685500","0.8197000000000001"
"3822000","0.8083499999999999"
"3958500","0.8278"
"4095000","0.8368499999999999"
"4231500","0.83405"
"4368000","0.8285999999999999"
"4504500","0.8285"
"4641000","0.8294"
"4777500","0.8150499999999999"
"4914000","0.8112999999999999"
"5050500","0.82155"
"5187000","0.8365999999999999"
"5323500","0.8219"
"5460000","0.8315499999999999"
"5596500","0.8338999999999999"
"5733000","0.84605"
"5869500","0.84965"
"6006000","0.85585"
"6111000","0.8529"
"6216000","0.8516500000000001"
"6321000","0.84075"
"6426000","0.8530999999999999"
"6531000","0.8526500000000001"
"6636000","0.84665"
"6741000","0.8414499999999999"
"6846000","0.84705"
"6951000","0.845"
"7056000","0.8412999999999999"
"7161000","0.8402999999999999"
"7266000","0.8376"
"7371000","0.8385499999999999"
"7476000","0.8271"
"7581000","0.82595"
"7686000","0.83515"
"7791000","0.8304"
"7896000","0.8371"
"8001000","0.83175"
"8106000","0.8476499999999999"
"8211000","0.8451500000000001"
"8316000","0.8375999999999999"
"8421000","0.833"
"8526000","0.82805"
"8631000","0.84085"
"8736000","0.82905"
"8841000","0.8319"
"8946000","0.8361"
"9051000","0.8459"
"9156000","0.834"
"9261000","0.8242999999999999"
"9366000","0.8178"
"9471000","0.8299500000000001"
"9576000","0.827"
"9681000","0.8293499999999999"
"9786000","0.83005"
"9891000","0.8296"
"9996000","0.8305999999999999"
"10101000","0.84575"
"10206000","0.8228499999999999"
"10311000","0.8482000000000001"
"10416000","0.8479999999999999"
"10521000","0.8495499999999999"
"10626000","0.85375"
"10731000","0.8542"
"10836000","0.83435"
"10941000","0.83065"
"11046000","0.8301999999999998"
"11151000","0.8302"
"11256000","0.8161999999999999"
"11361000","0.8378"
"11466000","0.83695"
"11571000","0.8565"
"11676000","0.84745"
"11781000","0.84025"
"11886000","0.84375"
"11991000","0.8513999999999999"
"12096000","0.84965"
"12201000","0.85065"
"12306000","0.866"
"12411000","0.8726499999999999"
"12516000","0.8581500000000001"
"12621000","0.85305"
"12726000","0.8530500000000001"
"12831000","0.86205"
"12936000","0.8675"
"13041000","0.8763500000000001"
"13146000","0.8646500000000001"
"13251000","0.8827999999999999"
"13356000","0.8720500000000001"
"13461000","0.8825"
"13566000","0.8917"
"13671000","0.8967999999999999"
"13776000","0.88675"
"13881000","0.88785"
"13986000","0.90475"
"14091000","0.89385"
"14196000","0.8947"
"14301000","0.89565"
"14406000","0.9025"
"14511000","0.8951"
"14616000","0.9136"
"14721000","0.91155"
"14826000","0.8971499999999999"
"14931000","0.8916499999999998"
"15036000","0.89955"
"15141000","0.90215"
"15246000","0.9117"
"15351000","0.91985"
"15456000","0.90675"
"15561000","0.91335"
"15666000","0.9112"
"15771000","0.91485"
"15876000","0.90765"
"15981000","0.9163"
"16086000","0.92185"
"16191000","0.90675"
"16296000","0.9125"
"16401000","0.90465"
"16506000","0.90825"
"16611000","0.90835"
"16716000","0.8994"
"16821000","0.90315"
"16926000","0.8950999999999999"
"17031000","0.905"
"17136000","0.90315"
"17241000","0.9163"
"17346000","0.9085"
"17451000","0.8993499999999999"
"17556000","0.8749"
