"Step","test_seed1 - test_success_rate","test_seed1 - test_success_rate__MIN","test_seed1 - test_success_rate__MAX"
"17316000","0.071","0.071","0.071"
"17409600","0.097","0.097","0.097"
"17503200","0.108","0.108","0.108"
"17596800","0.102","0.102","0.102"
"17690400","0.13","0.13","0.13"
"17784000","0.117","0.117","0.117"
"17877600","0.11","0.11","0.11"
"17971200","0.134","0.134","0.134"
"18064800","0.121","0.121","0.121"
"18158400","0.163","0.163","0.163"
"18252000","0.132","0.132","0.132"
"18345600","0.128","0.128","0.128"
"18439200","0.124","0.124","0.124"
"18532800","0.143","0.143","0.143"
"18626400","0.199","0.199","0.199"
"18720000","0.187","0.187","0.187"
"18813600","0.227","0.227","0.227"
"18907200","0.233","0.233","0.233"
"19000800","0.2","0.2","0.2"
"19094400","0.273","0.273","0.273"
"19188000","0.19","0.19","0.19"
"19281600","0.262","0.262","0.262"
"19375200","0.242","0.242","0.242"
"19468800","0.224","0.224","0.224"
"19562400","0.245","0.245","0.245"
"19656000","0.248","0.248","0.248"
"19749600","0.2","0.2","0.2"
"19843200","0.266","0.266","0.266"
"19936800","0.262","0.262","0.262"
"20030400","0.263","0.263","0.263"
"20124000","0.333","0.333","0.333"
"20217600","0.26","0.26","0.26"
"20311200","0.276","0.276","0.276"
"20404800","0.377","0.377","0.377"
"20498400","0.316","0.316","0.316"
"20592000","0.244","0.244","0.244"
"20685600","0.305","0.305","0.305"
"20779200","0.278","0.278","0.278"
"20872800","0.259","0.259","0.259"
"20966400","0.275","0.275","0.275"
"21060000","0.287","0.287","0.287"
"21153600","0.325","0.325","0.325"
"21247200","0.395","0.395","0.395"
"21340800","0.241","0.241","0.241"
"21434400","0.349","0.349","0.349"
"21528000","0.291","0.291","0.291"
"21621600","0.312","0.312","0.312"
"21715200","0.303","0.303","0.303"
"21808800","0.299","0.299","0.299"
"21902400","0.372","0.372","0.372"
"21996000","0.309","0.309","0.309"
"22089600","0.398","0.398","0.398"
"22183200","0.314","0.314","0.314"
"22276800","0.395","0.395","0.395"
"22370400","0.342","0.342","0.342"
"22464000","0.396","0.396","0.396"
"22557600","0.3","0.3","0.3"
"22651200","0.394","0.394","0.394"
"22744800","0.373","0.373","0.373"
"22838400","0.368","0.368","0.368"
"22932000","0.348","0.348","0.348"
"23025600","0.328","0.328","0.328"
"23119200","0.329","0.329","0.329"
"23212800","0.346","0.346","0.346"
"23306400","0.336","0.336","0.336"
"23400000","0.345","0.345","0.345"
"23493600","0.352","0.352","0.352"
"23587200","0.33","0.33","0.33"
"23680800","0.325","0.325","0.325"
"23774400","0.345","0.345","0.345"
"23868000","0.42","0.42","0.42"
"23961600","0.393","0.393","0.393"
"24055200","0.473","0.473","0.473"
"24148800","0.441","0.441","0.441"
"24242400","0.412","0.412","0.412"
"24336000","0.424","0.424","0.424"
"24429600","0.426","0.426","0.426"
"24523200","0.506","0.506","0.506"
"24616800","0.402","0.402","0.402"
"24710400","0.354","0.354","0.354"
"24804000","0.389","0.389","0.389"
"24897600","0.485","0.485","0.485"
"24991200","0.505","0.505","0.505"
"25084800","0.439","0.439","0.439"
"25178400","0.466","0.466","0.466"
"25272000","0.498","0.498","0.498"
"25365600","0.492","0.492","0.492"
"25459200","0.43","0.43","0.43"
"25552800","0.425","0.425","0.425"
"25646400","0.463","0.463","0.463"
"25740000","0.561","0.561","0.561"
"25833600","0.552","0.552","0.552"
"25927200","0.519","0.519","0.519"
"26020800","0.531","0.531","0.531"
"26114400","0.516","0.516","0.516"
"26208000","0.583","0.583","0.583"
"26301600","0.632","0.632","0.632"
"26395200","0.594","0.594","0.594"
"26488800","0.719","0.719","0.719"
"26582400","0.675","0.675","0.675"
"26676000","0.678","0.678","0.678"
"26769600","0.715","0.715","0.715"
"26863200","0.663","0.663","0.663"
"26956800","0.7","0.7","0.7"
"27050400","0.749","0.749","0.749"
"27144000","0.748","0.748","0.748"
"27237600","0.712","0.712","0.712"
"27331200","0.757","0.757","0.757"
"27424800","0.827","0.827","0.827"
"27518400","0.791","0.791","0.791"
"27612000","0.794","0.794","0.794"
"27705600","0.851","0.851","0.851"
"27799200","0.888","0.888","0.888"
"27892800","0.821","0.821","0.821"
"27986400","0.836","0.836","0.836"
"28080000","0.855","0.855","0.855"
"28173600","0.872","0.872","0.872"
"28267200","0.848","0.848","0.848"
"28360800","0.897","0.897","0.897"
"28454400","0.857","0.857","0.857"
"28548000","0.848","0.848","0.848"
"28641600","0.87","0.87","0.87"
"28735200","0.893","0.893","0.893"
"28828800","0.889","0.889","0.889"
"28922400","0.894","0.894","0.894"
"29016000","0.869","0.869","0.869"
"29109600","0.85","0.85","0.85"
"29203200","0.823","0.823","0.823"
"29296800","0.877","0.877","0.877"
"29390400","0.9","0.9","0.9"
"29484000","0.881","0.881","0.881"
"29577600","0.833","0.833","0.833"
"29671200","0.869","0.869","0.869"
"29764800","0.828","0.828","0.828"
"29858400","0.886","0.886","0.886"
"29952000","0.917","0.917","0.917"
"30045600","0.891","0.891","0.891"
"30139200","0.859","0.859","0.859"
"30232800","0.899","0.899","0.899"
"30326400","0.907","0.907","0.907"
"30420000","0.922","0.922","0.922"
"30513600","0.955","0.955","0.955"
"30607200","0.883","0.883","0.883"
"30700800","0.921","0.921","0.921"
"30794400","0.906","0.906","0.906"
"30888000","0.953","0.953","0.953"
"30981600","0.95","0.95","0.95"
"31075200","0.926","0.926","0.926"
"31168800","0.938","0.938","0.938"
"31262400","0.939","0.939","0.939"
"31356000","0.951","0.951","0.951"
"31449600","0.965","0.965","0.965"
"31543200","0.94","0.94","0.94"
"31636800","0.945","0.945","0.945"
"31730400","0.969","0.969","0.969"
"31824000","0.955","0.955","0.955"
"31917600","0.94","0.94","0.94"
"32011200","0.96","0.96","0.96"
"32104800","0.981","0.981","0.981"
"32198400","0.944","0.944","0.944"
"32292000","0.963","0.963","0.963"
"32385600","0.987","0.987","0.987"
"32479200","0.971","0.971","0.971"
"32572800","0.956","0.956","0.956"
"32666400","0.977","0.977","0.977"
"32760000","0.969","0.969","0.969"
"32853600","0.967","0.967","0.967"
"32947200","0.977","0.977","0.977"
"33040800","0.966","0.966","0.966"
"33134400","0.977","0.977","0.977"
"33228000","0.974","0.974","0.974"
"33321600","0.956","0.956","0.956"
"33415200","0.95","0.95","0.95"
"33508800","0.951","0.951","0.951"
"33602400","0.977","0.977","0.977"
"33696000","0.977","0.977","0.977"
"33789600","0.98","0.98","0.98"
"33883200","0.96","0.96","0.96"
