"Step","VACL_sl_oldversion_minarchivelength_seed1 - cover_rate_5step"
"21000","0.28800000000000003"
"42000","0.208"
"63000","0.21"
"84000","0.23"
"105000","0.238"
"126000","0.18"
"147000","0.166"
"168000","0.15200000000000002"
"189000","0.166"
"210000","0.17800000000000002"
"231000","0.122"
"252000","0.196"
"273000","0.25799999999999995"
"294000","0.158"
"315000","0.198"
"336000","0.312"
"357000","0.232"
"378000","0.304"
"399000","0.18600000000000003"
"420000","0.18599999999999997"
"441000","0.2"
"462000","0.196"
"483000","0.158"
"504000","0.28"
"525000","0.18"
"546000","0.16"
"567000","0.158"
"588000","0.146"
"609000","0.19"
"630000","0.138"
"651000","0.188"
"672000","0.214"
"693000","0.24"
"714000","0.194"
"735000","0.212"
"756000","0.14800000000000002"
"777000","0.228"
"798000","0.202"
"819000","0.21799999999999997"
"840000","0.208"
"861000","0.172"
"882000","0.212"
"903000","0.252"
"924000","0.26"
"945000","0.15"
"966000","0.136"
"987000","0.234"
"1008000","0.204"
"1029000","0.204"
"1050000","0.23"
"1071000","0.22"
"1092000","0.21"
"1113000","0.188"
"1134000","0.228"
"1155000","0.26599999999999996"
"1176000","0.198"
"1197000","0.29600000000000004"
"1218000","0.19"
"1239000","0.18"
"1260000","0.14800000000000002"
"1281000","0.246"
"1302000","0.228"
"1323000","0.23"
"1344000","0.202"
"1365000","0.16"
"1386000","0.254"
"1407000","0.228"
"1428000","0.21600000000000005"
"1449000","0.2"
"1470000","0.18"
"1491000","0.166"
"1512000","0.212"
"1533000","0.14"
"1554000","0.212"
"1575000","0.204"
"1596000","0.184"
"1617000","0.21"
"1638000","0.204"
"1659000","0.17600000000000002"
"1680000","0.18600000000000003"
"1701000","0.188"
"1722000","0.15"
"1743000","0.28800000000000003"
"1764000","0.23"
"1785000","0.16399999999999998"
"1806000","0.17"
"1827000","0.21599999999999997"
"1848000","0.18"
"1869000","0.17800000000000002"
"1890000","0.222"
"1911000","0.238"
"1932000","0.228"
"1953000","0.14800000000000002"
"1974000","0.23"
"1995000","0.142"
"2016000","0.18599999999999997"
"2037000","0.2"
"2058000","0.132"
"2079000","0.188"
"2100000","0.14400000000000002"
"2121000","0.14800000000000002"
"2142000","0.138"
"2163000","0.214"
"2184000","0.166"
"2205000","0.23"
"2226000","0.16"
"2247000","0.158"
"2268000","0.18"
"2289000","0.15"
"2310000","0.174"
"2331000","0.208"
"2352000","0.21600000000000005"
"2373000","0.142"
"2394000","0.206"
"2415000","0.24"
"2436000","0.158"
"2457000","0.182"
"2478000","0.166"
"2499000","0.168"
"2520000","0.16"
"2541000","0.138"
"2562000","0.17800000000000002"
"2583000","0.206"
"2604000","0.14400000000000002"
"2625000","0.188"
"2646000","0.168"
"2667000","0.166"
"2688000","0.136"
"2709000","0.132"
"2730000","0.2"
"2751000","0.126"
"2772000","0.17800000000000002"
"2793000","0.194"
"2814000","0.208"
"2835000","0.204"
"2856000","0.17"
"2877000","0.118"
"2898000","0.192"
"2919000","0.21"
"2940000","0.19"
"2961000","0.19"
"2982000","0.206"
"3003000","0.126"
"3024000","0.232"
"3045000","0.166"
"3066000","0.228"
"3087000","0.15"
"3108000","0.192"
"3129000","0.226"
"3150000","0.218"
"3171000","0.174"
"3192000","0.19200000000000003"
"3213000","0.27399999999999997"
"3234000","0.19"
"3255000","0.22200000000000003"
"3276000","0.206"
"3297000","0.242"
"3318000","0.18600000000000003"
"3339000","0.124"
"3360000","0.234"
"3381000","0.2"
"3402000","0.212"
"3423000","0.238"
"3444000","0.226"
"3465000","0.2"
"3486000","0.19"
"3507000","0.23"
"3528000","0.232"
