"Step","mixdecay2n4_adjustratio_util0.9_seed2 - 4cover_rate"
"341640","0.63505"
"683280","0.6587999999999999"
"1024920","0.6565"
"1366560","0.6396000000000001"
"1708200","0.6445500000000001"
"2049840","0.646"
"2391480","0.6399"
"2733120","0.6303"
"3074760","0.64235"
"3416400","0.6373000000000001"
"3749400","0.63385"
"4082400","0.63"
"4415400","0.6243"
"4748400","0.6293500000000001"
"5081400","0.63955"
"5414400","0.63955"
"5747400","0.64105"
"6080400","0.6499000000000001"
"6413400","0.6475"
"6746400","0.65965"
"7079400","0.6465"
"7412400","0.65755"
"7745400","0.64335"
"8078400","0.6710499999999999"
"8411400","0.6607999999999999"
"8744400","0.65395"
"9077400","0.6525500000000001"
"9401400","0.6569"
"9716040","0.67855"
"10022400","0.6494500000000001"
"10319400","0.6595"
"10616400","0.6572"
"10913400","0.6655"
"11210400","0.6654500000000001"
"11507400","0.67885"
"11804400","0.66195"
"12101400","0.684"
"12398400","0.67475"
"12695400","0.684"
"12992400","0.67215"
"13289400","0.6706000000000001"
"13586400","0.6778500000000001"
"13883400","0.66725"
"14180400","0.6846"
"14477400","0.67125"
"14774400","0.67345"
"15071400","0.66495"
"15368400","0.67945"
"15665400","0.6825"
"15962400","0.67185"
"16259400","0.6690499999999999"
"16556400","0.68495"
"16853400","0.6710499999999999"
"17150400","0.6724"
"17447400","0.6733"
"17744400","0.66825"
"18041400","0.6548999999999999"
"18338400","0.67395"
"18635400","0.6610499999999999"
"18923400","0.6646"
"19202040","0.67125"
"19480680","0.6693"
"19751040","0.67045"
"20012040","0.684"
"20273040","0.6755"
"20525040","0.6678999999999999"
"20767680","0.6595500000000001"
"21002040","0.6484"
"21236400","0.66655"
"21470760","0.6578"
"21705120","0.6671500000000001"
"21939480","0.67455"
"22173840","0.6718"
"22408200","0.6580499999999999"
"22642560","0.6656"
"22876920","0.664"
"23101920","0.67535"
"23326920","0.6728"
"23551920","0.6783"
"23776920","0.68265"
"24001920","0.67645"
"24226920","0.6624500000000001"
"24451920","0.67335"
"24676920","0.66675"
"24901920","0.68065"
"25126920","0.6758"
