"Step","sl_amigo_seed1 - cover_rate_5step"
"2226000","0.4320000000000001"
"2233000","0.47"
"2240000","0.46"
"2247000","0.368"
"2254000","0.3859999999999999"
"2261000","0.4320000000000001"
"2268000","0.332"
"2275000","0.406"
"2282000","0.45"
"2289000","0.35600000000000004"
"2296000","0.47"
"2303000","0.45"
"2310000","0.37"
"2317000","0.44"
"2324000","0.37"
"2331000","0.442"
"2338000","0.406"
"2345000","0.394"
"2352000","0.466"
"2359000","0.38"
"2366000","0.38"
"2373000","0.418"
"2380000","0.33"
"2387000","0.46"
"2394000","0.3"
"2401000","0.384"
"2408000","0.38"
"2415000","0.408"
"2422000","0.402"
"2429000","0.464"
"2436000","0.4040000000000001"
"2443000","0.428"
"2450000","0.41"
"2457000","0.33"
"2464000","0.37"
"2471000","0.428"
"2478000","0.382"
"2485000","0.376"
"2492000","0.34"
"2499000","0.422"
"2506000","0.4"
"2513000","0.428"
"2520000","0.34600000000000003"
"2527000","0.376"
"2534000","0.4"
"2541000","0.392"
"2548000","0.286"
"2555000","0.382"
"2562000","0.34"
"2569000","0.512"
"2576000","0.436"
"2583000","0.37"
"2590000","0.37"
"2597000","0.33399999999999996"
"2604000","0.306"
"2611000","0.39"
"2618000","0.4"
"2625000","0.3640000000000001"
"2632000","0.394"
"2639000","0.322"
"2646000","0.4479999999999999"
"2653000","0.414"
"2660000","0.348"
"2667000","0.38"
"2674000","0.37"
"2681000","0.43799999999999994"
"2688000","0.33399999999999996"
"2695000","0.33399999999999996"
"2702000","0.38"
"2709000","0.426"
"2716000","0.35"
"2723000","0.39"
"2730000","0.35200000000000004"
"2737000","0.34"
"2744000","0.542"
"2751000","0.43"
"2758000","0.39"
"2765000","0.34"
"2772000","0.32"
"2779000","0.412"
"2786000","0.364"
"2793000","0.366"
"2800000","0.39"
"2807000","0.38"
"2814000","0.37200000000000005"
"2821000","0.382"
"2828000","0.35200000000000004"
"2835000","0.5"
"2842000","0.29"
"2849000","0.392"
"2856000","0.408"
"2863000","0.434"
"2870000","0.33399999999999996"
"2877000","0.34"
"2884000","0.27"
"2891000","0.43799999999999994"
"2898000","0.44"
"2905000","0.35"
"2912000","0.42"
"2919000","0.458"
"2926000","0.324"
"2933000","0.37"
"2940000","0.31"
"2947000","0.46"
"2954000","0.42"
"2961000","0.4"
"2968000","0.52"
"2975000","0.43"
"2982000","0.38"
"2989000","0.37"
"2996000","0.4"
"3003000","0.36"
"3010000","0.484"
"3017000","0.4"
"3024000","0.436"
"3031000","0.44400000000000006"
"3038000","0.34"
"3045000","0.35"
"3052000","0.36"
"3059000","0.41"
"3066000","0.39"
"3073000","0.306"
"3080000","0.37"
"3087000","0.37200000000000005"
"3094000","0.37200000000000005"
"3101000","0.44"
"3108000","0.416"
"3115000","0.4"
"3122000","0.418"
"3129000","0.388"
"3136000","0.4"
"3143000","0.472"
"3150000","0.35"
"3157000","0.38"
"3164000","0.44"
"3171000","0.392"
"3178000","0.374"
"3185000","0.37"
"3192000","0.336"
"3199000","0.36"
"3206000","0.374"
"3213000","0.484"
"3220000","0.35"
"3227000","0.368"
"3234000","0.348"
"3241000","0.426"
"3248000","0.392"
"3255000","0.39"
"3262000","0.362"
"3269000","0.442"
"3276000","0.34"
"3283000","0.4"
"3290000","0.39"
"3297000","0.412"
"3304000","0.51"
"3311000","0.39"
"3318000","0.4479999999999999"
"3325000","0.36"
"3332000","0.37"
"3339000","0.454"
"3346000","0.34"
"3353000","0.384"
"3360000","0.224"
"3367000","0.302"
"3374000","0.4"
"3381000","0.358"
"3388000","0.298"
"3395000","0.34600000000000003"
"3402000","0.41"
"3409000","0.5"
"3416000","0.374"
"3423000","0.238"
"3430000","0.28600000000000003"
"3437000","0.39"
"3444000","0.42"
"3451000","0.418"
"3458000","0.412"
"3465000","0.33799999999999997"
"3472000","0.44"
"3479000","0.37"
"3486000","0.37799999999999995"
"3493000","0.436"
"3500000","0.398"
"3507000","0.342"
"3514000","0.394"
"3521000","0.428"
"3528000","0.416"
"3535000","0.428"
"3542000","0.366"
"3549000","0.326"
"3556000","0.37200000000000005"
"3563000","0.37"
"3570000","0.37"
"3577000","0.398"
"3584000","0.414"
"3591000","0.358"
"3598000","0.43199999999999994"
"3605000","0.412"
"3612000","0.46"
"3619000","0.33799999999999997"
"3626000","0.392"
"3633000","0.39"
"3640000","0.376"
"3647000","0.43799999999999994"
"3654000","0.42"
"3661000","0.4"
"3668000","0.34"
"3675000","0.33399999999999996"
"3682000","0.506"
"3689000","0.37"
"3696000","0.384"
"3703000","0.416"
"3710000","0.53"
"3717000","0.45"
"3724000","0.34"
"3731000","0.32"
"3738000","0.326"
"3745000","0.39"
"3752000","0.35"
"3759000","0.41"
"3766000","0.43"
"3773000","0.3440000000000001"
"3780000","0.5"
"3787000","0.358"
"3794000","0.37"
"3801000","0.37799999999999995"
"3808000","0.364"
"3815000","0.32"
"3822000","0.37"
"3829000","0.37200000000000005"
"3836000","0.344"
"3843000","0.434"
"3850000","0.32"
"3857000","0.33799999999999997"
"3864000","0.44"
"3871000","0.39"
"3878000","0.358"
