"Step","gan_sp_4agents_seed2 - 4cover_rate_1step"
"70000","0.001"
"140000","0.0005"
"210000","0"
"280000","0.0025"
"350000","0.003"
"420000","0.0015"
"490000","0.0025"
"560000","0.003"
"630000","0.0035"
"700000","0.003"
"770000","0.0025"
"840000","0.002"
"910000","0.005"
"980000","0.004"
"1050000","0.0025"
"1120000","0.002"
"1190000","0.003"
"1260000","0.003"
"1330000","0.0035"
"1400000","0.0125"
"1470000","0.0095"
"1540000","0.0065"
"1610000","0.0215"
"1680000","0.036"
"1750000","0.044"
"1820000","0.0625"
"1890000","0.0665"
"1960000","0.066"
"2030000","0.0745"
"2100000","0.068"
"2170000","0.0855"
"2240000","0.096"
"2310000","0.0935"
"2380000","0.113"
"2450000","0.092"
"2520000","0.1125"
"2590000","0.104"
"2660000","0.113"
"2730000","0.1205"
"2800000","0.1165"
"2870000","0.1175"
"2940000","0.1245"
"3010000","0.121"
"3080000","0.1315"
"3150000","0.158"
"3220000","0.155"
"3290000","0.158"
"3360000","0.155"
"3430000","0.1635"
"3500000","0.164"
"3570000","0.158"
"3640000","0.1855"
"3710000","0.169"
"3780000","0.1835"
"3850000","0.184"
"3920000","0.187"
"3990000","0.179"
"4060000","0.1965"
"4130000","0.2035"
"4200000","0.2125"
"4270000","0.1865"
"4340000","0.199"
"4410000","0.202"
"4480000","0.199"
"4550000","0.17"
"4620000","0.194"
"4690000","0.175"
"4760000","0.183"
"4830000","0.2105"
"4900000","0.1925"
"4970000","0.206"
"5040000","0.1715"
"5110000","0.196"
"5180000","0.197"
"5250000","0.187"
"5320000","0.2075"
"5390000","0.221"
"5460000","0.2345"
"5530000","0.228"
"5600000","0.22"
"5670000","0.2125"
"5740000","0.2185"
"5810000","0.2325"
"5880000","0.241"
"5950000","0.2305"
"6020000","0.2395"
"6090000","0.265"
"6160000","0.258"
"6230000","0.249"
"6300000","0.255"
"6370000","0.251"
"6440000","0.227"
"6510000","0.2285"
"6580000","0.2105"
"6650000","0.2345"
"6720000","0.2445"
"6790000","0.2395"
"6860000","0.2395"
"6930000","0.241"
"7000000","0.243"
"7070000","0.2435"
"7140000","0.243"
"7210000","0.227"
"7280000","0.2285"
"7350000","0.248"
"7420000","0.256"
"7490000","0.2615"
"7560000","0.256"
"7630000","0.2575"
"7700000","0.2485"
"7770000","0.248"
"7840000","0.242"
"7910000","0.24"
"7980000","0.241"
"8050000","0.245"
"8120000","0.2785"
"8190000","0.2755"
"8260000","0.278"
"8330000","0.274"
"8400000","0.2625"
"8470000","0.2785"
"8540000","0.2445"
"8610000","0.2585"
"8680000","0.277"
"8750000","0.269"
"8820000","0.269"
"8890000","0.2845"
"8960000","0.2845"
"9030000","0.2765"
"9100000","0.2775"
"9170000","0.3045"
"9240000","0.2705"
"9310000","0.2805"
"9380000","0.28"
"9450000","0.289"
"9520000","0.2915"
"9590000","0.292"
"9660000","0.2965"
"9730000","0.293"
"9800000","0.2875"
"9870000","0.2925"
"9940000","0.289"
"10010000","0.3045"
"10080000","0.309"
"10150000","0.312"
"10220000","0.303"
"10290000","0.3145"
"10360000","0.342"
"10430000","0.3425"
"10500000","0.321"
"10570000","0.332"
"10640000","0.331"
"10710000","0.328"
"10780000","0.3275"
"10850000","0.338"
"10920000","0.354"
"10990000","0.3415"
"11060000","0.3345"
"11130000","0.339"
"11200000","0.3315"
"11270000","0.3295"
"11340000","0.334"
"11410000","0.3195"
"11480000","0.3305"
"11550000","0.309"
"11620000","0.3175"
"11690000","0.338"
"11760000","0.31"
"11830000","0.313"
"11900000","0.308"
"11970000","0.317"
"12040000","0.346"
"12110000","0.3325"
"12180000","0.327"
"12250000","0.347"
"12320000","0.313"
"12390000","0.3405"
"12460000","0.349"
"12530000","0.3715"
"12600000","0.3845"
"12670000","0.3785"
"12740000","0.3755"
"12810000","0.36"
"12880000","0.385"
"12950000","0.373"
"13020000","0.4055"
"13090000","0.399"
"13160000","0.374"
"13230000","0.39"
"13300000","0.3795"
"13370000","0.386"
"13440000","0.38"
"13510000","0.388"
"13580000","0.4085"
"13650000","0.387"
"13720000","0.4"
"13790000","0.3935"
"13860000","0.389"
"13930000","0.3795"
"14000000","0.3805"
"14070000","0.375"
"14140000","0.368"
"14210000","0.374"
"14280000","0.375"
"14350000","0.3825"
"14420000","0.3775"
"14490000","0.3805"
"14560000","0.3665"
"14630000","0.3815"
"14700000","0.367"
"14770000","0.369"
"14840000","0.3685"
"14910000","0.3745"
"14980000","0.39"
"15050000","0.386"
"15120000","0.3685"
"15190000","0.3915"
"15260000","0.3925"
"15330000","0.4025"
"15400000","0.4085"
"15470000","0.389"
"15540000","0.398"
"15610000","0.4105"
"15680000","0.4095"
"15750000","0.4"
"15820000","0.3995"
"15890000","0.4005"
"15960000","0.397"
"16030000","0.4225"
"16100000","0.41"
"16170000","0.415"
"16240000","0.423"
"16310000","0.4095"
"16380000","0.4275"
"16450000","0.4155"
"16520000","0.4075"
"16590000","0.402"
"16660000","0.4095"
"16730000","0.4215"
"16800000","0.4215"
"16870000","0.4205"
"16940000","0.4445"
"17010000","0.4165"
"17080000","0.413"
"17150000","0.428"
"17220000","0.4325"
"17290000","0.4475"
"17360000","0.435"
"17430000","0.4385"
"17500000","0.4405"
"17570000","0.429"
"17640000","0.419"
"17710000","0.4405"
"17780000","0.422"
"17850000","0.437"
"17920000","0.4425"
"17990000","0.4265"
"18060000","0.4415"
"18130000","0.419"
"18200000","0.4455"
"18270000","0.4495"
"18340000","0.435"
"18410000","0.438"
"18480000","0.4275"
"18550000","0.429"
"18620000","0.44"
"18690000","0.4325"
