"Step","gan_sl_seed1 - 2cover_rate_1step"
"14000","0.16"
"28000","0.14"
"42000","0.14"
"56000","0.15"
"70000","0.22"
"84000","0.16"
"98000","0.25"
"112000","0.19"
"126000","0.32"
"140000","0.16"
"154000","0.18"
"168000","0.15"
"182000","0.19"
"196000","0.22"
"210000","0.16"
"224000","0.2"
"238000","0.11"
"252000","0.21"
"266000","0.19"
"280000","0.21"
"294000","0.18"
"308000","0.1"
"322000","0.18"
"336000","0.18"
"350000","0.23"
"364000","0.2"
"378000","0.14"
"392000","0.17"
"406000","0.11"
"420000","0.27"
"434000","0.18"
"448000","0.19"
"462000","0.19"
"476000","0.23"
"490000","0.16"
"504000","0.17"
"518000","0.23"
"532000","0.17"
"546000","0.17"
"560000","0.2"
"574000","0.14"
"588000","0.29"
"602000","0.18"
"616000","0.15"
"630000","0.18"
"644000","0.2"
"658000","0.19"
"672000","0.14"
"686000","0.17"
"700000","0.16"
"714000","0.18"
"728000","0.17"
"742000","0.2"
"756000","0.22"
"770000","0.25"
"784000","0.21"
"798000","0.12"
"812000","0.19"
"826000","0.17"
"840000","0.18"
"854000","0.2"
"868000","0.21"
"882000","0.16"
"896000","0.22"
"910000","0.18"
"924000","0.09"
"938000","0.28"
"952000","0.2"
"966000","0.16"
"980000","0.21"
"994000","0.15"
"1008000","0.2"
"1022000","0.22"
"1036000","0.27"
"1050000","0.22"
"1064000","0.15"
"1078000","0.13"
"1092000","0.09"
"1106000","0.17"
"1120000","0.13"
"1134000","0.19"
"1148000","0.23"
"1162000","0.15"
"1176000","0.17"
"1190000","0.16"
"1204000","0.2"
"1218000","0.17"
"1232000","0.15"
"1246000","0.21"
"1260000","0.23"
"1274000","0.19"
"1288000","0.21"
"1302000","0.19"
"1316000","0.15"
"1330000","0.17"
"1344000","0.15"
"1358000","0.17"
"1372000","0.11"
"1386000","0.16"
"1400000","0.22"
"1414000","0.07"
"1428000","0.14"
"1442000","0.2"
"1456000","0.19"
"1470000","0.24"
"1484000","0.13"
"1498000","0.17"
"1512000","0.18"
"1526000","0.18"
"1540000","0.1"
"1554000","0.2"
