"Step","mix2n4_4boxlength200_pb_seed1 - 4cover_rate"
"134640000","0.5376000000000001"
"135000000","0.5534"
"135360000","0.5567000000000001"
"135720000","0.5674000000000001"
"136080000","0.5622"
"136440000","0.5608"
"136800000","0.5443"
"137160000","0.5669000000000001"
"137520000","0.5861000000000001"
"137880000","0.5808"
"138240000","0.5752"
"138600000","0.5664"
"138960000","0.5845"
"139320000","0.5561"
"139680000","0.5719000000000001"
"140040000","0.5628"
"140400000","0.5847"
"140760000","0.5539"
"141120000","0.581"
"141480000","0.5885"
"141840000","0.582"
"142200000","0.5845999999999999"
"142560000","0.5961"
"142920000","0.6048000000000001"
"143280000","0.5879000000000001"
"143640000","0.5708"
"144000000","0.5758"
"144360000","0.5665"
"144720000","0.5727000000000001"
"145080000","0.5846"
"145440000","0.5552999999999999"
"145800000","0.5485"
"146160000","0.5418999999999999"
"146520000","0.5266000000000001"
"146880000","0.5605"
"147240000","0.5448999999999999"
"147600000","0.5570999999999999"
"147960000","0.5344"
"148320000","0.5564000000000001"
"148680000","0.5478"
"149040000","0.563"
"149400000","0.5539"
"149760000","0.5577"
"150120000","0.5674000000000001"
"150480000","0.5582"
"150840000","0.5717000000000001"
"151200000","0.5638"
"151560000","0.5609"
"151920000","0.5592"
"152280000","0.5782999999999999"
"152640000","0.5730999999999999"
"153000000","0.5522999999999999"
"153360000","0.562"
"153720000","0.5665999999999999"
"154080000","0.583"
"154440000","0.5751000000000001"
"154800000","0.5709"
"155160000","0.5639000000000001"
"155520000","0.5597"
"155880000","0.5675999999999999"
"156240000","0.5551999999999999"
"156600000","0.5822999999999999"
"156960000","0.5921000000000001"
"157320000","0.558"
"157680000","0.5655999999999999"
"158040000","0.5620999999999999"
"158400000","0.558"
"158760000","0.5768000000000001"
"159120000","0.5744"
"159480000","0.5862"
"159840000","0.5624"
"160200000","0.5650999999999999"
"160560000","0.5542999999999999"
"160920000","0.5752"
"161280000","0.5622"
"161640000","0.5795"
"162000000","0.5811000000000001"
"162360000","0.5821"
"162720000","0.5825"
"163080000","0.5811000000000001"
"163440000","0.5932999999999999"
"163800000","0.5787"
"164160000","0.5782"
"164520000","0.6029"
"164880000","0.5935999999999999"
"165240000","0.6019000000000001"
"165600000","0.5934"
"165960000","0.5895"
"166320000","0.5874000000000001"
"166680000","0.5962"
"167040000","0.6042000000000001"
"167400000","0.6031"
"167760000","0.5927"
"168120000","0.6112000000000001"
"168480000","0.6054"
"168840000","0.5947"
"169200000","0.6063999999999999"
"169560000","0.6167999999999999"
"169920000","0.5983999999999999"
"170280000","0.6231"
"170640000","0.599"
"171000000","0.6336"
"171360000","0.6165999999999999"
"171720000","0.6088999999999999"
"172080000","0.6133"
"172440000","0.6126"
"172800000","0.6200999999999999"
"173160000","0.6012000000000001"
"173520000","0.6052"
"173880000","0.6260999999999999"
"174240000","0.6132000000000001"
"174600000","0.6034"
"174960000","0.6016"
"175320000","0.6217999999999999"
"175680000","0.624"
"176040000","0.635"
"176400000","0.613"
"176760000","0.6283"
"177120000","0.6227"
"177480000","0.6219"
"177840000","0.5765999999999999"
"178200000","0.5992"
"178560000","0.5959"
"178920000","0.5855999999999999"
"179280000","0.5917"
"179640000","0.5847"
"180000000","0.6038"
"180360000","0.6012000000000001"
"180720000","0.6174"
"181080000","0.601"
"181440000","0.6033999999999999"
"181800000","0.6116"
"182160000","0.6027"
"182520000","0.6126"
"182880000","0.6001000000000001"
"183240000","0.6033"
"183600000","0.603"
"183960000","0.6076"
"184320000","0.5952000000000001"
"184680000","0.6133"
"185040000","0.622"
"185400000","0.608"
"185760000","0.6132000000000001"
"186120000","0.6225999999999999"
"186480000","0.6284000000000001"
"186840000","0.6242000000000001"
"187200000","0.6122"
"187560000","0.6355999999999999"
"187920000","0.6410999999999999"
"188280000","0.6441"
"188640000","0.6374"
"189000000","0.6433"
"189360000","0.6588999999999998"
"189720000","0.6466"
"190080000","0.6403"
"190440000","0.632"
"190800000","0.65"
"191160000","0.6262000000000001"
"191520000","0.6356"
"191880000","0.6439000000000001"
"192240000","0.6179"
"192600000","0.6545"
"192960000","0.6443000000000001"
"193320000","0.6394"
"193680000","0.6447"
"194040000","0.6667000000000001"
"194400000","0.6327999999999999"
"194760000","0.6346"
"195120000","0.6503"
"195480000","0.6595"
"195840000","0.6592"
"196200000","0.6450999999999999"
"196560000","0.6631999999999999"
"196920000","0.6599"
"197280000","0.6437"
"197640000","0.6658"
"198000000","0.6812"
"198360000","0.671"
"198720000","0.6507000000000001"
"199080000","0.6722"
"199440000","0.647"
"199800000","0.6598999999999999"
"200160000","0.677"
"200520000","0.6650999999999999"
"200880000","0.6486000000000001"
"201240000","0.6585"
"201600000","0.668"
"201960000","0.6627"
"202320000","0.6705"
"202680000","0.6557999999999999"
"203040000","0.6607999999999999"
"203400000","0.6836"
"203760000","0.689"
"204120000","0.6781"
"204480000","0.6399"
"204840000","0.6785999999999999"
"205200000","0.6688"
"205560000","0.678"
"205920000","0.6890999999999999"
"206280000","0.6684"
"206640000","0.6785999999999999"
"207000000","0.6746"
"207360000","0.6870999999999999"
"207720000","0.69"
"208080000","0.6778"
"208440000","0.6784"
"208800000","0.6722"
"209160000","0.6915"
"209520000","0.6835"
"209880000","0.7014999999999999"
"210240000","0.6808"
"210600000","0.6952"
"210960000","0.6801"
"211320000","0.6698999999999999"
"211680000","0.7006999999999999"
"212040000","0.6882"
"212400000","0.6668999999999999"
"212760000","0.6846"
"213120000","0.6712"
"213480000","0.6832"
"213840000","0.6796"
"214200000","0.6914000000000001"
"214560000","0.6842"
"214920000","0.6908"
"215280000","0.7"
"215640000","0.6858"
"216000000","0.6777000000000001"
"216360000","0.6829"
"216720000","0.6784"
"217080000","0.6734000000000001"
"217440000","0.6891"
"217800000","0.6845"
"218160000","0.7042"
"218520000","0.6848"
"218880000","0.6685"
"219240000","0.6837000000000001"
"219600000","0.6794"
"219960000","0.6614000000000001"
"220320000","0.664"
"220680000","0.6668000000000001"
"221040000","0.6855"
"221400000","0.6845"
"221760000","0.6668999999999999"
"222120000","0.6702"
"222480000","0.6700999999999999"
"222840000","0.6885"
"223200000","0.6785999999999999"
"223560000","0.6657000000000001"
"223920000","0.6676"
"224280000","0.685"
"224640000","0.669"
"225000000","0.6698"
"225360000","0.6697000000000001"
"225720000","0.6817000000000001"
"226080000","0.6725"
"226440000","0.6755"
"226800000","0.6660999999999999"
"227160000","0.6652"
"227520000","0.6737000000000001"
"227880000","0.673"
"228240000","0.6718999999999999"
"228600000","0.6762"
"228960000","0.6791"
"229320000","0.6831"
"229680000","0.6652"
"230040000","0.6962"
"230400000","0.6676"
"230760000","0.6558999999999999"
"231120000","0.6909"
"231480000","0.6840999999999999"
"231840000","0.686"
"232200000","0.674"
"232560000","0.6886"
"232920000","0.6980999999999999"
"233280000","0.7041000000000001"
"233640000","0.6991999999999999"
"234000000","0.685"
"234360000","0.6851999999999999"
"234720000","0.7069"
"235080000","0.6921"
"235440000","0.693"
"235800000","0.691"
"236160000","0.6727"
"236520000","0.7042999999999999"
"236880000","0.6741"
"237240000","0.6757000000000001"
"237600000","0.6887000000000001"
"237960000","0.6665"
"238320000","0.6519000000000001"
"238680000","0.6740999999999999"
"239040000","0.6784"
"239400000","0.6748"
"239760000","0.6625"
"240120000","0.6810999999999999"
"240480000","0.6942999999999999"
"240840000","0.6818"
"241200000","0.6935"
"241560000","0.6944000000000001"
"241920000","0.7093"
"242280000","0.6923"
"242640000","0.7022999999999999"
"243000000","0.7091"
"243360000","0.6848"
"243720000","0.7015999999999999"
"244080000","0.6924"
"244440000","0.6886"
"244800000","0.7012"
