"Step","sp_frac12_seed1 - cover_rate_5step"
"105000","0"
"210000","0.0015"
"315000","0.0065"
"420000","0.005"
"525000","0.0065"
"630000","0.0105"
"735000","0.008"
"840000","0.0129"
"945000","0.0268"
"1050000","0.0425"
"1155000","0.06409999999999999"
"1260000","0.0577"
"1350720","0.113"
"1426740","0.2305"
"1506750","0.2859"
"1599570","0.313"
"1704570","0.332"
"1809570","0.347"
"1914570","0.3246"
"2019570","0.32470000000000004"
"2124570","0.314"
"2229570","0.3152"
"2334570","0.32139999999999996"
"2439570","0.3434"
"2544570","0.3463"
"2649570","0.3692"
"2754570","0.3752"
"2859570","0.35029999999999994"
"2964570","0.35819999999999996"
"3069570","0.36019999999999996"
"3174570","0.3363"
"3279570","0.3551"
"3384570","0.36340000000000006"
"3489570","0.3556"
"3594570","0.374"
"3699570","0.3698"
"3804570","0.3842"
"3909570","0.3757"
"4014570","0.3808"
"4119570","0.3871"
"4224570","0.3873"
"4329570","0.411"
"4434570","0.4318999999999999"
"4539570","0.428"
"4644570","0.4287"
"4749570","0.4378"
"4854570","0.4338999999999999"
"4959570","0.4361"
"5064570","0.4745"
"5169570","0.4571"
"5274570","0.4703000000000001"
"5379570","0.4551"
"5484570","0.4582"
"5589570","0.48020000000000007"
"5694570","0.4797"
"5799570","0.4932"
"5904570","0.5069"
"6009570","0.4982"
"6114570","0.4958"
"6219570","0.4950000000000001"
"6324570","0.4987"
"6429570","0.5163"
"6534570","0.502"
"6639570","0.5271"
"6744570","0.5433"
"6849570","0.5276"
"6954570","0.5283"
"7059570","0.5257999999999999"
"7164570","0.5385"
"7269570","0.5385"
"7374570","0.5456"
"7479570","0.5547000000000001"
"7584570","0.5582"
"7689570","0.5724"
"7794570","0.5788"
"7899570","0.5801"
"8004570","0.5802999999999999"
"8109570","0.5851999999999999"
"8214570","0.5818"
"8319570","0.5612999999999999"
"8424570","0.589"
"8529570","0.5883999999999999"
"8634570","0.5858"
"8739570","0.6007"
"8844570","0.6073000000000001"
"8949570","0.6095"
"9054570","0.6102000000000001"
"9159570","0.6083"
"9264570","0.6175"
"9369570","0.6241"
"9474570","0.6204"
"9579570","0.6206"
"9684570","0.6291"
"9789570","0.6451999999999999"
"9894570","0.6424000000000001"
"9999570","0.6551999999999999"
"10104570","0.6461"
"10209570","0.67"
"10314570","0.6555"
"10419570","0.6708"
"10524570","0.6644"
"10629570","0.6727000000000001"
"10734570","0.6532"
"10839570","0.6721"
"10944570","0.6862"
"11049570","0.6961"
"11154570","0.7009"
"11259570","0.7087"
"11364570","0.71"
"11469570","0.7223999999999999"
"11574570","0.7123999999999999"
"11679570","0.7092"
"11784570","0.7139"
"11889570","0.7218"
"11994570","0.7343"
"12099570","0.7439"
"12204570","0.7267"
"12309570","0.7338"
"12414570","0.7305"
"12519570","0.7497999999999999"
"12624570","0.7514"
"12729570","0.7599"
"12834570","0.749"
"12939570","0.752"
"13044570","0.7683000000000001"
"13149570","0.7575"
"13254570","0.7607999999999999"
"13359570","0.7496"
"13464570","0.7712"
"13569570","0.7669000000000001"
"13674570","0.7665"
"13779570","0.7645"
"13884570","0.7773000000000001"
"13989570","0.7587"
"14094570","0.7692"
"14199570","0.7755"
"14304570","0.7791"
"14409570","0.7831999999999999"
"14514570","0.7817000000000001"
"14619570","0.7933"
"14724570","0.7862"
"14829570","0.81"
"14934570","0.7983"
"15039570","0.8022"
"15144570","0.8084000000000001"
"15249570","0.7980999999999999"
"15354570","0.8252"
"15459570","0.8071"
"15564570","0.8057000000000001"
"15669570","0.8184"
"15774570","0.8336999999999999"
"15879570","0.8285"
"15984570","0.8225"
"16089570","0.8007000000000001"
"16194570","0.8124"
"16299570","0.8032999999999999"
"16404570","0.8161999999999999"
"16509570","0.8261"
"16614570","0.8159000000000001"
"16719570","0.8341999999999999"
"16824570","0.8167000000000001"
"16929570","0.8251999999999999"
"17034570","0.8372999999999999"
"17139570","0.8392999999999999"
"17244570","0.8448000000000001"
"17349570","0.8318"
"17454570","0.8224"
"17559570","0.8328"
"17664570","0.8387"
"17769570","0.8419"
"17874570","0.842"
"17979570","0.8325999999999999"
"18084570","0.83"
"18189570","0.8408"
"18294570","0.8501000000000001"
"18399570","0.8335"
"18504570","0.8590999999999999"
"18609570","0.86"
"18714570","0.864"
"18819570","0.851"
"18924570","0.8575999999999999"
"19029570","0.8395999999999999"
"19134570","0.8375"
"19239570","0.84"
"19344570","0.8484"
"19449570","0.8452000000000001"
"19554570","0.8341"
"19659570","0.8465"
"19764570","0.8478"
"19869570","0.8553999999999999"
"19974570","0.8684"
"20079570","0.8514"
"20184570","0.8482999999999999"
"20289570","0.8626"
"20394570","0.8542000000000001"
"20499570","0.853"
"20604570","0.8617999999999999"
"20709570","0.8746000000000002"
"20814570","0.8613"
"20919570","0.8627999999999999"
"21024570","0.8824"
"21129570","0.8674"
"21234570","0.8707"
"21339570","0.8672000000000001"
"21444570","0.8635999999999999"
"21549570","0.8662000000000001"
"21654570","0.8485"
"21759570","0.847"
"21864570","0.8714"
"21969570","0.8677"
"22074570","0.8700999999999999"
"22179570","0.8625"
"22284570","0.8776"
"22389570","0.8855"
"22494570","0.9015"
"22599570","0.8896"
"22704570","0.8598"
"22809570","0.8793"
"22914570","0.8675"
"23019570","0.8793"
"23124570","0.8712000000000001"
"23229570","0.8441"
"23334570","0.8472999999999999"
"23439570","0.8657"
"23544570","0.8713"
"23649570","0.8790999999999999"
"23754570","0.888"
"23859570","0.8900999999999999"
"23964570","0.8826999999999999"
"24069570","0.9017"
"24174570","0.8806000000000002"
"24279570","0.8933"
"24384570","0.8671"
"24489570","0.8741"
"24594570","0.8807999999999999"
"24699570","0.8835"
"24804570","0.8750999999999999"
"24909570","0.8814"
"25014570","0.8772000000000001"
"25119570","0.8867999999999999"
"25224570","0.8767"
"25329570","0.8855"
"25434570","0.9056"
"25539570","0.9105"
"25644570","0.9099"
"25749570","0.9177"
"25854570","0.9182"
"25959570","0.9254"
"26064570","0.9387"
"26169570","0.9299"
"26274570","0.9263"
"26379570","0.9181"
"26484570","0.9338"
"26589570","0.9216"
"26694570","0.9232"
"26799570","0.9241"
"26904570","0.9125"
"27009570","0.9164"
"27114570","0.9024"
"27219570","0.8923"
"27324570","0.892"
"27429570","0.8898"
"27534570","0.8936999999999999"
"27639570","0.9023"
"27744570","0.9111"
"27849570","0.9048"
"27954570","0.9255"
"28059570","0.9123"
"28162890","0.9218"
"28262430","0.9349"
"28364490","0.9346"
"28468650","0.9328"
"28573650","0.9284"
"28677390","0.9402"
"28779660","0.9396"
"28875840","0.9524"
"28967820","0.947"
"29062110","0.9417"
"29157450","0.9368"
"29252370","0.9512"
"29344770","0.9511"
"29437380","0.9518"
"29529990","0.9556"
"29624700","0.957"
"29720880","0.9514"
"29818530","0.9528"
"29918700","0.9453"
"30021180","0.9465"
"30121770","0.9492"
"30225300","0.9482"
"30330300","0.9361000000000002"
"30431310","0.9443"
"30534420","0.9381"
"30637320","0.9291"
"30740850","0.94"
"30840180","0.945"
"30940140","0.9369"
"31037790","0.939"
"31135230","0.926"
"31237920","0.9223"
"31339140","0.9234"
"31440360","0.9306"
"31541580","0.942"
"31642380","0.9391"
"31743180","0.9398"
"31845870","0.938"
"31949820","0.9441"
"32054820","0.9542"
"32157720","0.9355"
"32260830","0.9364"
"32363730","0.9421"
"32468520","0.9418"
"32573520","0.9252"
"32678520","0.9367"
"32783520","0.9372"
"32888520","0.9443"
"32993520","0.9323"
"33098520","0.9404"
"33203520","0.9522"
"33308520","0.9445"
"33413520","0.9312"
"33518520","0.9333"
"33623310","0.8957999999999999"
"33728310","0.8997999999999999"
"33833310","0.9138"
"33938310","0.9182"
"34043310","0.9314"
"34148310","0.922"
"34253310","0.9319"
"34358310","0.9485"
"34463310","0.9371"
"34568310","0.9346"
"34673310","0.9426"
"34778310","0.9451"
"34883310","0.9487"
"34988310","0.9471"
"35093310","0.9447"
"35198310","0.9349"
"35303310","0.9355"
"35408310","0.9385"
"35513310","0.9401"
"35618310","0.9222"
"35723310","0.9185"
"35828310","0.9286"
"35933310","0.9171"
"36038310","0.9139"
"36143310","0.9339"
"36248310","0.9411"
"36353310","0.9535"
"36458310","0.9596"
"36563310","0.9496"
"36668310","0.9476"
"36773310","0.9475"
"36878310","0.9394"
"36983310","0.9487"
"37088310","0.9495"
"37193310","0.9497"
"37298310","0.9568"
"37403310","0.9588"
"37508310","0.9383"
"37613310","0.9368"
"37718310","0.947"
