"Step","gan_pb_4agents_seed1 - cover_rate_5step"
"33960000","0.1072"
"34080000","0.1198"
"34200000","0.1256"
"34320000","0.1066"
"34440000","0.1324"
"34560000","0.1039"
"34680000","0.1199"
"34800000","0.11469999999999998"
"34920000","0.1202"
"35040000","0.1329"
"35160000","0.1116"
"35280000","0.1147"
"35400000","0.1107"
"35520000","0.122"
"35640000","0.123"
"35760000","0.1047"
"35880000","0.1382"
"36000000","0.1249"
"36120000","0.1228"
"36240000","0.1245"
"36360000","0.1301"
"36480000","0.1266"
"36600000","0.1084"
"36720000","0.1096"
"36840000","0.1224"
"36960000","0.1243"
"37080000","0.1127"
"37200000","0.1175"
"37320000","0.1153"
"37440000","0.1128"
"37560000","0.1204"
"37680000","0.1236"
"37800000","0.1207"
"37920000","0.1343"
"38040000","0.1206"
"38160000","0.11220000000000002"
"38280000","0.1325"
"38400000","0.1247"
"38520000","0.1142"
"38640000","0.1266"
"38760000","0.107"
"38880000","0.1261"
"39000000","0.1169"
"39120000","0.1325"
"39240000","0.13739999999999997"
"39360000","0.1146"
"39480000","0.13069999999999998"
"39600000","0.1218"
"39720000","0.1357"
"39840000","0.1149"
"39960000","0.1212"
"40080000","0.12780000000000002"
"40200000","0.118"
"40320000","0.13190000000000002"
"40440000","0.11880000000000002"
"40560000","0.1225"
"40680000","0.1243"
"40800000","0.1189"
"40920000","0.1313"
"41040000","0.1122"
"41160000","0.1275"
"41280000","0.1163"
"41400000","0.1036"
"41520000","0.12610000000000002"
"41640000","0.1158"
"41760000","0.1365"
"41880000","0.1203"
"42000000","0.12669999999999998"
"42120000","0.1325"
"42240000","0.12819999999999998"
"42360000","0.12990000000000002"
"42480000","0.1197"
"42600000","0.1238"
"42720000","0.122"
"42840000","0.1147"
"42960000","0.13429999999999995"
"43080000","0.1249"
"43200000","0.1222"
"43320000","0.1284"
"43440000","0.1169"
"43560000","0.1308"
"43680000","0.12769999999999998"
"43800000","0.12769999999999998"
"43920000","0.1103"
"44040000","0.131"
"44160000","0.1343"
"44280000","0.1179"
"44400000","0.1203"
"44520000","0.126"
"44640000","0.12779999999999997"
"44760000","0.134"
"44880000","0.1427"
"45000000","0.13789999999999997"
"45120000","0.1463"
"45240000","0.1435"
"45360000","0.1379"
"45480000","0.1502"
"45600000","0.14"
"45720000","0.1369"
"45840000","0.1321"
"45960000","0.13739999999999997"
"46080000","0.13460000000000005"
"46200000","0.1327"
"46320000","0.1425"
"46440000","0.15389999999999998"
"46560000","0.1315"
"46680000","0.1524"
"46800000","0.1367"
"46920000","0.1295"
"47040000","0.1456"
"47160000","0.14639999999999995"
"47280000","0.15810000000000002"
"47400000","0.14889999999999998"
"47520000","0.1489"
"47640000","0.136"
"47760000","0.15669999999999998"
"47880000","0.13560000000000005"
"48000000","0.13119999999999998"
"48120000","0.1522"
"48240000","0.1389"
"48360000","0.1447"
"48480000","0.1368"
"48600000","0.15030000000000002"
"48720000","0.15769999999999998"
"48840000","0.1391"
"48960000","0.13760000000000003"
"49080000","0.1527"
"49200000","0.14"
"49320000","0.15120000000000003"
"49440000","0.15180000000000002"
"49560000","0.1517"
"49680000","0.15440000000000004"
"49800000","0.1428"
"49920000","0.14429999999999998"
"50040000","0.148"
"50160000","0.1474"
"50280000","0.1467"
"50400000","0.1539"
"50520000","0.1526"
"50640000","0.1395"
"50760000","0.148"
"50880000","0.1396"
"51000000","0.14959999999999998"
"51120000","0.15330000000000002"
"51240000","0.1365"
"51360000","0.1325"
"51480000","0.14739999999999998"
"51600000","0.1408"
"51720000","0.15739999999999998"
"51840000","0.138"
"51960000","0.1382"
"52080000","0.1355"
"52200000","0.15230000000000002"
"52320000","0.13710000000000003"
"52440000","0.13240000000000002"
"52560000","0.13610000000000003"
"52680000","0.1492"
"52800000","0.1352"
"52920000","0.1338"
"53040000","0.14609999999999995"
"53160000","0.15300000000000002"
"53280000","0.1467"
"53400000","0.15660000000000002"
"53520000","0.1575"
"53640000","0.14909999999999998"
"53760000","0.13870000000000002"
"53880000","0.13929999999999998"
"54000000","0.169"
"54120000","0.1539"
"54240000","0.1515"
"54360000","0.15109999999999998"
"54480000","0.16119999999999998"
"54600000","0.15769999999999998"
"54720000","0.1647"
"54840000","0.1492"
"54960000","0.1496"
"55080000","0.1585"
"55200000","0.15480000000000002"
"55320000","0.1556"
"55440000","0.15130000000000002"
"55560000","0.1573"
"55680000","0.16340000000000002"
"55800000","0.1817"
"55920000","0.16"
"56040000","0.157"
"56160000","0.16839999999999997"
"56280000","0.1665"
"56400000","0.16540000000000002"
"56520000","0.1862"
"56640000","0.1876"
"56760000","0.1712"
"56880000","0.1853"
"57000000","0.1833"
"57120000","0.17720000000000002"
"57240000","0.1794"
"57360000","0.1936"
"57480000","0.17239999999999997"
"57600000","0.17040000000000002"
"57720000","0.1688"
"57840000","0.1738"
"57960000","0.1754"
"58080000","0.1885"
"58200000","0.1732"
"58320000","0.17110000000000003"
"58440000","0.18370000000000003"
"58560000","0.1621"
"58680000","0.16920000000000002"
"58800000","0.1645"
"58920000","0.1596"
"59040000","0.162"
"59160000","0.1866"
"59280000","0.1609"
"59400000","0.15930000000000002"
"59520000","0.1694"
"59640000","0.1752"
"59760000","0.16210000000000002"
"59880000","0.1895"
"60000000","0.1771"
"60120000","0.17809999999999998"
"60240000","0.1784"
"60360000","0.158"
"60480000","0.1692"
"60600000","0.17060000000000003"
"60720000","0.1738"
"60840000","0.17"
"60960000","0.1724"
"61080000","0.1873"
"61200000","0.1739"
"61320000","0.1724"
"61440000","0.1536"
"61560000","0.1644"
"61680000","0.1746"
"61800000","0.17539999999999997"
"61920000","0.1824"
"62040000","0.1522"
"62160000","0.1656"
"62280000","0.1755"
"62400000","0.1941"
"62520000","0.1811"
"62640000","0.185"
"62760000","0.1813"
"62880000","0.1826"
"63000000","0.1943"
"63120000","0.1903"
"63240000","0.1813"
"63360000","0.193"
"63480000","0.1775"
"63600000","0.1994"
"63720000","0.1866"
"63840000","0.1877"
"63960000","0.1893"
"64080000","0.1697"
"64200000","0.1891"
"64320000","0.1849"
"64440000","0.1991"
"64560000","0.1863"
"64680000","0.20810000000000003"
"64800000","0.2008"
"64920000","0.1872"
"65040000","0.2022"
"65160000","0.1846"
"65280000","0.1971"
"65400000","0.1872"
"65520000","0.1903"
"65640000","0.1814"
"65760000","0.1852"
"65880000","0.1875"
"66000000","0.1726"
"66120000","0.1818"
"66240000","0.1791"
"66360000","0.1829"
"66480000","0.17589999999999997"
"66600000","0.1845"
"66720000","0.1666"
"66840000","0.1689"
"66960000","0.1743"
"67080000","0.1665"
"67200000","0.1608"
"67320000","0.1774"
"67440000","0.1716"
"67560000","0.1643"
"67680000","0.1807"
"67800000","0.17429999999999998"
"67920000","0.17560000000000003"
"68040000","0.1701"
"68160000","0.1668"
"68280000","0.17010000000000003"
"68400000","0.16319999999999998"
"68520000","0.15780000000000002"
"68640000","0.1633"
"68760000","0.1687"
"68880000","0.1761"
"69000000","0.1843"
"69120000","0.184"
"69240000","0.1783"
"69360000","0.2067"
"69480000","0.1859"
"69600000","0.1985"
"69720000","0.1884"
"69840000","0.1884"
"69960000","0.1708"
"70080000","0.1913"
"70200000","0.185"
"70320000","0.2018"
"70440000","0.2134"
"70560000","0.2025"
"70680000","0.21520000000000003"
"70800000","0.196"
"70920000","0.2098"
"71040000","0.19710000000000005"
"71160000","0.2123"
"71280000","0.2053"
"71400000","0.20289999999999997"
"71520000","0.2124"
"71640000","0.2021"
"71760000","0.2304"
"71880000","0.2037"
"72000000","0.2024"
"72120000","0.2096"
"72240000","0.1894"
"72360000","0.2065"
"72480000","0.20510000000000003"
"72600000","0.2025"
"72720000","0.2109"
"72840000","0.2061"
"72960000","0.2067"
"73080000","0.20189999999999997"
"73200000","0.1874"
"73320000","0.1919"
"73440000","0.1882"
"73560000","0.1909"
"73680000","0.20060000000000003"
"73800000","0.1847"
"73920000","0.1862"
"74040000","0.1895"
"74160000","0.1998"
"74280000","0.1703"
"74400000","0.1747"
"74520000","0.2094"
"74640000","0.1858"
"74760000","0.1955"
"74880000","0.1997"
"75000000","0.2181"
"75120000","0.1997"
"75240000","0.2046"
"75360000","0.2036"
"75480000","0.21"
"75600000","0.21070000000000003"
"75720000","0.2078"
"75840000","0.2058"
"75960000","0.2108"
"76080000","0.1972"
"76200000","0.2044"
"76320000","0.20889999999999995"
"76440000","0.216"
"76560000","0.2197"
"76680000","0.23039999999999997"
"76800000","0.2125"
"76920000","0.2098"
"77040000","0.2022"
"77160000","0.2093"
"77280000","0.2073"
"77400000","0.2154"
"77520000","0.1894"
"77640000","0.2182"
"77760000","0.2122"
"77880000","0.2179"
"78000000","0.2217"
"78120000","0.2178"
"78240000","0.2153"
"78360000","0.2146"
"78480000","0.2134"
"78600000","0.22"
"78720000","0.2235"
"78840000","0.2219"
"78960000","0.2066"
"79080000","0.2159"
"79200000","0.2198"
"79320000","0.232"
"79440000","0.2168"
"79560000","0.2091"
"79680000","0.2136"
"79800000","0.2345"
"79920000","0.2251"
"80040000","0.2225"
"80160000","0.2184"
"80280000","0.2242"
"80400000","0.2094"
"80520000","0.2128"
"80640000","0.2307"
"80760000","0.219"
"80880000","0.2115"
"81000000","0.22429999999999997"
"81120000","0.2176"
"81240000","0.2256"
"81360000","0.2179"
"81480000","0.2047"
"81600000","0.2175"
"81720000","0.2224"
"81840000","0.2147"
"81960000","0.2171"
"82080000","0.2124"
"82200000","0.2167"
"82320000","0.2174"
"82440000","0.2197"
"82560000","0.2254"
"82680000","0.2199"
"82800000","0.2215"
"82920000","0.1874"
"83040000","0.2065"
"83160000","0.19989999999999997"
"83280000","0.2131"
"83400000","0.2166"
"83520000","0.223"
"83640000","0.2177"
"83760000","0.2296"
"83880000","0.2099"
"84000000","0.2393"
"84120000","0.2271"
"84240000","0.2189"
"84360000","0.2112"
"84480000","0.2298"
"84600000","0.2168"
"84720000","0.20439999999999997"
"84840000","0.2041"
"84960000","0.22"
"85080000","0.2056"
"85200000","0.2104"
"85320000","0.20760000000000003"
"85440000","0.2083"
"85560000","0.2131"
"85680000","0.2196"
"85800000","0.2329"
"85920000","0.2231"
"86040000","0.2098"
"86160000","0.22229999999999997"
"86280000","0.2231"
"86400000","0.2085"
"86520000","0.2201"
"86640000","0.217"
"86760000","0.2134"
"86880000","0.2215"
"87000000","0.2198"
"87120000","0.2337"
"87240000","0.2191"
"87360000","0.2476"
"87480000","0.237"
"87600000","0.2327"
"87720000","0.23810000000000003"
"87840000","0.2252"
"87960000","0.2182"
"88080000","0.247"
"88200000","0.2504"
"88320000","0.2253"
"88440000","0.2252"
"88560000","0.2358"
"88680000","0.2315"
"88800000","0.24120000000000005"
"88920000","0.2354"
"89040000","0.2165"
"89160000","0.2259"
"89280000","0.2312"
"89400000","0.2285"
"89520000","0.2221"
"89640000","0.2322"
"89760000","0.23989999999999995"
"89880000","0.229"
"90000000","0.2293"
"90120000","0.23760000000000003"
"90240000","0.2366"
"90360000","0.2312"
"90480000","0.2338"
"90600000","0.2256"
"90720000","0.2083"
"90840000","0.2142"
"90960000","0.2151"
"91080000","0.2387"
"91200000","0.2045"
"91320000","0.2152"
"91440000","0.2175"
"91560000","0.23210000000000003"
"91680000","0.224"
"91800000","0.20439999999999997"
"91920000","0.2144"
"92040000","0.2"
"92160000","0.1986"
"92280000","0.2106"
"92400000","0.2137"
"92520000","0.2173"
"92640000","0.2246"
"92760000","0.2244"
"92880000","0.2095"
"93000000","0.1897"
"93120000","0.2344"
"93240000","0.2258"
"93360000","0.19760000000000005"
"93480000","0.1999"
"93600000","0.1926"
"93720000","0.201"
"93840000","0.2165"
"93960000","0.20439999999999997"
"94080000","0.1957"
"94200000","0.1977"
"94320000","0.2046"
"94440000","0.1989"
"94560000","0.2133"
"94680000","0.2156"
"94800000","0.1905"
"94920000","0.2106"
"95040000","0.2067"
"95160000","0.2091"
"95280000","0.21540000000000004"
"95400000","0.2229"
"95520000","0.2439"
"95640000","0.22839999999999996"
"95760000","0.2436"
"95880000","0.2171"
"96000000","0.2365"
"96120000","0.2276"
"96240000","0.2514"
"96360000","0.2475"
"96480000","0.2196"
"96600000","0.2322"
"96720000","0.2352"
"96840000","0.2272"
"96960000","0.2333"
"97080000","0.224"
"97200000","0.237"
"97320000","0.23039999999999997"
"97440000","0.2232"
"97560000","0.231"
"97680000","0.20789999999999997"
"97800000","0.20810000000000003"
"97920000","0.2116"
"98040000","0.2265"
"98160000","0.2165"
"98280000","0.2205"
"98400000","0.2288"
"98520000","0.2184"
"98640000","0.2234"
"98760000","0.2192"
"98880000","0.2146"
"99000000","0.2153"
"99120000","0.2167"
"99240000","0.20289999999999997"
"99360000","0.2297"
"99480000","0.2292"
"99600000","0.2217"
"99720000","0.2237"
"99840000","0.22"
"99960000","0.2488"
"100080000","0.2276"
"100200000","0.2265"
"100320000","0.22279999999999997"
"100440000","0.2265"
"100560000","0.2388"
"100680000","0.2338"
"100800000","0.2187"
"100920000","0.217"
"101040000","0.24340000000000003"
"101160000","0.2294"
"101280000","0.2246"
"101400000","0.2308"
"101520000","0.2404"
"101640000","0.2502"
"101760000","0.2375"
"101880000","0.242"
"102000000","0.2284"
"102120000","0.2391"
"102240000","0.22379999999999997"
"102360000","0.223"
"102480000","0.2498"
"102600000","0.23259999999999997"
"102720000","0.2246"
"102840000","0.2244"
"102960000","0.23939999999999995"
"103080000","0.2201"
"103200000","0.2243"
"103320000","0.2205"
"103440000","0.237"
"103560000","0.216"
"103680000","0.2355"
"103800000","0.2362"
"103920000","0.2266"
"104040000","0.2261"
"104160000","0.233"
"104280000","0.215"
"104400000","0.2228"
"104520000","0.2125"
"104640000","0.2192"
"104760000","0.2034"
"104880000","0.2261"
"105000000","0.2175"
"105120000","0.2215"
"105240000","0.2397"
"105360000","0.23989999999999995"
"105480000","0.2397"
"105600000","0.2327"
"105720000","0.2415"
"105840000","0.2232"
"105960000","0.23660000000000003"
"106080000","0.23"
"106200000","0.23310000000000003"
"106320000","0.2244"
"106440000","0.2348"
"106560000","0.2303"
"106680000","0.2451"
"106800000","0.2257"
"106920000","0.2319"
"107040000","0.2362"
"107160000","0.2167"
"107280000","0.233"
"107400000","0.229"
"107520000","0.2278"
"107640000","0.2311"
"107760000","0.2363"
"107880000","0.2307"
"108000000","0.2134"
"108120000","0.2298"
"108240000","0.2261"
"108360000","0.2172"
"108480000","0.2315"
"108600000","0.2364"
"108720000","0.2406"
"108840000","0.22989999999999997"
"108960000","0.22459999999999997"
"109080000","0.2312"
"109200000","0.2446"
"109320000","0.22960000000000003"
"109440000","0.2234"
"109560000","0.2374"
"109680000","0.2376"
"109800000","0.2302"
"109920000","0.2196"
"110040000","0.2248"
"110160000","0.232"
"110280000","0.2501"
"110400000","0.23789999999999997"
"110520000","0.2466"
"110640000","0.2333"
"110760000","0.2358"
"110880000","0.2383"
"111000000","0.2236"
"111120000","0.227"
"111240000","0.2382"
"111360000","0.25830000000000003"
"111480000","0.2387"
"111600000","0.2498"
"111720000","0.2324"
"111840000","0.2389"
"111960000","0.2425"
"112080000","0.2441"
"112200000","0.2242"
"112320000","0.248"
"112440000","0.2379"
"112560000","0.23789999999999997"
"112680000","0.242"
"112800000","0.23960000000000004"
"112920000","0.2526"
"113040000","0.252"
"113160000","0.2497"
"113280000","0.2339"
"113400000","0.2443"
"113520000","0.2449"
"113640000","0.26909999999999995"
"113760000","0.248"
"113880000","0.23239999999999997"
"114000000","0.2319"
"114120000","0.2607"
"114240000","0.2451"
"114360000","0.242"
"114480000","0.2433"
"114600000","0.2571"
"114720000","0.2468"
"114840000","0.2677999999999999"
"114960000","0.2378"
"115080000","0.2436"
"115200000","0.23689999999999997"
"115320000","0.26489999999999997"
"115440000","0.23660000000000003"
"115560000","0.2536"
"115680000","0.24509999999999996"
"115800000","0.2444"
"115920000","0.237"
"116040000","0.2603"
"116160000","0.2412"
"116280000","0.2494"
"116400000","0.2558"
"116520000","0.2464"
"116640000","0.2524"
"116760000","0.26089999999999997"
"116880000","0.2585"
"117000000","0.2588"
"117120000","0.2805"
"117240000","0.252"
"117360000","0.2516"
"117480000","0.25179999999999997"
"117600000","0.2464"
"117720000","0.25610000000000005"
"117840000","0.2475"
"117960000","0.2337"
"118080000","0.25429999999999997"
"118200000","0.2553"
"118320000","0.2459"
"118440000","0.2419"
"118560000","0.266"
"118680000","0.2488"
"118800000","0.26330000000000003"
"118920000","0.2505"
"119040000","0.2308"
"119160000","0.2553"
"119280000","0.2379"
"119400000","0.2256"
"119520000","0.2695"
"119640000","0.256"
"119760000","0.2447"
"119880000","0.2391"
"120000000","0.2533"
"120120000","0.2642"
"120240000","0.2338"
