"Step","sp_min0.25_seed3 - cover_rate_1step"
"105000","0"
"210000","0"
"315000","0.0005"
"420000","0.002"
"525000","0.0025"
"630000","0.004"
"735000","0.0055"
"840000","0.0095"
"945000","0.0095"
"1050000","0.0155"
"1155000","0.0895"
"1260000","0.1495"
"1365000","0.206"
"1470000","0.291"
"1575000","0.3555"
"1680000","0.343"
"1785000","0.3695"
"1890000","0.341"
"1995000","0.366"
"2100000","0.3425"
"2205000","0.3955"
"2310000","0.371"
"2415000","0.3545"
"2520000","0.3815"
"2625000","0.389"
"2730000","0.353"
"2835000","0.3755"
"2940000","0.3725"
"3045000","0.413"
"3150000","0.4005"
"3255000","0.403"
"3360000","0.4135"
"3465000","0.442"
"3570000","0.41"
"3675000","0.4215"
"3780000","0.433"
"3885000","0.4825"
"3990000","0.463"
"4095000","0.5"
"4200000","0.4825"
"4305000","0.4945"
"4410000","0.4765"
"4515000","0.5005"
"4620000","0.5205"
"4725000","0.5295"
"4830000","0.525"
"4935000","0.5675"
"5040000","0.546"
"5145000","0.577"
"5250000","0.5925"
"5355000","0.577"
"5460000","0.5925"
"5565000","0.5805"
"5670000","0.595"
"5775000","0.614"
"5880000","0.6195"
"5985000","0.612"
"6090000","0.5975"
"6195000","0.614"
"6300000","0.622"
"6405000","0.6365"
"6510000","0.643"
"6615000","0.627"
"6720000","0.616"
"6825000","0.653"
"6930000","0.644"
"7035000","0.6505"
"7140000","0.6425"
"7245000","0.662"
"7350000","0.657"
"7455000","0.6635"
"7560000","0.645"
"7665000","0.655"
"7770000","0.674"
"7875000","0.6655"
"7980000","0.695"
"8085000","0.6915"
"8190000","0.6935"
"8295000","0.691"
"8400000","0.6775"
"8505000","0.677"
"8610000","0.6805"
"8715000","0.6815"
"8820000","0.6835"
"8925000","0.689"
"9030000","0.6885"
"9135000","0.688"
"9240000","0.7075"
"9345000","0.71"
"9450000","0.694"
"9555000","0.712"
"9660000","0.7175"
"9765000","0.712"
"9870000","0.719"
"9975000","0.7035"
"10080000","0.72"
"10185000","0.698"
"10290000","0.7175"
"10395000","0.7215"
"10500000","0.7435"
"10605000","0.741"
"10710000","0.7365"
"10815000","0.716"
"10920000","0.737"
"11025000","0.729"
"11130000","0.739"
"11235000","0.736"
"11340000","0.7435"
"11445000","0.74"
"11550000","0.739"
"11655000","0.7425"
"11760000","0.749"
"11865000","0.7565"
"11970000","0.7345"
"12075000","0.7115"
"12180000","0.7365"
"12285000","0.757"
"12390000","0.7505"
"12495000","0.7645"
"12600000","0.74"
"12705000","0.7515"
"12810000","0.765"
"12915000","0.774"
"13020000","0.7425"
"13125000","0.7685"
"13230000","0.7825"
"13335000","0.7585"
"13440000","0.778"
"13545000","0.7585"
"13650000","0.755"
"13755000","0.7795"
"13860000","0.793"
"13965000","0.776"
"14070000","0.7715"
"14175000","0.79"
"14280000","0.7775"
"14385000","0.8005"
"14490000","0.7805"
"14595000","0.7955"
"14700000","0.7835"
"14805000","0.7775"
"14910000","0.779"
"15015000","0.7925"
"15120000","0.7865"
"15225000","0.7695"
"15330000","0.794"
"15435000","0.798"
"15540000","0.8135"
"15645000","0.807"
"15750000","0.8"
"15855000","0.8075"
"15960000","0.7895"
"16065000","0.8075"
"16170000","0.817"
"16275000","0.8165"
"16380000","0.816"
"16485000","0.823"
"16590000","0.825"
"16695000","0.8385"
"16800000","0.8265"
"16905000","0.825"
"17010000","0.8415"
"17115000","0.844"
"17220000","0.849"
"17325000","0.8395"
"17430000","0.85"
"17535000","0.83"
"17640000","0.839"
"17745000","0.8425"
"17850000","0.859"
"17955000","0.876"
"18060000","0.8605"
"18165000","0.841"
"18270000","0.8615"
"18375000","0.873"
"18480000","0.858"
"18585000","0.8645"
"18690000","0.8565"
"18795000","0.871"
"18900000","0.8725"
"19005000","0.872"
"19110000","0.858"
"19215000","0.865"
"19320000","0.8735"
"19425000","0.8755"
"19530000","0.8675"
"19635000","0.877"
"19740000","0.885"
"19845000","0.8795"
"19950000","0.88"
"20055000","0.864"
"20160000","0.8695"
"20265000","0.876"
"20370000","0.8755"
"20475000","0.8865"
"20580000","0.876"
"20685000","0.8655"
"20790000","0.8845"
"20895000","0.892"
"21000000","0.8925"
"21105000","0.871"
"21210000","0.874"
"21315000","0.88"
"21420000","0.8835"
"21525000","0.895"
"21630000","0.892"
"21735000","0.8995"
"21840000","0.892"
