"Step","amigo_map66_teacherhorizon20_seed1 - eval_episode_reward"
"35000","-0.052400000393390656"
"70000","-0.02800000086426735"
"105000","-0.024000000208616257"
"140000","-0.01640000194311142"
"175000","-0.04259999841451645"
"210000","-0.03400000184774399"
"245000","-0.02279999852180481"
"280000","-0.003200000151991844"
"315000","-0.006000000052154064"
"350000","-0.0020000000949949026"
"385000","-0.0020000000949949026"
"420000","-0.0020000000949949026"
"455000","-0.004399999976158142"
"490000","-0.004399999976158142"
"525000","-0.0036000001709908247"
"560000","-0.005200000014156103"
"595000","-0.000800000037997961"
"630000","-0.008400000631809235"
"665000","-0.0020000000949949026"
"700000","-0.003599999938160181"
"735000","-0.007199999876320362"
"770000","-0.006000000052154064"
"805000","-0.008400000631809235"
"840000","-0.006400000303983688"
"875000","-0.0068000005558133125"
"910000","-0.007600000593811274"
"945000","-0.004399999976158142"
"980000","-0.006000000052154064"
"1015000","-0.00559999980032444"
"1050000","-0.006400000303983688"
"1085000","-0.005600000265985727"
"1120000","-0.00559999980032444"
"1155000","-0.004399999976158142"
"1190000","-0.006000000052154064"
"1225000","-0.004000000189989805"
"1260000","-0.004800000227987766"
"1295000","-0.01040000095963478"
"1330000","-0.013600001111626623"
"1365000","-0.009200000204145908"
"1400000","-0.020400000736117363"
"1435000","-0.014800000004470348"
"1470000","-0.012799999676644802"
"1505000","-0.01360000018030405"
"1540000","-0.01360000018030405"
"1575000","-0.00800000037997961"
"1610000","-0.007600000593811274"
"1645000","-0.006800000090152025"
"1680000","-0.008799999952316284"
"1715000","-0.003200000151991844"
"1750000","-0.003200000384822488"
"1785000","-0.006400000303983688"
"1820000","-0.009600000455975533"
"1855000","-0.012800001539289951"
"1890000","-0.012800000607967377"
"1925000","-0.009200001135468485"
"1960000","-0.015200001187622547"
"1995000","-0.014000000432133676"
"2030000","-0.015200001187622547"
"2065000","-0.014800000004470348"
"2100000","-0.013199999928474426"
"2135000","-0.012600000016391276"
"2170000","-0.008799999952316284"
"2205000","-0.01080000028014183"
"2240000","-0.012000000104308128"
"2275000","-0.009600000455975533"
"2310000","-0.01640000194311142"
"2345000","-0.01160000078380108"
