"Step","mixdecay2n4_decayfre60_seed1 - 4cover_rate"
"341640","0.6509499999999999"
"683280","0.6495500000000001"
"1024920","0.6473499999999999"
"1366560","0.648"
"1708200","0.64585"
"2049840","0.6441999999999999"
"2391480","0.6525"
"2733120","0.6376499999999999"
"3074760","0.6427"
"3416400","0.6451"
"3758040","0.64215"
"4099680","0.64295"
"4441320","0.6472"
"4782960","0.6474500000000001"
"5124600","0.6490499999999999"
"5466240","0.6464"
"5807880","0.65395"
"6149520","0.667"
"6491160","0.64495"
"6832800","0.6691500000000001"
"7165800","0.6615"
"7498800","0.65225"
"7831800","0.6471500000000001"
"8164800","0.6560999999999999"
"8497800","0.6614500000000001"
"8830800","0.66435"
"9163800","0.6627000000000001"
"9496800","0.6730999999999999"
"9829800","0.6617000000000001"
"10162800","0.6697000000000001"
"10495800","0.6690999999999999"
"10828800","0.67425"
"11161800","0.6754"
"11494800","0.6640999999999999"
"11827800","0.6682"
"12160800","0.6690999999999999"
"12493800","0.6705"
"12826800","0.6594500000000001"
"13159800","0.67645"
"13492800","0.67425"
"13816800","0.6821000000000002"
"14140800","0.6829"
"14464800","0.6737000000000001"
"14788800","0.68545"
"15112800","0.6789000000000001"
"15436800","0.6681500000000001"
"15760800","0.6760999999999999"
"16084800","0.6720999999999999"
"16408800","0.6785"
"16732800","0.6727000000000001"
"17056800","0.66675"
"17380800","0.6672"
"17704800","0.67215"
"18028800","0.6613000000000001"
"18352800","0.6720999999999999"
"18676800","0.68525"
"19000800","0.67895"
"19324800","0.6782"
"19648800","0.67175"
"19972800","0.67445"
"20287440","0.69255"
"20602080","0.67825"
"20916720","0.6760999999999999"
"21231360","0.6828999999999998"
"21546000","0.68025"
"21860640","0.68145"
"22175280","0.6807000000000001"
"22489920","0.6711"
"22804560","0.6797"
"23119200","0.67625"
"23433840","0.6782"
"23748480","0.675"
"24063120","0.6869"
"24377760","0.6820499999999999"
"24692400","0.6791"
"25007040","0.68425"
"25321680","0.6657000000000001"
"25636320","0.6832999999999999"
"25950960","0.6684500000000001"
"26265600","0.64985"
"26571960","0.6674500000000001"
"26878320","0.67085"
"27184680","0.66225"
"27491040","0.67155"
"27797400","0.6649"
"28103760","0.66025"
"28410120","0.674"
"28716480","0.6772999999999999"
"29022840","0.6725"
"29329200","0.66325"
"29635560","0.66395"
"29941920","0.65935"
"30248280","0.6628999999999999"
"30554640","0.67455"
"30861000","0.66075"
"31167360","0.65955"
"31473720","0.6693"
"31780080","0.6516"
"32086440","0.664"
"32392800","0.6640499999999999"
"32689800","0.67015"
"32986800","0.66895"
"33283800","0.66515"
"33580800","0.6688999999999999"
"33877800","0.66255"
"34174800","0.6651500000000001"
"34471800","0.6634500000000001"
"34768800","0.66975"
"35065800","0.6610499999999999"
"35362800","0.66395"
"35659800","0.669"
"35956800","0.6611"
"36253800","0.66125"
"36550800","0.6584500000000001"
"36847800","0.67055"
"37144800","0.6584000000000001"
"37441800","0.67665"
"37738800","0.6799000000000001"
"38035800","0.6630999999999999"
"38332800","0.6716"
"38620800","0.6685500000000001"
"38908800","0.6701500000000001"
"39196800","0.6714000000000001"
"39484800","0.659"
"39772800","0.66955"
"40060800","0.675"
"40348800","0.6788500000000001"
