"Step","sp_uniform_noise_seed1 - cover_rate_5step"
"28245000","0.9579"
"28350000","0.9695"
"28455000","0.9688"
"28560000","0.9672"
"28665000","0.9668"
"28770000","0.967"
"28875000","0.9714"
"28980000","0.9793"
"29085000","0.972"
"29190000","0.9682"
"29295000","0.9685"
"29400000","0.9726"
"29505000","0.9717"
"29610000","0.9737"
"29715000","0.9762"
"29820000","0.972"
"29925000","0.9673"
"30030000","0.9703"
"30135000","0.9604"
"30240000","0.9645"
"30345000","0.9664"
"30450000","0.9659"
"30555000","0.9554"
"30660000","0.9662"
"30765000","0.9722"
"30870000","0.9679"
"30975000","0.9762"
"31080000","0.9745"
"31185000","0.969"
"31290000","0.976"
"31395000","0.9707"
"31500000","0.9691000000000002"
"31605000","0.9682"
"31710000","0.9722"
"31815000","0.9712"
"31920000","0.9652"
"32025000","0.9772"
"32130000","0.9773"
"32235000","0.9749"
"32340000","0.9645"
"32445000","0.9714"
"32550000","0.9754"
"32655000","0.9659"
"32760000","0.9786"
"32865000","0.9773"
"32970000","0.9739"
"33075000","0.9769"
"33180000","0.9742"
"33285000","0.9816"
"33390000","0.9718"
"33495000","0.9742"
"33600000","0.9759"
"33705000","0.9754"
"33810000","0.9751"
"33915000","0.9795"
"34020000","0.9829"
"34125000","0.9781"
"34230000","0.9789"
"34335000","0.978"
"34440000","0.9792"
"34545000","0.9793"
"34650000","0.9807"
"34755000","0.9794"
"34860000","0.9797"
"34965000","0.976"
"35070000","0.9759"
"35175000","0.9732"
"35280000","0.9812"
"35385000","0.9825"
"35490000","0.9862"
"35595000","0.98"
"35700000","0.9803"
"35805000","0.9765"
"35910000","0.9707"
"36015000","0.9723"
"36120000","0.9709"
"36225000","0.968"
"36330000","0.9627"
"36435000","0.9628"
"36540000","0.9688"
"36645000","0.9667"
"36750000","0.9722"
"36855000","0.9629"
"36960000","0.9644"
"37065000","0.9682"
"37170000","0.9643"
"37275000","0.9729"
"37380000","0.9725"
"37485000","0.977"
"37590000","0.9805"
"37695000","0.9782"
"37800000","0.983"
"37905000","0.9825"
"38010000","0.9811"
"38115000","0.9783"
"38220000","0.9722"
"38325000","0.9742"
"38430000","0.9737"
"38535000","0.9674"
"38640000","0.9707"
"38745000","0.9768"
"38850000","0.9802"
"38955000","0.9786"
"39060000","0.981"
"39165000","0.9781"
"39270000","0.9783"
"39375000","0.9787"
"39480000","0.98"
"39585000","0.979"
"39690000","0.9837"
"39795000","0.9834"
"39900000","0.9837"
