"Step","mix2n4_mix_decay_pb_seed1 - 4cover_rate"
"230040000","0.6902"
"230400000","0.6640999999999999"
"230760000","0.6685"
"231120000","0.6675"
"231480000","0.6764"
"231840000","0.6617999999999999"
"232200000","0.6598999999999999"
"232560000","0.6697000000000001"
"232920000","0.6654000000000001"
"233280000","0.7028"
"233640000","0.6888000000000001"
"234000000","0.6917000000000001"
"234360000","0.6901999999999999"
"234720000","0.6885999999999999"
"235080000","0.6892"
"235440000","0.6939"
"235800000","0.6956"
"236160000","0.6901"
"236520000","0.7098000000000001"
"236880000","0.6824"
"237240000","0.671"
"237600000","0.6680999999999999"
"237960000","0.6633"
"238320000","0.6683"
"238680000","0.6947000000000001"
"239040000","0.6797000000000001"
"239400000","0.6736"
"239760000","0.6701"
"240120000","0.6836"
"240480000","0.6818"
"240840000","0.6933"
