"Step","mix2n4_mix_decay_pb_seed1 - 4cover_rate"
"134640000","0.559"
"135000000","0.5568"
"135360000","0.5519"
"135720000","0.5538"
"136080000","0.5456"
"136440000","0.5316000000000001"
"136800000","0.5453000000000001"
"137160000","0.5726"
"137520000","0.5788"
"137880000","0.5890000000000001"
"138240000","0.592"
"138600000","0.5815"
"138960000","0.5695"
"139320000","0.586"
"139680000","0.5851000000000001"
"140040000","0.5756"
"140400000","0.593"
"140760000","0.5662999999999999"
"141120000","0.5651"
"141480000","0.5655"
"141840000","0.5742999999999999"
"142200000","0.5835"
"142560000","0.5996"
"142920000","0.6069"
"143280000","0.6121"
"143640000","0.5903999999999999"
"144000000","0.5902000000000001"
"144360000","0.5620999999999999"
"144720000","0.5859"
"145080000","0.5612999999999999"
"145440000","0.5391999999999999"
"145800000","0.5301"
"146160000","0.5405"
"146520000","0.5512999999999999"
"146880000","0.5393"
"147240000","0.5357000000000001"
"147600000","0.585"
"147960000","0.5568"
"148320000","0.5692999999999999"
"148680000","0.5467000000000001"
"149040000","0.5480999999999999"
"149400000","0.5692"
"149760000","0.5572999999999999"
"150120000","0.5749000000000001"
"150480000","0.5592"
"150840000","0.5595"
"151200000","0.5762"
"151560000","0.5659000000000001"
"151920000","0.5662999999999999"
"152280000","0.5676"
"152640000","0.5560999999999999"
"153000000","0.5703999999999999"
"153360000","0.573"
"153720000","0.5912000000000001"
"154080000","0.5915"
"154440000","0.5706000000000001"
"154800000","0.5741999999999999"
"155160000","0.5680999999999999"
"155520000","0.5684"
"155880000","0.5574000000000001"
"156240000","0.5548"
"156600000","0.5779"
"156960000","0.5535999999999999"
"157320000","0.5586"
"157680000","0.5605"
"158040000","0.5662999999999999"
"158400000","0.5489"
"158760000","0.5818000000000001"
"159120000","0.5829000000000001"
"159480000","0.5698"
"159840000","0.5507000000000001"
"160200000","0.5558"
"160560000","0.5594000000000001"
"160920000","0.5676000000000001"
"161280000","0.5985999999999999"
"161640000","0.574"
"162000000","0.5887"
"162360000","0.5661"
"162720000","0.5978"
"163080000","0.5754"
"163440000","0.5907"
"163800000","0.6088"
"164160000","0.6009000000000001"
"164520000","0.5785999999999999"
"164880000","0.5915"
"165240000","0.5885"
"165600000","0.6057"
"165960000","0.5996"
"166320000","0.5832999999999999"
"166680000","0.5933999999999999"
"167040000","0.5914"
"167400000","0.6093"
"167760000","0.5929"
"168120000","0.5896"
"168480000","0.5966"
"168840000","0.6016"
"169200000","0.6205"
"169560000","0.6252000000000001"
"169920000","0.6039000000000001"
"170280000","0.5978"
"170640000","0.6109000000000001"
"171000000","0.6190999999999999"
"171360000","0.5912000000000001"
"171720000","0.6162"
"172080000","0.6007"
"172440000","0.5979000000000001"
"172800000","0.6038"
"173160000","0.6075"
"173520000","0.6049000000000001"
"173880000","0.6267999999999999"
"174240000","0.6182000000000001"
"174600000","0.6227"
"174960000","0.6062000000000001"
"175320000","0.6227999999999999"
"175680000","0.6256"
"176040000","0.6267999999999999"
"176400000","0.621"
"176760000","0.6315"
"177120000","0.6232000000000001"
"177480000","0.6257999999999999"
"177840000","0.5868"
"178200000","0.5885"
"178560000","0.5726"
"178920000","0.6046999999999999"
"179280000","0.5882"
"179640000","0.5932999999999999"
"180000000","0.5982000000000001"
"180360000","0.597"
"180720000","0.5855"
"181080000","0.6265"
"181440000","0.6088"
"181800000","0.5947"
"182160000","0.6130999999999999"
"182520000","0.603"
"182880000","0.6059"
"183240000","0.5849"
"183600000","0.5946"
"183960000","0.6002"
"184320000","0.6059000000000001"
"184680000","0.5991000000000001"
"185040000","0.6086"
"185400000","0.6128000000000001"
"185760000","0.618"
"186120000","0.6286"
"186480000","0.6326"
"186840000","0.6275999999999999"
"187200000","0.6079"
"187560000","0.6343"
"187920000","0.6462"
"188280000","0.6263"
"188640000","0.6357999999999999"
"189000000","0.6382000000000001"
"189360000","0.627"
"189720000","0.6451999999999999"
"190080000","0.6352000000000001"
"190440000","0.635"
"190800000","0.6417999999999999"
"191160000","0.6285999999999999"
"191520000","0.6449"
"191880000","0.6456000000000001"
"192240000","0.6309000000000001"
"192600000","0.6375"
"192960000","0.6397"
"193320000","0.6267999999999999"
"193680000","0.6221"
"194040000","0.6503"
"194400000","0.6572"
"194760000","0.6468"
"195120000","0.6522"
"195480000","0.6575"
"195840000","0.6539"
"196200000","0.6501"
"196560000","0.6707000000000001"
"196920000","0.656"
"197280000","0.6523"
"197640000","0.659"
"198000000","0.6718999999999999"
"198360000","0.6501"
"198720000","0.6848"
"199080000","0.6604000000000001"
"199440000","0.648"
"199800000","0.6839"
"200160000","0.6377"
"200520000","0.6616000000000001"
"200880000","0.6518999999999999"
"201240000","0.6564"
"201600000","0.6548999999999999"
"201960000","0.675"
"202320000","0.6737000000000001"
"202680000","0.6626000000000001"
"203040000","0.6795"
"203400000","0.673"
"203760000","0.6794"
"204120000","0.6790999999999999"
"204480000","0.6912"
"204840000","0.6495"
"205200000","0.6713"
"205560000","0.6894000000000001"
"205920000","0.6792999999999999"
"206280000","0.6647000000000001"
"206640000","0.68"
"207000000","0.6788"
"207360000","0.6843"
"207720000","0.6835"
"208080000","0.6798"
"208440000","0.6887000000000001"
"208800000","0.6945"
"209160000","0.6952"
"209520000","0.6864"
"209880000","0.6857000000000001"
"210240000","0.6795"
"210600000","0.6870999999999999"
"210960000","0.6735"
"211320000","0.6959"
"211680000","0.6825"
"212040000","0.6817000000000001"
"212400000","0.6727000000000001"
"212760000","0.6915"
"213120000","0.6902"
"213480000","0.6802"
"213840000","0.6732"
"214200000","0.6985"
"214560000","0.6839"
"214920000","0.6972999999999999"
"215280000","0.6904"
"215640000","0.6955999999999999"
"216000000","0.7012"
"216360000","0.693"
"216720000","0.6894000000000001"
"217080000","0.6751999999999999"
"217440000","0.6784"
"217800000","0.6832999999999999"
"218160000","0.6915"
"218520000","0.6818"
"218880000","0.6605"
"219240000","0.674"
"219600000","0.6626000000000001"
"219960000","0.6619"
"220320000","0.6765999999999999"
"220680000","0.6624000000000001"
"221040000","0.6617999999999999"
"221400000","0.6483"
"221760000","0.649"
"222120000","0.6793999999999999"
"222480000","0.6631999999999999"
"222840000","0.6805"
"223200000","0.6784"
"223560000","0.6797"
"223920000","0.6861"
"224280000","0.6705999999999999"
"224640000","0.6785999999999999"
"225000000","0.6648"
"225360000","0.6830999999999999"
"225720000","0.6687000000000001"
"226080000","0.6708999999999999"
"226440000","0.6565"
"226800000","0.6674"
"227160000","0.6785"
"227520000","0.6576000000000001"
"227880000","0.6725999999999999"
"228240000","0.668"
"228600000","0.6667000000000001"
"228960000","0.6677000000000001"
"229320000","0.6816"
"229680000","0.6891"
