"Step","transfer_warmup30iter_seed2 - 8cover_rate"
"23625000","0.8944500000000001"
"23730000","0.896"
"23835000","0.8998499999999999"
"23940000","0.90575"
"24045000","0.9054"
"24150000","0.8856499999999999"
"24255000","0.90715"
"24360000","0.9011"
"24465000","0.8963000000000001"
"24570000","0.89855"
"24675000","0.90085"
"24780000","0.88335"
"24885000","0.8894"
"24990000","0.91125"
"25095000","0.91715"
"25200000","0.92655"
"25305000","0.89765"
"25410000","0.89795"
"25515000","0.91505"
"25620000","0.91785"
"25725000","0.9177"
"25830000","0.9281"
"25935000","0.9233"
"26040000","0.9288"
"26145000","0.9284"
"26250000","0.9221"
"26355000","0.9304"
"26460000","0.93175"
"26565000","0.92235"
"26670000","0.9163"
"26775000","0.9187499999999998"
"26880000","0.90805"
"26985000","0.9019"
"27090000","0.9178999999999998"
"27195000","0.9286"
"27300000","0.93135"
"27405000","0.92555"
"27510000","0.93295"
"27615000","0.9417"
"27720000","0.94615"
"27825000","0.95215"
"27930000","0.9435"
"28035000","0.93405"
"28140000","0.9315"
"28245000","0.92765"
"28350000","0.9485"
"28455000","0.92945"
"28560000","0.92515"
"28665000","0.92635"
"28770000","0.91995"
"28875000","0.93325"
"28980000","0.94455"
"29085000","0.94355"
"29190000","0.93075"
"29295000","0.93305"
"29400000","0.93395"
"29505000","0.936"
"29610000","0.9389999999999998"
"29715000","0.953"
"29820000","0.9609"
