"Step","sl_unif_seed2 - 2cover_rate"
"7000","0.10399999999999998"
"14000","0.034"
"21000","0.03"
"28000","0.04"
"35000","0.05"
"42000","0.122"
"49000","0.18"
"56000","0.25"
"63000","0.184"
"70000","0.264"
"77000","0.16"
"84000","0.20799999999999996"
"91000","0.202"
"98000","0.196"
"105000","0.2"
"112000","0.18600000000000003"
"119000","0.22"
"126000","0.25799999999999995"
"133000","0.19"
"140000","0.248"
"147000","0.3"
"154000","0.23"
"161000","0.294"
"168000","0.33399999999999996"
"175000","0.418"
"182000","0.33"
"189000","0.416"
"196000","0.34"
"203000","0.5"
"210000","0.42"
"217000","0.4"
"224000","0.35"
"231000","0.38"
"238000","0.422"
"245000","0.38"
"252000","0.446"
"259000","0.366"
"266000","0.418"
"273000","0.34"
"280000","0.39"
"287000","0.384"
"294000","0.398"
"301000","0.41"
"308000","0.382"
"315000","0.37"
"322000","0.414"
"329000","0.35"
"336000","0.314"
"343000","0.34600000000000003"
"350000","0.396"
"357000","0.39"
"364000","0.34"
"371000","0.35"
"378000","0.31"
"385000","0.45"
"392000","0.386"
"399000","0.42"
"406000","0.48"
"413000","0.3"
"420000","0.36"
"427000","0.37"
"434000","0.36"
"441000","0.31"
"448000","0.39"
"455000","0.38"
"462000","0.38"
"469000","0.394"
"476000","0.44"
"483000","0.464"
"490000","0.376"
"497000","0.33"
"504000","0.4"
"511000","0.332"
"518000","0.374"
"525000","0.42"
"532000","0.39"
"539000","0.37"
"546000","0.5"
"553000","0.4"
"560000","0.39"
"567000","0.402"
"574000","0.452"
"581000","0.332"
"588000","0.36"
"595000","0.394"
"602000","0.42"
"609000","0.388"
"616000","0.45"
"623000","0.38"
"630000","0.4"
"637000","0.46"
"644000","0.484"
"651000","0.364"
"658000","0.4"
"665000","0.388"
"672000","0.374"
"679000","0.398"
"686000","0.376"
"693000","0.4"
"700000","0.332"
"707000","0.35200000000000004"
"714000","0.424"
"721000","0.49"
"728000","0.418"
"735000","0.442"
"742000","0.36"
"749000","0.33"
"756000","0.43"
"763000","0.33"
"770000","0.386"
"777000","0.36599999999999994"
"784000","0.39"
"791000","0.396"
"798000","0.42"
"805000","0.43"
"812000","0.43"
"819000","0.39"
"826000","0.376"
"833000","0.32"
"840000","0.458"
"847000","0.362"
"854000","0.36"
"861000","0.36"
"868000","0.42"
"875000","0.34600000000000003"
"882000","0.366"
"889000","0.31"
"896000","0.386"
"903000","0.34"
"910000","0.508"
"917000","0.34"
"924000","0.35"
"931000","0.4479999999999999"
"938000","0.44"
"945000","0.376"
"952000","0.43799999999999994"
"959000","0.41"
"966000","0.4479999999999999"
"973000","0.27399999999999997"
"980000","0.396"
"987000","0.34"
"994000","0.39"
"1001000","0.45"
"1008000","0.392"
"1015000","0.398"
"1022000","0.364"
"1029000","0.344"
"1036000","0.37799999999999995"
"1043000","0.41"
"1050000","0.45"
"1057000","0.396"
"1064000","0.38"
"1071000","0.376"
"1078000","0.39"
"1085000","0.45"
"1092000","0.408"
"1099000","0.34"
"1106000","0.394"
"1113000","0.41"
"1120000","0.332"
"1127000","0.38"
"1134000","0.44"
"1141000","0.382"
"1148000","0.394"
"1155000","0.48"
"1162000","0.414"
"1169000","0.37"
"1176000","0.41"
"1183000","0.33399999999999996"
"1190000","0.32"
"1197000","0.39"
"1204000","0.41"
"1211000","0.38"
"1218000","0.422"
"1225000","0.32"
"1232000","0.282"
"1239000","0.4"
"1246000","0.38"
"1253000","0.38"
"1260000","0.37"
"1267000","0.47"
"1274000","0.42"
"1281000","0.41"
"1288000","0.382"
"1295000","0.41"
"1302000","0.41"
"1309000","0.354"
"1316000","0.35"
"1323000","0.32"
"1330000","0.35"
"1337000","0.336"
"1344000","0.3940000000000001"
"1351000","0.396"
"1358000","0.46"
"1365000","0.406"
"1372000","0.47"
"1379000","0.36"
"1386000","0.48"
"1393000","0.48"
"1400000","0.452"
"1407000","0.37"
"1414000","0.37"
"1421000","0.304"
"1428000","0.38"
"1435000","0.406"
"1442000","0.3640000000000001"
"1449000","0.37"
"1456000","0.358"
"1463000","0.49"
"1470000","0.358"
"1477000","0.34"
"1484000","0.4640000000000001"
"1491000","0.31"
"1498000","0.4"
"1505000","0.354"
"1512000","0.42"
"1519000","0.35"
"1526000","0.324"
"1533000","0.396"
"1540000","0.35"
"1547000","0.402"
"1554000","0.48"
"1561000","0.35"
"1568000","0.36"
"1575000","0.43"
"1582000","0.486"
"1589000","0.442"
"1596000","0.42199999999999993"
"1603000","0.232"
"1610000","0.406"
"1617000","0.506"
"1624000","0.402"
"1631000","0.406"
"1638000","0.41"
"1645000","0.386"
"1652000","0.35"
"1659000","0.426"
"1666000","0.396"
"1673000","0.4159999999999999"
"1680000","0.424"
"1687000","0.362"
"1694000","0.39"
"1701000","0.386"
"1708000","0.34"
"1715000","0.49"
"1722000","0.382"
"1729000","0.458"
"1736000","0.496"
"1743000","0.348"
"1750000","0.37799999999999995"
"1757000","0.44"
"1764000","0.418"
"1771000","0.36"
"1778000","0.326"
"1785000","0.322"
"1792000","0.316"
"1799000","0.37"
"1806000","0.406"
"1813000","0.35600000000000004"
"1820000","0.37"
"1827000","0.428"
"1834000","0.44"
"1841000","0.462"
"1848000","0.416"
"1855000","0.388"
"1862000","0.404"
"1869000","0.35"
"1876000","0.434"
"1883000","0.306"
"1890000","0.21"
"1897000","0.35"
"1904000","0.36599999999999994"
"1911000","0.4"
"1918000","0.37"
"1925000","0.4040000000000001"
"1932000","0.306"
"1939000","0.4"
"1946000","0.44"
"1953000","0.39"
"1960000","0.316"
"1967000","0.394"
"1974000","0.41"
"1981000","0.33"
"1988000","0.44"
"1995000","0.374"
"2002000","0.39"
"2009000","0.386"
"2016000","0.474"
"2023000","0.376"
"2030000","0.38"
"2037000","0.394"
"2044000","0.33799999999999997"
"2051000","0.35600000000000004"
"2058000","0.374"
"2065000","0.366"
"2072000","0.42"
"2079000","0.362"
"2086000","0.37"
"2093000","0.36"
"2100000","0.37"
"2107000","0.31"
"2114000","0.36"
"2121000","0.44"
"2128000","0.406"
"2135000","0.39"
"2142000","0.33799999999999997"
"2149000","0.45"
"2156000","0.44"
"2163000","0.362"
"2170000","0.38"
"2177000","0.33"
"2184000","0.36"
"2191000","0.43"
"2198000","0.5379999999999999"
"2205000","0.416"
"2212000","0.386"
"2219000","0.35"
"2226000","0.41"
"2233000","0.41"
"2240000","0.32"
"2247000","0.39"
"2254000","0.444"
"2261000","0.39"
"2268000","0.39"
"2275000","0.41"
"2282000","0.29"
"2289000","0.5319999999999999"
"2296000","0.302"
"2303000","0.354"
"2310000","0.37"
"2317000","0.43400000000000005"
"2324000","0.39"
"2331000","0.37400000000000005"
"2338000","0.366"
"2345000","0.39"
