"Step","reverse-6floor-seed2 - test_success_rate","reverse-6floor-seed2 - test_success_rate__MIN","reverse-6floor-seed2 - test_success_rate__MAX"
"6739200","0.01","0.01","0.01"
"6770400","0.004","0.004","0.004"
"6801600","0.008","0.008","0.008"
"6832800","0.017","0.017","0.017"
"6864000","0.009","0.009","0.009"
"6895200","0.022","0.022","0.022"
"6926400","0.013","0.013","0.013"
"6957600","0.015","0.015","0.015"
"6988800","0.018","0.018","0.018"
"7020000","0.017","0.017","0.017"
"7051200","0.022","0.022","0.022"
"7082400","0.015","0.015","0.015"
"7113600","0.017","0.017","0.017"
"7144800","0.014","0.014","0.014"
"7176000","0.017","0.017","0.017"
"7207200","0.006","0.006","0.006"
"7238400","0.021","0.021","0.021"
"7269600","0.028","0.028","0.028"
"7300800","0.019","0.019","0.019"
"7332000","0.012","0.012","0.012"
"7363200","0.014","0.014","0.014"
"7394400","0.013","0.013","0.013"
"7425600","0.028","0.028","0.028"
"7456800","0.025","0.025","0.025"
"7488000","0.01","0.01","0.01"
"7519200","0.021","0.021","0.021"
"7550400","0.02","0.02","0.02"
"7581600","0.03","0.03","0.03"
"7612800","0.013","0.013","0.013"
"7644000","0.017","0.017","0.017"
"7675200","0.023","0.023","0.023"
"7706400","0.015","0.015","0.015"
"7737600","0.013","0.013","0.013"
"7768800","0.014","0.014","0.014"
"7800000","0.025","0.025","0.025"
"7831200","0.008","0.008","0.008"
"7862400","0.014","0.014","0.014"
"7893600","0.014","0.014","0.014"
"7924800","0.019","0.019","0.019"
"7956000","0.017","0.017","0.017"
"7987200","0.025","0.025","0.025"
"8018400","0.024","0.024","0.024"
"8049600","0.024","0.024","0.024"
"8080800","0.017","0.017","0.017"
"8112000","0.029","0.029","0.029"
"8143200","0.026","0.026","0.026"
"8174400","0.035","0.035","0.035"
"8205600","0.021","0.021","0.021"
"8236800","0.016","0.016","0.016"
"8268000","0.02","0.02","0.02"
"8299200","0.019","0.019","0.019"
"8330400","0.025","0.025","0.025"
"8361600","0.017","0.017","0.017"
"8392800","0.019","0.019","0.019"
"8424000","0.019","0.019","0.019"
"8455200","0.016","0.016","0.016"
"8486400","0.009","0.009","0.009"
"8517600","0.019","0.019","0.019"
"8548800","0.012","0.012","0.012"
"8580000","0.016","0.016","0.016"
"8611200","0.028","0.028","0.028"
"8642400","0.011","0.011","0.011"
"8673600","0.025","0.025","0.025"
"8704800","0.013","0.013","0.013"
"8736000","0.013","0.013","0.013"
"8767200","0.006","0.006","0.006"
"8798400","0.012","0.012","0.012"
"8829600","0.017","0.017","0.017"
"8860800","0.013","0.013","0.013"
"8892000","0.012","0.012","0.012"
"8923200","0.021","0.021","0.021"
"8954400","0.022","0.022","0.022"
"8985600","0.011","0.011","0.011"
"9016800","0.022","0.022","0.022"
"9048000","0.012","0.012","0.012"
"9079200","0.016","0.016","0.016"
"9110400","0.026","0.026","0.026"
"9141600","0.013","0.013","0.013"
"9172800","0.025","0.025","0.025"
"9204000","0.022","0.022","0.022"
"9235200","0.033","0.033","0.033"
"9266400","0.024","0.024","0.024"
"9297600","0.02","0.02","0.02"
"9328800","0.016","0.016","0.016"
"9360000","0.017","0.017","0.017"
"9391200","0.017","0.017","0.017"
"9422400","0.015","0.015","0.015"
"9453600","0.02","0.02","0.02"
"9484800","0.017","0.017","0.017"
"9516000","0.024","0.024","0.024"
"9547200","0.012","0.012","0.012"
"9578400","0.024","0.024","0.024"
"9609600","0.005","0.005","0.005"
"9640800","0.012","0.012","0.012"
"9672000","0.01","0.01","0.01"
"9703200","0.013","0.013","0.013"
"9734400","0.015","0.015","0.015"
"9765600","0.017","0.017","0.017"
"9796800","0.019","0.019","0.019"
"9828000","0.01","0.01","0.01"
"9859200","0.013","0.013","0.013"
"9890400","0.019","0.019","0.019"
"9921600","0.012","0.012","0.012"
"9952800","0.011","0.011","0.011"
"9984000","0.009","0.009","0.009"
"10015200","0.005","0.005","0.005"
"10046400","0.025","0.025","0.025"
"10077600","0.017","0.017","0.017"
"10108800","0.014","0.014","0.014"
"10140000","0.025","0.025","0.025"
"10171200","0.018","0.018","0.018"
"10202400","0.018","0.018","0.018"
"10233600","0.012","0.012","0.012"
"10264800","0.012","0.012","0.012"
"10296000","0.014","0.014","0.014"
"10327200","0.02","0.02","0.02"
"10358400","0.019","0.019","0.019"
"10389600","0.013","0.013","0.013"
"10420800","0.018","0.018","0.018"
"10452000","0.011","0.011","0.011"
"10483200","0.015","0.015","0.015"
"10514400","0.019","0.019","0.019"
"10545600","0.019","0.019","0.019"
"10576800","0.019","0.019","0.019"
"10608000","0.009","0.009","0.009"
"10639200","0.009","0.009","0.009"
"10670400","0.005","0.005","0.005"
"10701600","0.013","0.013","0.013"
"10732800","0.022","0.022","0.022"
"10764000","0.01","0.01","0.01"
"10795200","0.008","0.008","0.008"
"10826400","0.008","0.008","0.008"
"10857600","0.015","0.015","0.015"
"10888800","0.027","0.027","0.027"
"10920000","0.01","0.01","0.01"
"10951200","0.016","0.016","0.016"
"10982400","0.008","0.008","0.008"
"11013600","0.016","0.016","0.016"
"11044800","0.006","0.006","0.006"
"11076000","0.014","0.014","0.014"
"11107200","0.008","0.008","0.008"
"11138400","0.009","0.009","0.009"
"11169600","0.014","0.014","0.014"
"11200800","0.016","0.016","0.016"
"11232000","0.013","0.013","0.013"
"11263200","0.016","0.016","0.016"
"11294400","0.022","0.022","0.022"
"11325600","0.009","0.009","0.009"
"11356800","0.009","0.009","0.009"
"11388000","0.013","0.013","0.013"
"11419200","0.013","0.013","0.013"
"11450400","0.015","0.015","0.015"
"11481600","0.009","0.009","0.009"
"11512800","0.017","0.017","0.017"
"11544000","0.01","0.01","0.01"
"11575200","0.018","0.018","0.018"
"11606400","0.015","0.015","0.015"
"11637600","0.015","0.015","0.015"
"11668800","0.017","0.017","0.017"
"11700000","0.013","0.013","0.013"
"11731200","0.015","0.015","0.015"
"11762400","0.016","0.016","0.016"
"11793600","0.02","0.02","0.02"
"11824800","0.017","0.017","0.017"
"11856000","0.014","0.014","0.014"
"11887200","0.01","0.01","0.01"
"11918400","0.01","0.01","0.01"
"11949600","0.013","0.013","0.013"
"11980800","0.012","0.012","0.012"
"12012000","0.016","0.016","0.016"
