"Step","mix37_new_seed1 - 4cover_rate"
"234000","0.6698999999999999"
"468000","0.6406"
"702000","0.6353000000000001"
"936000","0.65"
"1170000","0.6459"
"1404000","0.6365999999999999"
"1638000","0.6291"
"1872000","0.6557999999999999"
"2106000","0.6412"
"2340000","0.6442"
"2574000","0.6420999999999999"
"2808000","0.6490999999999999"
"3042000","0.6304"
"3276000","0.6537000000000001"
"3510000","0.6537"
"3744000","0.6544"
"3978000","0.6300999999999999"
"4212000","0.6502"
"4446000","0.6490999999999999"
"4680000","0.6453"
"4914000","0.6566000000000001"
"5148000","0.6611999999999999"
"5382000","0.6397"
"5616000","0.6433"
"5850000","0.6566"
"6084000","0.6436000000000001"
"6318000","0.6578999999999999"
"6552000","0.6731"
"6786000","0.6640999999999999"
"7020000","0.6645"
"7254000","0.661"
"7488000","0.6526000000000001"
"7722000","0.6597999999999999"
"7956000","0.649"
"8190000","0.6621"
"8424000","0.6543"
"8658000","0.6668"
"8892000","0.6794"
"9126000","0.6718"
"9360000","0.6785"
"9594000","0.6722"
"9828000","0.6781"
"10062000","0.6557000000000001"
"10296000","0.678"
"10530000","0.674"
"10764000","0.6696"
"10998000","0.6928"
"11232000","0.6818"
"11466000","0.6728999999999999"
"11700000","0.6807"
"11934000","0.6707"
"12168000","0.6762999999999999"
"12402000","0.6658999999999999"
"12636000","0.6969"
"12870000","0.686"
"13104000","0.6898"
"13338000","0.6724000000000001"
"13572000","0.6792"
"13806000","0.6686"
"14040000","0.6772"
"14274000","0.681"
"14508000","0.6565"
"14742000","0.6772999999999999"
"14976000","0.674"
"15210000","0.6793"
"15444000","0.6925"
"15678000","0.6746"
"15912000","0.6751"
"16146000","0.6702"
"16380000","0.6731"
"16614000","0.6632"
"16848000","0.6708999999999999"
"17082000","0.686"
"17316000","0.6862999999999999"
"17550000","0.674"
"17784000","0.6814000000000001"
"18018000","0.6994"
"18252000","0.6838"
"18486000","0.6782999999999999"
"18720000","0.6753000000000001"
"18954000","0.6865999999999999"
"19188000","0.6758000000000001"
"19422000","0.6887000000000001"
"19656000","0.6927000000000001"
"19890000","0.6989000000000001"
"20124000","0.6851"
"20358000","0.6822"
"20592000","0.6992"
"20826000","0.6982"
"21060000","0.6711"
"21294000","0.6959000000000001"
"21528000","0.6795"
"21762000","0.6869"
"21996000","0.6732"
"22230000","0.6940999999999999"
"22464000","0.6712"
"22698000","0.6877000000000001"
"22932000","0.693"
"23166000","0.6867000000000001"
"23400000","0.6985"
"23634000","0.6872999999999999"
"23868000","0.6888"
"24102000","0.6915"
"24336000","0.6951"
"24570000","0.6915"
"24804000","0.7018"
