"Step","gan_sp_4agents_seed3 - 4cover_rate_1step"
"21350000","0.544"
"21420000","0.543"
"21490000","0.531"
"21560000","0.5475"
"21630000","0.5465"
"21700000","0.556"
"21770000","0.5385"
"21840000","0.5385"
"21910000","0.5325"
"21980000","0.52"
"22050000","0.525"
"22120000","0.52"
"22190000","0.5405"
"22260000","0.5445"
"22330000","0.5345"
"22400000","0.542"
"22470000","0.5325"
"22540000","0.5325"
"22610000","0.5305"
"22680000","0.5285"
"22750000","0.5445"
"22820000","0.536"
"22890000","0.545"
"22960000","0.549"
"23030000","0.536"
"23100000","0.548"
"23170000","0.5405"
"23240000","0.565"
"23310000","0.563"
"23380000","0.554"
"23450000","0.541"
"23520000","0.567"
"23590000","0.566"
"23660000","0.558"
"23730000","0.5535"
"23800000","0.566"
"23870000","0.536"
"23940000","0.541"
"24010000","0.543"
"24080000","0.5515"
"24150000","0.564"
"24220000","0.552"
"24290000","0.558"
"24360000","0.5425"
"24430000","0.566"
"24500000","0.548"
"24570000","0.576"
"24640000","0.5905"
"24710000","0.578"
"24780000","0.577"
"24850000","0.5885"
"24920000","0.5955"
"24990000","0.6105"
"25060000","0.606"
"25130000","0.5895"
"25200000","0.5915"
"25270000","0.56"
"25340000","0.5825"
"25410000","0.5665"
"25480000","0.57"
"25550000","0.5795"
"25620000","0.5695"
"25690000","0.579"
"25760000","0.5845"
"25830000","0.593"
"25900000","0.5855"
"25970000","0.605"
"26040000","0.622"
"26110000","0.638"
"26180000","0.6275"
"26250000","0.634"
"26320000","0.6185"
"26390000","0.635"
"26460000","0.6335"
"26530000","0.6315"
"26600000","0.6395"
"26670000","0.6335"
"26740000","0.662"
"26810000","0.658"
"26880000","0.6455"
"26950000","0.6465"
"27020000","0.656"
"27090000","0.6325"
"27160000","0.6255"
"27230000","0.633"
"27300000","0.6285"
"27370000","0.641"
"27440000","0.6155"
"27510000","0.64"
"27580000","0.6285"
"27650000","0.6335"
"27720000","0.6135"
"27790000","0.644"
"27860000","0.629"
"27930000","0.6395"
"28000000","0.636"
"28070000","0.6465"
"28140000","0.628"
"28210000","0.635"
"28280000","0.6375"
"28350000","0.6405"
"28420000","0.6565"
"28490000","0.6605"
"28560000","0.6335"
"28630000","0.6615"
"28700000","0.654"
"28770000","0.66"
"28840000","0.638"
"28910000","0.6395"
"28980000","0.6575"
"29050000","0.674"
"29120000","0.6825"
"29190000","0.687"
"29260000","0.6665"
"29330000","0.699"
"29400000","0.7015"
"29470000","0.7025"
"29540000","0.694"
"29610000","0.691"
"29680000","0.708"
"29750000","0.693"
"29820000","0.695"
"29890000","0.7145"
"29960000","0.713"
"30030000","0.7135"
"30100000","0.704"
"30170000","0.71"
"30240000","0.72"
"30310000","0.716"
"30380000","0.7335"
"30450000","0.7095"
"30520000","0.731"
"30590000","0.7295"
"30660000","0.7265"
"30730000","0.741"
"30800000","0.7225"
"30870000","0.716"
"30940000","0.728"
"31010000","0.7315"
"31080000","0.734"
"31150000","0.728"
"31220000","0.7345"
"31290000","0.7245"
"31360000","0.7275"
"31430000","0.723"
"31500000","0.745"
"31570000","0.734"
"31640000","0.728"
"31710000","0.7445"
"31780000","0.7375"
"31850000","0.739"
"31920000","0.7545"
"31990000","0.754"
"32060000","0.741"
"32130000","0.7665"
"32200000","0.736"
"32270000","0.7635"
"32340000","0.7615"
"32410000","0.769"
"32480000","0.7715"
"32550000","0.7625"
"32620000","0.7705"
"32690000","0.7595"
"32760000","0.7535"
"32830000","0.771"
"32900000","0.7705"
"32970000","0.7775"
"33040000","0.773"
"33110000","0.766"
"33180000","0.7895"
"33250000","0.7965"
"33320000","0.7765"
"33390000","0.775"
"33460000","0.7755"
"33530000","0.7715"
"33600000","0.7685"
"33670000","0.776"
"33740000","0.777"
"33810000","0.7895"
"33880000","0.7805"
"33950000","0.7705"
"34020000","0.7645"
"34090000","0.78"
"34160000","0.782"
"34230000","0.779"
"34300000","0.7555"
"34370000","0.7885"
"34440000","0.7665"
"34510000","0.758"
"34580000","0.752"
"34650000","0.7545"
"34720000","0.748"
"34790000","0.757"
"34860000","0.768"
"34930000","0.784"
"35000000","0.7715"
"35070000","0.7565"
"35140000","0.7825"
"35210000","0.7655"
"35280000","0.78"
"35350000","0.7665"
"35420000","0.766"
"35490000","0.796"
"35560000","0.7855"
"35630000","0.795"
"35700000","0.82"
"35770000","0.7965"
"35840000","0.784"
"35910000","0.793"
"35980000","0.8095"
"36050000","0.7995"
"36120000","0.8055"
"36190000","0.7855"
"36260000","0.792"
"36330000","0.7785"
"36400000","0.7525"
"36470000","0.766"
"36540000","0.768"
"36610000","0.7765"
"36680000","0.7825"
"36750000","0.7655"
"36820000","0.7685"
"36890000","0.7735"
"36960000","0.8145"
"37030000","0.782"
"37100000","0.7915"
"37170000","0.8115"
"37240000","0.809"
"37310000","0.821"
"37380000","0.8195"
"37450000","0.8115"
"37520000","0.8185"
"37590000","0.822"
"37660000","0.819"
"37730000","0.8305"
"37800000","0.835"
"37870000","0.829"
"37940000","0.821"
"38010000","0.8095"
"38080000","0.825"
"38150000","0.8135"
"38220000","0.8095"
"38290000","0.824"
"38360000","0.8235"
"38430000","0.8165"
"38500000","0.846"
"38570000","0.844"
"38640000","0.845"
"38710000","0.8505"
"38780000","0.8565"
"38850000","0.847"
"38920000","0.853"
"38990000","0.8425"
"39060000","0.8535"
"39130000","0.836"
"39200000","0.849"
"39270000","0.856"
"39340000","0.8355"
"39410000","0.865"
"39480000","0.8665"
"39550000","0.855"
"39620000","0.8525"
"39690000","0.8495"
"39760000","0.8415"
"39830000","0.854"
"39900000","0.8715"
"39970000","0.861"
