"Step","sp_uniform_from_activeAndsolve_seed2 - cover_rate_1step"
"105000","0"
"210000","0.002"
"315000","0.0025"
"420000","0.0065"
"525000","0.0075"
"630000","0.008"
"735000","0.0055"
"840000","0.006"
"945000","0.0105"
"1050000","0.0165"
"1155000","0.0625"
"1260000","0.1155"
"1365000","0.1475"
"1470000","0.2005"
"1575000","0.2375"
"1680000","0.246"
"1785000","0.255"
"1890000","0.2835"
"1995000","0.283"
"2100000","0.2815"
"2205000","0.324"
"2310000","0.3185"
"2415000","0.329"
"2520000","0.315"
"2625000","0.3185"
"2730000","0.313"
"2835000","0.322"
"2940000","0.325"
"3045000","0.3585"
"3150000","0.351"
"3255000","0.3565"
"3360000","0.3695"
"3465000","0.3655"
"3570000","0.3565"
"3675000","0.38"
"3780000","0.3955"
"3885000","0.369"
"3990000","0.362"
"4095000","0.3895"
"4200000","0.399"
"4305000","0.3905"
"4410000","0.4235"
"4515000","0.428"
"4620000","0.413"
"4725000","0.411"
"4830000","0.3945"
"4935000","0.415"
"5040000","0.4205"
"5145000","0.4365"
"5250000","0.443"
"5355000","0.451"
"5460000","0.441"
"5565000","0.4555"
"5670000","0.462"
"5775000","0.4285"
"5880000","0.4345"
"5985000","0.4645"
"6090000","0.4685"
"6195000","0.4915"
"6300000","0.4885"
"6405000","0.5035"
"6510000","0.5325"
"6615000","0.532"
"6720000","0.5695"
"6825000","0.5725"
"6930000","0.561"
"7035000","0.5495"
"7140000","0.556"
"7245000","0.588"
"7350000","0.569"
"7455000","0.5665"
"7560000","0.6005"
"7665000","0.569"
"7770000","0.595"
"7875000","0.608"
"7980000","0.619"
"8085000","0.6035"
"8190000","0.597"
"8295000","0.6045"
"8400000","0.5665"
"8505000","0.6165"
"8610000","0.5865"
"8715000","0.6155"
"8820000","0.6355"
"8925000","0.6215"
"9030000","0.62"
"9135000","0.642"
"9240000","0.642"
"9345000","0.6305"
"9450000","0.645"
"9555000","0.6445"
"9660000","0.6515"
"9765000","0.6595"
"9870000","0.6835"
"9975000","0.647"
"10080000","0.6415"
"10185000","0.6715"
"10290000","0.659"
"10395000","0.6505"
"10500000","0.6635"
"10605000","0.6665"
"10710000","0.692"
"10815000","0.6685"
"10920000","0.6935"
"11025000","0.721"
"11130000","0.6915"
