"Step","amigo_pb_2agents_seed3 - 2cover_rate_1step"
"19140000","0.301"
"19200000","0.308"
"19260000","0.311"
"19320000","0.309"
"19380000","0.315"
"19440000","0.315"
"19500000","0.317"
"19560000","0.324"
"19620000","0.335"
"19680000","0.316"
"19740000","0.317"
"19800000","0.308"
"19860000","0.312"
"19920000","0.306"
"19980000","0.315"
"20040000","0.317"
"20100000","0.313"
"20160000","0.336"
"20220000","0.329"
"20280000","0.326"
"20340000","0.325"
"20400000","0.32"
"20460000","0.338"
"20520000","0.329"
"20580000","0.303"
"20640000","0.331"
"20700000","0.335"
"20760000","0.329"
"20820000","0.343"
"20880000","0.339"
"20940000","0.338"
"21000000","0.324"
"21060000","0.337"
"21120000","0.356"
"21180000","0.338"
"21240000","0.343"
"21300000","0.334"
"21360000","0.327"
"21420000","0.358"
"21480000","0.346"
"21540000","0.365"
"21600000","0.366"
"21660000","0.355"
"21720000","0.354"
"21780000","0.356"
"21840000","0.358"
"21900000","0.375"
"21960000","0.35"
"22020000","0.363"
"22080000","0.382"
"22140000","0.362"
"22200000","0.371"
"22260000","0.367"
"22320000","0.376"
"22380000","0.362"
"22440000","0.36"
"22500000","0.355"
"22560000","0.37"
"22620000","0.385"
"22680000","0.36"
"22740000","0.38"
"22800000","0.351"
"22860000","0.369"
"22920000","0.37"
"22980000","0.361"
"23040000","0.365"
"23100000","0.39"
"23160000","0.368"
"23220000","0.388"
"23280000","0.377"
"23340000","0.382"
"23400000","0.398"
"23460000","0.361"
"23520000","0.375"
"23580000","0.373"
"23640000","0.397"
"23700000","0.386"
"23760000","0.388"
"23820000","0.382"
"23880000","0.393"
"23940000","0.378"
"24000000","0.397"
"24060000","0.395"
"24120000","0.413"
"24180000","0.401"
"24240000","0.388"
"24300000","0.389"
"24360000","0.397"
"24420000","0.386"
"24480000","0.399"
"24540000","0.386"
"24600000","0.409"
"24660000","0.391"
"24720000","0.412"
"24780000","0.4"
"24840000","0.386"
"24900000","0.382"
"24960000","0.389"
"25020000","0.391"
"25080000","0.393"
"25140000","0.39"
"25200000","0.395"
"25260000","0.389"
"25320000","0.395"
"25380000","0.391"
"25440000","0.409"
"25500000","0.398"
"25560000","0.398"
"25620000","0.384"
"25680000","0.404"
"25740000","0.402"
"25800000","0.386"
"25860000","0.402"
"25920000","0.391"
"25980000","0.4"
"26040000","0.407"
"26100000","0.402"
"26160000","0.385"
"26220000","0.419"
"26280000","0.373"
"26340000","0.404"
"26400000","0.408"
"26460000","0.413"
"26520000","0.399"
"26580000","0.397"
"26640000","0.391"
"26700000","0.417"
"26760000","0.408"
"26820000","0.413"
"26880000","0.403"
"26940000","0.404"
"27000000","0.397"
"27060000","0.427"
"27120000","0.388"
"27180000","0.422"
"27240000","0.391"
"27300000","0.388"
"27360000","0.417"
"27420000","0.406"
"27480000","0.41"
"27540000","0.421"
"27600000","0.424"
"27660000","0.409"
"27720000","0.411"
"27780000","0.407"
"27840000","0.408"
"27900000","0.421"
"27960000","0.402"
"28020000","0.411"
"28080000","0.414"
"28140000","0.412"
"28200000","0.417"
"28260000","0.39"
"28320000","0.409"
"28380000","0.406"
"28440000","0.413"
"28500000","0.411"
"28560000","0.407"
"28620000","0.422"
"28680000","0.417"
"28740000","0.391"
"28800000","0.435"
"28860000","0.424"
"28920000","0.414"
"28980000","0.425"
"29040000","0.415"
"29100000","0.407"
"29160000","0.423"
"29220000","0.424"
"29280000","0.417"
"29340000","0.423"
"29400000","0.409"
"29460000","0.419"
"29520000","0.429"
"29580000","0.422"
"29640000","0.418"
"29700000","0.425"
"29760000","0.44"
"29820000","0.413"
"29880000","0.393"
"29940000","0.41"
"30000000","0.422"
"30060000","0.435"
"30120000","0.415"
"30180000","0.409"
"30240000","0.421"
"30300000","0.425"
"30360000","0.43"
"30420000","0.439"
"30480000","0.43"
"30540000","0.432"
"30600000","0.438"
"30660000","0.416"
"30720000","0.419"
"30780000","0.41"
"30840000","0.422"
"30900000","0.434"
"30960000","0.424"
"31020000","0.425"
"31080000","0.438"
"31140000","0.416"
"31200000","0.431"
"31260000","0.425"
"31320000","0.44"
"31380000","0.444"
"31440000","0.415"
"31500000","0.425"
"31560000","0.426"
"31620000","0.432"
"31680000","0.432"
"31740000","0.421"
"31800000","0.433"
"31860000","0.428"
"31920000","0.433"
"31980000","0.437"
"32040000","0.439"
"32100000","0.432"
"32160000","0.435"
"32220000","0.427"
"32280000","0.434"
"32340000","0.438"
"32400000","0.44"
"32460000","0.418"
"32520000","0.448"
"32580000","0.429"
"32640000","0.443"
"32700000","0.442"
"32760000","0.443"
"32820000","0.455"
"32880000","0.447"
"32940000","0.443"
"33000000","0.432"
"33060000","0.451"
"33120000","0.439"
"33180000","0.448"
"33240000","0.44"
"33300000","0.437"
"33360000","0.454"
"33420000","0.422"
"33480000","0.455"
"33540000","0.451"
"33600000","0.441"
"33660000","0.46"
"33720000","0.452"
"33780000","0.438"
"33840000","0.432"
"33900000","0.442"
"33960000","0.446"
"34020000","0.458"
"34080000","0.44"
"34140000","0.439"
"34200000","0.443"
"34260000","0.448"
"34320000","0.435"
"34380000","0.442"
"34440000","0.439"
"34500000","0.448"
"34560000","0.444"
"34620000","0.452"
"34680000","0.439"
"34740000","0.45"
"34800000","0.444"
"34860000","0.427"
"34920000","0.448"
"34980000","0.441"
"35040000","0.435"
"35100000","0.452"
"35160000","0.44"
"35220000","0.438"
"35280000","0.445"
"35340000","0.455"
"35400000","0.451"
"35460000","0.446"
"35520000","0.445"
"35580000","0.465"
"35640000","0.422"
"35700000","0.446"
"35760000","0.459"
"35820000","0.444"
"35880000","0.443"
"35940000","0.453"
"36000000","0.457"
"36060000","0.461"
"36120000","0.445"
"36180000","0.443"
"36240000","0.454"
"36300000","0.453"
"36360000","0.459"
"36420000","0.458"
"36480000","0.468"
"36540000","0.444"
"36600000","0.447"
"36660000","0.439"
"36720000","0.454"
"36780000","0.451"
"36840000","0.464"
"36900000","0.439"
"36960000","0.43"
"37020000","0.451"
"37080000","0.462"
"37140000","0.459"
"37200000","0.466"
"37260000","0.448"
"37320000","0.442"
"37380000","0.456"
"37440000","0.456"
"37500000","0.431"
"37560000","0.441"
"37620000","0.459"
"37680000","0.451"
"37740000","0.449"
"37800000","0.474"
"37860000","0.443"
"37920000","0.456"
"37980000","0.455"
"38040000","0.451"
"38100000","0.445"
"38160000","0.455"
"38220000","0.458"
"38280000","0.454"
"38340000","0.453"
"38400000","0.454"
"38460000","0.457"
"38520000","0.46"
"38580000","0.445"
"38640000","0.447"
"38700000","0.465"
"38760000","0.45"
"38820000","0.47"
"38880000","0.451"
"38940000","0.459"
"39000000","0.481"
"39060000","0.455"
"39120000","0.459"
"39180000","0.457"
"39240000","0.47"
"39300000","0.45"
"39360000","0.464"
"39420000","0.476"
"39480000","0.472"
"39540000","0.474"
"39600000","0.469"
"39660000","0.462"
"39720000","0.474"
"39780000","0.466"
"39840000","0.462"
"39900000","0.471"
"39960000","0.453"
"40020000","0.477"
"40080000","0.474"
"40140000","0.48"
"40200000","0.463"
"40260000","0.462"
"40320000","0.457"
"40380000","0.475"
"40440000","0.466"
"40500000","0.469"
"40560000","0.473"
"40620000","0.461"
"40680000","0.444"
"40740000","0.472"
"40800000","0.462"
"40860000","0.474"
"40920000","0.456"
"40980000","0.49"
"41040000","0.463"
"41100000","0.47"
"41160000","0.465"
"41220000","0.481"
"41280000","0.476"
"41340000","0.476"
"41400000","0.488"
"41460000","0.463"
"41520000","0.471"
"41580000","0.464"
"41640000","0.468"
"41700000","0.469"
"41760000","0.483"
"41820000","0.467"
"41880000","0.49"
"41940000","0.484"
"42000000","0.475"
"42060000","0.478"
"42120000","0.473"
"42180000","0.456"
"42240000","0.463"
"42300000","0.469"
"42360000","0.448"
"42420000","0.478"
"42480000","0.468"
"42540000","0.46"
"42600000","0.475"
"42660000","0.474"
"42720000","0.467"
"42780000","0.467"
"42840000","0.463"
"42900000","0.467"
"42960000","0.463"
"43020000","0.466"
"43080000","0.466"
"43140000","0.453"
"43200000","0.458"
"43260000","0.46"
"43320000","0.464"
"43380000","0.468"
"43440000","0.472"
"43500000","0.457"
"43560000","0.461"
