"Step","sp_wo_evaluation_expandfromactive_wo_sigmamin_seed2 - cover_rate_5step"
"105000","0.0015"
"210000","0.0005"
"315000","0.0002"
"420000","0.0006000000000000001"
"525000","0.0032"
"630000","0.0014"
"735000","0.0021000000000000003"
"840000","0.0024"
"945000","0"
"1050000","0.0032"
"1155000","0.0012999999999999995"
"1260000","0.002"
"1365000","0.0007"
"1470000","0.003"
"1575000","0.0022"
"1680000","0.002"
"1785000","0.0014000000000000002"
"1890000","0.0016"
"1995000","0.0013"
"2100000","0.0031"
"2205000","0.003"
"2310000","0.0017"
"2415000","0.0011"
"2520000","0.0016"
"2625000","0.005"
"2730000","0.0031"
"2835000","0.0045"
"2940000","0.0031"
"3045000","0.0050999999999999995"
"3150000","0.0039"
"3255000","0.0044"
"3360000","0.0015"
"3465000","0.003"
"3570000","0.0015"
"3675000","0.005"
"3780000","0.0063"
"3885000","0.0079"
"3990000","0.007600000000000001"
"4095000","0.0069"
"4200000","0.0055"
"4305000","0.0040999999999999995"
"4410000","0.0038"
"4515000","0.0068000000000000005"
"4620000","0.0028"
"4725000","0.0019"
"4830000","0.0025"
"4935000","0.0036"
"5040000","0.005"
"5145000","0.004600000000000001"
"5250000","0.0039"
"5355000","0.0061"
"5460000","0.0019"
"5565000","0.0022"
"5670000","0.0038"
"5775000","0.004200000000000001"
"5880000","0.004"
"5985000","0.0027"
"6090000","0.0019"
"6195000","0.0022"
"6300000","0.0011"
"6405000","0.0011"
"6510000","0.0034"
"6615000","0.0037"
"6720000","0.0015"
"6825000","0.0029"
"6930000","0.0045"
"7035000","0.0021000000000000003"
"7140000","0.0037"
"7245000","0.0058"
"7350000","0.0039"
"7455000","0.0027"
"7560000","0.004"
"7665000","0.003"
"7770000","0.0023"
"7875000","0.0032"
"7980000","0.0013"
"8085000","0.005699999999999999"
"8190000","0.0042000000000000015"
"8295000","0.0038"
"8400000","0.0053"
"8505000","0.0032"
"8610000","0.0028000000000000004"
"8715000","0.0040999999999999995"
"8820000","0.0036"
"8925000","0.0050999999999999995"
"9030000","0.0022"
"9135000","0.0031"
"9240000","0.004900000000000001"
"9345000","0.0027"
"9450000","0.0043"
"9555000","0.0024"
"9660000","0.0046"
"9765000","0.0062"
"9870000","0.0050999999999999995"
"9975000","0.0036"
"10080000","0.005900000000000001"
"10185000","0.0037"
"10290000","0.0052"
"10395000","0.0101"
"10500000","0.01"
"10605000","0.0050999999999999995"
"10710000","0.0028"
"10815000","0.005300000000000001"
"10920000","0.0054"
"11025000","0.005300000000000001"
"11130000","0.0018"
"11235000","0.0052"
"11340000","0.0053"
"11445000","0.005"
"11550000","0.0055"
"11655000","0.0067"
"11760000","0.0078"
"11865000","0.0035"
"11970000","0.0033999999999999994"
"12075000","0.0025"
"12180000","0.002"
"12285000","0.0045"
"12390000","0.0028"
"12495000","0.0024"
"12600000","0.0028"
"12705000","0.0032"
"12810000","0.005300000000000001"
"12915000","0.0028000000000000004"
"13020000","0.0013"
"13125000","0.002099999999999999"
"13230000","0.002"
"13335000","0.003"
"13440000","0.0018"
"13545000","0.0038"
"13650000","0.0022"
"13755000","0.0022"
"13860000","0.0022"
"13965000","0.0039"
"14070000","0.0045"
"14175000","0.0016"
"14280000","0.0038"
"14385000","0.0028"
"14490000","0.0027"
"14595000","0.0028"
"14700000","0.0063999999999999994"
"14805000","0.0092"
"14910000","0.007600000000000001"
"15015000","0.0079"
"15120000","0.0075"
"15225000","0.0048"
"15330000","0.0073"
"15435000","0.0104"
"15540000","0.0052"
"15645000","0.0055"
"15750000","0.0089"
"15855000","0.009100000000000002"
"15960000","0.0085"
"16065000","0.0038"
"16170000","0.0076"
"16275000","0.0058"
"16380000","0.0035"
"16485000","0.004"
"16590000","0.0035"
"16695000","0.006"
"16800000","0.0058"
"16905000","0.0034"
"17010000","0.0032"
"17115000","0.0012"
