"Step","reverse_parentsampling_sp_seed3 - cover_rate_1step"
"35000","0.002"
"68250","0"
"101500","0"
"136500","0.0005"
"169750","0.0005"
"204750","0.0005"
"238000","0.0015"
"273000","0"
"308000","0.001"
"341250","0.003"
"376250","0.003"
"409500","0.0045"
"442750","0.0055"
"477750","0.006"
"512750","0.0055"
"546000","0.009"
"581000","0.008"
"614250","0.008"
"647500","0.0065"
"680750","0.011"
"714000","0.008"
"747250","0.0075"
"780500","0.011"
"813750","0.014"
"847000","0.0195"
"880250","0.0195"
"913500","0.025"
"946750","0.041"
"980070","0.052"
"1013390","0.097"
"1046850","0.1345"
"1080520","0.1525"
"1114890","0.158"
"1149890","0.1625"
"1184890","0.1645"
"1219890","0.195"
"1254890","0.199"
"1289890","0.1955"
"1324890","0.234"
"1359890","0.2365"
"1394890","0.2245"
"1429890","0.2465"
"1464890","0.2475"
"1499890","0.241"
"1534890","0.2265"
"1569890","0.221"
"1604890","0.248"
"1639890","0.2535"
"1674890","0.252"
"1709890","0.2425"
"1744890","0.2515"
"1779890","0.2325"
"1814890","0.253"
"1849890","0.2545"
"1884890","0.247"
"1919890","0.2615"
"1954890","0.2365"
"1989890","0.267"
"2024890","0.2405"
"2059890","0.266"
"2094890","0.2625"
"2129890","0.2595"
"2164890","0.269"
"2199890","0.272"
"2234890","0.282"
"2269890","0.283"
"2304890","0.2965"
"2339890","0.2885"
"2374890","0.2855"
"2409890","0.308"
"2444890","0.2905"
"2479890","0.315"
"2514890","0.3085"
"2549890","0.2965"
"2584890","0.2935"
"2619890","0.3015"
"2654890","0.314"
"2689890","0.3135"
"2724890","0.328"
"2759890","0.3055"
"2794890","0.2965"
"2829890","0.3215"
"2864890","0.315"
"2899890","0.2955"
"2934890","0.3"
"2969890","0.3255"
"3004890","0.294"
"3039890","0.3125"
"3074890","0.32"
"3109890","0.323"
"3144890","0.3375"
"3179890","0.3225"
"3214890","0.3345"
"3249890","0.3485"
"3284890","0.347"
"3319890","0.3445"
"3354890","0.347"
"3389890","0.3725"
