"Step","mix2n4_mix_decay_pb_mixdecayfre30_seed2 - 4cover_rate"
"80117640","0.496"
"80315280","0.5106"
"80512920","0.491"
"80710560","0.4906"
"80908200","0.4798"
"81105840","0.4401000000000001"
"81303480","0.4421"
"81501120","0.47"
"81698760","0.4917"
"81896400","0.5042"
"82112400","0.5203"
"82328400","0.4987"
"82544400","0.5378"
"82760400","0.5191"
"82976400","0.514"
"83192400","0.5258999999999999"
"83408400","0.5226"
"83624400","0.52"
"83840400","0.5183"
"84056400","0.5127"
"84290760","0.5267000000000001"
"84525120","0.5243000000000001"
"84759480","0.5251"
"84993840","0.5398"
"85228200","0.531"
"85462560","0.5388999999999999"
"85696920","0.5552"
"85931280","0.5565"
"86165640","0.5468"
"86400000","0.5492999999999999"
"86652000","0.5618"
"86904000","0.5781000000000001"
"87156000","0.5455999999999999"
"87408000","0.5641"
"87660000","0.5639"
"87912000","0.5453"
"88164000","0.5667000000000001"
"88416000","0.5698"
"88668000","0.5592999999999999"
"88920000","0.5647000000000001"
"89189640","0.5647000000000001"
"89459280","0.5525"
"89728920","0.5544"
"89998560","0.5648"
"90268200","0.5779000000000001"
"90537840","0.5638"
"90807480","0.5692"
"91077120","0.5607000000000001"
"91346760","0.5682"
"91616400","0.558"
"91904400","0.5597000000000001"
"92192400","0.5700999999999999"
"92480400","0.5678"
"92768400","0.5674"
"93056400","0.5842999999999999"
"93344400","0.5875"
"93632400","0.5917"
"93920400","0.5972999999999999"
"94208400","0.5954"
"94496400","0.5941"
"94802400","0.5901000000000001"
"95108400","0.598"
"95414400","0.6011"
"95720400","0.5775999999999999"
"96026400","0.5924"
"96332400","0.5758"
"96638400","0.556"
"96944400","0.587"
"97250400","0.5758"
"97556400","0.5699000000000001"
"97880400","0.5736"
"98204400","0.5829000000000001"
"98528400","0.5837"
"98852400","0.5792"
"99176400","0.585"
"99500400","0.562"
"99824400","0.5991000000000001"
"100148400","0.5775"
"100472400","0.5836"
"100796400","0.6093"
"101138040","0.5595"
"101479680","0.5645999999999999"
"101821320","0.5584"
"102162960","0.5567"
"102504600","0.5512999999999999"
"102846240","0.549"
"103187880","0.5440999999999999"
"103529520","0.5695999999999999"
"103871160","0.5936"
"104212800","0.5731"
"104572800","0.5748"
"104932800","0.5899000000000001"
"105292800","0.5794"
"105652800","0.5891000000000001"
"106012800","0.5825"
"106372800","0.5730999999999999"
"106732800","0.5848"
"107092800","0.5808"
"107452800","0.5875"
"107812800","0.5877"
"108172800","0.5928"
"108532800","0.5846999999999999"
"108892800","0.5868"
"109252800","0.585"
"109612800","0.5917"
"109972800","0.5898"
"110332800","0.5985"
"110692800","0.6099"
"111052800","0.6083"
"111412800","0.624"
"111754440","0.614"
"112096080","0.6283999999999998"
"112437720","0.6321"
"112779360","0.6235"
"113121000","0.6215999999999999"
"113462640","0.6173"
"113804280","0.6376000000000001"
"114145920","0.6117"
"114487560","0.6345"
"114829200","0.637"
"115153200","0.6225999999999999"
"115477200","0.6371"
"115801200","0.6359000000000001"
"116125200","0.6182000000000001"
"116449200","0.6196"
"116773200","0.6285"
"117097200","0.6429"
"117421200","0.6197"
"117745200","0.6094"
"118069200","0.6244000000000001"
"118375560","0.61"
"118681920","0.6223"
"118988280","0.6145999999999999"
"119294640","0.6194000000000001"
"119601000","0.602"
"119907360","0.6067"
"120213720","0.6102000000000001"
"120520080","0.615"
"120826440","0.6137999999999999"
"121132800","0.6117"
"121420800","0.618"
"121708800","0.6242000000000001"
"121996800","0.6317999999999999"
"122284800","0.6189"
"122572800","0.6266"
"122860800","0.6333"
"123148800","0.6292000000000001"
"123436800","0.6384000000000001"
"123724800","0.6237"
"124012800","0.6273"
"124283160","0.6389000000000001"
"124553520","0.6315"
"124823880","0.6194"
"125094240","0.6132000000000001"
"125364600","0.6315"
"125634960","0.6227"
"125905320","0.6372000000000001"
"126175680","0.6147"
"126446040","0.6285"
"126716400","0.6255"
"126968400","0.6246"
"127220400","0.6252000000000001"
"127472400","0.6466000000000001"
"127724400","0.6317"
"127976400","0.6147999999999999"
"128228400","0.6237"
"128480400","0.638"
"128732400","0.6277999999999999"
"128984400","0.6250999999999999"
"129236400","0.6325"
"129470760","0.6385"
"129705120","0.6263"
"129939480","0.6386000000000001"
"130173840","0.6409"
"130408200","0.6401"
"130642560","0.6422"
"130876920","0.647"
"131111280","0.6347999999999999"
"131345640","0.646"
"131580000","0.6457"
"131796000","0.6407"
"132012000","0.6479"
"132228000","0.6441"
"132444000","0.6444000000000001"
"132660000","0.649"
"132876000","0.6516"
"133092000","0.6489"
"133308000","0.662"
"133524000","0.6476000000000001"
"133740000","0.6574000000000001"
"133938360","0.6532"
"134136720","0.6508999999999999"
"134335080","0.6559"
"134533440","0.6657000000000001"
"134731800","0.6513"
"134930160","0.6349"
"135128520","0.6404"
"135326880","0.6247"
"135525240","0.6270999999999999"
"135723600","0.6176"
