"Step","reverse_parentsampling_sp_seed2 - cover_rate_1step"
"35000","0.0025"
"68250","0"
"103250","0.001"
"138250","0.0005"
"173250","0.0025"
"208250","0.009"
"243250","0.0035"
"276500","0.0075"
"311500","0.0105"
"344750","0.0045"
"378000","0.006"
"411250","0.01"
"446250","0.0075"
"479500","0.008"
"512750","0.01"
"546000","0.014"
"579250","0.014"
"612570","0.0155"
"645890","0.0165"
"679210","0.0115"
"712530","0.0095"
"745850","0.0125"
"779170","0.017"
"812490","0.014"
"846020","0.0165"
"879970","0.0195"
"914550","0.0135"
"949550","0.0145"
"984550","0.0185"
"1019550","0.02"
"1054550","0.0275"
"1089550","0.026"
"1124550","0.019"
"1159550","0.0195"
"1194550","0.021"
"1229550","0.0245"
"1264550","0.0375"
"1299550","0.039"
"1334550","0.039"
"1369550","0.049"
"1404550","0.0645"
"1439550","0.077"
"1474550","0.0685"
"1509550","0.082"
"1544550","0.0725"
"1579550","0.0765"
"1614550","0.096"
"1649550","0.099"
"1684550","0.094"
"1719550","0.1"
"1754550","0.0935"
"1789550","0.106"
"1824550","0.0785"
"1859550","0.0955"
"1894550","0.088"
"1929550","0.0895"
"1964550","0.0835"
"1999550","0.096"
"2034550","0.089"
"2069550","0.1095"
"2104550","0.1245"
"2139550","0.134"
"2174550","0.1215"
"2209550","0.121"
"2244550","0.12"
"2279550","0.129"
"2314550","0.1135"
"2349550","0.1115"
"2384550","0.109"
"2419550","0.115"
"2454550","0.142"
"2489550","0.1295"
"2524550","0.1225"
"2559550","0.129"
"2594550","0.1145"
"2629550","0.1235"
"2664550","0.118"
"2699550","0.125"
"2734550","0.123"
"2769550","0.11"
"2804550","0.1125"
"2839550","0.1175"
"2874550","0.114"
"2909550","0.125"
"2944550","0.134"
"2979550","0.1415"
"3014550","0.1345"
"3049550","0.141"
"3084550","0.121"
"3119550","0.1415"
"3154550","0.132"
"3189550","0.136"
"3224550","0.1495"
"3259550","0.149"
"3294550","0.141"
"3329550","0.1545"
"3364550","0.156"
"3399550","0.1425"
"3434550","0.143"
"3469550","0.1445"
"3504550","0.1535"
"3539550","0.1495"
"3574550","0.141"
"3609550","0.126"
"3644550","0.1165"
"3679550","0.118"
"3714550","0.1255"
"3749550","0.105"
"3784550","0.106"
"3819550","0.1185"
"3854550","0.1105"
"3889550","0.0885"
"3924550","0.085"
"3959550","0.073"
"3994550","0.093"
"4029550","0.099"
"4064550","0.1105"
"4099550","0.1015"
"4134550","0.1095"
"4169550","0.098"
"4204550","0.12"
"4239550","0.104"
"4274550","0.107"
"4309550","0.104"
"4344550","0.1095"
"4379550","0.108"
"4414550","0.0955"
"4449550","0.085"
"4484550","0.0715"
"4519550","0.075"
"4554550","0.082"
"4589550","0.0975"
"4624550","0.0975"
"4659550","0.095"
"4694550","0.0915"
"4729550","0.1"
"4764550","0.0835"
"4799550","0.0875"
"4834550","0.0745"
"4869550","0.0925"
"4904550","0.0855"
"4939550","0.0815"
"4974550","0.0995"
"5009550","0.102"
"5044550","0.0935"
"5079550","0.094"
"5114550","0.0985"
"5149550","0.104"
"5184550","0.101"
"5219550","0.088"
"5254550","0.0925"
"5289550","0.101"
"5324550","0.095"
"5359550","0.086"
"5394550","0.097"
"5429550","0.1025"
"5464550","0.092"
"5499550","0.1045"
"5534550","0.119"
"5569550","0.135"
"5604550","0.135"
"5639550","0.161"
"5674550","0.136"
"5709550","0.1385"
"5744550","0.157"
"5779550","0.13"
"5814550","0.123"
"5849550","0.13"
"5884550","0.1255"
"5919550","0.134"
"5954550","0.127"
"5989550","0.1225"
"6024550","0.123"
"6059550","0.118"
"6094550","0.1055"
"6129550","0.128"
"6164550","0.1105"
"6199550","0.1115"
"6234550","0.113"
"6269550","0.1145"
"6304550","0.1025"
"6339550","0.112"
"6374550","0.108"
"6409550","0.114"
"6444550","0.109"
"6479550","0.112"
"6514550","0.119"
"6549550","0.1175"
"6584550","0.124"
"6619550","0.13"
"6654550","0.1185"
"6689550","0.1255"
"6724550","0.117"
"6759550","0.139"
"6794550","0.132"
"6829550","0.122"
"6864550","0.1145"
"6899550","0.1295"
"6934550","0.1385"
"6969550","0.1185"
"7004550","0.126"
"7039550","0.1195"
"7074550","0.137"
"7109550","0.1415"
"7144550","0.1395"
"7179550","0.154"
"7214550","0.1475"
"7249550","0.135"
"7284550","0.129"
"7319550","0.147"
"7354550","0.1395"
"7389550","0.153"
"7424550","0.1565"
"7459550","0.1405"
"7494550","0.16"
"7529550","0.1565"
"7564550","0.159"
"7599550","0.153"
"7634550","0.1595"
"7669550","0.1375"
"7704550","0.1305"
"7739550","0.123"
"7774550","0.154"
"7809550","0.138"
"7844550","0.16"
"7879550","0.151"
"7914550","0.155"
"7949550","0.16"
"7984550","0.1465"
"8019550","0.1635"
"8054550","0.151"
"8089550","0.152"
"8124550","0.1425"
"8159550","0.159"
"8194550","0.158"
"8229550","0.154"
"8264550","0.1445"
"8299550","0.1385"
"8334550","0.1455"
"8369550","0.148"
"8404550","0.1625"
"8439550","0.16"
"8474550","0.1595"
"8509550","0.177"
"8544550","0.1785"
"8579550","0.187"
"8614550","0.211"
"8649550","0.1755"
"8684550","0.186"
"8719550","0.1925"
"8754550","0.195"
"8789550","0.192"
"8824550","0.1965"
"8859550","0.1945"
"8894550","0.1815"
"8929550","0.2135"
"8964550","0.2005"
"8999550","0.2135"
"9034550","0.212"
"9069550","0.187"
"9104550","0.202"
"9139550","0.191"
"9174550","0.197"
"9209550","0.1995"
"9244550","0.186"
"9279550","0.2035"
"9314550","0.2125"
"9349550","0.2075"
"9384550","0.2105"
"9419550","0.2225"
"9454550","0.2215"
"9489550","0.223"
"9524550","0.2175"
"9559550","0.235"
"9594550","0.2475"
"9629550","0.2245"
"9664550","0.208"
"9699550","0.2235"
"9734550","0.237"
"9769550","0.234"
"9804550","0.231"
"9839550","0.225"
"9874550","0.2145"
"9909550","0.206"
"9944550","0.2165"
"9979550","0.2285"
"10014550","0.222"
"10049550","0.23"
"10084550","0.2355"
"10119550","0.2355"
"10154550","0.2465"
"10189550","0.245"
"10224550","0.232"
"10259550","0.2555"
"10294550","0.2355"
"10329550","0.2505"
"10364550","0.2415"
"10399550","0.2515"
"10434550","0.2335"
"10469550","0.268"
"10504550","0.2585"
"10539550","0.252"
"10574550","0.252"
"10609550","0.233"
"10644550","0.2405"
"10679550","0.225"
"10714550","0.2155"
"10749550","0.219"
"10784550","0.2215"
"10819550","0.2165"
"10854550","0.2485"
"10889550","0.2225"
"10924550","0.2495"
"10959550","0.233"
"10994550","0.2245"
"11029550","0.247"
"11064550","0.2345"
"11099550","0.2435"
"11134550","0.2445"
"11169550","0.226"
"11204550","0.258"
"11239550","0.255"
"11274550","0.277"
"11309550","0.269"
"11344550","0.2655"
"11379550","0.284"
"11414550","0.291"
"11449550","0.267"
"11484550","0.2925"
"11519550","0.29"
"11554550","0.2845"
"11589550","0.27"
"11624550","0.281"
"11659550","0.2815"
"11694550","0.2835"
"11729550","0.2665"
"11764550","0.2915"
"11799550","0.2865"
"11834550","0.2905"
