"Step","phase_sp_true_seed3 - 8cover_rate"
"105000","0.8008500000000001"
"210000","0.77345"
"315000","0.7574000000000001"
"420000","0.77195"
"525000","0.7554"
"630000","0.7647999999999999"
"735000","0.7648"
"840000","0.7731"
"945000","0.76235"
"1050000","0.7723"
"1155000","0.7604"
"1260000","0.7509"
"1365000","0.7545999999999999"
"1470000","0.762"
"1575000","0.7566499999999998"
"1680000","0.7574000000000001"
"1785000","0.75625"
"1890000","0.7774"
"1995000","0.7789499999999999"
"2100000","0.7794500000000001"
"2205000","0.77555"
"2310000","0.77475"
"2415000","0.7754"
"2520000","0.7701"
"2625000","0.7714"
"2730000","0.76685"
"2835000","0.75325"
"2940000","0.7609"
"3045000","0.75725"
"3150000","0.7535"
"3255000","0.7726999999999999"
"3360000","0.7808499999999999"
"3465000","0.7906"
"3570000","0.7816"
"3675000","0.7675"
"3780000","0.7920499999999999"
"3885000","0.7835"
"3990000","0.7854000000000001"
"4095000","0.78855"
"4200000","0.80845"
"4305000","0.786"
"4410000","0.8053499999999999"
"4515000","0.8042999999999999"
"4620000","0.804"
"4725000","0.8028500000000002"
"4830000","0.82175"
"4935000","0.81365"
"5040000","0.81655"
"5145000","0.8081"
"5250000","0.8037000000000001"
"5355000","0.81355"
"5460000","0.80825"
"5565000","0.802"
"5670000","0.80955"
"5775000","0.8131499999999999"
"5880000","0.8060999999999999"
"5985000","0.7893499999999999"
"6090000","0.80045"
"6195000","0.8014"
"6300000","0.80585"
"6405000","0.80385"
"6510000","0.7884"
"6615000","0.81255"
"6720000","0.8207000000000001"
"6825000","0.822"
"6930000","0.83715"
"7035000","0.8372999999999999"
"7140000","0.8234499999999999"
"7245000","0.81525"
"7350000","0.80765"
"7455000","0.80165"
"7560000","0.7952"
"7665000","0.80975"
"7770000","0.8252999999999999"
"7875000","0.8321"
"7980000","0.81875"
"8085000","0.80655"
"8190000","0.8219500000000001"
"8295000","0.8111499999999999"
"8400000","0.81795"
"8505000","0.83275"
"8610000","0.817"
"8715000","0.8259"
"8820000","0.8309500000000001"
"8925000","0.8387"
"9030000","0.81905"
"9135000","0.8239"
"9240000","0.8259500000000001"
"9345000","0.8190999999999999"
"9450000","0.826"
"9555000","0.8308999999999999"
"9660000","0.8235999999999999"
"9765000","0.8339000000000001"
