"Step","pb_active_expansion_seed1 - 2cover_rate_5step"
"180000","0.032"
"360000","0.033"
"540000","0.034"
"720000","0.037"
"900000","0.029"
"1080000","0.026"
"1260000","0.035"
"1440000","0.037"
"1620000","0.025"
"1800000","0.033"
"1980000","0.038"
"2160000","0.035"
"2340000","0.031"
"2520000","0.047"
"2700000","0.047799999999999995"
"2880000","0.035"
"3060000","0.052"
"3240000","0.051"
"3420000","0.056"
"3600000","0.0676"
"3780000","0.058"
"3960000","0.083"
"4140000","0.067"
"4320000","0.0856"
"4500000","0.07640000000000001"
"4680000","0.0914"
"4860000","0.1046"
"5040000","0.0884"
"5220000","0.1342"
"5400000","0.11719999999999998"
"5580000","0.14"
"5760000","0.169"
"5940000","0.1502"
"6120000","0.1398"
"6300000","0.15380000000000002"
"6480000","0.1754"
"6660000","0.168"
"6840000","0.19"
"7020000","0.1316"
"7200000","0.1482"
"7380000","0.1668"
"7560000","0.16960000000000003"
"7740000","0.183"
"7920000","0.2044"
"8100000","0.2154"
"8280000","0.2146"
"8460000","0.2364"
"8640000","0.2268"
"8820000","0.255"
"9000000","0.24720000000000003"
"9180000","0.2478"
"9360000","0.2424"
"9540000","0.2572"
"9720000","0.2694"
"9900000","0.2552"
"10080000","0.253"
"10260000","0.2582"
"10440000","0.2658"
"10620000","0.28179999999999994"
"10800000","0.267"
"10980000","0.2746"
"11160000","0.27979999999999994"
"11340000","0.27"
"11520000","0.26580000000000004"
"11700000","0.30219999999999997"
"11880000","0.2596"
"12060000","0.28079999999999994"
"12240000","0.3034"
"12420000","0.3162"
"12600000","0.28079999999999994"
"12780000","0.3102"
"12960000","0.2964"
"13140000","0.2906"
"13320000","0.31820000000000004"
"13500000","0.2998"
"13680000","0.30019999999999997"
"13860000","0.3242"
"14040000","0.3004"
"14220000","0.32420000000000004"
"14400000","0.3524"
"14580000","0.34920000000000007"
"14760000","0.31779999999999997"
"14940000","0.3312"
"15120000","0.333"
"15300000","0.3474"
"15480000","0.311"
"15660000","0.33420000000000005"
"15840000","0.3348"
"16020000","0.35320000000000007"
"16200000","0.343"
"16380000","0.34540000000000004"
"16560000","0.3534"
"16740000","0.3706"
"16920000","0.3688"
"17100000","0.3942"
"17280000","0.3408"
"17460000","0.3928"
"17640000","0.3736"
"17820000","0.3834"
"18000000","0.3712"
"18180000","0.3804"
