"Step","diversified_novelty_sp - cover_rate_5step","diversified_novelty_sp_seed2 - cover_rate_5step","diversified_novelty_sp_seed3 - cover_rate_5step"
"11970000","0.7412000000000001","0.7104000000000001","0.7547999999999999"
"12075000","0.7315","0.6991999999999999","0.7383"
"12180000","0.7535","0.7073","0.7432000000000001"
"12285000","0.7452","0.7029000000000001","0.7612000000000001"
"12390000","0.7527999999999999","0.7182","0.7613"
"12495000","0.7664000000000001","0.7029","0.7745"
"12600000","0.7567","0.7082999999999999","0.7607"
"12705000","0.7387","0.6922999999999999","0.7679000000000001"
"12810000","0.7844000000000001","0.6874","0.7705"
"12915000","0.766","0.7205","0.7782"
"13020000","0.7902","0.7075","0.7726"
"13125000","0.7863","0.7258","0.7693"
"13230000","0.7812","0.7112","0.7760999999999999"
"13335000","0.7780999999999999","0.7303999999999999","0.7667"
"13440000","0.7661999999999999","0.7412000000000001","0.7710999999999999"
"13545000","0.7679000000000001","0.7231000000000001","0.7576"
"13650000","0.7834000000000001","0.7394","0.7602000000000001"
"13755000","0.7923","0.7530999999999999","0.7675"
"13860000","0.8032999999999999","0.7515999999999999","0.7722"
"13965000","0.7995","0.7692","0.7782"
"14070000","0.8108","0.7865","0.7731"
"14175000","0.8085999999999999","0.7699","0.7689"
"14280000","0.7976","0.7423","0.7699"
"14385000","0.8144","0.7487999999999999","0.7857000000000001"
"14490000","0.8039","0.7800999999999999","0.7713000000000001"
"14595000","0.8129","0.7467999999999999","0.7787000000000001"
"14700000","0.8009","0.7414000000000001","0.7629"
"14805000","0.8265","0.7559000000000001","0.7727"
"14910000","0.8288","0.7697","0.7699000000000001"
"15015000","0.8150999999999999","0.7703","0.7730999999999999"
"15120000","0.8311","0.7684","0.7778999999999999"
"15225000","0.8301","0.7816","0.7682"
"15330000","0.8277","0.7739","0.765"
"15435000","0.8227","0.7647999999999999","0.7892"
"15540000","0.819","0.7667999999999999","0.8012999999999999"
"15645000","0.8282","0.7907000000000001","0.7900999999999999"
"15750000","0.8422999999999999","0.7848999999999999","0.7923999999999999"
"15855000","0.8298","0.773","0.8014"
"15960000","0.8314000000000001","0.7876000000000001","0.8012"
"16065000","0.8322999999999999","0.7833","0.8154000000000001"
"16170000","0.8385","0.7897000000000001","0.8127000000000001"
"16275000","0.8401","0.7987","0.7985999999999999"
"16380000","0.8518000000000001","0.8006","0.8092999999999999"
"16485000","0.8537","0.7717999999999999","0.8121"
"16590000","0.8625999999999999","0.7873","0.8057000000000001"
"16695000","0.857","0.8088","0.8127000000000001"
"16800000","0.8566","0.8068","0.8035"
