"Step","pb_wo_evaluation_seed3 - 2cover_rate_5step"
"41940000","0.8412000000000001"
"42120000","0.8344000000000001"
"42300000","0.8432000000000001"
"42480000","0.856"
"42660000","0.8383999999999999"
"42840000","0.838"
"43020000","0.8448"
"43200000","0.8594"
"43380000","0.845"
"43560000","0.849"
"43740000","0.848"
"43920000","0.8627999999999999"
"44100000","0.8716"
"44280000","0.8672000000000001"
"44460000","0.8603999999999999"
"44640000","0.879"
"44820000","0.8695999999999999"
"45000000","0.86"
"45180000","0.8473999999999999"
"45360000","0.8622000000000001"
"45540000","0.8916"
"45720000","0.862"
"45900000","0.8872000000000001"
"46080000","0.8672000000000001"
"46260000","0.8824000000000001"
"46440000","0.8812000000000001"
"46620000","0.8907999999999999"
"46800000","0.8662000000000001"
"46980000","0.8757999999999999"
"47160000","0.8924"
"47340000","0.9"
"47520000","0.8944"
"47700000","0.8862000000000001"
"47880000","0.8864"
"48060000","0.8996000000000001"
"48240000","0.904"
"48420000","0.8746"
"48600000","0.8786"
"48780000","0.894"
"48960000","0.8852000000000001"
"49140000","0.8996"
"49320000","0.8977999999999999"
"49500000","0.8852000000000001"
"49680000","0.886"
"49860000","0.8864000000000001"
"50040000","0.8917999999999999"
"50220000","0.872"
"50400000","0.8526"
"50580000","0.8877999999999999"
"50760000","0.884"
"50940000","0.865"
"51120000","0.8884"
"51300000","0.8616"
"51480000","0.872"
"51660000","0.8677999999999999"
"51840000","0.896"
"52020000","0.9008"
"52200000","0.8974"
"52380000","0.8746"
"52560000","0.9022"
"52740000","0.8827999999999999"
"52920000","0.8926000000000001"
"53100000","0.9048"
"53280000","0.9066"
"53460000","0.9042"
"53640000","0.912"
"53820000","0.9074"
"54000000","0.904"
"54180000","0.912"
"54360000","0.9246"
"54540000","0.9026"
"54720000","0.9176"
"54900000","0.9076"
"55080000","0.9132"
"55260000","0.913"
"55440000","0.8936000000000001"
"55620000","0.9088"
"55800000","0.9232"
"55980000","0.9192"
"56160000","0.9196"
"56340000","0.9088"
"56520000","0.9126"
"56700000","0.9112"
"56880000","0.902"
"57060000","0.9118"
"57240000","0.9128"
"57420000","0.9024"
"57600000","0.896"
"57780000","0.9132"
"57960000","0.9198"
"58140000","0.9126"
"58320000","0.9158"
"58500000","0.9098"
"58680000","0.895"
"58860000","0.9128"
"59040000","0.9204"
"59220000","0.9168"
"59400000","0.902"
"59580000","0.9262"
"59760000","0.927"
"59940000","0.9172"
"60120000","0.9202"
"60300000","0.9268"
"60480000","0.9234"
"60660000","0.9222"
"60840000","0.9184"
"61020000","0.9196"
"61200000","0.9216"
"61380000","0.9001999999999999"
"61560000","0.9314"
"61740000","0.9318"
"61920000","0.9242"
"62100000","0.9274"
"62280000","0.9284"
"62460000","0.922"
"62640000","0.9316"
"62820000","0.9458"
"63000000","0.9384"
"63180000","0.9256"
"63360000","0.934"
"63540000","0.937"
"63720000","0.939"
"63900000","0.9294"
"64080000","0.9292"
"64260000","0.9442"
"64440000","0.9474"
"64620000","0.934"
"64800000","0.939"
"64980000","0.9302"
"65160000","0.944"
"65340000","0.9404"
"65520000","0.94"
"65700000","0.9476"
"65880000","0.9352"
"66060000","0.9432"
"66240000","0.9322"
"66420000","0.9316"
"66600000","0.9502"
"66780000","0.9422"
"66960000","0.9402"
"67140000","0.9364"
"67320000","0.9396"
"67500000","0.9478"
"67680000","0.9288"
"67860000","0.9354"
"68040000","0.9368"
"68220000","0.9356"
"68400000","0.9388"
"68580000","0.9472"
"68760000","0.9504"
"68940000","0.9444"
"69120000","0.9402"
"69300000","0.9432"
"69480000","0.9458"
"69660000","0.94"
"69840000","0.9542"
"70020000","0.9338"
"70200000","0.9408"
"70380000","0.9446"
"70560000","0.9398"
"70740000","0.9408"
"70920000","0.9542"
"71100000","0.9484"
"71280000","0.9396"
"71460000","0.9582"
"71640000","0.9578"
"71820000","0.9526"
"72000000","0.9484"
"72180000","0.9484"
"72360000","0.9554"
"72540000","0.9536"
"72720000","0.9504"
"72900000","0.956"
"73080000","0.966"
"73260000","0.9522"
"73440000","0.9528"
"73620000","0.9566"
"73800000","0.9508"
"73980000","0.951"
"74160000","0.958"
"74340000","0.949"
"74520000","0.9544"
"74700000","0.9528"
"74880000","0.9382"
"75060000","0.9566"
"75240000","0.957"
"75420000","0.951"
"75600000","0.9516"
"75780000","0.9628"
"75960000","0.9536"
"76140000","0.9404"
"76320000","0.9526"
"76500000","0.9522"
"76680000","0.9496"
"76860000","0.9598"
"77040000","0.9522"
"77220000","0.9662"
"77400000","0.9656"
"77580000","0.9602"
"77760000","0.9522"
"77940000","0.9594"
"78120000","0.9554"
"78300000","0.959"
"78480000","0.9592"
"78660000","0.9614"
"78840000","0.9606"
"79020000","0.9438"
"79200000","0.9514"
"79380000","0.953"
"79560000","0.9678"
"79740000","0.9462"
"79920000","0.9694"
