"Step","mix4n8_mix_decay_sp_mixdecayfre30_seed1 - 8cover_rate"
"21115290","0.6120999999999999"
"21230580","0.56245"
"21345870","0.5941"
"21461160","0.5835"
"21576450","0.599"
"21691740","0.64005"
"21807030","0.6458499999999999"
"21922320","0.6583499999999999"
"22037610","0.6547000000000001"
"22152900","0.6615500000000001"
"22278900","0.65275"
"22404900","0.67275"
"22530900","0.6666500000000001"
"22656900","0.64695"
"22782900","0.64205"
"22908900","0.6353"
"23034900","0.6287999999999999"
"23160900","0.6033999999999999"
"23286900","0.60165"
"23412900","0.5926"
"23549610","0.578"
"23686320","0.5767"
"23823030","0.5913"
"23959740","0.57885"
"24096450","0.59835"
"24233160","0.59105"
"24369870","0.59335"
"24506580","0.62375"
"24643290","0.6572"
"24780000","0.68025"
"24927000","0.6670499999999999"
"25074000","0.6536"
"25221000","0.6403499999999999"
"25368000","0.6650999999999999"
"25515000","0.6324"
"25662000","0.63855"
"25809000","0.63955"
"25956000","0.6591499999999999"
"26103000","0.67525"
"26250000","0.66245"
"26407290","0.6604000000000001"
"26564580","0.6593499999999999"
"26721870","0.6557999999999999"
"26879160","0.65255"
"27036450","0.64875"
"27193740","0.65165"
"27351030","0.6466000000000001"
"27508320","0.66075"
"27665610","0.6723499999999999"
"27822900","0.66895"
"27990900","0.6695"
"28158900","0.6648499999999999"
"28326900","0.6772"
"28494900","0.6815"
"28662900","0.70365"
"28830900","0.69545"
"28998900","0.71205"
"29166900","0.69885"
"29334900","0.7123"
"29502900","0.7098"
"29681400","0.70975"
"29859900","0.7168"
"30038400","0.72725"
"30216900","0.7165"
"30395400","0.72925"
"30573900","0.7415499999999999"
"30752400","0.7417999999999999"
"30930900","0.73715"
"31109400","0.7126"
"31287900","0.7276499999999999"
"31476900","0.7411"
"31665900","0.7119000000000001"
"31854900","0.72405"
"32043900","0.71835"
"32232900","0.7126"
"32421900","0.7036"
"32610900","0.7161000000000001"
"32799900","0.72865"
"32988900","0.7298"
"33177900","0.7488499999999999"
"33377190","0.7365"
"33576480","0.73625"
"33775770","0.7390999999999999"
"33975060","0.7301"
"34174350","0.72165"
"34373640","0.7456499999999999"
"34572930","0.76575"
"34772220","0.75955"
"34971510","0.7442000000000001"
"35170800","0.76305"
"35380800","0.76825"
"35590800","0.7593"
"35800800","0.7539000000000001"
"36010800","0.7600999999999999"
"36220800","0.75655"
"36430800","0.78015"
"36640800","0.7920499999999999"
"36850800","0.8027000000000001"
"37060800","0.7975999999999999"
"37270800","0.7786500000000001"
"37480800","0.7762"
"37690800","0.7902"
"37900800","0.783"
"38110800","0.7918999999999999"
"38320800","0.7992999999999999"
"38530800","0.8060499999999999"
"38740800","0.8091499999999999"
"38950800","0.80385"
"39160800","0.81455"
"39370800","0.80675"
"39570090","0.80495"
"39769380","0.8039"
"39968670","0.81555"
"40167960","0.8078500000000001"
"40367250","0.80385"
"40566540","0.79265"
"40765830","0.8020499999999999"
"40965120","0.81755"
"41164410","0.7979"
"41363700","0.80745"
"41552700","0.79495"
"41741700","0.7971"
"41930700","0.8084000000000001"
"42119700","0.8085"
"42308700","0.81795"
"42497700","0.8102999999999999"
"42686700","0.8212"
"42875700","0.83025"
"43064700","0.8223"
"43253700","0.81475"
"43432410","0.8191499999999999"
"43611120","0.8249500000000001"
"43789830","0.8235999999999999"
"43968540","0.83075"
"44147250","0.841"
"44325960","0.8317499999999999"
"44504670","0.841"
"44683380","0.8219"
"44862090","0.8065999999999999"
"45040800","0.8287"
"45208800","0.81865"
"45376800","0.82045"
"45544800","0.84005"
"45712800","0.8228"
"45880800","0.8304"
"46048800","0.8319500000000001"
"46216800","0.84065"
"46384800","0.85075"
"46552800","0.8475"
"46720800","0.86"
"46878510","0.85405"
"47036220","0.8569"
"47193930","0.8509"
"47351640","0.8458499999999999"
"47509350","0.8525999999999999"
"47667060","0.8503499999999999"
"47824770","0.85175"
"47982480","0.8409000000000001"
"48140190","0.8477"
"48297900","0.8362"
"48444900","0.83945"
"48591900","0.8515499999999999"
"48738900","0.859"
"48885900","0.8683"
"49032900","0.8669"
"49179900","0.86425"
"49326900","0.8509"
"49473900","0.8531"
"49620900","0.8472999999999999"
